itemId,seriesId,series,flag,detail,file
35361,3644,Casanova,conflated-series,"Luxuria, Gula, Avaritia and Acedia are separately-numbered minis under one Series",Casanova Vol. 02 - Gula (2015) (Digital) (Zone-Empire).cbr
115769,3780,Charmed,conflated-series,two Charmed seasons each contribute a Vol. 01 numbered from #1,Charmed - Season 10 Vol. 01 (2015) (Digital) (DR & Quinch-Empire).cbr
104705,3857,Chrononauts,conflated-series,"Chrononauts and Chrononauts: Futureshock share this Series, both numbered from #1",Chrononauts Vol. 02 - Futureshock (2020) (Digital) (DrDoom-Empire).cbz
12755,4086,Conan,conflated-series,"the Dark Horse Conan Series holds the running #1-50 ladder AND the restarted 2012 Conan the Barbarian ladder, so trade ranges collide",Conan Vol. 11 - Road of Kings (2012) (digital) (Son of Ultron-Empire).cbr
78339,4104,Conan the Barbarian,conflated-series,"the 1970 Marvel run, the 2019 relaunch and the 2023 relaunch share this Series",04 Conan the Barbarian by Jim Zub Vol. 02 - Land of the Lotus (2021) (Digital-Empire).cbr
35917,4343,Criminal,conflated-series,"seven Criminal arcs, several numbered from #1, share one Series",Criminal Vol. 02 - Lawless (2015) (Digital) (Zone-Empire).cbr
14051,4380,Critical Role: Vox Machina Origins,conflated-series,"three separately-numbered Vox Machina Origins series share this Series, all with locg 1-6",Critical Role - Vox Machina Origins Vol. 02 (2020) (digital) (Son of Ultron-Empire).cbr
97018,4861,Dark Avengers,conflated-series,the 2009 Dark Avengers and the 2012 relaunch share one Series,Dark Avengers Vol. 01 - The End Is The Beginning (2013) (digital).cbz
36404,5031,Dead Body Road,conflated-series,Dead Body Road and Dead Body Road: Bad Blood share this Series,Dead Body Road Vol. 02 - Bad Blood (2021) (Digital) (DR & Quinch-Empire).cbr
78489,5143,Deadpool and the Mercs For Money,conflated-series,"the 2016 mini and the 2016 ongoing share this Series, both numbered from #1",Deadpool & the Mercs For Money Vol. 00 - Merc Madness (2016) (digital) (Minutemen-Slayer).cbr
78513,5111,Deadpool Classic,conflated-series,"Deadpool Classic, Classic Companion and the named later volumes reprint runs with incompatible numbering",Deadpool Classic Companion Vol. 01 (2015) (Digital) (F) (Kileko-Empire).cbz
110237,5674,Doctor Who: The Tenth Doctor,conflated-series,"Year One and Year Two share these Doctor Who Series, and gcd gives both a Vol. 01 range of #1-5",Doctor Who - The Tenth Doctor v04 - The Endless Song (2016) (digital) (The Magicians-Empire).cbr
9686,5903,Dune: House Atreides,conflated-series,"Dune: House Atreides and Dune: House Harkonnen share this Series, both numbered from #1",Dune - House Harkonnen Vol. 01 (2023) (digital) (Son of Ultron-Empire).cbr
105563,5909,Dungeon,conflated-series,"five Dungeon cycles, each with its own v1/v2/v3, share one Series",Dungeon - 01 2005 - The Early Years v1 - The Night Shirt.cbr
13389,6246,Ether,conflated-series,"three Ether minis share this Series, each numbered from #1",Ether Vol. 02 - The Copper Golems (2019) (digital) (Son of Ultron-Empire).cbr
40024,6398,Fairy Tail,conflated-series,ten separately-numbered Fairy Tail manga share one Series,Fairy Tail - 100 Years Quest v01 (2019) (Digital) (LuCaZ).cbz
110851,6410,Faith,conflated-series,"the 2016 Faith mini and the ongoing share this Series, both numbered from #1",Faith Vol. 02 - California Scheming (2016) (digital) (Son of Ultron-Empire).cbr
9765,6713,Firefly,conflated-series,the 2018 Firefly and the 2021 Return to Earth That Was share this Series,Firefly Vol. 08 - Return to Earth That Was v01 (2021) (digital) (Knight Ripper-Empire).cbr
44563,6752,Fist Of The North Star,conflated-series,thirteen omnibus volumes and ten original volumes share this Series with incompatible numbering,Fist of the North Star v01 (2021) (Omnibus Edition) (Digital) (LuCaZ).cbz
13350,6922,Frank Miller's Sin City,conflated-series,"seven Sin City stories share one Series, and gcd gives several of them a range starting at #1","Frank Miller's Sin City Vol. 02 - A Dame to Kill For (2021, 4th edition) (digital) (Son of Ultron-Empire).cbr"
109087,6984,Friday (2020-2024),conflated-series,Friday Books 01-02 exist in both Series 6983 and 6984 as separate copies,"Friday, Book 01 - The First Day of Christmas (2021) (digital) (DrVink-DCP) (RC).cbz"
116706,6997,Friendly Neighborhood Spider-Man,conflated-series,the 2005 and 2019 Friendly Neighborhood Spider-Man runs share this Series,03 Friendly Neighborhood Spider-Man Vol. 02 - Mystery Date (2007) (Digital) (Kileko-Empire).cbz
34556,7601,Glitterbomb,conflated-series,"two Glitterbomb minis share this Series, both numbered from #1",Glitterbomb Vol. 02 - The Fame Game (2018) (Digital) (DR & Quinch-Empire).cbr
10798,7823,Grace Randolph's Supurbia,conflated-series,Vol. 01 collects the mini while cv gives Vols 2-4 the ongoing's #1-12,Grace Randolph's Supurbia Vol. 01 - Power Couples (2012) (Digital) (DR & Quinch-Empire).cbr
115991,8040,Grimm Fairy Tales presents Robyn Hood,conflated-series,the 2013 K6 Vol 1-2 and the 2015 Riot Girls/Monsters in the Dark are different runs given the same locg 1-6 and 7-12,Grimm Fairy Tales - Robyn Hood Vol 1 TPB (2013) (Digital) (K6-Empire).cbr
110394,8190,Gun Honey,conflated-series,"two Gun Honey minis share this Series, both numbered from #1",02 Gun Honey v02 - Blood for Blood (2023) (Digital) (XRA-Empire).cbz
10023,8262,Hacktivist,conflated-series,two separately-numbered Hacktivist minis share this Series,Hacktivist Vol. 02 (2016) (digital) (Son of Ultron-Empire).cbr
34848,8441,Hawaiian Dick,conflated-series,"four Hawaiian Dick minis share this Series, each numbered from #1",Hawaiian Dick Vol. 02 - The Last Resort (2006) (Digital) (XRA-Empire).cbz
108730,8726,Helheim,conflated-series,"two Helheim minis share this Series, both numbered from #1",Helheim Vol. 02 - Brides of Helheim (2015) (digital) (Son of Ultron-Empire).cbr
15100,8737,Hellboy,conflated-series,the TPB ladder and the omnibus ladder are two numberings over the same minis,Hellboy Omnibus Vol. 01 - Seed of Destruction (2018) (digital) (F) (Son of Ultron-Empire).cbr
108742,8973,Hopeless Savages,conflated-series,"three Hopeless Savages minis share this Series, each numbered from #1",Hopeless Savages Vol. 02 - Ground Zero (2004) (Digital) (Relic-Empire).cbz
66313,9479,Injustice: Gods Among Us,conflated-series,"five Injustice years share this Series, each numbered from #1",Injustice - Gods Among Us - Year 02 Vol. 01 (2014) (Digital) (Zone-Empire).cbr
15075,9693,Itty Bitty Hellboy,conflated-series,"two Itty Bitty Hellboy minis share this Series, both numbered from #1",Itty Bitty Hellboy Vol. 02 - The Search for the Were-Jaguar! (2016) (digital) (Son of Ultron-Empire).cbr
104714,10089,Jupiter's Circle,conflated-series,"two Jupiter's Circle minis share this Series, both numbered from #1",Jupiter's Circle Vol. 02 (2016) (Digital) (Zone-Empire).cbr
30926,10333,Kill Shakespeare,conflated-series,the later Kill Shakespeare minis each restart at #1,Kill Shakespeare Vol. 03 - The Tide of Blood (2013) (digital) (Minutemen-Slayer).cbr
13820,10371,King Conan,conflated-series,"two King Conan minis share this Series, both numbered from #1",King Conan Vol. 03 - The Hour of the Dragon (2014) (digital) (Son of Ultron-Empire).cbr
110436,10747,Life Is Strange,conflated-series,the later Life Is Strange minis each restart at #1,Life Is Strange Vol. 04 - Partners in Time - Tracks (2021) (Digital-Empire).cbz
14960,10839,Lobster Johnson,conflated-series,"four Lobster Johnson minis share this Series, each numbered from #1",Lobster Johnson Vol. 01 - The Iron Prometheus (2008) (Digital) (Zone-Empire).cbr
30934,10845,Locke and Key,conflated-series,"six Locke & Key minis share this Series, each numbered from #1",Locke & Key Vol. 02 - Head Games (2009) (digital) (The Magicians-Empire).cbr
30979,11193,Magic - The Gathering,conflated-series,"four Magic - The Gathering ladders share this Series, each numbered from #1",Magic - The Gathering Vol. 02 - The Spell Thief (2012) (digital) (Minutemern-Slayer).cbr
21353,13609,Pathfinder,conflated-series,"five Pathfinder minis share this Series, each numbered from #1",Pathfinder Vol. 03 - City of Secrets (2015) (Digital) (DR & Quinch-Empire).cbr
24715,13639,Peanuts,conflated-series,the strip-collection ladder and the comic-book ladder both number from Vol. 01,The Complete Peanuts Vol. 01 - 1950-1952 (2004) (Digital) (Son of Ultron-Empire).cbr
13167,13888,Plants vs. Zombies,conflated-series,"23 Plants vs. Zombies minis share this Series, each numbered from #1",Plants vs. Zombies Vol. 02 - Timepocalypse (2015) (digital) (The Magicians-Empire).cbr
118003,13949,Popeye,conflated-series,two Popeye strip ladders both number from v01,Popeye v01 - I Yam What I Yam! (Fantagraphics 2006) (300DPI) (c2c) (bizon&MickRC-SZ).cbz
10617,14554,Regular Show,conflated-series,the Salem v01-v10 ladder and the Empire Vol. 01-09 ladder both start at #1,Regular Show Vol. 01 (2014) (Digital-Empire).cbr
33945,15231,Secret,conflated-series,two unrelated Secret ladders share this Series,Secret Vol. 01 - Never Get Caught (2014) (DR & Quinch-Empire).cbr
45288,15318,Seeds of Anxiety+,conflated-series,the Seeds of Anxiety and Seeds of Anxiety+ ladders both number from v01,Seeds of Anxiety+ v01.cbr
43879,15458,Shaman King,conflated-series,six Shaman King ladders each number from v01,Shaman King - Flowers v01 (2020) (Digital) (danke-Empire).cbz
21652,15521,Sheena: Queen of the Jungle,conflated-series,two Sheena ladders each contribute a v02 numbered 6-10,Sheena - Queen of the Jungle v02 - Cenozoic (2023) (Digital) (DR & Quinch-Empire).cbr
93980,15624,Silk,conflated-series,"three Silk minis share this Series, each numbered from #1",Silk v02 - Age of the Witch (2022) (Digital) (Shan-Empire).cbz
32675,15754,Skyward,conflated-series,two Skyward ladders each contribute a Vol. 01,Skyward Vol. 01 - My Low-G Life (2018) (Digital) (XRA-Empire).cbr
10741,15920,Sons of Anarchy,conflated-series,two Sons of Anarchy ladders each contribute a Vol. 01,Sons of Anarchy - Redwood Original Vol. 01 (2017) (digital) (Son of Ultron-Empire).cbr
103801,16693,Star Wars: Doctor Aphra,conflated-series,the 2016 and the 2020 Doctor Aphra ladders share this Series,Doctor Aphra Vol. 06 - Unspeakable Rebel Superweapon (2019) (Digital) (Kileko-Empire).cbz
103902,16597,Star Wars: The High Republic,conflated-series,the Edge of Balance manga ladder and the 2021 comic run share this Series,Star Wars - The High Republic Edge of Balance v01 (2021) (Digital) (Kileko-Empire).cbz
79978,16888,Strange Academy,conflated-series,the Finals mini is numbered from #1 inside this Series,Strange Academy Vol. 04 - Finals (2023) (Digital-Empire).cbr
13962,16926,Stranger Things,conflated-series,"several Stranger Things minis share this Series, each numbered from #1",Stranger Things Vol. 02 - SIX (2019) (digital) (Son of Ultron-Empire).cbr
19642,17094,Super Sons,conflated-series,the 2019 YA graphic-novel trilogy shares this Series with the 2017 comic run,Super Sons Vol. 01 - The Polarshield Project (2019) (digital) (Son of Ultron-Empire).cbr
32685,17660,Tech Jacket,conflated-series,the 2002 run and the 2014 relaunch share this Series,Tech Jacket Vol. 02 - Lift Off (2014) (Digital TPB) (DR & Quinch-Empire).cbr
95801,881,The Amazing Spider-Man Epic Collection: Ghosts of the Past,conflated-series,"Series ""Epic Collection: Ghosts of the Past"" holds Vol. 05 - The Secret of the Petrified Tablet, while Ghosts of the Past (Vol. 15) sits in Series 871",Amazing Spider-Man Epic Collection Vol. 05 - The Secret of the Petrified Tablet (2020) (Digital) (Zone-Empire).cbr
62747,2241,The Children's Crusade,conflated-series,Knightquest volumes sit in the Children's Crusade Series,04 Batman - Knightquest - The Crusade Vol. 01 (2018) (digital) (Son of Ultron-Empire).cbr
32957,19113,The Mice Templar,conflated-series,"the v1, v2, v4 and v5 Mice Templar runs share this Series",02 The Mice Templar v2 - Destiny Vol. 01 (2009) (Digital) (XRA-Empire).cbr
113384,19873,The Unwritten,conflated-series,the 2009 run and the Apocalypse relaunch share this Series,The Unwritten Vol. 10 - War Stories (2014) (Digital) (EJGriffin-Empire).cbz
46946,4824,Ultimate Daredevil and Elektra,conflated-series,Daredevil & Elektra (2022) volumes sit in the Ultimate Daredevil and Elektra Series,02 Daredevil & Elektra by Chip Zdarsky Vol. 02 - The Red Fist Saga Part 02 (2023) (Digital-Empire).cbr
40494,22785,Zero,conflated-series,a manga ZERO and the 2013 Image Zero share this Series,ZERO vol1.cbr
5672,22811,Zombie Tramp,conflated-series,the 2013 run and the 2014 relaunch share this Series,Zombie Tramp Vol. 01 (2013) (Digital) (Monafekk-Empire).cbr
52045,62,2099: World of Tomorrow,label-ambiguous,40-44 pp files named 'v1 001'..'v1 008' are single issues carrying a collection format,2099 - World of Tomorrow v1 001 (1996).cbr
14000,64102,Adventures into the Unknown,label-ambiguous,items 14000 and 22474 are duplicate copies of Archives v01,Adventures into the Unknown Archives Vol. 01 (2012) (digital) (The Magicians-Empire).cbr
17161,501,Aftermath Superman,label-ambiguous,"a 23 pp file named ""Aftermath Superman v2 220"" carries a collection format",Aftermath Superman v2 220.cbr
117942,536,Agents of Atlas,label-ambiguous,identical file name and page count to item 98247 - a duplicate copy of the same edition,Agents of Atlas Vol. 01 - Dark Reign (2009) (Digital) (Shadowcat-Empire).cbz
72688,66557,All New Collectors' Edition,label-ambiguous,items 63917 and 72688 are duplicate copies of C-54 - Superman vs. Wonder Woman,"All-New Collectors' Edition v7 C-54 - Superman vs. Wonder Woman (1977, 2024) (Facsimile Edition) (digital) (Son of Ultron-Empire).cbr"
88663,792,Alpha Flight,label-ambiguous,"all 31 ""collections"" of this Series are 23-46 pp single issues, and ten of them are duplicate pairs (52342/88663, 52343/88664, 52344/88665, 52345/88666, 52346/88719, 52347/88720, 52349/88722, 52350/88723, 52351/88724, 52353/88832, 52354/88833, 52355/88834, 52356/88835, 52357/88836)",002 Alpha Flight v2 002 (1997) (Zeus-TCR).cbr
88909,790,Alpha Flight,label-ambiguous,"nine 23-46 pp single issues of the 1997 v2 carry a collection format inside the 1983 Series, several of them duplicate pairs",001 Alpha Flight v2 018 (1999) (NastyNat).cbr
111848,803,Alpi: The Soul Sender,label-ambiguous,same file name and page count as item 46250 - a duplicate copy of Alpi v01,Alpi - The Soul Sender v01 (2023) (Titan) (digital) (DrVink-DCP).cbz
118417,64133,Amazing Spider-Man (1963),label-ambiguous,items 94755 and 118417 are duplicate copies of Vol. 06 - Absolute Carnage,The Amazing Spider-Man v06 - Absolute Carnage (2020) (Digital) (Zone-Empire).cbr
118237,863,Amazing Spider-Man - Worldwide,label-ambiguous,"items 118237 / 94744, 93950 / 94748 and 93951 / 94749 are duplicate copies of the same three editions",01 Amazing Spider-Man - Worldwide Vol. 04 (2017) (Digital) (Kileko-Empire).cbr
35623,18368,American Entertainment: The Darkness Prelude Special,label-ambiguous,"The Darkness v2 Prelude is a single issue, not a collection",The Darkness v2 Prelude (2003).cbr
6651,951,American Mythology Monsters,label-ambiguous,six 29-32 pp single issues from two different runs carry a collection format,American Mythology Monsters v2 001 (2021) (digital) (Son of Ultron-Empire).cbr
30289,1028,Angel: After the Fall,label-ambiguous,"every volume is held twice (13083/30289, 13084/30290, 13085/30291, 13086/30292, 13087/30293, 13088/30294)",01 Angel - After the Fall Vol. 01 (2008) (Digital-HD) (Kileko-Empire).cbz
33051,1144,Aphrodite V,label-ambiguous,Aphrodite V 001-003 are 30-35 pp single issues carrying a collection format,Aphrodite V 001 (2018) (Digital) (Zone-Empire).cbr
16852,64158,Aquaman (1994),label-ambiguous,"Aquaman v5 026 and v5 1000000 are single issues, not collections",013 Aquaman v5 026 (1996) (Digital) (BlackManta-Empire).cbr
11651,1202,Archard's Agents,label-ambiguous,Archard's Agents v1/v2/v3 001 are 16-33 pp single issues carrying a collection format,Archard's Agents v1 001.cbr
118909,1355,Asgardians of the Galaxy,label-ambiguous,items 96785 and 118909 are the same file name and page count - duplicate copies,Asgardians of the Galaxy Vol. 02 - War of the Realms (2019) (Digital) (Zone-Empire).cbr
109191,1397,Asterix,label-ambiguous,104928/109191 and 104929/109192 are the same books under two names (Book NN and Omnibus Book NN),Asterix Omnibus Book 01 (2020) (Digital) (Bean-Empire).cbz
118640,64189,Avengers,label-ambiguous,items 47330 and 118640 are duplicate copies of Vol. 03 - Blood Hunt,Avengers by Jed Mackay Vol. 03 - Blood Hunt (2025) (Digital) (Shan-Empire).cbz
116541,64185,Avengers (1963),label-ambiguous,"the Avengers v3 041-055 items are single issues, not collections",Avengers v3 041 (2001) (Digital) (AnHeroGold-Empire).cbz
117740,64185,Avengers (1963),label-ambiguous,items 52882 and 117740 are duplicate copies of Vol. 03 - Prelude to Infinity,01 Avengers Vol. 03 - Prelude to Infinity (2013) (Digital) (F) (Zone-Empire).cbr
81960,1543,Avengers - Solo,label-ambiguous,items 53971 and 81960 are the same file name and page count - duplicate copies,Avengers - Solo (2012) (TPB) (digital-Empire).cbz
118076,1689,Avengers - Time Runs Out,label-ambiguous,"every Time Runs Out volume is held twice (52894/118076, 52895/118077, 52896/118078, 52897/118079)",Avengers - Time Runs Out Vol. 01 (2015) (Digital) (F) (Zone-Empire).cbr
53960,1634,Avengers West Coast Epic Collection: How The West Was Won,label-ambiguous,"items 53277, 53960 and 53286 are three copies of the same 497 pp book",Avengers West Coast Epic Collection Vol. 01 - How The West Was Won (2018) (digital-Empire).cbr
58965,1868,Batgirl,label-ambiguous,Batgirl v4 000 is a 23 pp single issue carrying a collection format,Batgirl v4 000 (2012) (Digital) (Nahga-Empire).cbr
61078,64223,Batman (1940),label-ambiguous,"Batman 501-507 are single issues, not collections",Batman 501 (1993) (digital-TPB).cbr
62497,2089,Batman Black and White,label-ambiguous,"items 61739/62497, 61740/62498, 61741/62499 and 61742/62500 are duplicate copies",Batman - Black and White v01 (2007) (Digital) (Zone-Empire).cbr
62869,2165,Batman in the Brave and the Bold - The Bronze Age,label-ambiguous,items 57997 and 62869 are duplicate copies of Vol. 01,Batman in the Brave and the Bold - The Bronze Age Vol. 01 (2017) (digital) (Son of Ultron-Empire).cbr
75119,57395,Batman/Superman,label-ambiguous,"Batman - Superman 033, 034 and Annual 003 are single issues, not collections","Batman - Superman 033 (2017, originally published in TPB v6) (Digital) (Zone-Empire).cbr"
62732,2229,Batman: Gates of Gotham,label-ambiguous,items 63945 and 62732 are duplicate copies of the same book,Batman - Gates of Gotham - The Deluxe Edition (2018) (digital) (Son of Ultron-Empire).cbr
62859,2233,Batman: Gotham Knights,label-ambiguous,items 62735 and 62859 are duplicate copies of the Gotham by Gaslight Deluxe Edition,Batman Gotham by Gaslight the Deluxe Edition (2020) (digital) (Li'l Ultron-Empire).cbr
