"Group","Name","Description","Kinds","Filter (sketch)","Titles (approx)","Strategy","Signature","Notes"
"Animation Hall of Fame","[adult swim]","Late-night adult animation","TV","path~{Aqua Teen,Sealab,Metalocalypse,Venture Bros,Samurai Jack,Rick and Morty,Harley Quinn,Off the Air,Space Dandy}","~900","EpisodeRoundRobin","★",""
"Animation Hall of Fame","Animation for Grown-Ups","Not for kids","Movies+TV","genre=Animation AND (mpaa>=R OR intensity>=60)","~","WeightedShuffle","",""
"Kids & Family","Nickelodeon","'90s-2000s Nicktoons & live-action","TV","path~{SpongeBob,Ren & Stimpy,Rugrats,Wild Thornberrys,CatDog,Angry Beavers,Aaahh Real Monsters,Invader Zim,KaBlam,All That,Are You Afraid of the Dark,Pete & Pete,Blues Clues,Salute Your Shorts,Legends of the Hidden Temple}","~1900","EpisodeRoundRobin","★","Network field empty; built from show folders"
"Kids & Family","Preschool Corner","Gentlest TV for the littlest","TV","path~{Mister Rogers,Sesame Street,Bluey,Peppa Pig,Blues Clues}","~1600","EpisodeRoundRobin","★",""
"Kids & Family","Saturday Morning Cartoons","Classic toon energy","TV+Movies","genre=Animation (series) AND mpaa<=PG","~190 series","EpisodeRoundRobin","",""
"Kids & Family","Family Movie Night","Something for everyone","Movies+TV","mpaa<=PG-13 AND occasion=family-night","587","WeightedShuffle","",""
"Kids & Family","Read & Learn","Educational classics","TV","path~{Reading Rainbow,Magic School Bus,Schoolhouse Rock,Ada Twist,Hilda}","~300","EpisodeRoundRobin","",""
"Kids & Family","Sing-Along Musicals","Songs for all ages","Movies+TV","genre=Musical AND mpaa<=PG","~","WeightedShuffle","",""
"Anime","Anime Central","All anime, all day","TV+Movies","language=ja AND genre=Animation","~250","EpisodeRoundRobin","",""
"Anime","Studio Ghibli","The Ghibli canon","Movies","franchise=studio ghibli OR path~Studio Ghibli","~20","Marathon","★",""
"Anime","Pokemon","Gotta catch 'em all","TV+Movies","path~Pok%mon","1046","EpisodeRoundRobin","★","1,046 streamable files"
"Anime","Dragon Ball","Saiyan saga","TV+Movies","path~Dragon Ball","794","Marathon","",""
"Anime","Naruto","Believe it","TV","path~Naruto","220","EpisodeRoundRobin","",""
"Anime","Modern Anime","Today's hits","TV+Movies","path~{Demon Slayer,Jujutsu Kaisen,Attack on Titan,One Punch Man,Re - Zero,Steins,Chainsaw}","~250","WeightedShuffle","",""
"Anime","Classic Anime","The canon","TV+Movies","path~{Ranma,Cowboy Bebop,Trigun,Evangelion,Samurai Champloo,Ghost in the Shell,Fullmetal Alchemist,Monster,Death Note}","~600","WeightedShuffle","★",""
"Anime","Anime Films","Feature-length anime","Movies","anime AND movie","121","WeightedShuffle","",""
"The TV Vault","Cult TV","Riff-worthy and strange","TV","path~{MST3K,Twilight Zone,Doctor Who,Lexx,Are You Afraid of the Dark}","~700","EpisodeRoundRobin","★",""
"The TV Vault","Classic Sci-Fi TV","Final frontiers","TV","path~{Star Trek,Battlestar Galactica,Farscape,Buck Rogers,Quantum Leap}","~940","EpisodeRoundRobin","★",""
"The TV Vault","Prestige Drama","Appointment television","TV","path~{Game of Thrones,Breaking Bad,Lost,Twin Peaks,The Boys}","~380","EpisodeRoundRobin","",""
"The TV Vault","Classic Sitcoms","Comfort comedy","TV","path~{Seinfeld,All in the Family,Community,Arrested Development,Archer}","~640","EpisodeRoundRobin","",""
"The TV Vault","Science & How-To","How the world works","TV","path~{How It's Made,MythBusters,Penn & Teller}","~700","EpisodeRoundRobin","",""
"The TV Vault","The Muppets & Jim Henson","Felt and felt deeply","TV+Movies","path~{Jim Henson,Muppet}","~330","EpisodeRoundRobin","",""
"International","World Cinema","Beyond Hollywood","Movies+TV","NOT language=en","~1538","WeightedShuffle","",""
"International","French Cinema","La Nouvelle Vague & beyond","Movies+TV","language=fr","315","WeightedShuffle","",""
"International","German Cinema","Expressionism to New German","Movies+TV","language=de","114","WeightedShuffle","",""
"International","Italian Cinema","Neorealism to giallo","Movies+TV","language=it","126","WeightedShuffle","",""
"International","Spanish-Language","Films in Spanish","Movies+TV","language=es","66","WeightedShuffle","",""
"Spotlights (Rotating)","Director's Chair","A featured filmmaker each week","Movies","rotate weekly: Lumet, De Palma, Nolan, Raimi, Gilliam, Zemeckis, P.Jackson, Welles, Corman, Altman, Cameron, Fincher, PTA, Argento, Jarmusch, Coppola, Fellini, Ford, Wilder, Lean, Godard, Truffaut, Ozu, Miyazaki","~24 dirs","WeightedShuffle","",""
"Spotlights (Rotating)","Marquee Stars","A featured actor each week","Movies+TV","rotate weekly: Depp, Dafoe, Willis, R.Williams, Buscemi, Nicholson, Cruise, Connery, Caine, Pitt, Reeves, Fishburne, Lee, Price","~25 actors","WeightedShuffle","",""
"Spotlights (Rotating)","Franchise of the Week","A featured franchise each week","Movies+TV","rotate weekly: MCU, Star Wars, Trek, Bond, X-Men, Alien, Jurassic, Rocky, Indiana Jones, Mad Max, Planet of the Apes...","~30","Marathon","",""
"Spotlights (Rotating)","Saga of the Month","A big universe, all month","Movies","rotate monthly: Star Wars, LOTR, Harry Potter, Star Trek, MCU","6","Marathon","",""
"Seasonal","Spooky Season","Halloween horror","Movies+TV","genre=Horror OR occasion=halloween","~945","WeightedShuffle","","~Oct"
"Seasonal","Holiday Cheer","Christmas & winter holidays","Movies+TV","occasion=christmas,holiday","~","WeightedShuffle","","~Dec-early Jan"
"Seasonal","Summer Blockbusters","Big summer fun","Movies","energy>=70 AND popularity high AND genre=Action,Adventure","~","WeightedShuffle","","~late May-early Sep"
"Seasonal","Sweetheart Cinema","Valentine's romance","Movies+TV","genre=Romance OR occasion=date-night","~1075","WeightedShuffle","","~Feb"
"For You (per-user)","Unseen by <user>","What you haven't watched","Movies+TV","unwatchedByUser","per-user","WeightedShuffle","",""
"For You (per-user)","<user>'s Watchlist","Your want-to-watch on shuffle","Movies+TV","wantedByUser","per-user","WeightedShuffle","",""
