# Case Closed (S3646) — 102 volumes; 35 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c631-c1091 over 35 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 3646 chapter ranges read from each archive's own page names; the ladder tiles (c631-c1091 over 35 volumes)
u 41825 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41849 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41850 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41851 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41852 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41853 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41854 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41855 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41856 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41857 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41858 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41859 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41860 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41861 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41862 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41863 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41864 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41865 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41866 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41867 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41868 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41869 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41870 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41871 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41872 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41873 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41874 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41875 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41876 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41877 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41878 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41879 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41880 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41881 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41882 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41883 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41884 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41885 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41886 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41887 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41888 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41889 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41890 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41891 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41892 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41893 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41894 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41895 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41896 631 641 0.97 | Case Closed v61 | the archive names the chapter on every page and this volume holds 11 of them, c631-c641
S 41897 642 652 0.97 | Case Closed v62 | the archive names the chapter on every page and this volume holds 11 of them, c642-c652
S 41898 653 663 0.97 | Case Closed v63 | the archive names the chapter on every page and this volume holds 11 of them, c653-c663
S 41899 664 674 0.97 | Case Closed v64 | the archive names the chapter on every page and this volume holds 11 of them, c664-c674
S 41900 675 685 0.97 | Case Closed v65 | the archive names the chapter on every page and this volume holds 11 of them, c675-c685
S 41901 686 696 0.97 | Case Closed v66 | the archive names the chapter on every page and this volume holds 11 of them, c686-c696
S 41902 697 707 0.97 | Case Closed v67 | the archive names the chapter on every page and this volume holds 11 of them, c697-c707
S 41903 708 718 0.97 | Case Closed v68 | the archive names the chapter on every page and this volume holds 11 of them, c708-c718
S 41904 719 729 0.97 | Case Closed v69 | the archive names the chapter on every page and this volume holds 11 of them, c719-c729
S 41905 730 740 0.97 | Case Closed v70 | the archive names the chapter on every page and this volume holds 11 of them, c730-c740
S 41906 741 751 0.97 | Case Closed v71 | the archive names the chapter on every page and this volume holds 11 of them, c741-c751
S 41907 752 762 0.97 | Case Closed v72 | the archive names the chapter on every page and this volume holds 11 of them, c752-c762
u 41908 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41909 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41910 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41911 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41912 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41913 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 41914 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 41915 960 970 0.97 | Case Closed v91 | the archive names the chapter on every page and this volume holds 11 of them, c960-c970
S 41916 971 981 0.97 | Case Closed v92 | the archive names the chapter on every page and this volume holds 11 of them, c971-c981
S 41917 982 992 0.97 | Case Closed v93 | the archive names the chapter on every page and this volume holds 11 of them, c982-c992
S 41918 993 1003 0.97 | Case Closed v94 | the archive names the chapter on every page and this volume holds 10 of them, c993-c1003
S 41919 1004 1014 0.97 | Case Closed v95 | the archive names the chapter on every page and this volume holds 11 of them, c1004-c1014
S 41920 1015 1025 0.97 | Case Closed v96 | the archive names the chapter on every page and this volume holds 11 of them, c1015-c1025
S 41921 1026 1036 0.97 | Case Closed v97 | the archive names the chapter on every page and this volume holds 11 of them, c1026-c1036
S 41922 1037 1047 0.97 | Case Closed v98 | the archive names the chapter on every page and this volume holds 11 of them, c1037-c1047
S 41923 1048 1058 0.97 | Case Closed v99 | the archive names the chapter on every page and this volume holds 11 of them, c1048-c1058
