# Lone Wolf and Cub (S10882) — 56 volumes; 28 state their own chapters.
#
# Every page inside these archives is named with the chapter it belongs to, so each
# volume states its contents exactly. The ranges below are CHAPTER numbers read from
# the archives themselves, and they form a ladder: c1-c142 over 28 volumes.
# Volumes whose rip names no chapter are refused: a volume number is not a chapter
# number and must not stand in for one (PLAN.md §4.2).

N 10882 chapter ranges read from each archive's own page names; the ladder tiles (c1-c142 over 28 volumes)
u 42651 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42676 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42677 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
u 42678 the rip names no chapter on its pages, so the chapter range cannot be determined; a volume number is not a chapter number
S 45891 1 9 0.97 | Lone Wolf and Cub v01 - The Assassin's Road | the archive names the chapter on every page and this volume holds 9 of them, c1-c9
S 45892 10 14 0.97 | Lone Wolf and Cub v02 - The Gateless Barrier | the archive names the chapter on every page and this volume holds 5 of them, c10-c14
S 45893 15 19 0.97 | Lone Wolf and Cub v03 - The Flute of the Fallen Tiger | the archive names the chapter on every page and this volume holds 5 of them, c15-c19
S 45894 20 23 0.97 | Lone Wolf and Cub v04 - The Bell Warden | the archive names the chapter on every page and this volume holds 4 of them, c20-c23
S 45895 24 28 0.97 | Lone Wolf and Cub v05 - Black Wind | the archive names the chapter on every page and this volume holds 5 of them, c24-c28
S 45896 29 33 0.97 | Lone Wolf and Cub v06 - Lanterns for the Dead | the archive names the chapter on every page and this volume holds 5 of them, c29-c33
S 45897 34 38 0.97 | Lone Wolf and Cub v07 - Cloud Dragon, Wind Tiger | the archive names the chapter on every page and this volume holds 5 of them, c34-c38
S 45898 39 44 0.97 | Lone Wolf and Cub v08 - Chains of Death | the archive names the chapter on every page and this volume holds 6 of them, c39-c44
S 45899 45 49 0.97 | Lone Wolf and Cub v09 - Echo of the Assassin | the archive names the chapter on every page and this volume holds 5 of them, c45-c49
S 45900 50 54 0.97 | Lone Wolf and Cub v10 - Hostage Child | the archive names the chapter on every page and this volume holds 5 of them, c50-c54
S 45901 55 58 0.97 | Lone Wolf and Cub v11 - Talisman of Hades | the archive names the chapter on every page and this volume holds 4 of them, c55-c58
S 45902 59 63 0.97 | Lone Wolf and Cub v12 - Shattered Stones | the archive names the chapter on every page and this volume holds 5 of them, c59-c63
S 45903 64 68 0.97 | Lone Wolf and Cub v13 - The Moon in the East, The Sun in the West | the archive names the chapter on every page and this volume holds 5 of them, c64-c68
S 45904 69 72 0.97 | Lone Wolf and Cub v14 - Day of the Demons | the archive names the chapter on every page and this volume holds 4 of them, c69-c72
S 45905 73 77 0.97 | Lone Wolf and Cub v15 - Brothers of the Grass | the archive names the chapter on every page and this volume holds 5 of them, c73-c77
S 45906 78 82 0.97 | Lone Wolf and Cub v16 - Gateway into Winter | the archive names the chapter on every page and this volume holds 5 of them, c78-c82
S 45907 83 87 0.97 | Lone Wolf and Cub v17 - The Will of the Fang | the archive names the chapter on every page and this volume holds 5 of them, c83-c87
S 45908 88 92 0.97 | Lone Wolf and Cub v18 - Twilight of the Kurokuwa | the archive names the chapter on every page and this volume holds 5 of them, c88-c92
S 45909 93 97 0.97 | Lone Wolf and Cub v19 - The Moon in Our Hearts | the archive names the chapter on every page and this volume holds 5 of them, c93-c97
S 45910 98 102 0.97 | Lone Wolf and Cub v20 - A Taste of Poison | the archive names the chapter on every page and this volume holds 5 of them, c98-c102
S 45911 103 107 0.97 | Lone Wolf and Cub v21 - Fragrance of Death | the archive names the chapter on every page and this volume holds 5 of them, c103-c107
S 45912 108 111 0.97 | Lone Wolf and Cub v22 - Heaven and Earth | the archive names the chapter on every page and this volume holds 4 of them, c108-c111
S 45913 112 116 0.97 | Lone Wolf and Cub v23 - Tears of Ice | the archive names the chapter on every page and this volume holds 5 of them, c112-c116
S 45914 117 121 0.97 | Lone Wolf and Cub v24 - In These Small Hands | the archive names the chapter on every page and this volume holds 5 of them, c117-c121
S 45915 122 127 0.97 | Lone Wolf and Cub v25 - Perhaps in Death | the archive names the chapter on every page and this volume holds 6 of them, c122-c127
S 45916 128 132 0.97 | Lone Wolf and Cub v26 - Struggle in the Dark | the archive names the chapter on every page and this volume holds 5 of them, c128-c132
S 45917 133 137 0.97 | Lone Wolf and Cub v27 - Battle's Eve | the archive names the chapter on every page and this volume holds 5 of them, c133-c137
S 45918 138 142 0.97 | Lone Wolf and Cub v28 - The Lotus Throne | the archive names the chapter on every page and this volume holds 5 of them, c138-c142
