# Judge Dredd: The Complete Case Files (S66465) — Rebellion's chronological reprint of Dredd from 2000 AD progs and
# the Megazine. 44 collected editions (v01-v40, v14.5, and second rips of v02/v04/v05) and 8 "issue" files.
#
# Read for the containment gap, 2026-09-25 (G-002). What the shelf's issue files actually ARE: every one of them is
# itself a Complete Case Files VOLUME, not a prog — "Judge Dredd - The Complete Case Files 12 ... 17" (1497-1502,
# 0pp unreadable rips, stored as #12-17) and "The Complete Case Files 01 (2006)" / "03 (2006)" (106368, 340pp,
# stored #1; 106370, 242pp, stored #3). So this shelf's only numbering is the VOLUME ordinal, while the case files
# collect 2000 AD progs (and Megazine issues), a numbering that lives on the 2000 AD / Judge Dredd shelves, not here.
# A range in prog numbers would count nothing on this shelf, and a range #N-N in volume ordinals is the §6.2 / §14.5
# ORDINAL shape: it would nest one rip of a book under another rip of the same book. Every edition is refused.

N 66465 no prog files on this shelf: its 8 "issues" are other rips of Case Files volumes (v01, v03, v12-v17) stored under their volume ordinals; the books collect 2000 AD progs, a numbering this shelf does not hold
u 4433 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4434 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4435 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4436 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4437 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4438 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4439 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4440 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4441 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4442 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4443 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4444 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4445 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4446 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4447 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4448 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4449 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4450 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4451 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4452 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4453 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4454 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 4455 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 106369 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 106371 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
u 106372 collects 2000 AD progs (and Megazine issues), a numbering this shelf does not hold; the shelf's only numbers are Case Files volume ordinals, and #N-N on the volume ordinal would nest one rip of a book under another rip of itself
F 106368 issue-numbers-wrong | "Judge Dredd - The Complete Case Files 01 (2006)" (340pp) and 106370 "... 03 (2006)" (242pp) are Case Files VOLUMES stored as issue #1 / #3 with IsCollection=0; 1497-1502 ("Complete Case Files 12-17", 0pp) are likewise volumes stored as issues #12-17
F 106369 duplicate-edition | "Complete Case Files 02/04/05 (2006)" (106369, 106371, 106372) and 106370 (03) are second rips of v02 (4416), v04 (4418), v05 (4419) and v03 (4417): identical page counts, and 106370/4417 identical size
