itemId,seriesId,flag,detail,source
29631,94626,span-retracted,withdrew the model's own #?-?: a 100pp Heavy Metal magazine issue (v4 #1); the span #1-57 would nest 11 files of its own shelf,line 174
29632,94626,span-retracted,withdrew the model's own #?-?: a 101pp Heavy Metal magazine issue (v4 #2); the span #1-12 would nest 11 files of its own shelf,line 175
29633,94626,span-retracted,withdrew the model's own #?-?: a 98pp Heavy Metal magazine issue (v4 #3); the span #1-13 would nest 11 files of its own shelf,line 176
29643,94627,span-retracted,withdrew the model's own #?-?: a 99pp Heavy Metal magazine issue (v5 #1); the span #1-57 would nest 11 files of its own shelf,line 177
29644,94627,span-retracted,withdrew the model's own #?-?: a 100pp Heavy Metal magazine issue (v5 #2); the span #1-12 would nest 11 files of its own shelf,line 178
29645,94627,span-retracted,withdrew the model's own #?-?: a 92pp Heavy Metal magazine issue (v5 #3); the span #1-13 would nest 11 files of its own shelf,line 179
29655,94628,span-retracted,withdrew the model's own #?-?: a 95pp Heavy Metal magazine issue (v6 #1); the span #1-57 would nest 11 files of its own shelf,line 180
29656,94628,span-retracted,withdrew the model's own #?-?: a 97pp Heavy Metal magazine issue (v6 #2); the span #1-12 would nest 11 files of its own shelf,line 181
29657,94628,span-retracted,withdrew the model's own #?-?: a 94pp Heavy Metal magazine issue (v6 #3); the span #1-13 would nest 11 files of its own shelf,line 182
29667,94629,span-retracted,withdrew the model's own #?-?: a 102pp Heavy Metal magazine issue (v7 #1); the span #1-57 would nest 11 files of its own shelf,line 183
29668,94629,span-retracted,withdrew the model's own #?-?: a 101pp Heavy Metal magazine issue (v7 #2); the span #1-12 would nest 11 files of its own shelf,line 184
29669,94629,span-retracted,withdrew the model's own #?-?: a 102pp Heavy Metal magazine issue (v7 #3); the span #1-13 would nest 11 files of its own shelf,line 185
29679,94630,span-retracted,withdrew the model's own #?-?: a 97pp Heavy Metal magazine issue (v8 #1); the span #1-57 would nest 12 files of its own shelf,line 186
29680,94630,span-retracted,withdrew the model's own #?-?: a 100pp Heavy Metal magazine issue (v8 #2); the span #1-12 would nest 11 files of its own shelf,line 187
29681,94630,span-retracted,withdrew the model's own #?-?: a 96pp Heavy Metal magazine issue (v8 #3); the span #1-13 would nest 12 files of its own shelf,line 188
29693,94631,span-retracted,withdrew the model's own #?-?: a 100pp Heavy Metal magazine issue (v9 #2); the span #1-12 would nest 8 files of its own shelf,line 189
29694,94631,span-retracted,withdrew the model's own #?-?: a 97pp Heavy Metal magazine issue (v9 #3); the span #1-13 would nest 8 files of its own shelf,line 190
29704,94632,span-retracted,withdrew the model's own #?-?: a 116pp Heavy Metal magazine issue (v10 #3); the span #1-13 would nest its three shelf-mates under it,line 191
29702,94632,span-retracted,withdrew the model's own #?-?: a 115pp Heavy Metal magazine issue (v10 #1); the span #1-57 is the volume-1 numbering the provider matched,line 192
29703,94632,span-retracted,withdrew the model's own #?-?: a 105pp Heavy Metal magazine issue (v10 #2); the span #1-12 is the volume-1 numbering the provider matched,line 193
29706,94633,span-retracted,withdrew the model's own #?-?: a 117pp Heavy Metal magazine issue (v11 #1); the span #1-57 is the volume-1 numbering the provider matched,line 194
29707,94633,span-retracted,withdrew the model's own #?-?: a 119pp Heavy Metal magazine issue (v11 #2); the span #1-12 would nest its shelf-mates under it,line 195
29708,94633,span-retracted,withdrew the model's own #?-?: a 117pp Heavy Metal magazine issue (v11 #3); the span #1-13 would nest its shelf-mates under it,line 196
29710,94634,span-retracted,withdrew the model's own #?-?: a 117pp Heavy Metal magazine issue (v12 #1); the span #1-57 is the volume-1 numbering the provider matched,line 197
29711,94634,span-retracted,withdrew the model's own #?-?: a 111pp Heavy Metal magazine issue (v12 #2); the span #1-12 would nest its shelf-mates under it,line 198
29712,94634,span-retracted,withdrew the model's own #?-?: a 116pp Heavy Metal magazine issue (v12 #3); the span #1-13 would nest its shelf-mates under it,line 199
47983,96255,span-retracted,"withdrew the model's own #1-6: a 138pp Director's Cut numbered 001 (Daredevil 2019) - one issue reprinted with extras - and its two legs claim #54-63 and #1-5, neither of which is this comic's own coordinate",line 265
