# containment gap worklist 2026-09-25: shelves holding collections NO source ever claimed (coverage_ledger bucket) + judged ranges GCD notes contradict (gcdnotes --contradictions --all)
# sid	unclaimed	contradicted	editions_on_shelf	has_decision_file	name	status
17057	2	0	3	0	Summit	DONE:G-003
17362	2	0	2	0	Surfside Girls: The Secret of Danger Point	DONE:G-003
17861	2	0	3	0	That Texas Blood	DONE:G-003
18183	2	0	2	0	The Bunker	DONE:G-003
18279	2	0	2	0	The Courageous Princess	DONE:G-003
19108	2	0	2	0	Mercenary	DONE:G-003
19343	2	0	3	0	The Perhapanauts	DONE:G-003
19932	2	0	12	0	The Wicked + The Divine	DONE:G-003
20005	2	0	2	0	The X-Files: Origins	DONE:G-003
20731	0	2	15	0	Uncle Scrooge	DONE:G-003
21995	2	0	2	0	Wonder Woman and the Justice League America	DONE:G-003
22085	2	0	3	0	Wrapped Up	DONE:G-003
64158	1	1	3	0	Aquaman	DONE:G-003
65354	2	0	2	0	Nightcrawler	DONE:G-003
94658	2	0	2	0	Love and Rockets	DONE:G-004
97347	2	0	9	0	Green Arrow	DONE:G-004
100004	2	0	2	0	Star Trek v2 (2022)	DONE:G-004
85	1	0	1	0	30 Days of Night: Beyond Barrow	DONE:G-004
216	1	0	1	0	A Mighty Marvel Team-Up	DONE:G-004
425	0	1	17	0	Adventure Time	DONE:G-004
540	1	0	3	0	Aggretsuko	DONE:G-004
747	1	0	13	0	All-New X-Men	DONE:G-004
769	1	0	4	0	All-Winners Comics	DONE:G-004
788	1	0	1	0	AloneNotLonely	DONE:G-004
1843	1	0	1	0	Barbaric	DONE:G-004
2050	1	0	1	0	Batman 616a - Hush Interlude	DONE:G-004
2233	0	1	2	0	Batman: Gotham Knights	DONE:G-004
2534	1	0	1	0	Big Hero 6	DONE:G-004
2622	0	1	11	0	Birthright	DONE:G-004
2726	1	0	3	0	Black Lightning	DONE:G-004
3179	1	0	1	0	Brit	DONE:G-004
3274	1	0	1	0	Butterscotch	DONE:G-004
3518	1	0	1	0	Captain Britain and MI:13	DONE:G-004
3569	0	1	6	0	Captain Midnight	DONE:G-004
3764	1	0	2	0	Charismagic	DONE:G-004
3901	1	0	2	0	Civil War: X-Men	DONE:G-004
3906	1	0	1	0	Civil War Files	DONE:G-004
4317	1	0	2	0	Creepshow	DONE:G-004
4508	0	1	6	0	DC Comics Bombshells	DONE:G-004
4564	1	0	1	0	DC One Million	DONE:G-004
4954	1	0	1	0	Dark Wing	DONE:G-004
5029	1	0	1	0	Dead by Daylight	DONE:G-004
5111	0	1	23	0	Deadpool Classic	DONE:G-004
5113	1	0	3	0	Deadpool Corps	DONE:G-004
5196	1	0	1	0	Death Comes for the Toymaker	DONE:G-004
5902	1	0	1	0	Dune: House Corrino	DONE:G-004
5968	0	1	1	0	EI8HT	DONE:G-004
6083	1	0	1	0	Elephantmen 2259	DONE:G-004
6086	1	0	1	0	Elephantmen: Theo Laroux Meets the Elephantmen	DONE:G-004
7187	1	0	1	0	Garbage Pail Kids: Origins	DONE:G-004
7421	0	1	1	0	Ghost	DONE:G-004
7433	1	0	1	0	Ghost Rider 2099 Omnibus	DONE:G-004
7509	1	0	15	0	Giant Days	DONE:G-004
7626	0	1	3	0	God Hates Astronauts	DONE:G-004
8435	1	0	1	0	Haunted Horror	DONE:G-004
9080	1	0	1	0	Hulk - Planet Hulk	DONE:G-005
9311	1	0	5	0	Immortal X-Men	DONE:G-005
9401	1	0	2	0	Incredible Hulks	DONE:G-005
9851	0	1	3	0	Jim Henson's Beneath the Dark Crystal	DONE:G-005
9947	1	0	1	0	Johnny the Homicidal Maniac	DONE:G-005
10184	0	1	2	0	Justice League vs. Suicide Squad	DONE:G-005
10275	1	0	1	0	Karma City	DONE:G-005
10340	1	0	1	0	Kill Your Boyfriend	DONE:G-005
10654	1	0	1	0	Legenderry Red Sonja	DONE:G-005
11048	1	0	1	0	Lucky	DONE:G-005
12027	1	0	1	0	Midnight Western Theatre	DONE:G-005
12318	1	0	9	0	Monstress	DONE:G-005
12671	1	0	1	0	Nancy Drew	DONE:G-005
12905	1	0	1	0	Nick Fury vs. S.H.I.E.L.D.	DONE:G-005
13033	1	0	1	0	Nobody Can Eat 50 Eggs	DONE:G-005
14091	1	0	1	0	Prince Valiant	DONE:G-005
14272	1	0	1	0	Quasar	DONE:G-005
14311	1	0	2	0	Rebels	DONE:G-005
14382	1	0	2	0	Ranger Academy	DONE:G-005
14416	1	0	1	0	Razorblades: The Horror Magazine	DONE:G-005
14436	0	1	2	0	Reaver	DONE:G-005
14482	1	0	1	0	Red Sonja ( 2019 -2021)	DONE:G-005
15332	0	1	3	0	Sensation Comics Featuring Wonder Woman	DONE:G-005
15479	1	0	1	0	Shaolin Cowboy: Cruel to Be Kin	DONE:G-005
16724	1	0	1	0	Star Wars: The High Republic Adventures (Phase III)	DONE:G-005
16866	1	0	1	0	Stoneheart	DONE:G-005
16877	1	0	1	0	Stormwatch	DONE:G-005
17204	1	0	4	0	Superman: Son of Kal-El	DONE:G-005
17289	1	0	6	0	Superman/Batman	DONE:G-005
17548	1	0	1	0	Tales of the Realm	DONE:G-005
17587	1	0	1	0	Tangled: The Series: Hair and Now	DONE:G-005
17620	1	0	1	0	Tara Normal	DONE:G-005
17768	1	0	1	0	Tekken	DONE:G-005
18799	0	1	2	0	The Human Target	DONE:G-005
18946	1	0	1	0	The Legion	DONE:G-005
19444	1	0	1	0	The Red Star: Sword of Lies	DONE:G-005
19471	1	0	1	0	The Ring of the Seven Worlds	DONE:G-005
19504	1	0	2	0	The Sacrificers	DONE:G-005
19645	1	0	1	0	Snowpiercer	DONE:G-005
19753	1	0	1	0	The Thing	DONE:G-005
19805	1	0	5	0	The Totally Awesome Hulk	DONE:G-005
19904	1	0	9	0	The Walking Dead	DONE:G-005
20478	1	0	3	0	The Phantom Stranger	DONE:G-005
20668	1	0	1	0	Un/Sacred	DONE:G-005
20803	1	0	1	0	UNIVERSE!	DONE:G-005
21165	1	0	1	0	Wahcommo	DONE:G-005
21446	1	0	1	0	West of Sundown	DONE:G-005
21772	1	0	1	0	Wolvenheart	DONE:G-005
21837	1	0	1	0	Wolverine: The Reckoning	DONE:G-005
21880	1	0	1	0	Wolverine and the X-Men: Alpha & Omega	DONE:G-005
22282	1	0	1	0	X-Men: Magik	DONE:G-005
22289	1	0	1	0	X-Men: Original Sin	DONE:G-005
35648	1	0	4	0	Ka-Zar	DONE:G-005
35781	1	0	3	0	Onslaught: X-Men	DONE:G-005
35876	1	0	1	0	Shazam!	DONE:G-005
36271	1	0	7	0	What If?	DONE:G-005
62304	1	0	1	0	Akkad	DONE:G-005
62895	1	0	1	0	I, Dragon	DONE:G-005
63986	1	0	3	0	Wonder Woman: Rebirth	DONE:G-005
64466	1	0	2	0	Cyclops	DONE:G-005
64637	1	0	1	0	Evil Ernie	DONE:G-005
64804	1	0	1	0	Gore Shriek	DONE:G-005
65617	1	0	3	0	Sentinel	DONE:G-005
65986	1	0	1	0	The Legend of Wonder Woman	DONE:G-005
66039	0	1	3	0	The Punisher	DONE:G-005
94542	1	0	8	0	Suicide Squad	DONE:G-005
94711	1	0	4	0	Supergirl v7 (2016)	DONE:G-005
94728	1	0	1	0	Uncanny Avengers	DONE:G-005
94738	1	0	1	0	Witchblade v3 (2024)	DONE:G-005
94753	0	1	3	0	Batman Incorporated	DONE:G-005
94775	1	0	1	0	Journey into Mystery	DONE:G-005
94814	0	1	5	1	Thunderbolts v1 (2006)	DONE:G-005
99357	1	0	1	0	Power Girl	DONE:G-005
100136	1	0	8	0	Superman	DONE:G-005
100137	1	0	7	0	Superman	DONE:G-005
100574	1	0	9	0	The Flash	DONE:G-006
101522	1	0	5	0	X-Men	DONE:G-006
