
# --- repair pass: I lines for every collected edition (coordinator directive) ---
# shelf S747
I 80299 cv=454369 gcd=2617589 0.95 | same Guardians of the Galaxy/All-New X-Men: The Trial of Jean Grey record as item 84240
I 84476 cv=885080 gcd=- 0.9 | CV 126520 "Excalibur by Tini Howard" Vol.3, matching our Vol. 03 (2021)
I 84474 cv=751964 gcd=2257401 0.95 | CV Excalibur by Tini Howard (2020) names our own "Excalibur by Tini Howard Vol. 01"; GCD Excalibur by Tini Howard (2020) names it too
I 84475 cv=819827 gcd=- 0.9 | CORRECTION: CV 126520 "Excalibur by Tini Howard" (2020, count 4) Vol.2 — the individually-numbered volume matching our own Vol. 02, not the Collection Book's Vol.2
I 84477 cv=910247 gcd=- 0.9 | CV 126520 "Excalibur by Tini Howard" Vol.4, matching our Vol. 04 (2022)
# shelf S13205
I 97888 cv=507056 gcd=1505959 0.95 | Old Man Logan line, Volume 0 (Warzones!)
I 97889 cv=539261 gcd=1602262 0.95 | Old Man Logan line, Volume 1 (Berzerker)
I 97890 cv=553026 gcd=1637940 0.95 | Old Man Logan line, Volume 2 (Bordertown)
I 97891 cv=576643 gcd=1667257 0.95 | Old Man Logan line, Volume 3 (The Last Ronin)
I 97892 cv=598392 gcd=1708621 0.95 | Old Man Logan line, Volume 4 (Old Monsters)
I 97893 cv=625332 gcd=1737151 0.95 | Old Man Logan line, Volume 5 (Past Lives)
I 97895 cv=655515 gcd=2434225 0.95 | Old Man Logan line, Volume 6 Black and White Edition (Days of Anger)
I 97896 cv=676716 gcd=1824071 0.95 | Old Man Logan line, Volume 7 (Scarlet Samurai)
I 97897 cv=683844 gcd=1843116 0.95 | Old Man Logan line, Volume 8 (To Kill For)
I 118134 cv=507056 gcd=1505959 0.95 | duplicate rip of item 97888, the same Old Man Logan Vol.00 Warzones! book
# shelf S20613
I 97182 cv=407180 gcd=2080264 0.95 | CV Ultimate Comics X-Men By Brian Wood (2013) names our own "Ultimate Comics X-Men By Brian Wood Vol. 01"; GCD Ultimate Comics X-Men by Brian Wood (2013) names it too
I 97183 cv=425296 gcd=2080265 0.95 | CV Ultimate Comics X-Men By Brian Wood (2013) names our own "Ultimate Comics X-Men By Brian Wood Vol. 02"; GCD Ultimate Comics X-Men by Brian Wood (2013) names it too
I 97184 cv=446093 gcd=2080266 0.95 | CV Ultimate Comics X-Men By Brian Wood (2013) names our own "Ultimate Comics X-Men By Brian Wood Vol. 03"; GCD Ultimate Comics X-Men by Brian Wood (2013) names it too
# shelf S21000
I 97315 cv=539791 gcd=- 0.9 | CV Venom: Space Knight: Agent of the Cosmos (2016) names our own "Venom - Space Knight Vol. 01 - Agent of the Cosmos"
I 97316 cv=562609 gcd=- 0.9 | CV Venom: Space Knight - Enemies And Allies (2016) names our own "Venom - Space Knight Vol. 02 - Enemies and Allies"
# shelf S21032
I 97987 cv=726225 gcd=1875128 0.95 | CV Venom by Donny Cates (2019) names our own "Venom by Donny Cates Book 01"; GCD Venom by Donny Cates (2019) names it too
I 97337 cv=882699 gcd=- 0.9 | CV Venom By Donny Cates: King In Black (2021) names our own "Venom by Donny Cates Vol. 06 - King In Black"
# shelf S21465
I 97624 cv=1081971 gcd=2685186 0.95 | CV What If?: Into The Multiverse Omnibus  (2023) names our own "What If - Into The Multiverse Omnibus Book 02"; GCD What If?: Into the Multiverse Omnibus (2023) names it too
# shelf S21521
I 97622 cv=1074068 gcd=- 0.9 | CV What If...?: Venom (2024) names our own "What If... Venom"
# shelf S21797
I 97803 cv=127621 gcd=- 0.9 | CV Wolverine: Enemy of the State - The Complete Edition (2006) names our own "Wolverine Vol. 04 - Enemy of the State (Complete Edition)"
# shelf S21807
I 98057 cv=1090248 gcd=- 0.9 | CV Wolverine: Madripoor Knights (2025) names our own "Wolverine - Madripoor Knights"
# shelf S21814
I 97812 cv=168660 gcd=- 0.9 | CV Wolverine Origins: Born in Blood (2007) names our own "Wolverine Origins Vol. 01 - Born In Blood"
I 97813 cv=168677 gcd=- 0.9 | CV Wolverine Origins: Savior (2007) names our own "Wolverine Origins Vol. 02 - Savior"
I 97814 cv=168692 gcd=- 0.9 | CV Wolverine Origins: Swift and Terrible (2007) names our own "Wolverine Origins Vol. 03 - Swift and Terrible"
I 97815 cv=168826 gcd=- 0.9 | CV Wolverine Origins: Our War (2008) names our own "Wolverine Origins Vol. 04 - Our War"
I 97816 cv=168827 gcd=2724067 0.95 | CV Wolverine Origins: Deadpool (2008) names our own "Wolverine Origins Vol. 05 - Deadpool"; GCD Wolverine Origins: Deadpool (2023) names it too
I 97818 cv=186395 gcd=1212873 0.95 | CV Wolverine Origins: Dark Reign (2009) names our own "Wolverine Origins Vol. 07 - Dark Reign"; GCD Wolverine Origins: Dark Reign (2009) names it too
I 97819 cv=204642 gcd=1212322 0.95 | CV Wolverine Origins: Romulus (2010) names our own "Wolverine Origins Vol. 08 - Romulus"; GCD Wolverine Origins: Romulus (2009) names it too
I 97820 cv=211148 gcd=2383076 0.95 | CV Wolverine Origins: Seven the Hard Way (2010) names our own "Wolverine Origins Vol. 09 - Seven The Hard Way"; GCD Wolverine Origins: Seven the Hard Way (2010) names it too
N 97817 no-record | probed "Wolverine Origins: Original Sin" exact and --contains; no CV/GCD row for this trade
# shelf S21853
I 97647 cv=869600 gcd=- 0.9 | CV Wolverine Epic Collection: Blood and Claws (2021) names our own "Wolverine Epic Collection Vol. 03 - Blood and Claws"
# shelf S21854
I 97648 cv=740894 gcd=- 0.9 | CV Wolverine Epic Collection: Inner Fury (2020) names our own "Wolverine Epic Collection Vol. 06 - Inner Fury"
# shelf S21856
I 97655 cv=1049421 gcd=- 0.9 | CV Wolverine Epic Collection: The Return of Weapon X (2024) names our own "Wolverine Epic Collection Vol. 14 - The Return Of Weapon X"
# shelf S21857
I 97649 cv=996059 gcd=- 0.9 | CV Wolverine Epic Collection: To the Bone (2023) names our own "Wolverine Epic Collection Vol. 07 - To The Bone"
# shelf S21858
I 97651 cv=944339 gcd=- 0.9 | CV Wolverine Epic Collection: Tooth and Claw (2022) names our own "Wolverine Epic Collection Vol. 09 - Tooth And Claw"
# shelf S21883
I 97841 cv=395424 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men By Jason Aaron Vol. 03"
I 97844 cv=425181 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men By Jason Aaron Vol. 06"
I 97839 cv=336301 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 01"
I 97840 cv=387899 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 02"
I 97842 cv=402614 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 04"
I 97843 cv=414101 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 05"
I 97845 cv=431679 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 07"
I 97846 cv=452018 gcd=- 0.9 | CV Wolverine and the X-Men by Jason Aaron (2012) names our own "Wolverine and the X-Men by Jason Aaron Vol. 08"
# shelf S21922
I 97894 cv=655514 gcd=1777754 0.95 | Old Man Logan line, Volume 6 (Days of Anger, plain edition)
I 97898 cv=694155 gcd=1878784 0.95 | Old Man Logan line, Volume 9 (The Hunter and the Hunted)
I 97899 cv=696963 gcd=1891187 0.95 | Old Man Logan line, Volume 10 (End of the World)
# shelf S21927
I 97809 cv=475657 gcd=892316 0.95 | CV Death of Wolverine (2015) names our own "Wolverine Vol. 10 - The Death of Wolverine"; GCD Wolverine: The Death of Wolverine (2008) names it too
# shelf S36271
I 97458 cv=175521 gcd=394379 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 01"; GCD What If? Classic (2004) names it too
I 97459 cv=175572 gcd=394380 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 02"; GCD What If? Classic (2004) names it too
I 97460 cv=175593 gcd=394381 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 03"; GCD What If? Classic (2004) names it too
I 97461 cv=175729 gcd=394382 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 04"; GCD What If? Classic (2004) names it too
I 97462 cv=185211 gcd=799567 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 05"; GCD What If? Classic (2004) names it too
I 97463 cv=192526 gcd=799568 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 06"; GCD What If? Classic (2004) names it too
I 97464 cv=261667 gcd=799569 0.95 | CV What If? Classic (2005) names our own "What If Classic Vol. 07"; GCD What If? Classic (2004) names it too
# shelf S66150
I 97138 cv=731598 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 01"
I 97139 cv=731599 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 02"
I 97140 cv=731600 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 03"
I 97141 cv=731601 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 04"
I 97142 cv=731726 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 05"
I 97143 cv=731727 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 06"
I 97144 cv=731728 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 07"
I 97145 cv=731729 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 08"
I 97146 cv=731730 gcd=- 0.9 | CV Ultimate X-Men Collection (2019) names our own "Ultimate X-Men Collection Book 09"
I 97147 cv=235317 gcd=- 0.9 | CV Ultimate X-Men: The Tomorrow People (2001) names our own "Ultimate X-Men Vol. 01 - The Tomorrow People"
I 97149 cv=235319 gcd=- 0.9 | CV Ultimate X-Men: World Tour (2002) names our own "Ultimate X-Men Vol. 03 - World Tour"
I 97150 cv=235320 gcd=- 0.9 | CV Ultimate X-Men: Hellfire and Brimstone (2003) names our own "Ultimate X-Men Vol. 04 - Hellfire & Brimstone"
I 97153 cv=235443 gcd=- 0.9 | CV Ultimate X-Men: Blockbuster (2004) names our own "Ultimate X-Men Vol. 07 - Blockbuster"
I 97154 cv=235444 gcd=- 0.9 | CV Ultimate X-Men: New Mutants (2004) names our own "Ultimate X-Men Vol. 08 - New Mutants"
I 97155 cv=235447 gcd=- 0.9 | CV Ultimate X-Men: The Tempest (2004) names our own "Ultimate X-Men Vol. 09 - The Tempest"
I 97156 cv=235448 gcd=- 0.9 | CV Ultimate X-Men: Cry Wolf (2005) names our own "Ultimate X-Men Vol. 10 - Cry Wolf"
I 97157 cv=235449 gcd=- 0.9 | CV Ultimate X-Men: The Most Dangerous Game (2005) names our own "Ultimate X-Men Vol. 11 - The Most Dangerous Game"
I 97159 cv=235541 gcd=- 0.9 | CV Ultimate X-Men: Hard Lessons (2006) names our own "Ultimate X-Men Vol. 12 - Hard Lessons"
I 97161 cv=235543 gcd=- 0.9 | CV Ultimate X-Men: Magnetic North (2006) names our own "Ultimate X-Men Vol. 13 - Magnetic North"
I 97163 cv=235546 gcd=- 0.9 | CV Ultimate X-Men: Phoenix? (2006) names our own "Ultimate X-Men Vol. 14 - Phoenix"
I 97165 cv=235552 gcd=- 0.9 | CV Ultimate X-Men: Magical (2007) names our own "Ultimate X-Men Vol. 15 - Magical"
I 97166 cv=235554 gcd=- 0.9 | CV Ultimate X-Men: Cable (2007) names our own "Ultimate X-Men Vol. 16 - Cable"
I 97168 cv=235555 gcd=- 0.9 | CV Ultimate X-Men: Sentinels (2008) names our own "Ultimate X-Men Vol. 17 - Sentinels"
I 97190 cv=1046475 gcd=2608569 0.95 | CV Ultimate X-Men Omnibus (2022) names our own "Ultimate X-Men Omnibus Book 02"; GCD Ultimate X-Men Omnibus (2022) names it too
# shelf S66351
I 97160 cv=235543 gcd=- 0.9 | CV Ultimate X-Men: Magnetic North (2006) names our own "Ultimate X-Men Vol. 13 - Magnetic North"
I 97162 cv=235546 gcd=- 0.9 | CV Ultimate X-Men: Phoenix? (2006) names our own "Ultimate X-Men Vol. 14 - Phoenix"
I 86105 cv=189819 gcd=529056 0.95 | CV 30746 "X-Men: The End: Book 1: Dreamers & Demons" (issue 189819) is this trade's own record; GCD 70376 "X-Men: The End" (TPB-numbered collected line) issue #1 (529056) is titled "Dreamers & Demons" exactly
# shelf S94822
I 84264 cv=756653 gcd=2263478 0.95 | CV Astonishing X-Men Companion (2020) names our own "Astonishing X-Men Companion"; GCD Astonishing X-Men Companion (2020) names it too
I 84265 cv=- gcd=1171016 0.9 | GCD Astonishing X-Men by Joss Whedon & John Cassaday Ultimate Collection (2012) names our own "Astonishing X-Men by Joss Whedon & John Cassaday Ultimate Collection Book 01"
I 84266 cv=- gcd=1171017 0.9 | GCD Astonishing X-Men by Joss Whedon & John Cassaday Ultimate Collection (2012) names our own "Astonishing X-Men by Joss Whedon & John Cassaday Ultimate Collection Book 02"
I 84267 cv=185128 gcd=870794 0.95 | CV Astonishing X-Men: Ghost Box (2009) names our own "Astonishing X-Men Vol. 05 - Ghost Box"; GCD Astonishing X-Men: Ghost Box (2009) names it too
I 84268 cv=241082 gcd=1086979 0.95 | CV Astonishing X-Men: Exogenetic (2010) names our own "Astonishing X-Men Vol. 06 - Exogenetic"; GCD Astonishing X-Men: Exogenetic (2010) names it too
I 84269 cv=304661 gcd=2460169 0.95 | CV Astonishing X-Men: Monstrous (2011) names our own "Astonishing X-Men Vol. 07 - Monstrous"; GCD Astonishing X-Men: Monstrous (2011) names it too
I 84270 cv=315536 gcd=2460291 0.95 | CV Astonishing X-Men: Children of the Brood (2012) names our own "Astonishing X-Men Vol. 08 - Children of the Brood"; GCD Astonishing X-Men: Children of the Brood (2012) names it too
I 84271 cv=336405 gcd=2470482 0.95 | CV Astonishing X-Men: Exalted (2012) names our own "Astonishing X-Men Vol. 09 - Exalted"; GCD Astonishing X-Men: Exalted (2012) names it too
I 84272 cv=388846 gcd=- 0.9 | CV Astonishing X-Men: Northstar (2013) names our own "Astonishing X-Men Vol. 10 - Northstar"
I 84273 cv=395412 gcd=- 0.9 | CV Astonishing X-Men: Weaponized (2013) names our own "Astonishing X-Men Vol. 11 - Weaponized"
I 84274 cv=438111 gcd=- 0.9 | CV Astonishing X-Men: Unmasked (2013) names our own "Astonishing X-Men Vol. 12 - Unmasked"
# shelf S94823
I 84275 cv=660653 gcd=- 0.9 | CV 108796 "Astonishing X-Men by Charles Soule: Life of X" 2018 Marvel is this trade's own record; no GCD row found
I 84276 cv=678525 gcd=- 0.9 | CV 112564 "Astonishing X-Men by Charles Soule: A Man Called X" 2018 Marvel is this trade's own record; no GCD row found
# shelf S95933
I 84379 cv=425515 gcd=- 0.9 | CV Cable: The Shining Path (2002) names our own "Cable Vol. 01 - Shining Path"
I 84380 cv=274879 gcd=- 0.9 | CV Cable: The End (2002) names our own "Cable Vol. 02 - The End"
# shelf S95934
I 84385 cv=644500 gcd=- 0.9 | CV Cable: Conquest (2017) names our own "Cable Vol. 01 - Conquest"
I 84386 cv=665906 gcd=- 0.9 | CV Cable: The Newer Mutants (2018) names our own "Cable Vol. 02 - The Newer Mutants"
I 84387 cv=685836 gcd=- 0.9 | CV Cable: Past Fears (2018) names our own "Cable Vol. 03 - Past Fears"
# shelf S95935
I 84381 cv=204066 gcd=- 0.9 | CV Cable: Messiah War (2008) names our own "Cable Vol. 01 - Messiah War"
I 84382 cv=204067 gcd=- 0.9 | CV Cable: Waiting for the End of the World (2009) names our own "Cable Vol. 02 - Waiting For the End of the World"
I 84383 cv=204288 gcd=- 0.9 | CV Cable: Stranded (2010) names our own "Cable Vol. 03 - Stranded"
I 84384 cv=222242 gcd=- 0.9 | CV Cable: Homecoming (2010) names our own "Cable Vol. 04 - Homecoming"
# shelf S101296
I 97331 cv=692563 gcd=- 0.9 | CV Venom by Donny Cates: Rex (2018) names our own "Venom by Donny Cates Vol. 01 - Rex"
# shelf S101454
I 97643 cv=414107 gcd=1105265 0.95 | CV Wolverine by Larry Hama and Marc Silvestri (2013) names our own "Wolverine by Larry Hama & Marc Silvestri Vol. 01"; GCD Wolverine by Larry Hama & Marc Silvestri (2013) names it too
I 97644 cv=443379 gcd=1174518 0.95 | CV Wolverine by Larry Hama and Marc Silvestri (2013) names our own "Wolverine by Larry Hama & Marc Silvestri Vol. 02"; GCD Wolverine by Larry Hama & Marc Silvestri (2013) names it too
# shelf S101456
I 97998 cv=308204 gcd=223516 0.95 | CV 44773 and GCD 223516 both name "Wolverine by Greg Rucka Ultimate Collection" 2011 Marvel exactly
I 97800 cv=236737 gcd=- 0.9 | CV Wolverine: The Brotherhood (2004) names our own "Wolverine Vol. 01 - Brotherhood"
I 97801 cv=237582 gcd=- 0.9 | CV Wolverine: Coyote Crossing (2004) names our own "Wolverine Vol. 02 - Coyote Crossing"
I 97802 cv=237584 gcd=- 0.9 | CV Wolverine: Return of the Native (2004) names our own "Wolverine Vol. 03 - Return Of The Native"
I 97804 cv=- gcd=1077148 0.9 | no CV record found; GCD 72055 "House of M: World of M Featuring Wolverine" 2006 Marvel is the nearest record for this House of M tie-in trade
I 97805 cv=186402 gcd=- 0.9 | CV Wolverine: Origins & Endings (2007) names our own "Wolverine Vol. 06 - Origins & Endings"
I 97806 cv=138868 gcd=394274 0.95 | CV Wolverine: Blood & Sorrow (2007) names our own "Wolverine Vol. 07 - Blood & Sorrow"; GCD Wolverine: Blood & Sorrow (2007) names it too
I 97807 cv=171452 gcd=- 0.9 | CV Wolverine: Civil War (2007) names our own "Wolverine Vol. 08 - Civil War"
I 97808 cv=132521 gcd=1105274 0.95 | CV Wolverine: Evolution (2007) names our own "Wolverine Vol. 09 - Evolution"; GCD Wolverine: Evolution (2008) names it too
I 97811 cv=198497 gcd=- 0.9 | CV Wolverine: Old Man Logan (2009) names our own "Wolverine Vol. 12 - Old Man Logan"
I 117941 cv=198497 gcd=- 0.9 | CV Wolverine: Old Man Logan (2009) names our own "Wolverine Vol. 12 - Old Man Logan"

# --- repair pass: I lines for every collected edition (coordinator directive) ---
# shelf S745
I 85489 cv=529648 gcd=- 0.9 | CV All-New Wolverine: The Four Sisters (2016) names our own "All-New Wolverine Vol. 01 - The Four Sisters"
I 85490 cv=553943 gcd=- 0.9 | CV All-New Wolverine: Civil War II (2016) names our own "All-New Wolverine Vol. 02 - Civil War II"
I 85491 cv=594104 gcd=- 0.9 | CV All-New Wolverine: Enemy of the State II (2017) names our own "All-New Wolverine Vol. 03 - Enemy of the State II"
I 85492 cv=643026 gcd=- 0.9 | CV All-New Wolverine: Immune (2017) names our own "All-New Wolverine Vol. 04 - Immune"
I 85493 cv=660650 gcd=- 0.9 | CV All-New Wolverine: Orphans of X (2018) names our own "All-New Wolverine Vol. 05 - Orphans of X"
I 85494 cv=676688 gcd=- 0.9 | CV All-New Wolverine: Old Woman Laura (2018) names our own "All-New Wolverine Vol. 06 - Old Woman Laura"
# shelf S7339
I 84642 cv=249203 gcd=1099264 0.95 | CV Generation X Classic (2010) names our own "Generation X Classic Vol. 01"; GCD Generation X Classic (2010) names it too
I 84643 cv=380699 gcd=1099265 0.95 | CV Generation X Classic (2010) names our own "Generation X Classic Vol. 02"; GCD Generation X Classic (2010) names it too
# shelf S20706
I 85379 cv=341698 gcd=2057762 0.95 | CV Uncanny X-Men by Kieron Gillen (2012) names our own "Uncanny X-Men By Kieron Gillen Vol. 02"; GCD Uncanny X-Men by Kieron Gillen (2012) names it too
I 85380 cv=366845 gcd=2675158 0.95 | CV Uncanny X-Men by Kieron Gillen (2012) names our own "Uncanny X-Men By Kieron Gillen Vol. 03"; GCD Uncanny X-Men by Kieron Gillen (2012) names it too
I 85381 cv=375524 gcd=2057764 0.95 | CV Uncanny X-Men by Kieron Gillen (2012) names our own "Uncanny X-Men By Kieron Gillen Vol. 04"; GCD Uncanny X-Men by Kieron Gillen (2012) names it too
# shelf S21357
I 85419 cv=254050 gcd=- 0.9 | CV Weapon X: The Draft (2003) names our own "Weapon X Vol. 01 - The Draft"
I 85420 cv=254056 gcd=- 0.9 | CV Weapon X: The Underground (2003) names our own "Weapon X Vol. 02 - The Underground"
I 118892 cv=616203 gcd=- 0.9 | CV Weapon X: Weapons of Mutant Destruction Prelude (2017) names our own "Weapon X Vol. 01 - Weapons of Mutant Destruction Prelude"
# shelf S21879
I 118863 cv=478156 gcd=- 0.9 | CV Wolverine and the X-Men: Death of Wolverine (2015) names our own "Wolverine and the X-Men Vol. 02 - Death of Wolverine"
# shelf S22209
I 93027 cv=344190 gcd=1697708 0.95 | CV X-Man: The Man Who Fell to Earth (2012) names our own "X-Man - The Man Who Fell To Earth"; GCD X-Man: The Man Who Fell to Earth (2012) names it too
# shelf S22222
I 86044 cv=555546 gcd=- 0.9 | CV X-Men '92: The World Is A Vampire (2016) names our own "X-Men '92 Vol. 01 - The World Is A Vampire"
I 86045 cv=592618 gcd=- 0.9 | CV X-Men '92: Lilapalooza (2017) names our own "X-Men '92 Vol. 02 - Lilapalooza"
I 118148 cv=555546 gcd=- 0.9 | CV X-Men '92: The World Is A Vampire (2016) names our own "X-Men '92 Vol. 01 - The World Is A Vampire"
# shelf S22269
I 87991 cv=799762 gcd=2259553 0.95 | CV X-Men: Grand Design Omnibus (2020) names our own "X-Men - Grand Design Omnibus"; GCD X-Men: Grand Design Omnibus (2020) names it too
I 86090 cv=690617 gcd=1841574 0.95 | CV X-Men: Grand Design - Second Genesis (2018) names our own "X-Men - Grand Design Vol. 02 - Second Genesis"; GCD X-Men: Grand Design - Second Genesis (2018) names it too
I 86091 cv=716730 gcd=- 0.9 | CV X-Men: Grand Design – X-Tinction (2019) names our own "X-Men - Grand Design Vol. 03 - X-Tinction"
# shelf S22306
I 86127 cv=1062142 gcd=2641183 0.95 | CV X-Men: The Animated Series - Feared and Hated (2024) names our own "X-Men - The Animated Series Vol. 01 - Feared and Hated"; GCD X-Men: The Animated Series - Feared and Hated (2024) names it too
# shelf S22319
I 93083 cv=272360 gcd=- 0.9 | CV X-Men: To Serve and Protect (2011) names our own "X-Men - To Serve And Protect"
# shelf S22539
I 86107 cv=189821 gcd=1038105 0.95 | CV 30748 issue 189821 (already known); GCD 70376 "X-Men: The End" TPB-numbered line issue #3, titled "Men & X-Men" exactly
# shelf S22540
I 86106 cv=189820 gcd=241538 0.95 | CV X-Men: The End: Book 2: Heroes & Martyrs (2005) names our own "X-Men - The End Book 02 - Heroes and Martyrs"; GCD X-Men: The End - Heroes and Martyrs (2005) names it too
# shelf S34457
I 92965 cv=167686 gcd=521014 0.95 | CV Uncanny X-Men Omnibus (2006) names our own "Uncanny X-Men Omnibus Book 01"; GCD The Uncanny X-Men Omnibus (2006) names it too
I 92966 cv=450781 gcd=1197950 0.95 | CV Uncanny X-Men Omnibus (2006) names our own "Uncanny X-Men Omnibus Book 02"; GCD The Uncanny X-Men Omnibus (2006) names it too
I 92967 cv=516096 gcd=1537786 0.95 | CV Uncanny X-Men Omnibus (2006) names our own "Uncanny X-Men Omnibus Book 03"; GCD The Uncanny X-Men Omnibus (2006) names it too
I 92968 cv=828998 gcd=2202585 0.95 | CV Uncanny X-Men Omnibus (2006) names our own "Uncanny X-Men Omnibus Book 04"; GCD The Uncanny X-Men Omnibus (2006) names it too
I 92969 cv=994372 gcd=2544654 0.95 | CV Uncanny X-Men Omnibus (2006) names our own "Uncanny X-Men Omnibus Book 05"; GCD The Uncanny X-Men Omnibus (2006) names it too
I 93015 cv=240323 gcd=- 0.9 | CV 36415 "Uncanny X-Men: Hope" 2003 Marvel is this trade's own record; no GCD row found
I 93016 cv=240328 gcd=- 0.9 | CV 36416 "Uncanny X-Men: Dominant Species" 2003 Marvel is this trade's own record; no GCD row found
I 93017 cv=240405 gcd=- 0.9 | CV 36417 "Uncanny X-Men: Holy War" 2003 Marvel is this trade's own record; no GCD row found
I 93018 cv=240494 gcd=- 0.9 | CV 36434 "Uncanny X-Men: The Draco" 2004 Marvel is this trade's own record; no GCD row found
I 93019 cv=240496 gcd=- 0.9 | CV 36436 "Uncanny X-Men: She Lies With Angels" 2004 Marvel is this trade's own record; no GCD row found
I 93020 cv=186425 gcd=- 0.9 | CV 30241 "Uncanny X-Men: Bright New Mourning" 2004 Marvel is this trade's own record; no GCD row found
# shelf S66333
I 85668 cv=181572 gcd=- 0.9 | CV X-Factor: The Longest Night (2007) names our own "X-Factor Vol. 01 - The Longest Night"
I 85669 cv=181817 gcd=- 0.9 | CV X-Factor: Life and Death Matters (2007) names our own "X-Factor Vol. 02 - Life and Death Matters"
I 85670 cv=181821 gcd=601538 0.95 | CV X-Factor: Many Lives of Madrox (2007) names our own "X-Factor Vol. 03 - Many Lives of Madrox"; GCD X-Factor: Many Lives of Madrox (2007) names it too
