# shelf	signal	detail   (reprobe_cvmissing.py, TOOLS_TODO 32; feed: next_batch.py --s2-file)
S224	g	provider-missing: CV 111573 "A Quick and Easy Guide to They/Them Pronouns" 2018 Oni Press 1 issues — far (gap 2), found by 'A Quick and Easy Guide to They/Them Pronouns' (via CV candidate name "A Quick and Easy Guide to They/Them Pronouns"); invisible before TODO 30
S248	g	provider-missing: CV 135489 "A Taste of Fantasy" 2021 Harlequin Comics 1 issues — near (gap 1), found by 'A Taste of Fantasy' (via CV candidate name "A Taste of Fantasy"); invisible before TODO 30
S256	g	provider-missing: CV 95442 "A Treasury of XXth Century Murder: Black Dahlia" 2016 NBM 1 issues — near (gap 1), found by 'A Treasury of XXth Century Murder: Black Dahlia' (via CV candidate name "A Treasury of XXth Century Murder: Black Dahlia"); invisible before TODO 30
S256	g	provider-missing: CV 56423 "A Treasury of Victorian Murder Compendium" 2013 NBM 2 issues — far (gap 4), found by 'A Treasury of Victorian Murder Compendium' (via CV candidate name "A Treasury of Victorian Murder Compendium"); invisible before TODO 30
S270	g	S cv=-+provider-missing: CV 46273 "The Best of Drawn & Quarterly" 1993 Drawn & Quarterly 1 issues — far (gap 31), found by 'The Best of Drawn & Quarterly' (via CV candidate name "The Best of Drawn & Quarterly"); invisible before TODO 30
S355	g	provider-missing: CV 109939 "The American Way: Those Above and Those Below" 2018 DC Comics 1 issues — far (gap 4), found by 'The American Way: Those Above and Those Below' (via CV candidate name "The American Way: Those Above and Those Below"); invisible before TODO 30
S355	g	provider-missing: CV 102739 "The American Way: Those Above and Those Below" 2017 DC Comics 6 issues — far (gap 5), found by 'The American Way: Those Above and Those Below' (via CV candidate name "The American Way: Those Above and Those Below"); invisible before TODO 30
S355	g	provider-missing: CV 22754 "Above & Below: Two Stories of the American Frontier" 2004 Drawn & Quarterly 1 issues — far (gap 18), found by 'Above & Below: Two Stories of the American Frontier' (via CV candidate name "Above & Below: Two Stories of the American Frontier"); invisible before TODO 30
S491	g	provider-missing: CV 139211 "After the Fall" 2021 Magnetic Press 1 issues — near (gap 0), found by 'After the Fall' (own spelling); invisible before TODO 30
S491	g	provider-missing: CV 130453 "After the Fall" 2020 Goldfinger Platinum Factory 1 issues — near (gap 1), found by 'After the Fall' (own spelling); invisible before TODO 30
S495	g	provider-missing: CV 121756 "Dark Ark: After the Flood" 2019 Aftershock Comics 5 issues — far (gap 2), found by 'Dark Ark: After the Flood' (via CV candidate name "Dark Ark: After the Flood"); invisible before TODO 30
S505	g	provider-missing: CV 134192 "Dragon Age: The First Five Graphic Novels" 2021 Dark Horse Comics 1 issues — far (gap 3), found by 'Dragon Age: The First Five Graphic Novels' (via CV candidate name "Dragon Age: The First Five Graphic Novels"); invisible before TODO 30
S539	g	provider-missing: CV 87304 "Agents of S.H.I.E.L.D." 2016 Marvel 10 issues — far (gap 6), found by 'Agents of S.H.I.E.L.D.' (via CV candidate name "Agents of S.H.I.E.L.D."); invisible before TODO 30
S593	g	provider-missing: CV 127976 "Manga! Manga! The World of Japanese Comics" 1983 Kodansha International 1 issues — far (gap 20), found by 'Manga! Manga! The World of Japanese Comics' (via CV candidate name "Manga! Manga! The World of Japanese Comics"); invisible before TODO 30
S681	g	provider-missing: CV 20054 "Buffy The Vampire Slayer: Panel to Panel" 2007 Dark Horse Comics 1 issues — near (gap 1), found by 'Buffy The Vampire Slayer: Panel to Panel' (via CV candidate name "Buffy The Vampire Slayer: Panel to Panel"); invisible before TODO 30
S681	g	provider-missing: CV 80730 "Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9" 2015 Dark Horse Comics 1 issues — far (gap 9), found by 'Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9' (via CV candidate name "Buffy The Vampire Slayer: Panel To Panel: Seasons 8 & 9"); invisible before TODO 30
S699	g	S cv=-: CV 38908 "Alison Dare The Heart of the Maiden" 2010 Tundra Books 1 issues — far (gap 13), found by 'Alison Dare The Heart of the Maiden' (via CV candidate name "Alison Dare The Heart of the Maiden"); invisible before TODO 30
S699	g	S cv=-: CV 26244 "Alison Dare and the Heart of the Maiden" 2002 Oni Press 2 issues — far (gap 21), found by 'Alison Dare and the Heart of the Maiden' (via CV candidate name "Alison Dare and the Heart of the Maiden"); invisible before TODO 30
S704	g	provider-missing: CV 113257 "Shot All To Hell: A Graphic Novel" 2018 Insight Editions 1 issues — far (gap 6), found by 'Shot All To Hell: A Graphic Novel' (via CV candidate name "Shot All To Hell: A Graphic Novel"); invisible before TODO 30
S704	g	provider-missing: CV 114025 "Paradise Lost: A Graphic Novel" 2018 Pegasus 1 issues — far (gap 6), found by 'Paradise Lost: A Graphic Novel' (via CV candidate name "Paradise Lost: A Graphic Novel"); invisible before TODO 30
S754	g	S cv=-: CV 90093 "All-New X-Men: Inevitable: Ghosts of Cyclops" 2016 Marvel 1 issues — near (gap 0), found by 'All-New X-Men: Inevitable: Ghosts of Cyclops' (via CV candidate name "All-New X-Men: Inevitable: Ghosts of Cyclops"); invisible before TODO 30
S813	g	provider-missing: CV 58456 "The Last Convert of John Harper" 2013 Kingstone Comics 1 issues — far (gap 11), found by 'The Last Convert of John Harper' (via CV candidate name "The Last Convert of John Harper"); invisible before TODO 30
S813	g	provider-missing: CV 73162 "Always the Groomsman" 2013 Harlequin Comics 1 issues — far (gap 11), found by 'Always the Groomsman' (via CV candidate name "Always the Groomsman"); invisible before TODO 30
S899	g	provider-missing: CV 35470 "Marvel Spotlight: The Amazing Spider-Man" 2008 Marvel 1 issues — far (gap 6), found by 'Marvel Spotlight: The Amazing Spider-Man' (via CV candidate name "Marvel Spotlight: The Amazing Spider-Man"); invisible before TODO 30
S924	g	provider-missing: CV 60948 "Amelia Cole and the Hidden War" 2013 MonkeyBrain Comics 6 issues — near (gap 1), found by 'Amelia Cole and the Hidden War' (via CV candidate name "Amelia Cole and the Hidden War"); invisible before TODO 30
S924	g	provider-missing: CV 66323 "Amelia Cole and the Unknown World" 2013 IDW Publishing 1 issues — near (gap 1), found by 'Amelia Cole and the Unknown World' (own spelling); invisible before TODO 30
S924	g	provider-missing: CV 72008 "Amelia Cole and the Hidden War" 2014 MonkeyBrain Comics 1 issues — far (gap 2), found by 'Amelia Cole and the Hidden War' (via CV candidate name "Amelia Cole and the Hidden War"); invisible before TODO 30
S924	g	provider-missing: CV 87198 "Amelia Cole Versus The End of Everything" 2016 MonkeyBrain Comics 6 issues — far (gap 4), found by 'Amelia Cole Versus The End of Everything' (via CV candidate name "Amelia Cole Versus The End of Everything"); invisible before TODO 30
S924	g	provider-missing: CV 91873 "Amelia Cole Versus The End of Everything" 2016 MonkeyBrain Comics 1 issues — far (gap 4), found by 'Amelia Cole Versus The End of Everything' (via CV candidate name "Amelia Cole Versus The End of Everything"); invisible before TODO 30
S928	g	provider-missing: CV 66323 "Amelia Cole and the Unknown World" 2013 IDW Publishing 1 issues — near (gap 1), found by 'Amelia Cole and the Unknown World' (via CV candidate name "Amelia Cole and the Unknown World"); invisible before TODO 30
S928	g	provider-missing: CV 84746 "Amelia Cole and the Impossible Fate" 2015 IDW Publishing 1 issues — near (gap 1), found by 'Amelia Cole and the Impossible Fate' (own spelling); invisible before TODO 30
S928	g	provider-missing: CV 54107 "Amelia Cole and the Unknown World" 2012 MonkeyBrain Comics 6 issues — far (gap 2), found by 'Amelia Cole and the Unknown World' (via CV candidate name "Amelia Cole and the Unknown World"); invisible before TODO 30
S974	g	provider-missing: CV 89872 "Emma at the Beach" 1990 HarperCollins 1 issues — far (gap 10), found by 'Emma at the Beach' (via CV candidate name "Emma at the Beach"); invisible before TODO 30
S977	g	provider-missing: CV 132166 "Lois Lane: Enemy of the People" 2020 DC Comics 1 issues — far (gap 2), found by 'Lois Lane: Enemy of the People' (via CV candidate name "Lois Lane: Enemy of the People"); invisible before TODO 30
S977	g	provider-missing: CV 120436 "Enemy of the People: A Cartoonist's Journey" 2019 IDW Publishing 1 issues — far (gap 3), found by 'Enemy of the People: A Cartoonist's Journey' (via CV candidate name "Enemy of the People: A Cartoonist's Journey"); invisible before TODO 30
S984	g	provider-missing: CV 156362 "Anaïs Nin: A Sea of Lies" 2023 Fantagraphics 1 issues — far (gap 2), found by 'Anaïs Nin: A Sea of Lies' (via CV candidate name "Anaïs Nin: A Sea of Lies"); invisible before TODO 30
S1026	g	provider-missing: CV 83372 "The Angel of Death" 2015 Virtuosity Entertainment Comics 1 issues — far (gap 6), found by 'Angel of Death' (own spelling); invisible before TODO 30
S1026	g	provider-missing: CV 10962 "Angel of Death" 1991 Innovation 4 issues — far (gap 30), found by 'Angel of Death' (own spelling); invisible before TODO 30
S1058	g	provider-missing: CV 117743 "Encounter: Welcome To the Team!" 2019 Lion Forge Comics 1 issues — near (gap 1), found by 'Encounter: Welcome To the Team!' (via CV candidate name "Encounter: Welcome To the Team!"); invisible before TODO 30
S1070	g	provider-missing: CV 104761 "Dracula Marries Frankenstein! An Anne of Green Bagels Story" 2017 NBM 1 issues — near (gap 1), found by 'Dracula Marries Frankenstein! An Anne of Green Bagels Story' (via CV candidate name "Dracula Marries Frankenstein! An Anne of Green Bagels Story"); invisible before TODO 30
S1070	g	provider-missing: CV 105490 "Anne of Green Gables" 2017 Andrews McMeel Publishing 1 issues — near (gap 1), found by 'Anne of Green Gables' (via CV candidate name "Anne of Green Gables"); invisible before TODO 30
S1070	g	provider-missing: CV 78433 "Anne of Green Gables" 2014 TidalWave Productions 1 issues — far (gap 2), found by 'Anne of Green Gables' (via CV candidate name "Anne of Green Gables"); invisible before TODO 30
S1070	g	provider-missing: CV 66591 "Anne of Green Gables" 2010 TidalWave Productions 4 issues — far (gap 6), found by 'Anne of Green Gables' (via CV candidate name "Anne of Green Gables"); invisible before TODO 30
S1116	g	provider-missing: CV 111397 "Ant-Man & the Wasp" 2018 Marvel 5 issues — far (gap 5), found by 'Ant-Man & the Wasp' (via CV candidate name "Ant-Man & the Wasp"); invisible before TODO 30
S1116	g	provider-missing: CV 115033 "Ant-Man and the Wasp: Lost and Found" 2018 Marvel 1 issues — far (gap 5), found by 'Ant-Man and the Wasp: Lost and Found' (via CV candidate name "Ant-Man and the Wasp: Lost and Found"); invisible before TODO 30
S1117	g	S cv=-: CV 82823 "Ant-Man/Giant-Man Epic Collection: The Man In the Ant Hill" 2015 Marvel 1 issues — near (gap 0), found by 'Ant-Man/Giant-Man Epic Collection: The Man In the Ant Hill' (via CV candidate name "Ant-Man/Giant-Man Epic Collection: The Man In the Ant Hill"); invisible before TODO 30
S1172	g	provider-missing: CV 154374 "Aquaman and the Lost Kingdom Special" 2023 DC Comics 1 issues — near (gap 1), found by 'Aquaman and the Lost Kingdom Special' (via GCD name "Aquaman and the Lost Kingdom Special"); invisible before TODO 30
S1203	g	provider-missing: CV 71594 "Archer and Armstrong: Archer" 2014 DMG/Valiant Entertainment 1 issues — far (gap 7), found by 'Archer and Armstrong: Archer' (via CV candidate name "Archer and Armstrong: Archer"); invisible before TODO 30
S1204	g	provider-missing: CV 71594 "Archer and Armstrong: Archer" 2014 DMG/Valiant Entertainment 1 issues — far (gap 6), found by 'Archer and Armstrong: Archer' (via CV candidate name "Archer and Armstrong: Archer"); invisible before TODO 30
S1205	g	provider-missing: CV 72971 "Archer Coe and the Thousand Natural Shocks" 2014 Oni Press 14 issues — far (gap 4), found by 'Archer Coe and the Thousand Natural Shocks' (via CV candidate name "Archer Coe and the Thousand Natural Shocks"); invisible before TODO 30
S1205	g	provider-missing: CV 75198 "Archer Coe and the Thousand Natural Shocks" 2014 Oni Press 1 issues — far (gap 4), found by 'Archer Coe and the Thousand Natural Shocks' (via CV candidate name "Archer Coe and the Thousand Natural Shocks"); invisible before TODO 30
S1205	g	provider-missing: CV 31408 "Spider-Man/Dr. Strange: "The Way to Dusty Death"" 1992 Marvel 1 issues — far (gap 26), found by 'Spider-Man/Dr. Strange: "The Way to Dusty Death"' (via CV candidate name "Spider-Man/Dr. Strange: "The Way to Dusty Death""); invisible before TODO 30
S1207	g	provider-missing: CV 71594 "Archer and Armstrong: Archer" 2014 DMG/Valiant Entertainment 1 issues — far (gap 10), found by 'Archer and Armstrong: Archer' (via CV candidate name "Archer and Armstrong: Archer"); invisible before TODO 30
S1221	g	S cv=-+provider-missing: CV 24362 "An Archie Special Edition, Christmas and Archie" 1975 Archie Comics 1 issues — far (gap 37), found by 'An Archie Special Edition, Christmas and Archie' (via CV candidate name "An Archie Special Edition, Christmas and Archie"); invisible before TODO 30
S1224	g	provider-missing: CV 117753 "Archie, The Man From R.I.V.E.R.D.A.L.E." 2019 Archie Comics 1 issues — far (gap 8), found by 'Archie: The Man From R.I.V.E.R.D.A.L.E.' (own spelling); invisible before TODO 30
S1297	g	provider-missing: CV 64980 "Defenders of Europe" 2011 Emmetre Edizioni 2 issues — far (gap 12), found by 'Defenders of Europe' (via CV candidate name "Defenders of Europe"); invisible before TODO 30
S1324	g	S cv=-+provider-missing: CV 133903 "Ms. Marvel: Army of One" 2021 Marvel 1 issues — far (gap 3), found by 'Ms. Marvel: Army of One' (via CV candidate name "Ms. Marvel: Army of One"); invisible before TODO 30
S1324	g	S cv=-+provider-missing: CV 50870 "The Punisher: Army of One" 2002 Marvel 1 issues — far (gap 22), found by 'The Punisher: Army of One' (via CV candidate name "The Punisher: Army of One"); invisible before TODO 30
S1336	g	provider-missing: CV 77249 "The Art of Vampirella: The Dynamite Years" 2014 Dynamite Entertainment 1 issues — far (gap 2), found by 'The Art of Vampirella: The Dynamite Years' (via CV candidate name "The Art of Vampirella: The Dynamite Years"); invisible before TODO 30
S1336	g	provider-missing: CV 131184 "The Dynamite Art of Lucio Parrillo" 2020 Dynamite Entertainment 1 issues — far (gap 4), found by 'The Dynamite Art of Lucio Parrillo' (via CV candidate name "The Dynamite Art of Lucio Parrillo"); invisible before TODO 30
S1336	g	provider-missing: CV 49784 "Dynamite Art of Alex Ross" 2011 Dynamite Entertainment 1 issues — far (gap 5), found by 'Dynamite Art of Alex Ross' (via CV candidate name "Dynamite Art of Alex Ross"); invisible before TODO 30
S1349	g	provider-missing: CV 162656 "As the Gods Will" 2024 Kodansha Comics USA 5 issues — far (gap 9), found by 'As the Gods Will' (via CV candidate name "As the Gods Will"); invisible before TODO 30
S1351	g	S cv=-+provider-missing: CV 162656 "As the Gods Will" 2024 Kodansha Comics USA 5 issues — far (gap 13), found by 'As the Gods Will' (own spelling); invisible before TODO 30
S1352	g	provider-missing: CV 81727 "Worlds of Aspen 2015" 2015 Aspen MLT 1 issues — far (gap 4), found by 'Worlds of Aspen 2015' (via CV candidate name "Worlds of Aspen 2015"); invisible before TODO 30
S1362	g	provider-missing: CV 118833 "Ask For Mercy: The Key To Forever" 2019 Comicraft 1 issues — near (gap 1), found by 'Ask For Mercy: The Key To Forever' (own spelling); invisible before TODO 30
S1363	g	provider-missing: CV 118833 "Ask For Mercy: The Key To Forever" 2019 Comicraft 1 issues — far (gap 3), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1363	g	provider-missing: CV 111306 "Ask For Mercy: The Key To Forever" 2018 Comicraft 6 issues — far (gap 4), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1364	g	provider-missing: CV 118833 "Ask For Mercy: The Key To Forever" 2019 Comicraft 1 issues — near (gap 1), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1364	g	provider-missing: CV 136542 "Ask For Mercy Season Three: World of Disquiet" 2021 Comicraft 1 issues — near (gap 1), found by 'Ask For Mercy Season Three: World of Disquiet' (own spelling); invisible before TODO 30
S1364	g	provider-missing: CV 111306 "Ask For Mercy: The Key To Forever" 2018 Comicraft 6 issues — far (gap 2), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1365	g	provider-missing: CV 118833 "Ask For Mercy: The Key To Forever" 2019 Comicraft 1 issues — near (gap 0), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1365	g	provider-missing: CV 111306 "Ask For Mercy: The Key To Forever" 2018 Comicraft 6 issues — near (gap 1), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1365	g	provider-missing: CV 127940 "Ask For Mercy Season Two: The Heart of the Earth" 2020 Comicraft 1 issues — near (gap 1), found by 'Ask For Mercy Season Two: The Heart of the Earth' (via CV name "Ask For Mercy Season Two: The Heart of the Earth"); invisible before TODO 30
S1366	g	provider-missing: CV 118833 "Ask For Mercy: The Key To Forever" 2019 Comicraft 1 issues — near (gap 0), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1366	g	provider-missing: CV 111306 "Ask For Mercy: The Key To Forever" 2018 Comicraft 6 issues — near (gap 1), found by 'Ask For Mercy: The Key To Forever' (via CV candidate name "Ask For Mercy: The Key To Forever"); invisible before TODO 30
S1480	g	provider-missing: CV 88227 "On the Outside" ? Estrada Media Publishing 1 issues — far, found by 'On the Outside' (via CV candidate name "On the Outside"); invisible before TODO 30
S1502	g	provider-missing: CV 49506 "Nickelodeon Avatar: The Last Airbender - The Lost Adventures" 2011 Dark Horse Comics 1 issues — far (gap 9), found by 'Nickelodeon Avatar: The Last Airbender - The Lost Adventures' (via CV candidate name "Nickelodeon Avatar: The Last Airbender - The Lost Adventures"); invisible before TODO 30
S1502	g	provider-missing: CV 19410 "Avatar: The Last Airbender" 2006 Tokyopop 8 issues — far (gap 14), found by 'Avatar: The Last Airbender' (via CV candidate name "Avatar: The Last Airbender"); invisible before TODO 30
S1589	g	S cv=-: CV 109182 "Avengers Epic Collection: The Collection Obsession" 2018 Marvel 1 issues — far (gap 4), found by 'Avengers Epic Collection: The Collection Obsession' (via CV name "Avengers Epic Collection: The Collection Obsession"); invisible before TODO 30
S1589	g	S cv=-: CV 153155 "Avengers Epic Collection: The Gathering" 2023 Marvel 1 issues — far (gap 9), found by 'Avengers Epic Collection: The Gathering' (via CV candidate name "Avengers Epic Collection: The Gathering"); invisible before TODO 30
S1622	g	provider-missing: CV 109592 "Avengers: Shards of Infinity" 2018 Marvel 1 issues — far (gap 24), found by 'Avengers: Shards of Infinity' (via GCD name "Avengers: Shards of Infinity"); invisible before TODO 30
S1624	g	provider-missing: CV 7261 "Avengers Two: Wonder Man and Beast" 2000 Marvel 3 issues — far (gap 23), found by 'Avengers Two: Wonder Man and Beast' (via CV candidate name "Avengers Two: Wonder Man and Beast"); invisible before TODO 30
S1645	g	provider-missing: CV 39533 "Avengers and the Infinity Gauntlet" 2011 Marvel 1 issues — near (gap 1), found by 'Avengers and the Infinity Gauntlet' (own spelling); invisible before TODO 30
S1675	g	provider-missing: CV 103633 "X-Men: Gold: Back To The Basics" 2017 Marvel 1 issues — near (gap 1), found by 'X-Men: Gold: Back To The Basics' (via CV candidate name "X-Men: Gold: Back To The Basics"); invisible before TODO 30
S1690	g	S cv=-: CV 38960 "Lockjaw and the Pet Avengers Unleashed" 2011 Marvel 1 issues — far (gap 6), found by 'Lockjaw and the Pet Avengers Unleashed' (via CV candidate name "Lockjaw and the Pet Avengers Unleashed"); invisible before TODO 30
S1690	g	S cv=-: CV 31901 "Lockjaw and the Pet Avengers Unleashed" 2010 Marvel 4 issues — far (gap 7), found by 'Lockjaw and the Pet Avengers Unleashed' (via CV candidate name "Lockjaw and the Pet Avengers Unleashed"); invisible before TODO 30
S1754	g	provider-missing: CV 78581 "Soppy: A Love Story" 2014 Andrews McMeel Publishing 1 issues — far (gap 6), found by 'Soppy: A Love Story' (via CV candidate name "Soppy: A Love Story"); invisible before TODO 30
S1794	g	provider-missing: CV 122904 "The Regiment - The True Story of the SAS" 2019 Cinebook 3 issues — far (gap 2), found by 'The Regiment - The True Story of the SAS' (via CV candidate name "The Regiment - The True Story of the SAS"); invisible before TODO 30
S1794	g	provider-missing: CV 115230 "The Regiment – The True Story of the SAS" 2018 Europe Comics 3 issues — far (gap 3), found by 'The Regiment - The True Story of the SAS' (via CV candidate name "The Regiment - The True Story of the SAS"); invisible before TODO 30
S1797	g	provider-missing: CV 56741 "Bring Back the Bad Guys" 1998 Marvel 1 issues — far (gap 12), found by 'Bring Back the Bad Guys' (via CV candidate name "Bring Back the Bad Guys"); invisible before TODO 30
S1804	g	provider-missing: CV 89860 "Big Book of Australian Adventure" 1944 Syd Nicholls 1 issues — far (gap 79), found by 'Big Book of Australian Adventure' (via CV candidate name "Big Book of Australian Adventure"); invisible before TODO 30
S1810	g	S cv=-: CV 5829 "A Decade of Dark Horse" 1996 Dark Horse Comics 4 issues — far (gap 15), found by 'A Decade of Dark Horse' (via CV candidate name "A Decade of Dark Horse"); invisible before TODO 30
S1822	g	provider-missing: CV 21601 "Aspen: The Extended Edition" 2004 Aspen MLT 1 issues — far (gap 9), found by 'Aspen: The Extended Edition' (via CV candidate name "Aspen: The Extended Edition"); invisible before TODO 30
S1878	g	provider-missing: CV 92351 "Batgirl & the Birds of Prey: Rebirth" 2016 DC Comics 1 issues — near (gap 0), found by 'Batgirl & the Birds of Prey: Rebirth' (via CV candidate name "Batgirl & the Birds of Prey: Rebirth"); invisible before TODO 30
S1878	g	provider-missing: CV 85740 "Birds of Prey" 2015 DC Comics 3 issues — near (gap 1), found by 'Birds of Prey' (via CV candidate name "Birds of Prey"); invisible before TODO 30
S1878	g	provider-missing: CV 100560 "Batgirl and the Birds of Prey" 2017 DC Comics 3 issues — near (gap 1), found by 'Batgirl and the Birds of Prey' (own spelling); invisible before TODO 30
S1878	g	provider-missing: CV 52139 "Birds of Prey" 2012 DC Comics 5 issues — far (gap 4), found by 'Birds of Prey' (via CV candidate name "Birds of Prey"); invisible before TODO 30
S1878	g	provider-missing: CV 127620 "Birds of Prey" 2020 DC Comics 1 issues — far (gap 4), found by 'Birds of Prey' (via CV candidate name "Birds of Prey"); invisible before TODO 30
S1878	g	provider-missing: CV 42806 "Birds of Prey" 2011 DC Comics 35 issues — far (gap 5), found by 'Birds of Prey' (via CV candidate name "Birds of Prey"); invisible before TODO 30
S1897	g	provider-missing: CV 59061 "Wolverine: An Origin Story" 2013 Marvel 1 issues — far (gap 2), found by 'Wolverine: An Origin Story' (via CV candidate name "Wolverine: An Origin Story"); invisible before TODO 30
S1897	g	provider-missing: CV 41622 "DC Retroactive: Batman - The '80s" 2011 DC Comics 1 issues — far (gap 4), found by 'DC Retroactive: Batman - The '80s' (via CV candidate name "DC Retroactive: Batman - The '80s"); invisible before TODO 30
S1897	g	provider-missing: CV 19965 "Batman and Other DC Classics" 1989 DC Comics 1 issues — far (gap 26), found by 'Batman and Other DC Classics' (via CV candidate name "Batman and Other DC Classics"); invisible before TODO 30
S1928	g	provider-missing: CV 38846 "DC Comics Classics Library: Batman - A Death In the Family" 2009 DC Comics 1 issues — far (gap 7), found by 'DC Comics Classics Library: Batman - A Death In the Family' (via CV candidate name "DC Comics Classics Library: Batman - A Death In the Family"); invisible before TODO 30
S1943	g	provider-missing: CV 156489 "Batman and Robin 2024 Annual" 2024 DC Comics 1 issues — near (gap 0), found by 'Batman and Robin 2024 Annual' (via CV candidate name "Batman and Robin 2024 Annual"); invisible before TODO 30
S1943	g	provider-missing: CV 115037 "Batman and Robin: Bad Blood: DC Essential Edition" 2018 DC Comics 1 issues — far (gap 6), found by 'Batman and Robin: Bad Blood: DC Essential Edition' (via CV candidate name "Batman and Robin: Bad Blood: DC Essential Edition"); invisible before TODO 30
S1951	g	provider-missing: CV 44043 "DC Comics Presents: Catwoman - Guardian of Gotham" 2011 DC Comics 1 issues — far (gap 5), found by 'DC Comics Presents: Catwoman - Guardian of Gotham' (via CV candidate name "DC Comics Presents: Catwoman - Guardian of Gotham"); invisible before TODO 30
S2094	g	provider-missing: CV 59240 "Brenda Starr, Reporter: The Collected Dailies and Sundays" 2012 Hermes Press 1 issues — far, found by 'Brenda Starr, Reporter: The Collected Dailies and Sundays' (via CV candidate name "Brenda Starr, Reporter: The Collected Dailies and Sundays"); invisible before TODO 30
S2094	g	provider-missing: CV 80173 "Roy Rogers, King of the Cowboys: The Collected Dailies and Sundays" 2011 Hermes Press 1 issues — far, found by 'Roy Rogers, King of the Cowboys: The Collected Dailies and Sundays' (via CV candidate name "Roy Rogers, King of the Cowboys: The Collected Dailies and Sundays"); invisible before TODO 30
S2094	g	provider-missing: CV 112574 "Dark Shadows: The Complete Newspaper Dailies and Sundays" 2018 Hermes Press 1 issues — far, found by 'Dark Shadows: The Complete Newspaper Dailies and Sundays' (via CV candidate name "Dark Shadows: The Complete Newspaper Dailies and Sundays"); invisible before TODO 30
S2120	g	provider-missing: CV 82397 "Batman Noir: The Dark Knight Returns" 2015 DC Comics 1 issues — far (gap 7), found by 'Batman Noir: The Dark Knight Returns' (via CV candidate name "Batman Noir: The Dark Knight Returns"); invisible before TODO 30
