# shelves from the split lane (new + kept halves) — feed to next_batch.py --revisit-file
# S<sid>	<key>	run=<json|->	<P- file>	new|kept
S102551	The Cabinet (2016)	run={"cv": 116091, "gcd": 136569}	P-002.jsonl	new
S102552	The Cape: 1969 (2012)	run={"cv": 49891, "gcd": 66593}	P-002.jsonl	new
S102554	The Horror (2024)	run={"gcd": 210953}	P-002.jsonl	new
S102553	The End (2020)	run={"cv": 129901, "gcd": 172126}	P-002.jsonl	new
S102555	The House (2021)	run={"cv": 139996, "gcd": 177557}	P-002.jsonl	new
S102524	Lone Sloane: Babel (2023)	run={"cv": 154360, "gcd": 209446}	P-002.jsonl	new
S102556	The Sandman Universe Special: Thessaly (2023)	run={"cv": 152647, "gcd": 202675}	P-002.jsonl	new
S102558	The True Lives of the Fabulous Killjoys: National Anthem (2020)	run={"cv": 131183, "gcd": 165065}	P-002.jsonl	new
S102559	The Unstoppable Wasp v2 (2018)	run={"cv": 114425, "gcd": 131612}	P-002.jsonl	new
S102560	Transformers/G.I. Joe: First Strike - Champions (2018)	run={"cv": 108556, "gcd": 159382}	P-002.jsonl	new
S102561	Valiant Universe Handbook 2015 Edition (2015)	run={"cv": 81828, "gcd": 115440}	P-002.jsonl	new
S102543	Shadowhawk/Vampirella (1995)	run={"cv": 74148, "gcd": 5421}	P-002.jsonl	new
S102562	Van Helsing (2021)	run={"cv": 133354}	P-002.jsonl	new
S102563	World Without End (2022)	run={"cv": 144164}	P-002.jsonl	new
S102515	Hellfire Gala Guide 2022 (2022)	run={"cv": 143736}	P-002.jsonl	new
S102565	Xena: Warrior Princess: Dark Xena (2007)	run={"cv": 21992, "gcd": 26583}	P-002.jsonl	new
S102566	Zombies vs Cheerleaders: St. Patty's Day Special (2015)	run={"cv": 80473, "gcd": 86930}	P-002.jsonl	new
S102567	Zorro Masters v2 (2022)	run={"cv": 146798, "gcd": 192717}	P-002.jsonl	new
S102540	Rogues (2024)	run={"cv": 156200}	P-002.jsonl	new
S102484	A Cosplayers Christmas (2016)	run={"cv": 95725, "gcd": 109650}	P-002.jsonl	new
S102505	Crossed 2014 Annual (2014)	run={"cv": 73250, "gcd": 80470}	P-002.jsonl	new
S102564	X-Force / Cable '97 (1997)	run={"cv": 20139, "gcd": 9808}	P-002.jsonl	new
S102506	Crossed 2014 Special (2014)	run={"cv": 77701, "gcd": 103624}	P-002.jsonl	new
S102485	Alabaster: Grimmer Tales (2014)	run={"cv": 73408}	P-002.jsonl	new
S102486	Alabaster: The Good, the Bad, and the Bird (2015)	run={"cv": 86519, "gcd": 94764}	P-002.jsonl	new
S102488	Archie Halloween Spectacular (2019)	run={"cv": 121753, "gcd": 150815}	P-002.jsonl	new
S102489	Archie Halloween Spectacular (2024)	run={"cv": 160211, "gcd": 216061}	P-002.jsonl	new
S102492	Artesia Afield (2000)	run={"cv": 10885, "gcd": 11805}	P-002.jsonl	new
S102493	Artesia Afire (2003)	run={"cv": 25125, "gcd": 11906}	P-002.jsonl	new
S102491	Army of Darkness: Ash Gets Hitched (2014)	run={"cv": 75717, "gcd": 81836}	P-002.jsonl	new
S102490	Army of Darkness (2014)	run={"cv": 78551, "gcd": 85020}	P-002.jsonl	new
S102518	Infinity (2013)	run={"cv": 66319, "gcd": 75977}	P-002.jsonl	new
S102495	Back to the Future: Biff to the Future (2017)	run={"cv": 105922, "gcd": 111739}	P-002.jsonl	new
S102494	Back to the Future Cover Gallery (2016)	run={"cv": 89577}	P-002.jsonl	new
S102496	Barb Wire (1994)	run={"cv": 18756, "gcd": 20039}	P-002.jsonl	new
S102498	Batman: The Adventures Continue Season Two (2021)	run={"cv": 136532, "gcd": 172886}	P-002.jsonl	new
S102497	Batman: The Adventures Continue Season Three (2023)	run={"cv": 147441, "gcd": 194793}	P-002.jsonl	new
S102499	Betty and Veronica (2016)	run={"cv": 92353, "gcd": 104422}	P-002.jsonl	new
S102500	Bram Stoker's Dracula by Georges Bess (2023)	run={"cv": 156751}	P-002.jsonl	new
S102501	Brilliant (2022)	run={"cv": 147229, "gcd": 192000}	P-002.jsonl	new
S102502	Buffy: The High School Years: Glutton for Punishment (2016)	run={"cv": 94998, "gcd": 108406}	P-002.jsonl	new
S102503	Buffy: The High School Years: Parental Parasite (2017)	run={"cv": 102450, "gcd": 115173}	P-002.jsonl	new
S102504	CBLDF Banned Books Week Handbook (2015)	run={"cv": 84314}	P-002.jsonl	new
S7601	moved out -> S102508 "Glitterbomb: The Fame Game (2017)"	run=-	P-002.jsonl	kept
S7616	moved out -> S102509 "Goblin: The Wolf and the Well (2024)"	run=-	P-002.jsonl	kept
S7872	moved out -> S102510 "Green Arrow: Year One (2007)"	run=-	P-002.jsonl	kept
S8121	moved out -> S102511 "Grrl Scouts: Stone Ghost (2021)"	run=-	P-002.jsonl	kept
S8262	moved out -> S102512 "Hacktivist v2 (2015)"	run=-	P-002.jsonl	kept
S8494	moved out -> S102520 "Joseph Conrad's Heart of Darkness (2019)"	run=-	P-002.jsonl	kept
S8716	moved out -> S102513 "Heavy Vinyl: Y2K-O! (2020)"	run=-	P-002.jsonl	kept
S8752	moved out -> S102514 "Hellboy Universe Essentials: Lobster Johnson (2022)"	run=-	P-002.jsonl	kept
S8993	moved out -> S102516 "Hound (2024)"	run=-	P-002.jsonl	kept
S9316	moved out -> S102517 "Impact Winter: Rook (2023)"	run=-	P-002.jsonl	kept
S9547	moved out -> S102519 "Invincible Compendium (2011)"	run=-	P-002.jsonl	kept
S10440	moved out -> S102521 "Klaus: The New Adventures of Santa Claus (2018)"	run=-	P-002.jsonl	kept
S10686	moved out -> S102522 "Legion of Monsters (2011)"	run=-	P-002.jsonl	kept
S10851	moved out -> S102523 "Lockjaw and the Pet Avengers Unleashed (2010)"	run=-	P-002.jsonl	kept
S11041	moved out -> S102525 "Lucas Stand: Inner Demons (2018)"	run=-	P-002.jsonl	kept
S11156	moved out -> S102526 "Madballs vs Garbage Pail Kids: Time Again, Slime Again (2023)"	run=-	P-002.jsonl	kept
S11621	moved out -> S102541 "Rom and the X-Men: Marvel Tales (2024)"	run=-	P-002.jsonl	kept
S11845	moved out -> S102550 "The Art of Masters of the Universe: Origins and Masterverse (2023)"	run=-	P-002.jsonl	kept
S11862	moved out -> S102527 "Maybe... Maybe Not (2016)"	run=-	P-002.jsonl	kept
S11869	moved out -> S102528 "Mean Girls Club: Pink Dawn (2018)"	run=-	P-002.jsonl	kept
S11901	moved out -> S102529 "Melody (2023)"	run=-	P-002.jsonl	kept
S11960	moved out -> S102530 "Metalshark Bro: Assault on Hamzig Island (2020)"	run=-	P-002.jsonl	kept
S12074	moved out -> S102549 "Tales Through the Marvel Universe (2019)"	run=-	P-002.jsonl	kept
S12102	moved out -> S102531 "Millarworld Annual 2017 (2017)"	run=-	P-002.jsonl	kept
S12471	moved out -> S102532 "Multiple Warheads: Ghost Throne (2018)"	run=-	P-002.jsonl	kept
S12543	moved out -> S102533 "My Little Pony Equestria Girls: Canterlot High: March Radness (2020)"	run=-	P-002.jsonl	kept
S12547	moved out -> S102534 "My Little Pony Holiday Special (2019)"	run=-	P-002.jsonl	kept
S12848	moved out -> S102535 "New Talent Showcase 2017 (2018)"	run=-	P-002.jsonl	kept
S13019	moved out -> S102536 "No One Left to Fight II (2021)"	run=-	P-002.jsonl	kept
S13483	moved out -> S102537 "Over My Dead Body: A Witchy Graphic Novel (2022)"	run=-	P-002.jsonl	kept
S14229	moved out -> S102538 "Punk Mambo (2014)"	run=-	P-002.jsonl	kept
S14575	moved out -> S102539 "Renato Jones, Season Two: Freelancer (2017)"	run=-	P-002.jsonl	kept
S15070	moved out -> S102542 "Saturday AM Annual 2024 (2024)"	run=-	P-002.jsonl	kept
S15095	moved out -> S102487 "All-New Savage She-Hulk (2009)"	run=-	P-002.jsonl	kept
S15478	moved out -> S102557 "The Shaolin Cowboy: Who'll Stop the Reign? (2017)"	run=-	P-002.jsonl	kept
S15489	moved out -> S102507 "Future State: Shazam! (2021)"	run=-	P-002.jsonl	kept
S15889	moved out -> S102544 "Songs for the Dead: Afterlife (2023)"	run=-	P-002.jsonl	kept
S16366	moved out -> S102545 "Stairway Anthology (2020)"	run=-	P-002.jsonl	kept
S16723	moved out -> S102546 "Star Wars: The High Republic Adventures: Galactic Bake-Off Spectacular (2022)"	run=-	P-002.jsonl	kept
S16926	moved out -> S102547 "Stranger Things and Dungeons & Dragons (2020)"	run=-	P-002.jsonl	kept
S17343	moved out -> S102548 "Supermassive (2024)"	run=-	P-002.jsonl	kept
S18190	moved out -> S102551 "The Cabinet (2016)"	run=-	P-002.jsonl	kept
S18194	moved out -> S102552 "The Cape: 1969 (2012)"	run=-	P-002.jsonl	kept
S18333	moved out -> S102554 "The Horror (2024)"	run=-	P-002.jsonl	kept
S18524	moved out -> S102553 "The End (2020)"	run=-	P-002.jsonl	kept
S18794	moved out -> S102555 "The House (2021)"	run=-	P-002.jsonl	kept
S19356	moved out -> S102524 "Lone Sloane: Babel (2023)"	run=-	P-002.jsonl	kept
S19520	moved out -> S102556 "The Sandman Universe Special: Thessaly (2023)"	run=-	P-002.jsonl	kept
S19827	moved out -> S102558 "The True Lives of the Fabulous Killjoys: National Anthem (2020)"	run=-	P-002.jsonl	kept
S19869	moved out -> S102559 "The Unstoppable Wasp v2 (2018)"	run=-	P-002.jsonl	kept
S20411	moved out -> S102560 "Transformers/G.I. Joe: First Strike - Champions (2018)"	run=-	P-002.jsonl	kept
S20892	moved out -> S102561 "Valiant Universe Handbook 2015 Edition (2015)"	run=-	P-002.jsonl	kept
S20925	moved out -> S102543 "Shadowhawk/Vampirella (1995)"	run=-	P-002.jsonl	kept
S20957	moved out -> S102562 "Van Helsing (2021)"	run=-	P-002.jsonl	kept
S22049	moved out -> S102563 "World Without End (2022)"	run=-	P-002.jsonl	kept
S22273	moved out -> S102515 "Hellfire Gala Guide 2022 (2022)"	run=-	P-002.jsonl	kept
S22625	moved out -> S102565 "Xena: Warrior Princess: Dark Xena (2007)"	run=-	P-002.jsonl	kept
S22834	moved out -> S102566 "Zombies vs Cheerleaders: St. Patty's Day Special (2015)"	run=-	P-002.jsonl	kept
S22854	moved out -> S102567 "Zorro Masters v2 (2022)"	run=-	P-002.jsonl	kept
S29138	moved out -> S102540 "Rogues (2024)"	run=-	P-002.jsonl	kept
S34939	moved out -> S102484 "A Cosplayers Christmas (2016)"	run=-	P-002.jsonl	kept
S35134	moved out -> S102505 "Crossed 2014 Annual (2014)"	run=-	P-002.jsonl	kept
S36326	moved out -> S102564 "X-Force / Cable '97 (1997)"	run=-	P-002.jsonl	kept
S44317	moved out -> S102506 "Crossed 2014 Special (2014)"	run=-	P-002.jsonl	kept
S567	moved out -> S102485 "Alabaster: Grimmer Tales (2014)"; S102486 "Alabaster: The Good, the Bad, and the Bird (2015)"	run=-	P-002.jsonl	kept
S1246	moved out -> S102488 "Archie Halloween Spectacular (2019)"; S102489 "Archie Halloween Spectacular (2024)"	run=-	P-002.jsonl	kept
S1341	moved out -> S102492 "Artesia Afield (2000)"; S102493 "Artesia Afire (2003)"	run=-	P-002.jsonl	kept
S1357	moved out -> S102491 "Army of Darkness: Ash Gets Hitched (2014)"; S102490 "Army of Darkness (2014)"	run=-	P-002.jsonl	kept
S1527	moved out -> S102518 "Infinity (2013)"	run=-	P-002.jsonl	kept
S1764	moved out -> S102495 "Back to the Future: Biff to the Future (2017)"; S102494 "Back to the Future Cover Gallery (2016)"	run=-	P-002.jsonl	kept
S1826	moved out -> S102496 "Barb Wire (1994)"	run=-	P-002.jsonl	kept
S2015	moved out -> S102498 "Batman: The Adventures Continue Season Two (2021)"; S102497 "Batman: The Adventures Continue Season Three (2023)"	run=-	P-002.jsonl	kept
S2496	moved out -> S102499 "Betty and Veronica (2016)"	run=-	P-002.jsonl	kept
S3139	moved out -> S102500 "Bram Stoker's Dracula by Georges Bess (2023)"	run=-	P-002.jsonl	kept
S3171	moved out -> S102501 "Brilliant (2022)"	run=-	P-002.jsonl	kept
S3220	moved out -> S102502 "Buffy: The High School Years: Glutton for Punishment (2016)"; S102503 "Buffy: The High School Years: Parental Parasite (2017)"	run=-	P-002.jsonl	kept
S3296	moved out -> S102504 "CBLDF Banned Books Week Handbook (2015)"	run=-	P-002.jsonl	kept
