# X-026 -- item pass over twenty-four manga/OEL shelves (Captain Harlock/Classic Collection, Carole &
# Tuesday, Cat + Gamer, Cat-Eyed Boy, Cat Shit One, the six Cells at Work! shelves, Chaika, Chainsaw
# Man, the two Chi's Sweet shelves, Ciguatera, Citrus+, Claymore, Clockwork Planet, Crying Freeman,
# Cutie and the Beast, Dai Dark, Days on Fes, Daytime Shooting Star, Dead Mount Death Play). As in
# X-025, nearly every per-file GCD pick is a reused title-only stamp (one book's id copied across the
# whole shelf, sometimes jumping to a second wrong id partway through); several per-file CV picks are
# foreign-language or otherwise wrong twins. Every I line below comes from the shelf's own header pool
# (cv issues / gcd issues, ordinal-matched to the book's volume number), not the per-file pick, except
# where noted that the per-file pick agreed.

# S3533 Captain Harlock - The Classic Collection: per-file gcd reused 1815093/125766 (v01's row) on v02.
I 44225 cv=672154 gcd=1815093 isbn=978-1-626927-70-4 0.95 | CV 111382 issue #1 (672154) and GCD 125766 issue #1 (1815093, ISBN 978-1-626927-70-4) agree by ordinal in the shelf's own header pool
I 44244 cv=1046055 gcd=2572675 isbn=9781506727431 0.95 | CV 156380 issue #3 (1046055) and GCD 184397 issue #3 (2572675, ISBN 9781506727431) agree by ordinal in the shelf's own header pool
I 44245 cv=1048906 gcd=2612673 isbn=9781506736631 0.95 | CV 156380 issue #4 (1048906) and GCD 184397 issue #4 (2612673, ISBN 9781506736631) agree by ordinal in the shelf's own header pool
I 44246 cv=1063248 gcd=2645443 isbn=978-1-50673-664-8 0.95 | CV 156380 issue #5 (1063248) and GCD 184397 issue #5 (2645443, ISBN 978-1-50673-664-8) agree by ordinal in the shelf's own header pool

# S3671 Cat-Eyed Boy - The Perfect Edition: per-file gcd reused 2568343/203684 (v01's row) on v02.
I 42609 cv=1010135 gcd=2568343 isbn=978-1-9747-3885-4 0.95 | CV 153138 issue #1 (1010135) and GCD 203684 issue #1 (2568343, ISBN 978-1-9747-3885-4) agree by ordinal in the shelf's own header pool
I 42610 cv=1038436 gcd=2595474 isbn=978-1-9747-4101-4 0.95 | CV 153138 issue #2 (1038436) and GCD 203684 issue #2 (2595474, ISBN 978-1-9747-4101-4) agree by ordinal in the shelf's own header pool

# S3667 Cat Shit One: single omnibus book (404pp), unjudged, so no C is possible regardless. The
# per-file pick (cv -/133909, gcd 2390059/183868) landed on the shelf's floppy-run neighbours, not
# this book's own record. lookup.py "Cat Shit One" --contains surfaced GCD 186621 "Cat Shit One
# Omnibus" 2022-2022 Antarctic Press, 1 issue (2415808, ISBN 9781955929103) -- the exact edition.
# ComicVine has no matching omnibus volume among its three Cat Shit One floppy volumes (126022,
# 132286, 133909), so cv=-.
I 43114 cv=- gcd=2415808 isbn=9781955929103 0.9 | GCD 186621 "Cat Shit One Omnibus" 2022, its sole issue 2415808 (ISBN 9781955929103), is this exact 404pp omnibus; ComicVine has no matching omnibus volume among its three floppy Cat Shit One volumes

# S3705 Cells NOT at Work!: gcd=- shelf-wide (no gcd hit for any of the 4 books); per-file cv agreed.
I 43137 cv=720645 gcd=- 0.9 | CV 121663 issue #1 (720645) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v01
I 43138 cv=725968 gcd=- 0.9 | CV 121663 issue #2 (725968) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v02
I 43139 cv=794798 gcd=- 0.9 | CV 121663 issue #3 (794798) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v03
I 43140 cv=880439 gcd=- 0.9 | CV 121663 issue #4 (880439) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v04

# S3706 Cells at Work!: per-file gcd reused 1772813/119781 (v01's row) on v01-05, and v06 pointed at a wrong series.
I 43115 cv=556377 gcd=1772813 isbn=978-1-63236-356-5 0.95 | CV 95389 issue #1 (556377) and GCD 119781 issue #1 (1772813, ISBN 978-1-63236-356-5) agree by ordinal in the shelf's own header pool
I 43116 cv=571586 gcd=1772814 isbn=978-1-63236-357-2 0.95 | CV 95389 issue #2 (571586) and GCD 119781 issue #2 (1772814, ISBN 978-1-63236-357-2) agree by ordinal in the shelf's own header pool
I 43117 cv=589732 gcd=1772815 isbn=978-1-63236-390-9 0.95 | CV 95389 issue #3 (589732) and GCD 119781 issue #3 (1772815, ISBN 978-1-63236-390-9) agree by ordinal in the shelf's own header pool
I 43118 cv=594005 gcd=1772816 isbn=978-1-63236-391-6 0.95 | CV 95389 issue #4 (594005) and GCD 119781 issue #4 (1772816, ISBN 978-1-63236-391-6) agree by ordinal in the shelf's own header pool
I 43119 cv=640442 gcd=1772817 isbn=978-1-63236-426-5 0.95 | CV 95389 issue #5 (640442) and GCD 119781 issue #5 (1772817, ISBN 978-1-63236-426-5) agree by ordinal in the shelf's own header pool
I 43120 cv=881655 gcd=2259056 isbn=978-1-63236-427-2 0.95 | CV 95389 issue #6 (881655) and GCD 119781 issue #6 (2259056, ISBN 978-1-63236-427-2) agree by ordinal in the shelf's own header pool

# S3707 Cells at Work! CODE BLACK: per-file gcd reused 2014022/150077 (v01's row) on all 7.
I 43121 cv=717813 gcd=2014022 isbn=9781632368942 0.95 | CV 121038 issue #1 (717813) and GCD 150077 issue #1 (2014022, ISBN 9781632368942) agree by ordinal in the shelf's own header pool
I 43122 cv=725967 gcd=2035446 isbn=9781632368959 0.95 | CV 121038 issue #2 (725967) and GCD 150077 issue #2 (2035446, ISBN 9781632368959) agree by ordinal in the shelf's own header pool
I 43123 cv=734451 gcd=2058254 isbn=9781632368966 0.95 | CV 121038 issue #3 (734451) and GCD 150077 issue #3 (2058254, ISBN 9781632368966) agree by ordinal in the shelf's own header pool
I 43124 cv=743141 gcd=2094802 isbn=9781632369437 0.95 | CV 121038 issue #4 (743141) and GCD 150077 issue #4 (2094802, ISBN 9781632369437) agree by ordinal in the shelf's own header pool
I 43125 cv=763577 gcd=2133484 isbn=9781646510344 0.95 | CV 121038 issue #5 (763577) and GCD 150077 issue #5 (2133484, ISBN 9781646510344) agree by ordinal in the shelf's own header pool
I 43126 cv=814077 gcd=2159719 isbn=9781646511495 0.95 | CV 121038 issue #6 (814077) and GCD 150077 issue #6 (2159719, ISBN 9781646511495) agree by ordinal in the shelf's own header pool
I 43127 cv=848343 gcd=2224211 isbn=9781646511501 0.95 | CV 121038 issue #7 (848343) and GCD 150077 issue #7 (2224211, ISBN 9781646511501) agree by ordinal in the shelf's own header pool

# S3708 Cells at Work! Lady: gcd=- shelf-wide -- the shelf's own N note says GCD 236534 has zero
# issues today, confirmed provider-missing.
I 43128 cv=1061888 gcd=- 0.9 | CV 158701 issue #1 (1061888) is the shelf's own single leg, GCD 236534 is a zero-issue stub per the shelf's N note -- ordinal position matches our v01
I 43129 cv=1061889 gcd=- 0.9 | CV 158701 issue #2 (1061889) is the shelf's own single leg, GCD 236534 is a zero-issue stub per the shelf's N note -- ordinal position matches our v02
I 43130 cv=1061890 gcd=- 0.9 | CV 158701 issue #3 (1061890) is the shelf's own single leg, GCD 236534 is a zero-issue stub per the shelf's N note -- ordinal position matches our v03
I 43131 cv=1061891 gcd=- 0.9 | CV 158701 issue #4 (1061891) is the shelf's own single leg, GCD 236534 is a zero-issue stub per the shelf's N note -- ordinal position matches our v04
I 43132 cv=1061892 gcd=- 0.9 | CV 158701 issue #5 (1061892) is the shelf's own single leg, GCD 236534 is a zero-issue stub per the shelf's N note -- ordinal position matches our v05

# S3710 Cells at Work! White Brigade: gcd=- shelf-wide, no gcd hit for any book.
I 43133 cv=896704 gcd=- 0.9 | CV 140322 issue #1 (896704) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v01
I 43134 cv=964177 gcd=- 0.9 | CV 140322 issue #2 (964177) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v02
I 43135 cv=964180 gcd=- 0.9 | CV 140322 issue #3 (964180) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v03
I 43136 cv=981941 gcd=- 0.9 | CV 140322 issue #4 (981941) is the shelf's own single leg, GCD holds nothing for this title -- ordinal position matches our v04

# S3731 Chaika - The Coffin Princess: per-file cv is a foreign twin (vol 6735) and per-file gcd reused 1923814/140281 on all 3.
I 40676 cv=492973 gcd=1923814 0.95 | CV 82819 issue #1 (492973) and GCD 140281 issue #1 (1923814) agree by ordinal in the shelf's own header pool
I 40677 cv=500935 gcd=1923815 0.95 | CV 82819 issue #2 (500935) and GCD 140281 issue #2 (1923815) agree by ordinal in the shelf's own header pool
I 40678 cv=508255 gcd=1923816 0.95 | CV 82819 issue #3 (508255) and GCD 140281 issue #3 (1923816) agree by ordinal in the shelf's own header pool

# S3733 Chainsaw Man: per-file cv is a foreign twin (vol 167946) on all 15; per-file gcd jumps from a wrong
I 44247 cv=805343 gcd=2153267 isbn=978-1-9747-0993-9 0.95 | CV 130799 issue #1 (805343) and GCD 164609 issue #1 (2153267, ISBN 978-1-9747-0993-9) agree by ordinal in the shelf's own header pool
I 44248 cv=819968 gcd=2171757 isbn=978-1-9747-0994-6 0.95 | CV 130799 issue #2 (819968) and GCD 164609 issue #2 (2171757, ISBN 978-1-9747-0994-6) agree by ordinal in the shelf's own header pool
I 44249 cv=827177 gcd=2195558 isbn=978-1-9747-0995-3 0.95 | CV 130799 issue #3 (827177) and GCD 164609 issue #3 (2195558, ISBN 978-1-9747-0995-3) agree by ordinal in the shelf's own header pool
I 44250 cv=841825 gcd=2215892 isbn=978-1-9747-1727-9 0.95 | CV 130799 issue #4 (841825) and GCD 164609 issue #4 (2215892, ISBN 978-1-9747-1727-9) agree by ordinal in the shelf's own header pool
I 44251 cv=856545 gcd=2230905 isbn=978-1-9747-1922-8 0.95 | CV 130799 issue #5 (856545) and GCD 164609 issue #5 (2230905, ISBN 978-1-9747-1922-8) agree by ordinal in the shelf's own header pool
I 44252 cv=876670 gcd=2252614 isbn=978-1-9747-2071-2 0.95 | CV 130799 issue #6 (876670) and GCD 164609 issue #6 (2252614, ISBN 978-1-9747-2071-2) agree by ordinal in the shelf's own header pool
I 44253 cv=888380 gcd=2268382 isbn=978-1-9747-2096-5 0.95 | CV 130799 issue #7 (888380) and GCD 164609 issue #7 (2268382, ISBN 978-1-9747-2096-5) agree by ordinal in the shelf's own header pool
I 44254 cv=897773 gcd=2286944 isbn=978-1-9747-2278-5 0.95 | CV 130799 issue #8 (897773) and GCD 164609 issue #8 (2286944, ISBN 978-1-9747-2278-5) agree by ordinal in the shelf's own header pool
I 44255 cv=906247 gcd=2305523 isbn=978-1-9747-2404-8 0.95 | CV 130799 issue #9 (906247) and GCD 164609 issue #9 (2305523, ISBN 978-1-9747-2404-8) agree by ordinal in the shelf's own header pool
I 44256 cv=914728 gcd=2385007 isbn=978-1-9747-2535-9 0.95 | CV 130799 issue #10 (914728) and GCD 164609 issue #10 (2385007, ISBN 978-1-9747-2535-9) agree by ordinal in the shelf's own header pool
I 44257 cv=930177 gcd=2410925 isbn=978-1-9747-2711-7 0.95 | CV 130799 issue #11 (930177) and GCD 164609 issue #11 (2410925, ISBN 978-1-9747-2711-7) agree by ordinal in the shelf's own header pool
I 44258 cv=1020556 gcd=2572416 isbn=978-1-9747-4058-1 0.95 | CV 130799 issue #12 (1020556) and GCD 164609 issue #12 (2572416, ISBN 978-1-9747-4058-1) agree by ordinal in the shelf's own header pool
I 44259 cv=1033177 gcd=2587582 isbn=978-1-9747-4102-1 0.95 | CV 130799 issue #13 (1033177) and GCD 164609 issue #13 (2587582, ISBN 978-1-9747-4102-1) agree by ordinal in the shelf's own header pool
I 44260 cv=1043865 gcd=2608277 isbn=978-1-9747-4358-2 0.95 | CV 130799 issue #14 (1043865) and GCD 164609 issue #14 (2608277, ISBN 978-1-9747-4358-2) agree by ordinal in the shelf's own header pool
I 44261 cv=1054342 gcd=2630869 isbn=978-1-9747-4640-8 0.95 | CV 130799 issue #15 (1054342) and GCD 164609 issue #15 (2630869, ISBN 978-1-9747-4640-8) agree by ordinal in the shelf's own header pool
#   v01 sub-series (164462) to another (191339) across v02-v15 -- both ignored for the header pool.

# S3804 Chi's Sweet Home: per-file cv is a foreign twin (vol 50579) on all 11; per-file gcd reused
I 43145 cv=267709 gcd=767207 isbn=978-1-934287-81-1 0.95 | CV 39661 issue #1 (267709) and GCD 50891 issue #1 (767207, ISBN 978-1-934287-81-1) agree by ordinal in the shelf's own header pool
I 43146 cv=267710 gcd=781307 isbn=978-1-934287-85-9 0.95 | CV 39661 issue #2 (267710) and GCD 50891 issue #2 (781307, ISBN 978-1-934287-85-9) agree by ordinal in the shelf's own header pool
I 43147 cv=267711 gcd=785324 isbn=978-1-934287-91-0 0.95 | CV 39661 issue #3 (267711) and GCD 50891 issue #3 (785324, ISBN 978-1-934287-91-0) agree by ordinal in the shelf's own header pool
I 43148 cv=267712 gcd=796401 isbn=978-1-934287-96-5 0.95 | CV 39661 issue #4 (267712) and GCD 50891 issue #4 (796401, ISBN 978-1-934287-96-5) agree by ordinal in the shelf's own header pool
I 43149 cv=267713 gcd=811858 isbn=9781934287132 0.95 | CV 39661 issue #5 (267713) and GCD 50891 issue #5 (811858, ISBN 9781934287132) agree by ordinal in the shelf's own header pool
I 43150 cv=277036 gcd=853056 isbn=978-1-935654-14-8 0.95 | CV 39661 issue #6 (277036) and GCD 50891 issue #6 (853056, ISBN 978-1-935654-14-8) agree by ordinal in the shelf's own header pool
I 43151 cv=302804 gcd=900950 isbn=978-1-935654-21-6 0.95 | CV 39661 issue #7 (302804) and GCD 50891 issue #7 (900950, ISBN 978-1-935654-21-6) agree by ordinal in the shelf's own header pool
I 43152 cv=320069 gcd=933129 isbn=978-1-935654-35-3 0.95 | CV 39661 issue #8 (320069) and GCD 50891 issue #8 (933129, ISBN 978-1-935654-35-3) agree by ordinal in the shelf's own header pool
I 43153 cv=355845 gcd=1038713 isbn=978-1-935654-42-1 0.95 | CV 39661 issue #9 (355845) and GCD 50891 issue #9 (1038713, ISBN 978-1-935654-42-1) agree by ordinal in the shelf's own header pool
I 43154 cv=424593 gcd=1448763 0.95 | CV 39661 issue #10 (424593) and GCD 50891 issue #10 (1448763) agree by ordinal in the shelf's own header pool
I 43155 cv=462952 gcd=1448764 0.95 | CV 39661 issue #11 (462952) and GCD 50891 issue #11 (1448764) agree by ordinal in the shelf's own header pool
#   767207/50891 (v01's row) on all 11; each file's ComicInfo Web is a comixology URL, not a CV/GCD id.

# S3803 Chi's Sweet Adventures: per-file gcd reused 1806328/124045 (v01's row) on all 4.
I 43141 cv=668576 gcd=1806328 isbn=9781945054822 0.95 | CV 110474 issue #1 (668576) and GCD 124045 issue #1 (1806328, ISBN 9781945054822) agree by ordinal in the shelf's own header pool
I 43142 cv=682337 gcd=1842008 isbn=9781947194113 0.95 | CV 110474 issue #2 (682337) and GCD 124045 issue #2 (1842008, ISBN 9781947194113) agree by ordinal in the shelf's own header pool
I 43143 cv=701147 gcd=1925918 isbn=9781947194649 0.95 | CV 110474 issue #3 (701147) and GCD 124045 issue #3 (1925918, ISBN 9781947194649) agree by ordinal in the shelf's own header pool
I 43144 cv=709963 gcd=1970491 isbn=9781947194755 0.95 | CV 110474 issue #4 (709963) and GCD 124045 issue #4 (1970491, ISBN 9781947194755) agree by ordinal in the shelf's own header pool

# S3864 Ciguatera: per-file cv is a foreign twin (vol 163610); per-file gcd reused 2277666/177849 on all 3.
I 43156 cv=894715 gcd=2277666 isbn=9781647290580 0.95 | CV 140166 issue #1 (894715) and GCD 177849 issue #1 (2277666, ISBN 9781647290580) agree by ordinal in the shelf's own header pool
I 43157 cv=916876 gcd=2401352 isbn=9781647290801 0.95 | CV 140166 issue #2 (916876) and GCD 177849 issue #2 (2401352, ISBN 9781647290801) agree by ordinal in the shelf's own header pool
I 43158 cv=929236 gcd=2418154 isbn=9781647290818 0.95 | CV 140166 issue #3 (929236) and GCD 177849 issue #3 (2418154, ISBN 9781647290818) agree by ordinal in the shelf's own header pool

# S3880 Citrus+: per-file gcd on both books points at a wholly different series (95117) -- header pool used.
I 44262 cv=727986 gcd=2069013 isbn=978-1-64275-688-3 0.95 | CV 122900 issue #1 (727986) and GCD 155827 issue #1 (2069013, ISBN 978-1-64275-688-3) agree by ordinal in the shelf's own header pool
I 44263 cv=819254 gcd=2166989 isbn=978-1-64505-733-8 0.95 | CV 122900 issue #2 (819254) and GCD 155827 issue #2 (2166989, ISBN 978-1-64505-733-8) agree by ordinal in the shelf's own header pool

# S3944 Claymore: per-file cv matched the header pool exactly on all 27 (the shelf's cv 21739 held).
# per-file gcd wandered across four sub-series (40259/54888/170354/209657); the header, queried
# directly on the shelf's own gcd 44635, carries the correct issue for all 27 volumes -- used throughout.
I 41764 cv=131148 gcd=732538 isbn=1421506181 0.95 | CV 21739 issue #1 (131148) and GCD 44635 issue #1 (732538, ISBN 1421506181) agree by ordinal within the shelf's own header pool, matching our v01
I 41765 cv=131152 gcd=732539 0.95 | CV 21739 issue #2 (131152) and GCD 44635 issue #2 (732539) agree by ordinal within the shelf's own header pool, matching our v02
I 41766 cv=131153 gcd=732540 0.95 | CV 21739 issue #3 (131153) and GCD 44635 issue #3 (732540) agree by ordinal within the shelf's own header pool, matching our v03
I 41767 cv=131154 gcd=732541 0.95 | CV 21739 issue #4 (131154) and GCD 44635 issue #4 (732541) agree by ordinal within the shelf's own header pool, matching our v04
I 41768 cv=131157 gcd=732542 0.95 | CV 21739 issue #5 (131157) and GCD 44635 issue #5 (732542) agree by ordinal within the shelf's own header pool, matching our v05
I 41769 cv=131158 gcd=732543 0.95 | CV 21739 issue #6 (131158) and GCD 44635 issue #6 (732543) agree by ordinal within the shelf's own header pool, matching our v06
I 41770 cv=131159 gcd=732544 0.95 | CV 21739 issue #7 (131159) and GCD 44635 issue #7 (732544) agree by ordinal within the shelf's own header pool, matching our v07
I 41771 cv=131160 gcd=732545 0.95 | CV 21739 issue #8 (131160) and GCD 44635 issue #8 (732545) agree by ordinal within the shelf's own header pool, matching our v08
I 41772 cv=131161 gcd=732546 0.95 | CV 21739 issue #9 (131161) and GCD 44635 issue #9 (732546) agree by ordinal within the shelf's own header pool, matching our v09
I 41773 cv=131163 gcd=732547 0.95 | CV 21739 issue #10 (131163) and GCD 44635 issue #10 (732547) agree by ordinal within the shelf's own header pool, matching our v10
I 41774 cv=131164 gcd=732548 0.95 | CV 21739 issue #11 (131164) and GCD 44635 issue #11 (732548) agree by ordinal within the shelf's own header pool, matching our v11
I 41775 cv=131268 gcd=732549 0.95 | CV 21739 issue #12 (131268) and GCD 44635 issue #12 (732549) agree by ordinal within the shelf's own header pool, matching our v12
I 41776 cv=131273 gcd=732550 0.95 | CV 21739 issue #13 (131273) and GCD 44635 issue #13 (732550) agree by ordinal within the shelf's own header pool, matching our v13
I 41777 cv=132374 gcd=732551 isbn=978-1-4215-2668-3 0.95 | CV 21739 issue #14 (132374) and GCD 44635 issue #14 (732551, ISBN 978-1-4215-2668-3) agree by ordinal within the shelf's own header pool, matching our v14
I 41778 cv=167759 gcd=732552 0.95 | CV 21739 issue #15 (167759) and GCD 44635 issue #15 (732552) agree by ordinal within the shelf's own header pool, matching our v15
I 41779 cv=217065 gcd=760254 0.95 | CV 21739 issue #16 (217065) and GCD 44635 issue #16 (760254) agree by ordinal within the shelf's own header pool, matching our v16
I 41780 cv=333731 gcd=795652 0.95 | CV 21739 issue #17 (333731) and GCD 44635 issue #17 (795652) agree by ordinal within the shelf's own header pool, matching our v17
I 41781 cv=273254 gcd=846908 0.95 | CV 21739 issue #18 (273254) and GCD 44635 issue #18 (846908) agree by ordinal within the shelf's own header pool, matching our v18
I 41782 cv=300960 gcd=956218 isbn=978-1-421-54078-8 0.95 | CV 21739 issue #19 (300960) and GCD 44635 issue #19 (956218, ISBN 978-1-421-54078-8) agree by ordinal within the shelf's own header pool, matching our v19
I 41783 cv=344210 gcd=956225 isbn=978-1-421-54211-9 0.95 | CV 21739 issue #20 (344210) and GCD 44635 issue #20 (956225, ISBN 978-1-421-54211-9) agree by ordinal within the shelf's own header pool, matching our v20
I 41784 cv=365809 gcd=1032843 isbn=978-1-4215-4880-7 0.95 | CV 21739 issue #21 (365809) and GCD 44635 issue #21 (1032843, ISBN 978-1-4215-4880-7) agree by ordinal within the shelf's own header pool, matching our v21
I 41785 cv=401254 gcd=1110177 isbn=978-1-4215-5238-5 0.95 | CV 21739 issue #22 (401254) and GCD 44635 issue #22 (1110177, ISBN 978-1-4215-5238-5) agree by ordinal within the shelf's own header pool, matching our v22
I 41786 cv=427742 gcd=1145620 isbn=978-1-4215-5883-7 0.95 | CV 21739 issue #23 (427742) and GCD 44635 issue #23 (1145620, ISBN 978-1-4215-5883-7) agree by ordinal within the shelf's own header pool, matching our v23
I 41787 cv=452373 gcd=1263880 0.95 | CV 21739 issue #24 (452373) and GCD 44635 issue #24 (1263880) agree by ordinal within the shelf's own header pool, matching our v24
I 41788 cv=469571 gcd=1263881 0.95 | CV 21739 issue #25 (469571) and GCD 44635 issue #25 (1263881) agree by ordinal within the shelf's own header pool, matching our v25
I 41789 cv=481464 gcd=1263882 0.95 | CV 21739 issue #26 (481464) and GCD 44635 issue #26 (1263882) agree by ordinal within the shelf's own header pool, matching our v26
I 41790 cv=501534 gcd=1677680 0.95 | CV 21739 issue #27 (501534) and GCD 44635 issue #27 (1677680) agree by ordinal within the shelf's own header pool, matching our v27

# S3979 Clockwork Planet: per-file cv is a foreign twin (vol 108994, blank on v05-07); per-file gcd
I 39382 cv=588427 gcd=1745532 0.95 | CV 100053 issue #1 (588427) and GCD 117701 issue #1 (1745532) agree by ordinal in the shelf's own header pool
I 39383 cv=595595 gcd=1745533 0.95 | CV 100053 issue #2 (595595) and GCD 117701 issue #2 (1745533) agree by ordinal in the shelf's own header pool
I 39384 cv=604935 gcd=1745534 0.95 | CV 100053 issue #3 (604935) and GCD 117701 issue #3 (1745534) agree by ordinal in the shelf's own header pool
I 39385 cv=615875 gcd=1745535 0.95 | CV 100053 issue #4 (615875) and GCD 117701 issue #4 (1745535) agree by ordinal in the shelf's own header pool
I 39386 cv=628317 gcd=1745536 isbn=9781632364661 0.95 | CV 100053 issue #5 (628317) and GCD 117701 issue #5 (1745536, ISBN 9781632364661) agree by ordinal in the shelf's own header pool
I 39387 cv=646294 gcd=1772733 isbn=9781632364678 0.95 | CV 100053 issue #6 (646294) and GCD 117701 issue #6 (1772733, ISBN 9781632364678) agree by ordinal in the shelf's own header pool
I 39388 cv=661261 gcd=1789036 isbn=9781632365422 0.95 | CV 100053 issue #7 (661261) and GCD 117701 issue #7 (1789036, ISBN 9781632365422) agree by ordinal in the shelf's own header pool
#   reused 1745532/117701 (v01's row) on all 7.

# S4435 Crying Freeman: per-file gcd reused 278031/17348 (v01's row) on all 5.
I 43159 cv=326662 gcd=278031 isbn=1-59307-478-6 0.95 | CV 47515 issue #1 (326662) and GCD 17348 issue #1 (278031, ISBN 1-59307-478-6) agree by ordinal in the shelf's own header pool
I 43160 cv=326665 gcd=328679 0.95 | CV 47515 issue #2 (326665) and GCD 17348 issue #2 (328679) agree by ordinal in the shelf's own header pool
I 43161 cv=326666 gcd=392953 0.95 | CV 47515 issue #3 (326666) and GCD 17348 issue #3 (392953) agree by ordinal in the shelf's own header pool
I 43162 cv=326667 gcd=392954 0.95 | CV 47515 issue #4 (326667) and GCD 17348 issue #4 (392954) agree by ordinal in the shelf's own header pool
I 43163 cv=326668 gcd=392955 isbn=978-1-59307-499-9 0.95 | CV 47515 issue #5 (326668) and GCD 17348 issue #5 (392955, ISBN 978-1-59307-499-9) agree by ordinal in the shelf's own header pool

# S4465 Cutie and the Beast: per-file cv is a foreign twin (vol 165789); per-file gcd reused 2156552/164782 on all 3.
I 44267 cv=808138 gcd=2156552 isbn=978-1-64505-642-3 0.95 | CV 131023 issue #1 (808138) and GCD 164782 issue #1 (2156552, ISBN 978-1-64505-642-3) agree by ordinal in the shelf's own header pool
I 44268 cv=825620 gcd=2187945 isbn=9781645059493 0.95 | CV 131023 issue #2 (825620) and GCD 164782 issue #2 (2187945, ISBN 9781645059493) agree by ordinal in the shelf's own header pool
I 44269 cv=872403 gcd=2246317 isbn=978-1-64827-254-7 0.95 | CV 131023 issue #3 (872403) and GCD 164782 issue #3 (2246317, ISBN 978-1-64827-254-7) agree by ordinal in the shelf's own header pool

# S4718 Dai Dark: per-file cv is a foreign twin (vol 140104); per-file gcd rotated between the header's
I 44270 cv=845074 gcd=2222554 isbn=978-1-64827-116-8 0.95 | CV 135601 issue #1 (845074) and GCD 172208 issue #1 (2222554, ISBN 978-1-64827-116-8) agree by ordinal in the shelf's own header pool
I 44271 cv=868414 gcd=2238239 isbn=978-1-64827-267-7 0.95 | CV 135601 issue #2 (868414) and GCD 172208 issue #2 (2238239, ISBN 978-1-64827-267-7) agree by ordinal in the shelf's own header pool
I 44272 cv=898822 gcd=2288193 isbn=978-1-64827-367-4 0.95 | CV 135601 issue #3 (898822) and GCD 172208 issue #3 (2288193, ISBN 978-1-64827-367-4) agree by ordinal in the shelf's own header pool
I 44273 cv=940601 gcd=2422901 isbn=978-1-63858-379-0 0.95 | CV 135601 issue #4 (940601) and GCD 172208 issue #4 (2422901, ISBN 978-1-63858-379-0) agree by ordinal in the shelf's own header pool
