# X-034 item batch: manga L-titles (Eizouken through Love in Hell). No C OWED markers anywhere in this packet, so
# every line is I (plus Lone Wolf's shelf N, already on record). The dominant shape across the whole batch: the
# per-file GCD pick reuses volume 1's title-only id across every book on a shelf (Eizouken, King in Limbo, Land of
# the Lustrous, Levius-est, Little Witch Academia, Love at Fourteen, Mobile-adjacent Gundam shelves not in this
# file); Knights of Sidonia and March-Story-style shelves show the stamp JUMP to a second wrong id partway (v13-15
# here); Love Hina is wrong on BOTH legs (cv volume 55275, gcd series 149110) against its own 5-book omnibus
# ladder. All corrected by ordinal from the shelf's own header cv/gcd pools. Lone Wolf and Cub is the one shelf
# where per-file was ALREADY right on both legs in both its rips (Minutemen and danke-Empire, 28 volumes each,
# confirming the shelf's own N about the two identical rips) - I lines just confirm them. Let's Kiss in Secret
# Tomorrow's gcd leg is the French Pika Édition (language pairing, inherits the shelf's 0.9). Love in Hell -
# Death Life's per-file carries no ids at all; filled entirely from the two-issue header pool.
I 45032 cv=982176 gcd=2523345 0.95 | header ladder #24 of CV 119612 / GCD 147349; corrected by ordinal
I 45033 cv=994270 gcd=2546200 0.95 | header ladder #25 of CV 119612 / GCD 147349; corrected by ordinal
I 45034 cv=1006236 gcd=2563806 0.95 | header ladder #26 of CV 119612 / GCD 147349; corrected by ordinal
I 45035 cv=1024116 gcd=2572813 0.95 | header ladder #27 of CV 119612 / GCD 147349; corrected by ordinal
I 45036 cv=1039743 gcd=2597378 0.95 | header ladder #28 of CV 119612 / GCD 147349; corrected by ordinal
I 45037 cv=1051074 gcd=2622663 0.95 | header ladder #29 of CV 119612 / GCD 147349; corrected by ordinal
I 45038 cv=1062689 gcd=2649570 0.95 | header ladder #30 of CV 119612 / GCD 147349; corrected by ordinal
I 45039 cv=604946 gcd=1746078 0.95 | header ladder #1 of CV 102436 / GCD 117890 Land of the Lustrous (Kodansha USA 2017-2025); cv matched correctly per-file, gcd correct for v01
I 45040 cv=615893 gcd=1746079 0.95 | header ladder #2 of CV 102436 / GCD 117890; per-file gcd stamps v01's id 1746078 across all eleven, corrected by ordinal
I 45041 cv=632663 gcd=1746080 0.95 | header ladder #3 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632365286
I 45042 cv=649397 gcd=1776592 0.95 | header ladder #4 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632365293
I 45043 cv=662613 gcd=1791801 0.95 | header ladder #5 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632366351
I 45044 cv=677437 gcd=1825205 0.95 | header ladder #6 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632366368
I 45045 cv=691768 gcd=1876515 0.95 | header ladder #7 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632366375
I 45046 cv=705691 gcd=1947818 0.95 | header ladder #8 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632367273
I 45047 cv=719881 gcd=2017449 0.95 | header ladder #9 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632368447
I 45048 cv=738477 gcd=2078230 0.95 | header ladder #10 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632369154
I 45049 cv=881658 gcd=2259057 0.95 | header ladder #11 of CV 102436 / GCD 117890; corrected by ordinal, isbn 9781632369895
I 45059 cv=736346 gcd=2544160 0.9 | header ladder #1 of CV 124797 Let's Kiss in Secret Tomorrow (Kodansha USA 2020) / GCD 201121, the French Pika Édition of the same book (2022-?); per-file correct for v01, isbn 978-2-8116-5058-2
I 45060 cv=744454 gcd=2544161 0.9 | header ladder #2 of CV 124797 / GCD 201121 French edition; per-file gcd stamps v01's id 2544160, corrected by ordinal, isbn 978-2-8116-7213-3
I 43620 cv=728108 gcd=2042151 0.95 | header ladder #1 of CV 122917 / GCD 152848 Levius-est (Viz 2019-2022); cv matched correctly per-file, gcd correct for v01, isbn 978-1-9747-0639-6
I 43621 cv=734483 gcd=2058236 0.95 | header ladder #2 of CV 122917 / GCD 152848; per-file gcd stamps v01's id 2042151, corrected by ordinal, isbn 978-1-9747-0640-2
I 43622 cv=740188 gcd=2086417 0.95 | header ladder #3 of CV 122917 / GCD 152848; corrected by ordinal, isbn 978-1-9747-0641-9
I 43623 cv=762280 gcd=2112044 0.95 | header ladder #4 of CV 122917 / GCD 152848; corrected by ordinal, isbn 978-1-9747-1237-3
I 43624 cv=781380 gcd=2129714 0.95 | header ladder #5 of CV 122917 / GCD 152848; corrected by ordinal, isbn 978-1-9747-1238-0
I 43625 cv=799229 gcd=2148183 0.95 | header ladder #6 of CV 122917 / GCD 152848; corrected by ordinal, isbn 978-1-9747-1491-9
I 40683 cv=673974 gcd=1820245 0.95 | header ladder #1 of CV 111682 / GCD 126133 Little Witch Academia (Yen Press 2018-2019); per-file cv stamps a wrong volume 166950 across all three, gcd correct for v01, isbn 9781975327453
I 40684 cv=691235 gcd=1922211 0.95 | header ladder #2 of CV 111682 / GCD 126133; per-file cv wrong-volume 166950 and gcd v01's stamp 1820245, both corrected by ordinal, isbn 9781975328108
I 40685 cv=709056 gcd=1963645 0.95 | header ladder #3 of CV 111682 / GCD 126133; per-file cv/gcd both corrected by ordinal, isbn 9781975357429
I 42651 cv=107832 gcd=94180 0.95 | header ladder #1 of CV 9319 / GCD 10095 Lone Wolf and Cub (Dark Horse 2000-2002, Minutemen rip); per-file already correct on both legs, isbn 1-56971-502-5 "The Assassin's Road"
I 42652 cv=112896 gcd=94181 0.95 | header ladder #2, Minutemen rip; per-file already correct on both legs, isbn 1-56971-503-3 "The Gateless Barrier"
I 42653 cv=112897 gcd=94182 0.95 | header ladder #3, Minutemen rip; per-file already correct on both legs, isbn 1-56971-504-1 "The Flute of the Fallen Tiger"
I 42654 cv=74566 gcd=94183 0.95 | header ladder #4, Minutemen rip; per-file already correct on both legs, isbn 1-56971-505-X "The Bell Warden"
I 42655 cv=74567 gcd=94184 0.95 | header ladder #5, Minutemen rip; per-file already correct on both legs, isbn 1-56971-506-8 "Black Wind"
I 42656 cv=74568 gcd=94185 0.95 | header ladder #6, Minutemen rip; per-file already correct on both legs, isbn 1-56971-507-6 "Lanterns for the Dead"
I 42657 cv=74569 gcd=94186 0.95 | header ladder #7, Minutemen rip; per-file already correct on both legs, isbn 1-56971-508-4 "Cloud Dragon, Wind Tiger"
I 42658 cv=74570 gcd=94187 0.95 | header ladder #8, Minutemen rip; per-file already correct on both legs, isbn 1-56971-509-2 "Chains of Death"
I 42659 cv=74571 gcd=94188 0.95 | header ladder #9, Minutemen rip; per-file already correct on both legs, isbn 1-56971-510-6 "Echo of the Assassin"
I 42660 cv=74572 gcd=94189 0.95 | header ladder #10, Minutemen rip; per-file already correct on both legs, isbn 1-56971-511-4 "Hostage Child"
I 42661 cv=112878 gcd=127956 0.95 | header ladder #11, Minutemen rip; per-file already correct on both legs, isbn 1-56971-512-2 "Talisman of Hades"
I 42662 cv=112879 gcd=127957 0.95 | header ladder #12, Minutemen rip; per-file already correct on both legs, isbn 1-56971-513-0 "Shattered Stones"
I 42663 cv=112880 gcd=127958 0.95 | header ladder #13, Minutemen rip; per-file already correct on both legs, isbn 1-56971585-8 "The Moon in the East, The Sun in the West"
I 42664 cv=112881 gcd=127959 0.95 | header ladder #14, Minutemen rip; per-file already correct on both legs, isbn 1-56971-586-6 "Day of the Demons"
I 42665 cv=112882 gcd=127960 0.95 | header ladder #15, Minutemen rip; per-file already correct on both legs, isbn 1-56971-587-4 "Brothers of the Grass"
I 42666 cv=112883 gcd=127961 0.95 | header ladder #16, Minutemen rip; per-file already correct on both legs, isbn 1-56971-588-2 "Gateway into Winter"
I 42667 cv=112884 gcd=127962 0.95 | header ladder #17, Minutemen rip; per-file already correct on both legs, isbn 1-56971-589-0 "The Will of the Fang"
I 42668 cv=112885 gcd=127963 0.95 | header ladder #18, Minutemen rip; per-file already correct on both legs, isbn 1-56971-590-4 "Twilight of the Kurokuwa"
I 42669 cv=112886 gcd=127964 0.95 | header ladder #19, Minutemen rip; per-file already correct on both legs, isbn 1-56971-591-2 "The Moon in Our Hearts"
I 42670 cv=112887 gcd=127965 0.95 | header ladder #20, Minutemen rip; per-file already correct on both legs, isbn 1-56971-592-0 "A Taste of Poison"
I 42671 cv=112888 gcd=127966 0.95 | header ladder #21, Minutemen rip; per-file already correct on both legs, isbn 1-56971-593-9 "Fragrance of Death"
I 42672 cv=112889 gcd=127967 0.95 | header ladder #22, Minutemen rip; per-file already correct on both legs, isbn 1-56971-594-7 "Heaven and Earth"
I 42673 cv=112890 gcd=127968 0.95 | header ladder #23, Minutemen rip; per-file already correct on both legs, isbn 1-56971-595-5 "Tears of Ice"
I 42674 cv=112891 gcd=127969 0.95 | header ladder #24, Minutemen rip; per-file already correct on both legs, isbn 1-56971-596-3 "In These Small Hands"
I 42675 cv=112892 gcd=127970 0.95 | header ladder #25, Minutemen rip; per-file already correct on both legs, isbn 1-56971-597-1 "Perhaps in Death"
I 42676 cv=112893 gcd=127971 0.95 | header ladder #26, Minutemen rip; per-file already correct on both legs, isbn 1-56971-598-X "Struggle in the Dark"
I 42677 cv=112894 gcd=127972 0.95 | header ladder #27, Minutemen rip; per-file already correct on both legs, isbn 1-56971-599-8 "Battle's Eve"
I 42678 cv=112895 gcd=127973 0.95 | header ladder #28, Minutemen rip; per-file already correct on both legs, isbn 1-56971-600-5 "The Lotus Throne"
I 45891 cv=107832 gcd=94180 0.95 | header ladder #1, danke-Empire rip of the same run; per-file already correct on both legs (the shelf's own N: two identical rips of these 28 books)
I 45892 cv=112896 gcd=94181 0.95 | header ladder #2, danke-Empire rip; per-file already correct on both legs
I 45893 cv=112897 gcd=94182 0.95 | header ladder #3, danke-Empire rip; per-file already correct on both legs
I 45894 cv=74566 gcd=94183 0.95 | header ladder #4, danke-Empire rip; per-file already correct on both legs
I 45895 cv=74567 gcd=94184 0.95 | header ladder #5, danke-Empire rip; per-file already correct on both legs
I 45896 cv=74568 gcd=94185 0.95 | header ladder #6, danke-Empire rip; per-file already correct on both legs
I 45897 cv=74569 gcd=94186 0.95 | header ladder #7, danke-Empire rip; per-file already correct on both legs
I 45898 cv=74570 gcd=94187 0.95 | header ladder #8, danke-Empire rip; per-file already correct on both legs
I 45899 cv=74571 gcd=94188 0.95 | header ladder #9, danke-Empire rip; per-file already correct on both legs
I 45900 cv=74572 gcd=94189 0.95 | header ladder #10, danke-Empire rip; per-file already correct on both legs
I 45901 cv=112878 gcd=127956 0.95 | header ladder #11, danke-Empire rip; per-file already correct on both legs
I 45902 cv=112879 gcd=127957 0.95 | header ladder #12, danke-Empire rip; per-file already correct on both legs
I 45903 cv=112880 gcd=127958 0.95 | header ladder #13, danke-Empire rip; per-file already correct on both legs
I 45904 cv=112881 gcd=127959 0.95 | header ladder #14, danke-Empire rip; per-file already correct on both legs
I 45905 cv=112882 gcd=127960 0.95 | header ladder #15, danke-Empire rip; per-file already correct on both legs
I 45906 cv=112883 gcd=127961 0.95 | header ladder #16, danke-Empire rip; per-file already correct on both legs
I 45907 cv=112884 gcd=127962 0.95 | header ladder #17, danke-Empire rip; per-file already correct on both legs
I 45908 cv=112885 gcd=127963 0.95 | header ladder #18, danke-Empire rip; per-file already correct on both legs
I 45909 cv=112886 gcd=127964 0.95 | header ladder #19, danke-Empire rip; per-file already correct on both legs
I 45910 cv=112887 gcd=127965 0.95 | header ladder #20, danke-Empire rip; per-file already correct on both legs
I 45911 cv=112888 gcd=127966 0.95 | header ladder #21, danke-Empire rip; per-file already correct on both legs
I 45912 cv=112889 gcd=127967 0.95 | header ladder #22, danke-Empire rip; per-file already correct on both legs
I 45913 cv=112890 gcd=127968 0.95 | header ladder #23, danke-Empire rip; per-file already correct on both legs
I 45914 cv=112891 gcd=127969 0.95 | header ladder #24, danke-Empire rip; per-file already correct on both legs
I 45915 cv=112892 gcd=127970 0.95 | header ladder #25, danke-Empire rip; per-file already correct on both legs
I 45916 cv=112893 gcd=127971 0.95 | header ladder #26, danke-Empire rip; per-file already correct on both legs
I 45917 cv=112894 gcd=127972 0.95 | header ladder #27, danke-Empire rip; per-file already correct on both legs
I 45918 cv=112895 gcd=127973 0.95 | header ladder #28, danke-Empire rip; per-file already correct on both legs
I 42552 cv=319748 gcd=1893444 0.95 | header ladder #1 of CV 46396 / GCD 137520 Love Hina Omnibus (Kodansha USA 2011-2013, count 5); per-file cv (wrong volume 55275) and gcd (wrong series 149110) both corrected by ordinal
I 42553 cv=319749 gcd=1893445 0.95 | header ladder #2 of CV 46396 / GCD 137520; per-file cv/gcd both wrong, corrected by ordinal
I 42554 cv=333642 gcd=1893446 0.95 | header ladder #3 of CV 46396 / GCD 137520; per-file cv/gcd both wrong, corrected by ordinal
I 42555 cv=369138 gcd=1893447 0.95 | header ladder #4 of CV 46396 / GCD 137520; per-file cv/gcd both wrong, corrected by ordinal
I 42556 cv=395753 gcd=1893448 0.95 | header ladder #5 of CV 46396 / GCD 137520; per-file cv/gcd both wrong, corrected by ordinal
I 42710 cv=474694 gcd=1799951 0.95 | header ladder #1 of CV 79045 / GCD 123487 Love at Fourteen (Yen Press 2014-2022); cv matched correctly per-file, gcd correct for v01
I 42711 cv=483268 gcd=1799952 0.95 | header ladder #2 of CV 79045 / GCD 123487; per-file gcd stamps v01's id 1799951, corrected by ordinal
I 42712 cv=492967 gcd=1799953 0.95 | header ladder #3 of CV 79045 / GCD 123487; corrected by ordinal
I 42713 cv=500944 gcd=1799954 0.95 | header ladder #4 of CV 79045 / GCD 123487; corrected by ordinal
I 42714 cv=516790 gcd=1799955 0.95 | header ladder #5 of CV 79045 / GCD 123487; corrected by ordinal
I 39306 cv=539108 gcd=1958490 0.95 | header ladder #1 of CV 92146 / GCD 144341 Love in Hell: Death Life (Seven Seas 2016-2017, count 2 both legs); per-file carries only the volume with no issue id, filled from the header pool by ordinal
I 39307 cv=578216 gcd=1958491 0.95 | header ladder #2 of CV 92146 / GCD 144341; per-file carries only the volume with no issue id, filled from the header pool by ordinal
