# A-035 — 40 tier-A shelves, fresh split-outs of `<Title> vN (<year>)` folders, mostly Marvel. Nearly every shelf is a
# clean single run whose stored CV volume and per-file GCD series agree on publisher, year and count (L-116: the
# folder's vN (year) decided every case). Residue that is a different comic (an annual, a Marvel Tales reprint
# one-shot, a deluxe edition that also collects the sequel mini) caps four shelves at 0.9. One mis-named file
# ("1 (2024)" = World's Finest #31, proven by its ComicVine Web id) and one misfiled Marvel Tales book.

S 2200 cv=141907 gcd=182645 0.9 | CV 141907 "Batman/Superman: World's Finest" (DC 2022, 51, cached #1-47) and GCD 182645 (DC 2022-?, ongoing, 51) agree; our ladder 1-35 sits inside; ComicInfo Volume "141907" on one file and Marika Web ids 1070225 / 1073816 / 1078253 / 1083606 are CV 141907's #31-34 issue ids; the 53 1pp variant covers cost nothing, but the 2024 Annual (GCD 208349) is a different comic — 0.9
S 9289 cv=89936 gcd=103474 0.9 | our "Image+ 001-016 (2016-2017)" (57-64pp) = CV 89936 "Image+" (Image 2016, 16, cached #1-16); GCD 103474 "Image+" (2016-2018, 28) holds these as its volume-1 rows AND the 12-issue volume 2 (rows carrying volume "2", CV 103821) — a count above our holdings that spans two CV volumes, hence 0.9

S 65630 cv=18348 gcd=41049 0.95 | CV 18348 "Shadowhawk" (Image 2005, 15) and GCD 41049 (Image 2005-2006, 15) agree on publisher, year and count; our "Shadowhawk v2 001-015" fill #1-15; the label-ambiguous flag is right — these are single issues (24-33pp)

S 66412 cv=11281 gcd=12225 0.95 | CV 11281 "Youngblood" (Image 1992, 11, #0-10) and GCD 12225 (Image 1992-1994, 11) agree; our "Youngblood v1 #00-#10" fill #0-10 exactly

S 66413 cv=101226 gcd=114003 0.95 | CV 101226 "Youngblood" (Image 2017, 11) and GCD 114003 (Image 2017-2018, 11) agree; our 11 files "Youngblood 001-011 (2017-2018)" fill #1-11; the one per-file pick of the 1992 volume 11281 is the same-count coincidence (L-065)

S 64311 cv=1701 gcd=1120 0.95 | CV 1701 "Black Knight" (Marvel/Atlas 1955, 5) and GCD 1120 (Marvel 1955-1956, 5) agree; our five 27pp files 001-005 (1955-1956) fill #1-5

S 64556 cv=4589 gcd=4238 0.9 | CV 4589 "Deathlok" (Marvel 1991, 34) and GCD 4238 (1991-1994, 34) agree, ComicInfo Volume 1991 / Count 34 assert it; our ladder 1-16 + 28 sits inside; capped at 0.9 for the Deathlok Annual #1 (1992) filed under Annuals, a different series record
I 99981 cv=117055 gcd=259062 isbn=- 0.95 | "Deathlok Annual 001 (1992)" 41pp = CV 19570 "Deathlok Annual" #1 issue 117055 and GCD 15013 #1 row 259062 (52pp, 1992-08)

S 5590 cv=11390 gcd=12343 1.0 | the Marika ComicInfo Web ids 99857-99860 are CV 11390 "Doc Samson" (Marvel 1996, 4)'s own issue ids (#1 = 99857 "Greenness Envy"), and GCD 12343 (Marvel 1996, limited series, 4) agrees; ComicInfo Count 4 = both counts

S 64713 cv=4395 gcd=4022 0.95 | CV 4395 "Foolkiller" (Marvel 1990, 10) and GCD 4022 (1990-1991, 10-issue limited series) agree; our ladder 1-10 fills both; the label-ambiguous flag is right — 23-25pp single issues

S 8816 cv=19104 gcd=29779 0.95 | "Hercules 01-05 (of 05) (2005)" = CV 19104 "Hercules" (Marvel 2005, 5) and GCD 29779 (Marvel 2005, limited series, 5); the (of 05) matches both counts

S 11258 cv=3006 gcd=2511 0.95 | CV 3006 "Man-Thing" (Marvel 1979, 11) and GCD 2511 (1979-1981, 11) agree; our folder "Man-Thing v2 (1980)" and files 001-011 (1979-1981) fill #1-11; the 1974 22-issue volume 2693 is the other run

S 65127 cv=18094 gcd=23629 0.95 | CV 18094 "Marvel Adventures: Spider-Man" (Marvel 2005, 61) and GCD 23629 (2005-2010, 61) agree; our 61 files fill #1-61; the 2010 relaunch is CV 32888 / GCD 47938

S 11367 cv=22319 gcd=31452 0.95 | CV 22319 "Marvel Adventures Super Heroes" (Marvel 2008, 21) and GCD 31452 (2008-2010, 21) agree; our 21 files fill #1-21; the 2010 relaunch is CV 32628 / GCD 48510

S 65171 cv=2577 gcd=2057 0.95 | CV 2577 "Marvel Triple Action" (Marvel 1972, 47) and GCD 2057 (1972-1979, 47) agree; our 47 files 001-047 fill #1-47

S 65280 cv=4798 gcd=4461 0.95 | CV 4798 "Morbius: The Living Vampire" (Marvel 1992, 32) and GCD 4461 (1992-1995, 32) agree, ComicInfo Volume 1992 / Count 32 assert it; our ladder 1-32 fills both

S 14411 cv=124681 gcd=155379 0.95 | "Ravencroft 01-05 (of 05) (2020)" = CV 124681 "Ravencroft" (Marvel 2020, 5) and GCD 155379 (Marvel 2020, limited series, 5); the (of 05) matches both counts — the GCD per-file round2-folder method was checked by title, year and count

S 15345 cv=9136 gcd=9870 0.95 | CV 9136 "Sentry" (Marvel 2000, 5: "Act 1: The Suit" …) and GCD 9870 "The Sentry" (Marvel 2000-2001, 5) agree; our five 2000-2001 issues fill #1-5; the sixth file is this run's own TPB (costs nothing); the per-file GCD 101459 is a Panini Deutschland edition, wrong
I 103386 cv=185458 gcd=1094163 isbn=0785107991 0.9 | "COL The Sentry (2018)" 235pp = CV 30120 "The Sentry" TPB issue 185458 and GCD 72779 "The Sentry" row 1094163 (244pp, 2001) — pages match; the "(2018)" is a later digital release date, not a different edition in either catalog

S 15476 cv=2580 gcd=2061 0.95 | CV 2580 "Shanna the She-Devil" (Marvel 1972, 5) and GCD 2061 "Shanna, the She-Devil" (1972-1973, 5) agree; our five files 001-005 (1972-1973) fill #1-5; the 2005 series is CV 11354 / GCD 12305

S 22832 cv=101420 gcd=114073 0.95 | CV 101420 "Zombies Assemble" (Marvel 2017, 4, #0-3) and GCD 114073 (Marvel 2017, limited series, 4) agree; our 000-003 (41-48pp) fill #0-3; the sequel is "Zombies Assemble 2" CV 103418 / GCD 115831

S 5749 cv=18445 gcd=4690 0.95 | CV 18445 "Doom 2099" (Marvel 1993, 44) and GCD 4690 (1993-1996, 44) agree; the folder "Doom 2099 v1 (1993)" and our ladder 4-44 sit inside; the per-file CV 18531 "Doom" (2000, 3) on 40/42 files was the truncated-key trap (L-121); the Warren Ellis collection is this run's own trade
I 53929 cv=395416 gcd=1138907 isbn=9780785167549 0.95 | "Doom 2099 - The Complete Series by Warren Ellis" 422pp = CV 59408 "Doom 2099: The Complete Collection By Warren Ellis" issue 395416 and GCD 76202 row 1138907 (424pp); the 2019 CV 123409 / GCD 153556 is a 40pp one-shot, not this book
C 53929 cv=18445 gcd=4690 #24-39 0.95 | the Warren Ellis collection reprints Doom 2099 (Marvel 1993, 44 issues, CV 18445 / GCD 4690) #24-39 per GCD row 1138907's gcd_reprint (plus 2099 Special: The World of Doom #1)

S 1110 cv=79255 gcd=85747 0.9 | CV 79255 "Ant-Man" (Marvel 2015, cached #1-5) and GCD 85747 (Marvel 2015, 5) agree; our ladder 1-2, 4-5 is 1pp variant covers plus the run's own Vol. 01 trade; capped at 0.9 for the Ant-Man Annual #1 (2015), a different series record
I 52389 cv=493037 gcd=1430062 isbn=9780785193876 0.95 | "Ant-Man Vol. 01 - Second-Chance Man" 131pp = CV 82825 issue 493037 and GCD 90346 row 1430062 (124pp, "Second-Chance Man")
C 52389 cv=79255 gcd=85747 #1-5 0.95 | Second-Chance Man collects Ant-Man (Marvel 2015, 5 issues, CV 79255 / GCD 85747) #1-5 — 131pp for five issues
I 52388 cv=495264 gcd=1435693 isbn=- 0.95 | "Ant-Man Annual 001 (2015)" 32pp = CV 83295 "Ant-Man Annual" issue 495264 and GCD 90752 row 1435693 (2015-09)
F 1110 partial-rip | the run's issues #1-2, #4-5 are present only as 1pp variant covers; the text of #1-5 is on the shelf only inside the Vol. 01 trade

S 64318 cv=2896 gcd=2387 0.95 | CV 2896 "Black Panther" (Marvel 1977, 15) and GCD 2387 (1977-1979, 15) agree; the folder "01 Black Panther v1 (1977)" and our ladder 8-15 (1978-1979, 18-19pp) sit inside; the per-file pick of CV 11502 (2005, 41) on 3 files is the issue-number coincidence (L-116)

S 64667 cv=5296 gcd=5008 0.95 | CV 5296 "Fantastic Force" (Marvel 1994, 18) and GCD 5008 (1994-1996, 18) agree; our 18 files fill #1-18

S 14632 cv=123712 gcd=153720 0.95 | "Revenge of the Cosmic Ghost Rider 01-05 (of 05)" = CV 123712 (Marvel 2019, 5; ComicInfo Volume 2019 on 4 files) and GCD 153720 (Marvel 2020-?, limited series, 5); the (of 05) matches both counts; CV 129779 (2020, 1) is the collected edition

S 8447 cv=23481 gcd=15122 0.95 | CV 23481 "Hawkeye" (Marvel 2003, 8) and GCD 15122 (2003-2004, 8) agree; folder "03 Hawkeye v3 (2003)" and our 001-008 fill #1-8

S 66221 cv=5336 gcd=5053 0.95 | CV 5336 "War Machine" (Marvel 1994, cached #0-25) and GCD 5053 (1994-1996, 25) agree; our 001-025 (1994-1996) fill #1-25; the 2009 series is CV 25295 / GCD 33410

S 10864 cv=11023 gcd=11954 0.95 | "Loki 01-04 (of 04) (2004)" = CV 11023 "Loki" (Marvel 2004, 4) and GCD 11954 (Marvel 2004, limited series, 4); CV 35776 (2004, 1) is the collected edition

S 17004 cv=2413 gcd=1874 0.95 | CV 2413 "Sub-Mariner" (Marvel 1968, 72) and GCD 1874 (1968-1974, 72) agree; our 72 files fill #1-72

S 16145 cv=22673 gcd=15942 0.95 | CV 22673 "Spider-Man: India" (Marvel 2004, 4) and GCD 15942 (Marvel 2005, limited series, 4) agree; our four 2004 issues fill #1-4; the fifth file (88pp, 2017) is the run's own collected edition
I 95976 cv=873641 gcd=- isbn=- 0.9 | "Spider-Man - India (2017)" 88pp = CV 137800 "Spider-Man: India" (2005, 1) issue 873641 "TPB" — 88pp is the four 22pp issues; GCD holds no US collected row (184447 is Gotham's Indian collector edition)
C 95976 cv=22673 gcd=15942 #1-4 0.95 | the collection holds Spider-Man: India (Marvel 2004-2005, 4 issues, CV 22673 / GCD 15942) #1-4 — 88pp = 4 x 22pp

S 16153 cv=125476 gcd=156768 0.95 | CV 125476 "Spider-Man Noir" (Marvel 2020, 5) and GCD 156768 (Marvel 2020, limited series, 5) agree; our 001-005 (2020) fill #1-5; the 2009 minis are CV 24916 / GCD 33156

S 16344 cv=3511 gcd=3050 0.9 | "Squadron Supreme 01-12 (of 12) (1985-1986)" = CV 3511 "Squadron Supreme" (Marvel 1985, 12) and GCD 3050 (1985-1986, limited series, 12); the (of 12) matches both; capped at 0.9 for the misfiled Marvel Tales reprint one-shot
F 16344 misfiled | item 101196 "Marvel Tales - Squadron Supreme 001 (2021)" (87pp, folder Marvel\Marvel Tales\Marvel Tales v3 (2019), ComicInfo "Squadron Supreme: Marvel Tales (2021)") is a 2021 reprint one-shot, GCD 171650, a different comic from the 1985 mini
I 101196 cv=- gcd=2214914 isbn=- 0.9 | "Marvel Tales - Squadron Supreme 001 (2021)" 87pp = GCD 171650 "Squadron Supreme: Marvel Tales" (Marvel 2021, 1) row 2214914 (100pp); no CV volume found by that name

S 66118 cv=5055 gcd=4741 0.95 | CV 5055 "Thunderstrike" (Marvel 1993, 24) and GCD 4741 (1993-1995, 24) agree; our 24 files fill #1-24; the 2010 mini is CV 36953 / GCD 53449

S 28 cv=83118 gcd=90557 0.95 | CV 83118 "1872" (Marvel 2015, 4) and GCD 90557 (Marvel 2015, limited series, 4) agree; the shelf holds a 1pp Skottie Young variant of #1 and the run's own collected edition — both cost nothing
I 118132 cv=507052 gcd=1506071 isbn=9780785198772 0.95 | "Marvel 1872 (2015)" 121pp = CV 86313 "Marvel 1872: Warzones!" issue 507052 and GCD 94640 "Marvel 1872" row 1506071 (124pp)
C 118132 cv=83118 gcd=90557 #1-4 0.95 | Marvel 1872 collects 1872 (Marvel 2015, 4 issues, CV 83118 / GCD 90557) #1-4 — 121pp for four issues
F 28 partial-rip | issues #1-4 are present only as one 1pp variant cover; the text is on the shelf inside the collected edition

S 14775 cv=92630 gcd=105215 0.95 | CV 92630 "Rochelle" (Antarctic 2016, 3) and GCD 105215 (Antarctic 2016, limited series, 3) agree; our 001-003 (2016) fill #1-3; the 2018 volume is CV 110757 / GCD 124300

S 14814 cv=60302 gcd=79316 0.95 | "Rogues! 03-06 (of 06) (2013)" + 001-002 = CV 60302 "Rogues!" (Amigo 2013, 6) and GCD 79316 (Amigo 2013, miniseries, 6); the (of 06) matches both; the 2014 volume CV 71398 / GCD 80881 (5) picked by one file is the next season, and S99550 holds volume 5

S 65934 cv=23795 gcd=94409 0.95 | "The Crow - City of Angels 01-03 (of 3) (1996)" = CV 23795 (Kitchen Sink 1996, 3) and GCD 94409 (Kitchen Sink Press 1996, limited series, 3); the (of 3) matches both counts

S 66426 cv=24796 gcd=24676 0.95 | CV 24796 "Zoot!" (Fantagraphics 1992, 6) and GCD 24676 (Fantagraphics 1992-1993, 6) agree; our 001-006 (1992-1994, 28pp each) fill #1-6

S 65628 cv=4375 gcd=3999 0.95 | CV 4375 "Shade, the Changing Man" (DC 1990, 70) and GCD 3999 (1990-1996, 70) agree; our issues 020-070 plus the run's three own trades (collecting #1-19) fill the whole run
I 113225 cv=184779 gcd=354994 isbn=140120046X 0.95 | Vol. 01 - The American Scream 170pp = CV 30021 issue 184779 and GCD 23902 #1 row 354994 (172pp)
I 113226 cv=184780 gcd=691946 isbn=9781401225391 0.95 | Vol. 02 - Edge of Vision 182pp = CV 30022 issue 184780 and GCD 23902 #2 row 691946 (196pp)
I 113227 cv=221679 gcd=768884 isbn=9781401227685 0.95 | Vol. 03 - Scream Time 151pp = CV 33996 issue 221679 and GCD 23902 #3 row 768884 (164pp)
C 113225 cv=4375 gcd=3999 #1-6 0.95 | The American Scream collects Shade, the Changing Man (DC 1990, 70 issues, CV 4375 / GCD 3999) #1-6 per GCD row 354994's gcd_reprint
C 113226 cv=4375 gcd=3999 #7-13 0.95 | Edge of Vision collects Shade, the Changing Man (DC 1990, CV 4375 / GCD 3999) #7-13 per GCD row 691946's gcd_reprint
C 113227 cv=4375 gcd=3999 #14-19 0.95 | Scream Time collects Shade, the Changing Man (DC 1990, CV 4375 / GCD 3999) #14-19 per GCD row 768884's gcd_reprint
