# R-048 — revisit of the split lane's P-010 (second part) plus the nine KEPT-WHOLE shelves (TODO 39a).
# Shapes: the Batman bucket (New 52 run + its TPB line, the 1940 run, two annual series, three creator collections, the
# Random House readers); Dark Horse Conan (Marvel-Edition reissue of the 2004 run, the multi-run Vol. 07-20 trade line,
# the Omnibus line); X-Treme X-Men 2001 / 2012 + Mekanix + Savage Land; six Shadowman runs; two Manhunter runs; the Iron
# Man bucket (four runs, the annual, nine Epic Collection books, one-shots); and the kept-whole collected lines (She Could
# Fly, Tech Jacket, Torchwood, Supurbia, Hawaiian Dick, Drizzt, Faith) + Marvel Holiday Special + Fritzi Ritz.
# Every split-reader id was re-probed (lookup.py --id / --issues / --gcd-issues / --who-stores / --collects).

# ================= Batman =================
S 95394 cv=42721 gcd=61067 0.95 | the New 52 Batman: #0-6, 8-33 + #23.1-23.4 (Villains Month) from the Trinity Read Order folders and "04 Batman v2 (2011)", the run's own ten trades (GCD reprints: #1-7, #8-12, #13-17, #21-24, #25-33, #0/18-20/28/34, #35-40, #41-45, #46-50, #51-52 of s61067) and the Zero Year collection = the stored CV 42721 (DC 2011, 57, cached #0-52) = GCD 61067 (2011-2016, 57); the trade line is CV 48729 / GCD 72998 on the I lines
I 63985 cv=1074673 gcd=2658086 isbn=9781779527516 0.95 | "COL Batman by Grant Morrison Book 01 (2024)" 411pp = CV 160521 #1 issue 1074673 (Book One) = GCD 215351 #1 452pp (collects Batman #655-658, #663-675 + 52 #30, #47)
I 62713 cv=- gcd=1659376 isbn=9781401246839 0.9 | "COL Batman Vol. 01 - Bruce Wayne - Murderer (2014)" 610pp = GCD 110535 "Batman: Bruce Wayne - Murderer?" (2014) row 1659376 628pp; CV has only the 2002 edition (32113)
C 62713 gcd=7770 #25-29 0.95 | Bruce Wayne - Murderer? collects Batman: Gotham Knights (DC 2000 series, GCD 7770) #25-29 — GCD reprint rows of 1659376
C 62713 gcd=87 #766-770 0.95 | Bruce Wayne - Murderer? collects Detective Comics (DC 1937 series, GCD 87) #766-770 — GCD reprint rows of 1659376
C 62713 gcd=141 cv=796 #599-602 0.95 | Bruce Wayne - Murderer? collects Batman (DC 1940 series) #599-602 — GCD reprint rows of 1659376 (plus Nightwing, Birds of Prey, Batgirl, Robin)
I 62714 cv=459147 gcd=1659552 isbn=9781401246822 0.95 | "COL Batman Vol. 02 - Bruce Wayne - Fugitive (2014)" 418pp = CV 75550 issue 459147 (TPB 2014) = GCD 110593 row 1659552 436pp
N 62714 Bruce Wayne - Fugitive collects the Batman family titles 2002-2003 (Batman #603-607 among them); GCD's row carries no reprint list in our data, so no C line is written for its other legs
S 103665 cv=3109 gcd=1468 0.95 | split-reader ids CONFIRMED: "Batman Annual 025 (2006)" 39pp and "Batman Annual 26 (2007)" 41pp = CV 3109 "Batman Annual" (DC 1961, 28) = GCD 1468 (1961-2011, 28); the fourteen other annuals of this series still sit on S64223 (F misfiled there)
S 103666 cv=49197 gcd=66086 0.95 | split-reader ids CONFIRMED: "Batman Annual 001 - July 2012" 41pp and "Batman Annual 002 - September 2013" 39pp = the New 52 CV 49197 "Batman Annual" (DC 2012, 4) = GCD 66086 (2012-2015, 4)
S 103671 cv=144127 gcd=187127 0.95 | CORRECTED (CV added): "Batman - Secret Files (2022)" 202pp collects six 2021-2022 one-shots (The Signal, Huntress, Clownhunter, Peacekeeper-01, Miracle Molly, The Gardener — GCD notes 2418519), so it keeps its own record CV 144127 "Batman: Secret Files TPB" (DC 2022, 1 issue 937991) = GCD 187127 (2022, 1 row 212pp); its ComicInfo Volume 2016 is wrong
F 103671 needs-fetch cv=144127 | named from the rip only; no CvVolume row
I 63964 cv=937991 gcd=2418519 isbn=9781779517111 0.95 | Batman: Secret Files 202pp = CV 144127 issue 937991 = GCD 187127 row 2418519 212pp
C 63964 gcd=173726 cv=137372 #1-1 0.95 | the collection reprints Batman Secret Files: The Signal (DC 2021, one-shot) — GCD notes 2418519
C 63964 gcd=174372 cv=137843 #1-1 0.95 | the collection reprints Batman Secret Files: Huntress (DC 2021, one-shot) — GCD notes 2418519
C 63964 gcd=175168 cv=138317 #1-1 0.95 | the collection reprints Batman Secret Files: Clownhunter (DC 2021, one-shot) — GCD notes 2418519
C 63964 gcd=176952 cv=139670 #1-1 0.95 | the collection reprints Batman Secret Files: Peacekeeper-01 (DC 2021, one-shot) — GCD notes 2418519
C 63964 gcd=176184 cv=139080 #1-1 0.95 | the collection reprints Batman Secret Files: Miracle Molly (DC 2021, one-shot) — GCD notes 2418519
C 63964 gcd=177785 cv=140133 #1-1 0.95 | the collection reprints Batman Secret Files: The Gardener (DC 2022, one-shot) — GCD notes 2418519
S 103667 cv=102446 gcd=115153 0.95 | CORRECTED (CV added): "COL Batman by Brian Azzarello and Eduardo Risso - The Deluxe Edition (2017)" 240pp collects several runs (Wednesday Comics #1-12, Batman #620-625, Flashpoint: Batman Knight of Vengeance #1-3, Gotham Knights #8 — GCD reprints of 1718629), so it keeps its own record CV 102446 (DC 2017, 1 issue 605051, HC) = GCD 115153 (2017, 1 row 248pp)
F 103667 needs-fetch cv=102446 | named from the rip only; no CvVolume row
I 62835 cv=605051 gcd=1718629 isbn=9781401271015 0.95 | the Azzarello/Risso Deluxe Edition 240pp = CV 102446 issue 605051 = GCD 115153 row 1718629 248pp
C 62835 gcd=141 cv=796 #620-625 0.95 | the Deluxe Edition collects Batman (DC 1940 series) #620-625 (Broken City) — GCD reprint rows of 1718629
C 62835 gcd=38095 #1-12 0.95 | the Deluxe Edition collects the Batman strip of Wednesday Comics (DC 2009, GCD 38095) #1-12 — GCD reprint rows of 1718629
C 62835 gcd=59040 #1-3 0.95 | the Deluxe Edition collects Flashpoint: Batman Knight of Vengeance (DC 2011, GCD 59040) #1-3 — GCD reprint rows of 1718629
S 103668 cv=- gcd=113044 0.9 | split-reader id CONFIRMED: "Batman by Brian K. Vaughn (2017)" 158pp collects several runs (Batman #588-590, Wonder Woman #160-161, Detective #787, False Faces, Gotham City Secret Files #1 — GCD reprints of 1685052), so it keeps its own record GCD 113044 (DC 2017, 1 row 164pp); CV has no volume under this title (probed)
I 62836 cv=- gcd=1685052 isbn=9781401268381 0.95 | Batman by Brian K. Vaughan 158pp = GCD 113044 row 1685052 164pp; no CV record
C 62836 gcd=141 cv=796 #588-590 0.95 | the collection reprints Batman (DC 1940 series) #588-590 — GCD reprint rows of 1685052
C 62836 gcd=3396 #160-161 0.95 | the collection reprints Wonder Woman (DC 1987 series, GCD 3396) #160-161 — GCD reprint rows of 1685052
R 1881 | the KEPT remnant is five Random House children's readers from "_Random House Junk" (29-41pp): Batman - The Joker's Apprentice (1996), Batman Beyond - Grounded / Hear No Evil (2002), New Hero in Town / No Place Like Home (2000) — five separate one-book records, not a run; only No Place Like Home has one (GCD 92597); the per-file CV 796 is the 1940 run, wrong for all five
F 1881 not-a-run | five unrelated Random House readers; each book needs its own record (item pass), not a shelf identity
I 62923 cv=- gcd=1460589 isbn=0375806520 0.95 | "Batman Beyond - No Place Like Home (2000) Random House" 29pp = GCD 92597 "Batman Beyond: No Place Like Home" (Random House 2000) row 1460589 28pp

# ================= Conan (Dark Horse) =================
S 103672 cv=- gcd=42717 0.9 | split-reader id CONFIRMED: "COL Conan Vol. 07-09, 11-20" (144-215pp) match GCD 42717 "Conan" (Dark Horse 2005-2017, 21 rows) row by row by subtitle (Cimmeria ... A Witch Shall Be Born); the line spans five runs (Vol. 01-06 the 2004 Conan, 07-10 Conan the Cimmerian, 11-12 Road of Kings, 13-16 Conan the Barbarian 2012, 17-20 Conan the Avenger), so it is its own identity (L-186); CV keeps no line volume (the per-file CV 10612 is the 2004 issue run); one leg only, so 0.9
I 12752 cv=- gcd=713840 isbn=9781595822833 0.95 | "COL Conan Vol. 07 - Cimmeria (2009)" 215pp = GCD 42717 #7 Cimmeria 220pp
I 12753 cv=- gcd=760726 isbn=9781595825339 0.95 | "COL Conan Vol. 08 - Black Colossus (2010)" 161pp = GCD 42717 #8 Black Colossus 172pp
I 12754 cv=- gcd=945598 isbn=9781595825926 0.95 | "COL Conan Vol. 09 - Free Companions (2010)" 188pp = GCD 42717 #9 Free Companions 196pp
I 12755 cv=- gcd=945600 isbn=9781595828248 0.95 | "COL Conan Vol. 11 - Road of Kings (2012)" 149pp = GCD 42717 #11 Road of Kings 156pp
I 12756 cv=- gcd=1048961 isbn=9781595829054 0.95 | "COL Conan Vol. 12 - Throne of Aquilonia (2012)" 153pp = GCD 42717 #12 Throne of Aquilonia 156pp
I 12757 cv=- gcd=1048964 isbn=9781616550431 0.95 | "COL Conan Vol. 13 - Queen of the Black Coast (2013)" 151pp = GCD 42717 #13 Queen of the Black Coast 156pp
I 12758 cv=- gcd=1171334 isbn=9781616551230 0.95 | "COL Conan Vol. 14 - The Death (2013)" 150pp = GCD 42717 #14 The Death
I 12759 cv=- gcd=1236900 isbn=9781616553852 0.95 | "COL Conan Vol. 15 - The Nightmare of the Shallows (2014)" 150pp = GCD 42717 #15
I 12760 cv=- gcd=1328000 isbn=9781616555245 0.95 | "COL Conan Vol. 16 - The Song of Bêlit (2014)" 176pp = GCD 42717 #16 The Song of Bêlit
I 12761 cv=- gcd=1446418 isbn=9781616556594 0.95 | "COL Conan Vol. 17 - Shadows Over Kush (2015)" 152pp = GCD 42717 #17 Shadows Over Kush
I 12762 cv=- gcd=1531965 isbn=9781616557997 0.95 | "COL Conan Vol. 18 - The Damned Horde (2015)" 144pp = GCD 42717 #18 The Damned Horde
C 12762 cv=73235 gcd=80303 #7-12 0.95 | Vol. 18 collects Conan the Avenger (Dark Horse 2014, 25 issues) #7-12 — GCD reprint rows of 1531965
I 12763 cv=- gcd=1608859 isbn=9781616558796 0.95 | "COL Conan Vol. 19 - Xuthal of the Dusk (2016)" 169pp = GCD 42717 #19 Xuthal of the Dusk
C 12763 cv=73235 gcd=80303 #13-19 0.95 | Vol. 19 collects Conan the Avenger (Dark Horse 2014, 25 issues) #13-19 as GCD's reprint rows of 1608859 state
I 12764 cv=- gcd=1665709 isbn=9781506701349 0.95 | "COL Conan Vol. 20 - A Witch Shall Be Born (2016)" 144pp = GCD 42717 #20 A Witch Shall Be Born
C 12764 cv=73235 gcd=80303 #20-25 0.95 | Vol. 20 collects Conan the Avenger (Dark Horse 2014, 25 issues) #20-25 — GCD reprint rows of 1665709
N 103672 Vol. 07-09 collect Conan the Cimmerian (CV 21896 / GCD 31174, 26), Vol. 11-12 Conan: Road of Kings (CV 37497 / GCD 54155, 12), Vol. 13-16 Conan the Barbarian 2012 (CV 44351 / GCD 63224, 25), Vol. 17 Conan the Avenger #1-6 — GCD's reprint rows for those carry no issue numbers, so no C line is written for them
S 103673 cv=96281 gcd=110169 0.95 | split-reader ids CONFIRMED: "COL Conan Omnibus Book 01-07 (2016-2018)" (419-456pp, titled Birth of the Legend ... Witchcraft and Warfare) = CV 96281 "Conan Omnibus" (Dark Horse 2016, 7, same titles) = GCD 110169 (2016-2018, 7); the line spans the 2004 Conan, the Cimmerian, Weight of the Crown and the Avenger, so it is its own identity
F 103673 needs-fetch cv=96281 | named from the rip only; no CvVolume row
I 12727 cv=563682 gcd=1657623 isbn=9781506702827 0.95 | Omnibus Book 01 Birth of the Legend 456pp = CV 96281 #1 issue 563682 = GCD 110169 #1 476pp
C 12727 cv=10612 gcd=11511 #1-15 0.95 | Book 01 collects Conan (Dark Horse 2004, 50 issues) #1-15 — GCD reprint rows of 1657623 (also #23, #32, #45-46)
I 12728 cv=594388 gcd=1704945 isbn=9781506702940 0.95 | Omnibus Book 02 City of Thieves 450pp = CV 96281 #2 issue 594388 = GCD 110169 #2
C 12728 cv=10612 gcd=11511 #19-22 0.9 | Book 02 collects Conan (Dark Horse 2004) #19-22, the longest stretch of GCD 1704945's #16-17, 19-22, 24-25, 29-31, 33-34, 37-38, 41-44
I 12729 cv=611961 gcd=1725211 isbn=9781506702957 0.95 | Omnibus Book 03 Ancient Gods and Sorcerers 438pp = CV 96281 #3 issue 611961 = GCD 110169 #3 464pp
I 12730 cv=669416 gcd=1806796 isbn=9781506708096 0.95 | Omnibus Book 04 Mercenaries and Madness 437pp = CV 96281 #4 issue 669416 = GCD 110169 #4 456pp
I 12731 cv=675869 gcd=1822512 isbn=9781506708102 0.95 | Omnibus Book 05 Piracy and Passion 424pp = CV 96281 #5 issue 675869 = GCD 110169 #5 432pp
I 12732 cv=683741 gcd=1843264 isbn=9781506710495 0.95 | Omnibus Book 06 Savagery and Sorrow 439pp = CV 96281 #6 issue 683741 = GCD 110169 #6 448pp
I 12733 cv=691960 gcd=1849077 isbn=9781506710501 0.95 | Omnibus Book 07 Witchcraft and Warfare 419pp = CV 96281 #7 issue 691960 = GCD 110169 #7 448pp
C 12733 cv=73235 gcd=80303 #7-25 0.95 | Book 07 collects Conan the Avenger (Dark Horse 2014, 25 issues) #7-25 — GCD notes 1849077
N 12727 Books 03-06 carry no reprint numbers in our GCD data (Book 04 names Conan the Cimmerian unnumbered), so no C lines for them; the open span-retracted flags #709-711 are about those ranges
S 4086 cv=10612 gcd=11511 0.95 | the KEPT half is "Conan 001-050 [Marvel Edition] (2004-2008)" (ComicInfo Volume 2004 on 50/50) = Dark Horse's Conan CV 10612 (2004, 50) = GCD 11511 (2004-2008, 50, per-file on 48/50); the per-file GCD 42717 on two files is the trade line
F 4086 needs-fetch cv=10612 | named from the rip only; no CvVolume row

# ================= X-Treme X-Men / Mekanix / Savage Land =================
S 103747 cv=50754 gcd=67350 0.95 | split-reader ids CONFIRMED: "X-Treme X-Men 001-013 (2012-2013)" incl. #7.1 + the trades Xavier Must Die / You Can't Go Home Again (GCD reprints: #1-5 and #6-11 of s67350) = CV 50754 (Marvel 2012, 14) = GCD 67350 (2012-2013, 14, per-file on 14/16); the per-file CV 9411 is the 2001 run
F 103747 needs-fetch cv=50754 | named from the rip only; no CvVolume row
I 86397 cv=388851 gcd=1106879 isbn=9780785165644 0.95 | "COL 01 X-Treme X-Men Vol. 01 - Xavier Must Die (2013)" 122pp = CV 58061 issue 388851 = GCD 73916 #1 116pp
I 86398 cv=419111 gcd=1106880 isbn=9780785165651 0.95 | "COL 02 X-Treme X-Men Vol. 02 - You Can't Go Home Again (2013)" 172pp = CV 65717 issue 419111 = GCD 73916 #2 164pp
S 11900 cv=18131 gcd=18315 0.95 | "Mekanix 01-06 (of 06) (2002-2003)" twice (own folder + Complete Chronology copies) + the P-010 join of "X-Treme X-Men Vol. 04 - Mekanix" = the stored CV 18131 (Marvel 2002, 6) = GCD 18315 (2002-2003, limited series, 6); duplicates and the run's own trade cost nothing
I 86392 cv=222695 gcd=910911 isbn=0785111174 0.95 | "COL X-Treme X-Men Vol. 04 - Mekanix (2003)" 161pp = CV 34125 issue 222695 (Volume 4) = GCD 63032 #4 Mekanix 164pp (collects Mekanix #1-6 + X-Men Unlimited #36)
S 22605 cv=18959 gcd=10470 0.95 | "X-Treme X-Men - Savage Land 01-04 (of 04)" + the P-010 join of its trade "Vol. 01.5 - The Savage Land" (GCD reprint: s10470 #1-4) = the stored CV 18959 (Marvel 2001, 4) = GCD 10470 (2001-2002, 4)
I 86389 cv=222700 gcd=672067 isbn=0785108696 0.95 | "COL X-Treme X-Men Vol. 01.5 - The Savage Land (2002)" 99pp = CV 34130 issue 222700 (TPB) = GCD 39038 row 672067 100pp
S 22603 cv=9411 gcd=10197 0.9 | the KEPT half is the 2001 X-Treme X-Men #1-46 (Complete Chronology reading-order copies) + its trades Vol. 01-03, 05-08 (GCD notes: #1-9, #10-18, #19-23, #25-30, #24/31-35, #36-39, #40-46 of the 2001 series) = the stored CV 9411 (Marvel 2001, cached #1-46) = GCD 10197 (2001-2004, 46); residue: the X-Treme X-Men 2001 annual (CV 27047 / GCD 16804), a separate record, so 0.9
I 86388 cv=222693 gcd=910908 isbn=0785108416 0.95 | "COL X-Treme X-Men Vol. 01 - Destiny (2003)" 228pp = CV 34123 issue 222693 = GCD 63032 #1 Destiny (collects #1-9)
I 86390 cv=222694 gcd=910909 0.95 | "COL X-Treme X-Men Vol. 02 - Invasion (2003)" 213pp = CV 34124 issue 222694 = GCD 63032 #2 Invasion 228pp (collects #10-18)
I 86391 cv=- gcd=910910 isbn=0785110844 0.95 | "COL X-Treme X-Men Vol. 03 - Schism (2003)" 159pp = GCD 63032 #3 Schism 164pp (collects #19-23 + X-Treme X-Pose #1-2); CV's Schism volume is not in our data
C 86391 gcd=10850 #1-2 0.95 | Vol. 03 also collects X-Treme X-Pose (Marvel 2003 limited series, GCD 10850) #1-2 — GCD notes 910910
I 86393 cv=222696 gcd=910912 0.95 | "COL X-Treme X-Men Vol. 05 - God Loves, Man Kills (2003)" 146pp = CV 34126 issue 222696 (Volume 5) = GCD 63032 #5 (collects #25-30)
I 86394 cv=222697 gcd=910913 isbn=0785112308 0.95 | "COL X-Treme X-Men Vol. 06 - Intifada (2004)" 150pp = CV 34127 issue 222697 (Volume 6) = GCD 63032 #6 (collects #24, #31-35)
I 86395 cv=222699 gcd=910914 isbn=0785109366 0.95 | "COL X-Treme X-Men Vol. 07 - Storm - The Arena (2004)" 143pp = CV 34129 issue 222699 (Volume 7) = GCD 63032 #7 156pp (collects #36-39)
I 86396 cv=- gcd=910915 0.95 | "COL X-Treme X-Men Vol. 08 - Prisoner of Fire (2004)" 212pp = GCD 63032 #8 Prisoner of Fire 228pp (collects #40-46); CV's volume for it is not in our data
I 89526 cv=163699 gcd=275495 1.0 | "005 X-Treme X-Men Annual 2001 (2001)" 42pp, ComicInfo Web 163699 = CV 27047 "X-Treme X-Men 2001" issue 163699 = GCD 16804 row 275495 68pp

# ================= Shadowman =================
S 103721 cv=4829 gcd=4494 0.95 | split-reader ids CONFIRMED: the 29 "_Chronological Valiant" files (the "050."-"635." prefixes are reading order) = Shadowman #0-5, 21-43, ComicInfo Volume 1992 = CV 4829 (Valiant/Acclaim 1992, 44) = GCD 4494 (1992-1995, 44); the Classic Omnibus v01 reprints this run (its own edition, costs nothing)
F 103721 needs-fetch cv=4829 | named from the rip only; no CvVolume row
I 111988 cv=889676 gcd=2570428 0.95 | "COL Shadowman Classic Omnibus v01 (2021)" 685pp = CV 139595 issue 889676 (Volume 1) = GCD 204182 #1 736pp
S 103722 cv=26125 gcd=21846 0.95 | split-reader ids CONFIRMED: "Shadowman 001-005 (1999)" (d'argh-Empire, folder "_Acclaim\Shadowman v3") = CV 26125 (Valiant/Acclaim 1999, 6) = GCD 21846 (1999, 6, per-file on 5/5)
F 103722 needs-fetch cv=26125 | named from the rip only; no CvVolume row
S 103723 cv=53568 gcd=69752 0.95 | split-reader ids CONFIRMED: "COL Shadowman - Deluxe Edition - Book 01-02" (311/299pp, folder "Shadowman v4 (2013)") reprint ONE run, Valiant's 2012 Shadowman = CV 53568 (2012, 18) = GCD 69752 (2012-2014, 18); the deluxe line CV 78043 / GCD 114652 goes on the I lines
F 103723 needs-fetch cv=53568 | named from the rip only; no CvVolume row
I 110931 cv=469822 gcd=1712328 isbn=9781939346438 0.95 | "COL Shadowman - Deluxe Edition - Book 01 (2014)" 311pp = CV 78043 #1 issue 469822 = GCD 114652 #1 372pp
I 110932 cv=616156 gcd=1712329 0.95 | "COL Shadowman - Deluxe Edition - Book 02 (2017)" 299pp = CV 78043 #2 issue 616156 (Book 2) = GCD 114652 #2
S 99731 cv=109459 gcd=- 0.9 | split-reader id CONFIRMED: "COL Shadowman by Andy Diggle Deluxe Edition (2021)" 339pp reprints Valiant's 2018 Shadowman = CV 109459 (2018, 11); GCD indexes the 2018 run's trades (132079) and the deluxe (178381) but no issue run, so one leg
F 99731 needs-fetch cv=109459 | named from the rip only; no CvVolume row
F 99731 provider-missing | GCD has no series for the 2018 Shadowman issues (only the trade line 132079)
I 111989 cv=847373 gcd=2279135 isbn=9781682153727 0.95 | Shadowman by Andy Diggle Deluxe Edition 339pp = CV 135883 issue 847373 (HC) = GCD 178381 row 2279135
S 99732 cv=135681 gcd=172157 0.95 | split-reader ids CONFIRMED: "COL Shadowman Book 01 (2021)" / "Book 02 (2022)" (106pp each) reprint Valiant's 2021 Shadowman = CV 135681 (2021, 8) = GCD 172157 (2021-, 10 rows incl. pre-order editions); the per-file GCD 5069 (1994 one-shot) is a page-count stamp
F 99732 needs-fetch cv=135681 | named from the rip only; no CvVolume row
I 110933 cv=- gcd=2271509 isbn=9781682153741 0.9 | "COL Shadowman Book 01 (2021)" 106pp = GCD 177334 "Shadowman" (Valiant 2021, the first trade) row 2271509; CV's trade record is not in our data
N 110934 no-record: "COL Shadowman Book 02 (2022)" 106pp — neither leg holds the second 2021 trade in our data (probed "Shadowman" 2021-2022 on both)
S 103720 cv=91901 gcd=- 0.9 | split-reader id CONFIRMED: "Shadowman by Garth Ennis & Ashley Wood (2016)" 194pp = CV 91901 (DMG/Valiant 2016, 1 issue 537926, TPB); GCD has no row under this title (probed); which issues it collects is not in our data
F 103720 needs-fetch cv=91901 | named from the rip only; no CvVolume row
F 103720 provider-missing | no GCD series for Shadowman by Garth Ennis & Ashley Wood
I 111087 cv=537926 gcd=- 0.9 | the Ennis & Wood collection 194pp = CV 91901 issue 537926 (TPB 2016)
S 15445 cv=6032 gcd=5827 0.95 | the KEPT half is "Shadowman 005-020 (1997-1998)" (d'argh-Empire, folder "_Acclaim\Shadowman v2") = the stored CV 6032 (Valiant/Acclaim 1997, 20) = GCD 5827 (1997-1999, 20, per-file on 16/16); split-reader note CONFIRMED: the larger 1992 run left under its own ids and this shelf keeps the smaller 1997 run's cv
F 15445 needs-fetch cv=6032 | named from the rip only; no CvVolume row

# ================= Manhunter =================
S 103707 cv=11797 gcd=12804 0.95 | split-reader ids CONFIRMED: "Manhunter, 2004-08 (#01) ... 2009-01 (#38)" (ComicInfo Volume 2004 / Count 38 on 37) + the DC Events duplicate rips "Manhunter v4 001-014" = CV 11797 (DC 2004, 38) = GCD 12804 (2004-2009, 38, per-file on 37/52); the per-file CV 4009 on the v4 copies is the 1988 run; duplicate rips cost nothing
