# R-076 — the new and kept shelves of split wave 63 (P-023): GL annuals, Suicide Squad, Abe Sapien minis, Joy Operations, Minor Threats, Usagi Yojimbo IDW trades.
# Dark Horse Hellboy-universe minis carry a ripper's running "Abe Sapien - NNN" ladder (9-10 for Devil Does Not Jest #1-2); GCD prints the same running number in brackets ([6], [9], [10]).
# GCD splits the 1985-87 GL Corps annual by cover title (33216 #1 / 33217 #2 / 2978 #3) where CV keeps one 3-issue volume 21324.
# Minor Threats: every mini has its own CV volume + GCD series; the stored CV 144737 on S7019 was the 2022 first mini stamped across all its spin-offs.

S 64825 cv=4740 gcd=4399 0.95 | CV 4740 "Green Lantern Annual" (DC 1992, 9, #1-9 1992-2000) and GCD 4399 (DC 1992-2000, 9) agree on publisher, span and count; our three files are Annual #3 (1994), #7 "Ghosts" (1998) and #8 (1999) — ladder 3/7/8 all inside #1-9, ComicInfo Volume "1990"/"3" = the GL v3 era
S 17022 cv=100094 gcd=112908 0.95 | the one kept file "Suicide Squad - Director's Cut 001 (2017)" 65pp = CV 100094 "Suicide Squad #1 Director's Cut" (DC 2017, 1, issue 588549) and GCD 112908 (DC 2017, 1, issue 1683004, 68pp) — found by probing "Director's Cut" --year 2017 --contains; both legs agree on title, publisher, year and 68 vs 65pp
F 17022 needs-fetch cv=100094 | CV 100094 has no CvVolume row — named from the rip
I 70025 cv=588549 gcd=1683004 isbn=- 0.95 | the one-shot's own record: CV 100094 #1 issue 588549 (2017-05) and GCD 112908 issue 1683004 (2017-03-22, 68pp vs our 65pp)

S 344 cv=20473 gcd=31065 0.9 | CV 20473 "Abe Sapien: The Drowning" (Dark Horse 2008, 5, #1-5 2008-02..06) and GCD 31065 (Dark Horse 2008, 5) agree on publisher, year and count; our five "The Drowning 0N (of 05)" files are the ladder 1-5; 0.9 for the 442pp 2023 omnibus beside them, which also collects two other minis and the Lost Lives one-shots
I 14829 cv=- gcd=2560080 isbn=9781506733807 0.95 | "Abe Sapien - The Drowning and Other Stories (2023)" 442pp = GCD 202797 issue 2560080 (2023-08-02, 452pp, ISBN 978-1-50673-380-7); CV has only the 2018 HC (112158 issue 676575), not this 2023 edition
C 14829 cv=20473 gcd=31065 #1-5 0.95 | Abe Sapien: The Drowning (Dark Horse 2008, 5 issues): GCD 2560080's notes name "Abe Sapien (Dark Horse 2008 series) 1: The Drowning" — the whole five-issue mini
C 14829 cv=43030 gcd=61240 #1-2 0.9 | Abe Sapien: The Devil Does Not Jest (Dark Horse 2011, 2 issues): the omnibus's notes name collected volume 2 "The Devil Does Not Jest", whose title mini is CV 43030 / GCD 61240 #1-2
C 14829 cv=33998 gcd=49587 #1-2 0.9 | Abe Sapien: The Abyssal Plain (Dark Horse 2010, 2 issues): collected in volume 2 "The Devil Does Not Jest and Other Stories", which the 2023 omnibus reprints whole per GCD 2560080's notes
C 14829 cv=29118 gcd=40647 #1-1 0.9 | Abe Sapien: The Haunted Boy (Dark Horse 2009, one-shot): also in volume 2 "The Devil Does Not Jest and Other Stories", reprinted whole in the 2023 omnibus per GCD 2560080's notes
N 14829 the omnibus also reprints volume 9 "Lost Lives and Other Stories" (one-shots); those runs are not named here

S 103862 cv=29118 gcd=40647 0.95 | one-shot: "Abe Sapien - 006 - The Haunted Boy (2009)" 30pp = CV 29118 (Dark Horse 2009, 1, issue 179133) and GCD 40647 (Dark Horse 2009, 1, issue 690686 numbered "[6]" = our ripper's 006); the per-file CV 128305 is Delcourt's French edition
F 103862 needs-fetch cv=29118 | CV 29118 has no CvVolume row — named from the rip
I 14844 cv=179133 gcd=690686 isbn=- 0.95 | the one-shot's own record: CV 29118 #1 issue 179133 (2009-10) and GCD 40647 issue 690686 (2009-10-28, 40pp, running number [6])

S 103861 cv=33998 gcd=49587 0.95 | CV 33998 "Abe Sapien: The Abyssal Plain" (Dark Horse 2010, 2, #1-2 2010-06/07) and GCD 49587 (Dark Horse 2010, 2) agree; our "Abe Sapien - 007/008 - The Abyssal Plain 01/02" are #1-2 (007/008 = the ripper's running number); per-file CV 128305 / GCD 67258 are Delcourt's French line
F 103861 needs-fetch cv=33998 | CV 33998 has no CvVolume row — named from the rip

S 101651 cv=43030 gcd=61240 0.95 | the kept pair "Abe Sapien - 009/010 - The Devil Does Not Jest 01/02 (of 02) (2011)" = CV 43030 "Abe Sapien: The Devil Does Not Jest" (Dark Horse 2011, 2, #1-2 2011-09/10) and GCD 61240 (Dark Horse 2011, 2, rows #1 [9] / #2 [10] — GCD prints our 009/010); (of 02) = both counts; per-file CV 59507 (the 2013 ongoing) and GCD 67258 (Delcourt) are stamps
F 101651 needs-fetch cv=43030 | CV 43030 has no CvVolume row — named from the rip

S 103866 cv=158558 gcd=213151 0.95 | run-wins: "Joy Operations 2 (2025)" 95pp (two copies, Dark Horse and Jinxworld folders; judged #1-4) collects CV 158558 "Joy Operations 2" (Dark Horse 2024, 4, 2024-06..09) = GCD 213151 (Dark Horse 2024, 4) — publisher, year and count agree; the per-file CV 140216 is the first mini
F 103866 needs-fetch cv=158558 | CV 158558 has no CvVolume row — named from the rip
I 15187 cv=- gcd=2704318 isbn=9781506740652 0.9 | the trade's own record: GCD 220333 "Joy Operations 2" (2025) issue 2704318 (2025-01-22, ISBN 978-1-5067-4065-2); CV holds no record of this TPB
I 37618 cv=- gcd=2704318 isbn=9781506740652 0.9 | the same 95pp trade filed again under Jinxworld (Dark Horse) — GCD 220333 issue 2704318; no CV record
N 103866 items 15187 / 37618 are one book in two publisher folders (Dark Horse and Jinxworld) — duplicate rip, no cost

S 9992 cv=140216 gcd=178391 0.95 | run-wins: "Joy Operations (2022)" 132pp (two copies; judged #1-5) collects CV 140216 "Joy Operations" (Dark Horse 2021, 5) = GCD 178391 (Dark Horse 2021-2022, 5) — publisher, year and count agree
I 15186 cv=949407 gcd=2429648 isbn=9781506729466 0.95 | the trade's own record: CV 145323 issue 949407 (TPB 2022-09) and GCD 189078 issue 2429648 (2022-09-07, ISBN 978-1-5067-2946-6)
I 37617 cv=949407 gcd=2429648 isbn=9781506729466 0.95 | the same 132pp trade filed again under Jinxworld (Dark Horse) — CV 145323 issue 949407 / GCD 189078 issue 2429648

S 103867 cv=144737 gcd=188484 0.95 | run-wins: "COL Minor Threats Vol. 01 - A Quick End to a Long Beginning" 136pp collects the first mini, CV 144737 "Minor Threats" (Dark Horse 2022, 4, #1 titled "A Quick End To A Long Beginning") = GCD 188484 (Dark Horse 2022-2023, 4) — publisher, year and count agree; 144737 leaves S7019 (F wrong-cv-link there)
I 14531 cv=1000495 gcd=2555493 isbn=- 0.95 | the trade's own record: CV 152152 "Minor Threats: A Quick End to a Long Beginning" issue 1000495 "Volume 1" (2023-07-13) and GCD 202176 #1 issue 2555493 (2023-07-12, same subtitle)

S 103868 cv=157524 gcd=210695 0.95 | run-wins: "COL Minor Threats Vol. 02 - The Fastest Way Down (2024)" 134pp collects CV 157524 "Minor Threats: The Fastest Way Down" (Dark Horse 2024, 4) = GCD 210695 (Dark Horse 2024, 4) — publisher, year and count agree; the per-file CV 144737 is the first mini
F 103868 needs-fetch cv=157524 | CV 157524 has no CvVolume row — named from the rip
I 14532 cv=- gcd=2673919 isbn=9781506739564 0.9 | the trade's own record: GCD 202176 "Minor Threats" #2 issue 2673919 "The Fastest Way Down" (2024-11-06, ISBN 978-1-5067-3956-4); no CV record of the TPB ("Minor Threats" --contains lists none)

S 103864 cv=161632 gcd=218584 0.95 | CV 161632 "From the World of Minor Threats: The Brood" (Dark Horse 2024, 4, 2024-12..2025-03) and GCD 218584 (Dark Horse 2024-2025, 4) agree; our #001 (2024) and #002 (2025) = ladder 1-2, the per-file GCD 218584 on 2/2; per-file CV 144737 is the first mini's stamp
F 103864 needs-fetch cv=161632 | CV 161632 has no CvVolume row — named from the rip

S 103863 cv=153594 gcd=204009 0.95 | run-wins: "From the World of Minor Threats - The Alternates (2023)" 139pp (judged #1-4) collects CV 153594 (Dark Horse 2023, 4) = GCD 204009 (Dark Horse 2023, 4) — publisher, year and count agree; per-file CV 144737 is the first mini's stamp
F 103863 needs-fetch cv=153594 | CV 153594 has no CvVolume row — named from the rip
I 15951 cv=- gcd=2625221 isbn=9781506739540 0.9 | the trade's own record: GCD 211343 "From the World of Minor Threats: The Alternates" (2024) issue 2625221 (2024-04-17, ISBN 978-1-5067-3954-0); no CV record of the TPB

S 7019 cv=158808 gcd=213679 0.95 | the kept four "From the World of Minor Threats - Barfly 001-004 (2024)" = CV 158808 "From the World of Minor Threats: Barfly" (Dark Horse 2024, 4, 2024-07..12) and GCD 213679 (Dark Horse 2024, 4) — per-file GCD on 4/4, ladder 1-4 = both counts
F 7019 wrong-cv-link | stored CV 144737 is the 2022 "Minor Threats" first mini (now S103867's run), stamped on these Barfly files; Barfly is CV 158808
F 7019 needs-fetch cv=158808 | CV 158808 has no CvVolume row — named from the rip

S 20856 cv=- gcd=147897 0.9 | run-wins: "COL Usagi Yojimbo Vol. 37 - Crossroads" and "Vol. 38 - The Green Dragon" (IDW, 140pp each) are GCD 160732 #37/#38 whose gcd_reprint roll-ups name s147897 Usagi Yojimbo (IDW 2019-2022, 31) #23-27 and #28-31 — one run reprinted; CV's run is 119731 (IDW 2019, 31) but S20857 (Usagi Yojimbo: Origins) wrongly stores it, so cv is withheld
N 20856 withheld cv=119731 — stored by S20857 "Usagi Yojimbo" (the Origins reprint line, C-029), which should be F wrong-cv-link per revisit.txt; once re-linked this shelf takes cv=119731
I 13712 cv=1045619 gcd=2452880 isbn=9781684059102 0.95 | the trade's own record: CV 156932 "Usagi Yojimbo: Crossroads" issue 1045619 (TPB 2022-11) and GCD 160732 #37 "Crossroads" issue 2452880 (2022-11-16)
I 13713 cv=1045618 gcd=2523339 isbn=9781684059829 0.95 | the trade's own record: CV 156933 "Usagi Yojimbo: The Green Dragon" issue 1045618 (TPB 2023-04) and GCD 160732 #38 issue 2523339 (2023-04-19, 140pp = ours)
C 13712 cv=119731 gcd=147897 #23-27 0.95 | Usagi Yojimbo (IDW 2019, 31 issues): GCD's gcd_reprint roll-up of issue 2452880 names s147897 #23-27 [5 stories]
C 13713 cv=119731 gcd=147897 #28-31 0.95 | Usagi Yojimbo (IDW 2019, 31 issues): GCD's gcd_reprint roll-up of issue 2523339 names s147897 #28-31 [4 stories], the run's last four
