# X-036 item batch: manga M-titles continued (Muhyo & Roji's through Nana). Same reused-title-only-id shape
# throughout. Muhyo & Roji's per-file carries NO gcd id at all (blank on every one of 18 books) - filled entirely
# from the header pool. Mushishi and My Hero Academia - Smash!! are wrong on BOTH legs (foreign/omnibus cv volume
# plus a wrong gcd series). My Hero Academia itself is the most extreme stamp-jump case in the whole item pass so
# far: the per-file gcd pick cycles through FOUR different wrong series (105138, 204933, 236032, 228276) across
# its 38 books while cv stays pinned to one wrong foreign volume (166768) throughout; all 38 corrected by ordinal
# against the shelf's own 42-issue header ladder. My Pink is Overflowing is a single-leg (cv-only) shelf; its one
# book's per-file link was already correct. No C OWED markers appear anywhere in this packet.
I 39459 cv=1011798 gcd=2568165 0.95 | header ladder #35 of CV 83681 / GCD 106221; corrected by ordinal, 196pp isbn 978-1-9747-3909-7
I 39460 cv=1033180 gcd=2587584 0.95 | header ladder #36 of CV 83681 / GCD 106221; corrected by ordinal, 204pp isbn 978-1-9747-4108-3
I 39461 cv=1047161 gcd=2614450 0.95 | header ladder #37 of CV 83681 / GCD 106221; per-file gcd jumps to a fourth wrong series 228276/2773938 for v37-v38, corrected by ordinal, 204pp isbn 978-1-9747-4324-7
I 39462 cv=1058469 gcd=2636353 0.95 | header ladder #38 of CV 83681 / GCD 106221; per-file gcd's fourth wrong-series stamp 228276 corrected by ordinal, 212pp isbn 978-1-9747-4584-5
I 39415 cv=831690 gcd=2207020 0.95 | header ladder #1 of CV 134164 / GCD 170291 My Hero Academia: Team-Up Missions (Viz 2021-?); cv matched correctly per-file, gcd correct for v01, 204pp isbn 978-1-9747-2155-9
I 39416 cv=903107 gcd=2296606 0.95 | header ladder #2 of CV 134164 / GCD 170291; per-file gcd stamps v01's id 2207020, corrected by ordinal, 196pp isbn 978-1-9747-2717-9
I 39417 cv=977009 gcd=2506980 0.95 | header ladder #3 of CV 134164 / GCD 170291; corrected by ordinal, 212pp isbn 978-1-9747-3475-7
I 39418 cv=1028660 gcd=2579551 0.95 | header ladder #4 of CV 134164 / GCD 170291; corrected by ordinal, 188pp isbn 978-1-9747-4127-4
I 39420 cv=713745 gcd=2006804 0.95 | header ladder #1 of CV 120208 / GCD 149536 My Hero Academia: Smash!! (Viz 2019-2020); per-file cv stamps a wrong volume 137809 and gcd a wrong series 148796/1997118 across all five books, corrected by ordinal, 140pp isbn 978-1-9747-0866-6
I 39421 cv=726445 gcd=2035444 0.95 | header ladder #2 of CV 120208 / GCD 149536; per-file cv/gcd both wrong, corrected by ordinal, 140pp isbn 978-1-9747-0867-3
I 39422 cv=736382 gcd=2065710 0.95 | header ladder #3 of CV 120208 / GCD 149536; corrected by ordinal, isbn 978-1-9747-0868-0
I 39423 cv=759211 gcd=2106946 0.95 | header ladder #4 of CV 120208 / GCD 149536; corrected by ordinal, 136pp isbn 978-1-9747-0869-7
I 39424 cv=786552 gcd=2132164 0.95 | header ladder #5 of CV 120208 / GCD 149536; corrected by ordinal, 140pp isbn 978-1-9747-0870-3
I 41751 cv=458751 gcd=1236922 0.95 | header ladder #1 of CV 75393 / GCD 81686 My Love Story!! (Viz 2014-2025); cv matched correctly per-file, gcd correct for v01, 188pp isbn 9781421571447
I 41752 cv=467738 gcd=1342137 0.95 | header ladder #2 of CV 75393 / GCD 81686; per-file gcd stamps v01's id 1236922, corrected by ordinal, 196pp isbn 978-1-4215-7145-4
I 41753 cv=475400 gcd=1878106 0.95 | header ladder #3 of CV 75393 / GCD 81686; corrected by ordinal, isbn 978-1-4215-7146-1
I 41754 cv=484730 gcd=1878107 0.95 | header ladder #4 of CV 75393 / GCD 81686; corrected by ordinal, isbn 9781421571478
I 41755 cv=494230 gcd=1878108 0.95 | header ladder #5 of CV 75393 / GCD 81686; corrected by ordinal, isbn 9781421571485
I 41756 cv=501543 gcd=1878109 0.95 | header ladder #6 of CV 75393 / GCD 81686; corrected by ordinal, isbn 9781421579146
I 41757 cv=510407 gcd=1878110 0.95 | header ladder #7 of CV 75393 / GCD 81686; per-file gcd jumps to a wrong series 114100/1699770 for v07-v13, corrected by ordinal, isbn 9781421582139
I 41758 cv=522160 gcd=1878111 0.95 | header ladder #8 of CV 75393 / GCD 81686; per-file gcd's wrong-series stamp 114100 corrected by ordinal, isbn 9781421584492
I 41759 cv=538421 gcd=1878112 0.95 | header ladder #9 of CV 75393 / GCD 81686; corrected by ordinal, 180pp isbn 978-1-4215-8629-8
I 41760 cv=552032 gcd=1878113 0.95 | header ladder #10 of CV 75393 / GCD 81686; corrected by ordinal, 196pp isbn 978-1-4215-8868-1
I 41761 cv=580674 gcd=1932778 0.95 | header ladder #11 of CV 75393 / GCD 81686; corrected by ordinal, 196pp isbn 978-1-4215-9122-3
I 41762 cv=594015 gcd=1932779 0.95 | header ladder #12 of CV 75393 / GCD 81686; corrected by ordinal, 220pp isbn 978-1-4215-9214-5
I 41763 cv=619691 gcd=1932780 0.95 | header ladder #13 of CV 75393 / GCD 81686; corrected by ordinal, 204pp isbn 978-1-4215-9053-0
I 39407 cv=475832 gcd=1448906 0.95 | header ladder #1 of CV 79395 / GCD 91743 My Neighbor Seki (Vertical 2015-2018); cv matched correctly per-file, gcd correct for v01, 172pp isbn 978-1-939130-96-9
I 39408 cv=486064 gcd=1448907 0.95 | header ladder #2 of CV 79395 / GCD 91743; per-file gcd stamps v01's id 1448906, corrected by ordinal
I 39409 cv=495141 gcd=1448908 0.95 | header ladder #3 of CV 79395 / GCD 91743; corrected by ordinal
I 39410 cv=500946 gcd=1498881 0.95 | header ladder #4 of CV 79395 / GCD 91743; corrected by ordinal, isbn 9781941220498
I 39411 cv=506544 gcd=1533090 0.95 | header ladder #5 of CV 79395 / GCD 91743; corrected by ordinal
I 39412 cv=510859 gcd=1533091 0.95 | header ladder #6 of CV 79395 / GCD 91743; corrected by ordinal
I 39413 cv=520028 gcd=1641158 0.95 | header ladder #7 of CV 79395 / GCD 91743; corrected by ordinal
I 39414 cv=552033 gcd=1641159 0.95 | header ladder #8 of CV 79395 / GCD 91743; corrected by ordinal
I 45129 cv=705693 gcd=- 0.9 | header #1 of CV 118206 My Pink Is Overflowing (Kodansha Comics USA 2019, count 6), the shelf's only leg; matches per-file link, no GCD row
I 40222 cv=520029 gcd=1641170 0.95 | header ladder #1 of CV 88904 / GCD 108571 Mysterious Girlfriend X (Vertical 2016-2017, our books are omnibus editions); cv matched correctly per-file, gcd correct for v01, isbn 978-1-942993-45-2
I 40223 cv=537141 gcd=1641171 0.95 | header ladder #2 of CV 88904 / GCD 108571; per-file gcd stamps v01's id 1641170, corrected by ordinal
I 40224 cv=550288 gcd=1641172 0.95 | header ladder #3 of CV 88904 / GCD 108571; corrected by ordinal
I 40225 cv=571597 gcd=1893063 0.95 | header ladder #4 of CV 88904 / GCD 108571; corrected by ordinal
I 40226 cv=587348 gcd=1893064 0.95 | header ladder #5 of CV 88904 / GCD 108571; corrected by ordinal
I 40227 cv=601619 gcd=1893065 0.95 | header ladder #6 of CV 88904 / GCD 108571; corrected by ordinal
I 43681 cv=158172 gcd=1036214 0.95 | header ladder #1 of CV 26500 / GCD 70181 Nana (Viz 2005-2010); per-file cv stamps a wrong volume 90920 across all 21 books, gcd correct for v01, isbn 978-1-4215-0108-6
I 43682 cv=158173 gcd=1036215 0.95 | header ladder #2 of CV 26500 / GCD 70181; per-file cv wrong volume 90920 and gcd v01's stamp 1036214, both corrected by ordinal
I 43683 cv=158175 gcd=1036216 0.95 | header ladder #3 of CV 26500 / GCD 70181; corrected by ordinal, 196pp isbn 978-1-4215-0479-7
I 43684 cv=158176 gcd=1036217 0.95 | header ladder #4 of CV 26500 / GCD 70181; corrected by ordinal
I 43685 cv=158177 gcd=1036218 0.95 | header ladder #5 of CV 26500 / GCD 70181; corrected by ordinal
I 43686 cv=158179 gcd=1036219 0.95 | header ladder #6 of CV 26500 / GCD 70181; corrected by ordinal
I 43687 cv=158180 gcd=1036220 0.95 | header ladder #7 of CV 26500 / GCD 70181; corrected by ordinal
I 43688 cv=158181 gcd=1036221 0.95 | header ladder #8 of CV 26500 / GCD 70181; corrected by ordinal
I 43689 cv=158183 gcd=1036222 0.95 | header ladder #9 of CV 26500 / GCD 70181; corrected by ordinal
I 43690 cv=158184 gcd=1036223 0.95 | header ladder #10 of CV 26500 / GCD 70181; corrected by ordinal
I 43691 cv=158186 gcd=1036224 0.95 | header ladder #11 of CV 26500 / GCD 70181; corrected by ordinal
I 43692 cv=158187 gcd=1036225 0.95 | header ladder #12 of CV 26500 / GCD 70181; corrected by ordinal
I 43693 cv=158188 gcd=1036226 0.95 | header ladder #13 of CV 26500 / GCD 70181; corrected by ordinal
I 43694 cv=158190 gcd=1036227 0.95 | header ladder #14 of CV 26500 / GCD 70181; corrected by ordinal
I 43695 cv=158191 gcd=1036228 0.95 | header ladder #15 of CV 26500 / GCD 70181; corrected by ordinal
I 43696 cv=158193 gcd=1036229 0.95 | header ladder #16 of CV 26500 / GCD 70181; corrected by ordinal
I 43697 cv=181981 gcd=1036230 0.95 | header ladder #17 of CV 26500 / GCD 70181; corrected by ordinal
I 43698 cv=181982 gcd=1036231 0.95 | header ladder #18 of CV 26500 / GCD 70181; corrected by ordinal
I 43699 cv=181983 gcd=1036232 0.95 | header ladder #19 of CV 26500 / GCD 70181; corrected by ordinal
I 43700 cv=191255 gcd=1036233 0.95 | header ladder #20 of CV 26500 / GCD 70181; corrected by ordinal
I 43701 cv=262937 gcd=1036234 0.95 | header ladder #21 of CV 26500 / GCD 70181; corrected by ordinal, isbn 978-1-4215-3308-7
