# R-088 — S.2 tier one: 70 shelves whose winning line was an S at 0.7 or an R (mostly provider-missing). Folders: Misc\ (NBM Dungeon, Gumby, Heroes, Jirni, OZ, Tank Girl, Street Fighter, Shi, Second Coming), Oni Press\, Papercutz\, Scout\, Silver Sprocket\.
# Every provider-missing R was re-probed on both legs with --contains (and the record's own title where one was named); the probe list is on each F line. Found records: all five NBM Dungeon cycles, Gumby in 3-D (GCD 38332), Attack of the 100-Foot Booger (CV 68845 / GCD 77438), Shi's Crusade books, the Malibu Street Fighter, the Rick and Morty minis/one-shots, Exodus: The Life After, Hopeless Savages / Helheim trades.
# Surprises: the "several runs" shelves are all true (flags #65 / #80 / #82 are NOT stale); SHI (Europe Comics, Zidrou/Homs) and Billy Tucci's Shi are two unrelated comics under one bare title; Nancy Drew's NBM volumes belong on S102066, Dungeon Monstres on S24292.

R 5909 | the 13 NBM albums (97-103pp) are five separately published Dungeon series, each with its own record on both legs: The Early Years v1-v2 = CV 51884 / GCD 55264; Zenith v1-v3 = CV 52034 / GCD 55263; Twilight v1-v3 = CV 51771 / GCD 55269; Parade v1-v2 = CV 51968 / GCD 55268; Monstres v1-v3 = CV 51654 / GCD 55267 (album titles match the CV issue names one for one); the stored CV 51364 / GCD 19068 "Dungeon" (NBM 2002-2003, 8 x 28pp) is the comic-format serialisation, not these albums - flag #65 is TRUE
I 105570 cv=355934 gcd=1103207 isbn=9781561635788 0.95 | "Twilight v3 - The New Centurions" 103pp = CV 51771 issue 355934 and GCD 55269 #3 row 1103207 "The New Centurions" (100pp)
I 105571 cv=356456 gcd=1103203 isbn=- 0.9 | "Parade v1 - A Dungeon Too Many" 66pp = CV 51968 issue 356456 "A Dungeon Too Many" and GCD 55268 #1 row 1103203 (ordinal)
I 105572 cv=356562 gcd=1103204 isbn=- 0.9 | "Parade v2 - Day of the Toads" 66pp = CV 51968 issue 356562 "Day of the Toads" (2007-07) and GCD 55268 #2 row 1103204 (ordinal)
I 105573 cv=354223 gcd=1103216 isbn=- 0.9 | "Monstres v1 - The Crying Giant" 98pp = CV 51654 issue 354223 "The Crying Giant" and GCD 55267 #1 row 1103216 (ordinal)
I 105574 cv=354598 gcd=1103217 isbn=- 0.9 | "Monstres v2 - The Dark Lord" 99pp = CV 51654 issue 354598 "The Dark Lord" and GCD 55267 #2 row 1103217 (ordinal)
I 105575 cv=354889 gcd=1103218 isbn=- 0.9 | "Monstres v3 - Heartbreaker" 99pp = CV 51654 issue 354889 "Heartbreaker" and GCD 55267 #3 row 1103218 (ordinal)
R 5953 | "Dweedy and the Bush Cats 001-003 (2023)" (48-64pp, ComicInfo Publisher Dooney Press x3) is in neither catalog: re-probed "Dweedy" --contains and "Bush Cats" --contains, 0 hits on CV and GCD; every packet candidate is a word match on "Cats" or "Bush"
F 5953 provider-missing | probed "Dweedy", "Bush Cats" (--contains) on both legs: a 2023 Dooney Press series neither catalog holds
S 6188 cv=52587 gcd=57954 0.7 | NEW reading: "Enki Bilal - Memories" is Bilal's story collection in its English Humanoids edition = CV 52587 "Memories of Outer Space" (Humanoids 2002, 1) and GCD 57954 "Memories from Outer Space" (Humanoids 2002, row 824880, 56pp, ISBN 1-930652-26-7), which replaces the French GCD 122339 (Mémoires d'outre-espace 1990); still 0.7 because our file is 149pp against GCD's 56pp - nearly three times the book
F 6188 needs-web | is our 149pp "Enki Bilal - Memories" Humanoids' 2002 "Memories from Outer Space" (56pp, ISBN 1-930652-26-7), or a larger Bilal collection that contains it?
F 6188 needs-fetch cv=52587 | CV 52587 is named from the local rip and has no CvVolume row
I 105991 cv=359658 gcd=824880 isbn=- 0.7 | the book = CV 52587 issue 359658 and GCD 57954 row 824880 if the page-count doubt (149pp vs 56pp) resolves
R 6265 | "Everything Dies Vol. 01-03 (2011-2012)" (EAN 9781105250965 on Vol. 01, a Lulu print-on-demand ISBN) is in neither catalog: re-probed "Everything Dies" --contains, which returns only Marvel's "New Avengers: Everything Dies" trade and its Panini UK edition; the three books' own records are not in our data
F 6265 provider-missing | probed "Everything Dies" --contains on both legs; a self-published Lulu series
S 10641 cv=- gcd=46519 0.9 | the two COL files "Legacy Volume 1/2" (147pp + 62pp) sit in Misc\Gold Digger\Legacy & Ninja High School = Antarctic Press's universe, and GCD 46519 "Legacy" (Antarctic Press 1999-2001, 6 rows x 28pp = 168pp) fits the 209pp we hold; the arithmetic refuses the per-file Majestic CV 26972 / GCD 26333 (1993-1994, 3 issues x 36pp = 108pp, less than Volume 1 alone); the two trades' own records are not in our data
F 10641 provider-missing | CV has no Antarctic "Legacy" ("Legacy" --year 1999: 0 CV hits, GCD 46519 only), so cv=-
R 7801 | "The Complete Goro by Sarah Horrocks (2019)" 195pp is a self-published collection of Horrocks's webcomic; re-probed "Goro" --contains (25 CV / 14 GCD hits: Shogakukan's 1974 Goro, Mortal Kombat: Goro, Japanese titles) - none is this book; the book's own record is not in our data
F 7801 provider-missing | probed "Goro" --contains on both legs; no 2019 English Goro in either catalog
R 8187 | "Gumby's Circus (2000) (c2c)" 28pp is in neither catalog: re-probed "Gumby" --contains - CV 21007/22327/22325/22328/22329/125792/102595/105947 and GCD 38332/3485/3717/25554/24206/30679/54556/179830/119724 are every Gumby record and none is a Circus book or dated 2000
F 8187 provider-missing | probed "Gumby" --contains and "Circus" on both legs; no Gumby's Circus row
R 8184 | four Gumby runs share this shelf, each with its own record: (1) "Gumby 3-D 001-007 (1986-1988) (Blackthorne)" 37pp x7 = GCD 38332 "Gumby in 3-D" (Blackthorne 1986-1988, 7 rows, 36pp) - CV has no volume for it; (2) "Gumby 001-003 (2006-2007)" (Wildcard) = CV 22325 / GCD 25554 (3); (3) "Gumby 2007 FCBD" / "Gumby 2008 FCBD" = CV 22328 / GCD 24206 and CV 22329 / GCD 30679, two one-shots; (4) two rips of "Gumby 01 (2017)" (Papercutz/NBM) = CV 102595 issue 606663 / GCD 179830 #1
F 8184 split-needed | items 106182-106188 (Gumby 3-D #1-7) stay as cv=- gcd=38332; items 106176-106178 -> "Gumby (2006)" cv=22325 gcd=25554; item 106179 -> "Gumby Free Comic Book Day 2007 (2007)" cv=22328 gcd=24206; item 106180 -> "Gumby Free Comic Book Day 2008 (2008)" cv=22329 gcd=30679; items 107942, 109861 -> "Gumby (2017)" cv=102595 gcd=179830 (who-stores: none of these ids sits on a live shelf)
N 8184 Gumby 3-D's barcodes (0015001735509 on #4-6) are the Blackthorne cover codes; ComicVine indexes no Gumby 3-D volume ("Gumby" --contains)
S 8832 cv=71264 gcd=- 0.9 | the 43 "Heroes NNN - <chapter title>" files (6-13pp) are NBC's online Heroes graphic novels, and CV 71264 "Heroes" (NBC Studios 2006) numbers exactly that chapter sequence (cached #82 "Replay" 2008-04 ... #172 2010-05 - chapter numbers, not a 13-issue run); one leg plus our naming, page counts and dates; residue: Titan's 2016 "Heroes: Omnibus" 530pp (CV 94639) and CV's cached count 13 sits below our ladder (sparse index)
F 8832 provider-missing | GCD has no chapter series: GCD 37472 "Heroes" (NBC Studios, 4 rows: #1-#3 + a 2008 SDCC book) is not the chapter numbering, so gcd=-; the per-file CV 76016 (Blackbird 1985) is a stamp
F 8832 needs-fetch cv=71264 | CV 71264 is named from the local rip and has no CvVolume row
I 111872 cv=552234 gcd=- isbn=- 0.9 | "COL Heroes - Omnibus (2016)" 530pp (ComicInfo Series "Heroes: Omnibus", Publisher Titan) = CV 94639 "Heroes: Omnibus" (Titan 2016) issue 552234 "TPB"; no GCD row
R 9252 | "IWF - Intergalactic Wrestling Federation 001 (2024) (Vantage)" 41pp is in neither catalog: re-probed "IWF" and "Intergalactic Wrestling" --contains, 0 hits on both legs; the candidates are BloodFire's "Intergalactic" and Xigency's "AWF"
F 9252 provider-missing | probed "IWF", "Intergalactic Wrestling" (--contains) on both legs
R 9890 | two trades of two different Jirni seasons with their own records: Vol. 01 (2014, 127pp, judged #1-5) collects Jirni (2013) = CV 60017 / GCD 73688 (Aspen, 5), Vol. 02 (2016, 128pp, judged #1-5) collects the 2015 season = CV 83698 / GCD 91357 (Aspen 2015-2017, 5); two whole trades of two runs are co-equal
F 9890 split-needed | item 107945 (Vol. 02) -> "Jirni v2 (2015)" cv=83698 gcd=91357 (who-stores cv=83698: no shelf); item 107944 (Vol. 01) stays as cv=60017 gcd=73688
I 107944 cv=446675 gcd=- isbn=- 0.9 | "Jirni Vol. 01 (2014)" 127pp = CV 72018 "Jirni" (Aspen 2014) issue 446675 "TPB" (2014-02); GCD's 2014 row 81123 is a one-shot #1 (barcoded, 2014-06), not this trade
N 107945 no-record | Vol. 02 (2016) trade: "Jirni" --year 2016 returns only the 2015 run (CV 83698 / GCD 91357); no trade record on either leg
R 11024 | "Love is Just Another Kind of Hate (2017) (Sosich)" 70pp is in neither catalog: re-probed "Love is Just Another" and "Just Another Kind" --contains, 0 hits on both legs
F 11024 provider-missing | probed "Love is Just Another", "Just Another Kind" (--contains) on both legs
R 12275 | the 0.7 is refused: "Moebius - The Long Tommorow.cbz" is a 36pp English file, and the only album record, GCD 85922 "The Long Tomorrow" (Les Humanoïdes Associés 1989, row 1308559, 62pp, ISBN 2-7316-0553-7) is a French 62pp album - language and page count both disagree; "Long Tomorrow" --contains adds only the 2019 French double album (CV 144999 / GCD 234442); the English story appeared inside Epic/Graphitti's "Moebius" volumes (CV 144895 / GCD 65405), which are not this 36pp file
F 12275 provider-missing | probed "Long Tomorrow" --contains on both legs; no English single-story record
R 12935 | "Night of the Were-Elk 01 (of 06) (2024)" (Creepy Ink) 30pp is in neither catalog: re-probed "Were-Elk" and "Were Elk" --contains, 0 hits on both legs
F 12935 provider-missing | probed "Were-Elk", "Were Elk" (--contains) on both legs; a 2024 small-press mini
R 13118 | OZ, the London counterculture magazine (1967-1973, 48 issues as PDFs plus 1pp poster/insert scans) is in neither catalog: re-probed "Oz Magazine" --contains and "OZ" --year 1967, 0 hits on both legs; the "Oz" rows are Caliber's 1994 comic and later namesakes
F 13118 provider-missing | probed "Oz Magazine" (--contains) and "OZ" --year 1967 on both legs; a magazine, not a comic series
R 13815 | "Phoibos 001 (2018) (WebComic)" 35pp is in neither catalog: re-probed "Phoibos" --contains, 0 hits on both legs
F 13815 provider-missing | probed "Phoibos" --contains on both legs; a self-published 2018 webcomic
R 12425 | "Mr. Snoid On Top - Robert Crumb" 19pp: re-probed "Snoid" --contains - only Kitchen Sink's "Snoid Comics" (CV 47421 / GCD 17179, 36pp, refused on page count) and Drukwerk's Dutch 1981 "Robert Crumb's Mister Snoid en wat andere verhalen" (CV 90014 / GCD 55217), a Dutch collection, not this English 19pp story
F 12425 provider-missing | probed "Snoid" --contains on both legs; no English "Mr. Snoid On Top" record
R 65606 | three separately numbered 6-issue AHOY seasons, each its own record on both legs: Season 1 "Second Coming 001-006 (2019-2020)" + the v01 trade (171pp) = CV 120149 / GCD 148910 (2019-2020, 6); Season 2 "Second Coming - Only Begotten Son 001-006 (2020-2021)" + a second #6 rip = CV 132602 / GCD 168724 (6); Season 3 "Second Coming v3 001-006 - Trinity (2023)" = CV 149410 / GCD 198674 (6); no line spans them
F 65606 split-needed | the Only Begotten Son issue files (6 + the "v02 - Only Begotten Son 006" rip, item 6540) -> "Second Coming: Only Begotten Son (2020)" cv=132602 gcd=168724; the six Trinity files -> "Second Coming: Trinity (2023)" cv=149410 gcd=198674; Season 1 issues + the v01 trade stay as cv=120149 gcd=148910 (who-stores: 132602 / 149410 sit on no live shelf)
I 6539 cv=738877 gcd=2275744 isbn=9780998044279 0.9 | "COL Second Coming v01 (2019)" 171pp = CV 125332 "Second Coming" (Ahoy 2020) issue 738877 "Volume One" and GCD 177766 #1 row 2275744 (2020-02-26, ISBN 9780998044279), the Season 1 trade
R 58200 | two unrelated comics under one bare title: (1) "SHI 01-03 (2018-2019) (Europe Comics)" 59-66pp = Zidrou/Homs's Dargaud album series, CV 104325 "Shi" (Europe Comics 2017, 4: In the Beginning There Was Fury / The Demon King / Revenge! match our 01-03) with GCD 132649 "Shi" (Dargaud 2017-?, French original, 6 rows, per L-024); (2) six Billy Tucci Crusade books in Misc\Shi (1994): the Omnibus Edition Book 01 (CV 146737 / GCD 194657), Return of the Warrior (CV 145791), Haikyo (CV 145792), Sakura (CV 145935), the Senryaku Omnibus (GCD 212956) and The Way of the Warrior 001 Original Art Edition (no record) - each its own book
F 58200 split-needed | the six Tucci books move each under its own name: 107352 -> "Shi: Omnibus (2022)" cv=146737 gcd=194657; 107353 -> "Shi: Return of the Warrior (2020)" cv=145791; 107354 -> "Shi: Haikyo (2021)" cv=145792; 107355 -> "Shi: Sakura (2022)" cv=145935; 107356 -> "Shi: Senryaku Omnibus (2023)" gcd=212956; 107357 -> "Shi: The Way of the Warrior - Original Art Edition (2024)" (no record); items 23318-23320 (SHI 01-03) stay as cv=104325 gcd=132649
N 58200 GCD 216336 "Shi: Return of the Warrior" (2024, 2 issues) and GCD 225005 "Shi: Haikyo" (2025) are later printings, dated four years after our files - not linked
I 23318 cv=621769 gcd=1864265 isbn=- 0.9 | "SHI 01 - In the Beginning There Was Fury" 66pp = CV 104325 issue 621769 and the French original GCD 132649 #1 row 1864265 (64pp, "Au Commencement Était la Colère...") per L-024
I 23319 cv=653235 gcd=1864266 isbn=- 0.9 | "SHI 02 - The Demon King" 59pp = CV 104325 issue 653235 and the French original GCD 132649 #2 row 1864266 ("Le Roi Démon", 64pp) per L-024
I 23320 cv=700540 gcd=1924384 isbn=- 0.9 | "SHI 03 - Revenge!" 60pp = CV 104325 issue 700540 and the French original GCD 132649 #3 row 1924384 ("Revenge !", 64pp) per L-024
I 107352 cv=959008 gcd=2473702 isbn=- 0.9 | "COL Shi - Omnibus Edition Book 01 (2022)" 458pp = CV 146737 "Shi: Omnibus" issue 959008 "Volume 1" and GCD 194657 #1 row 2473702 (2023-01-04)
I 107356 cv=- gcd=2636643 isbn=- 0.9 | "COL Shi - Senryaku Omnibus (2023)" 192pp = GCD 212956 "Shi: Senryaku Omnibus" row 2636643 (Crusade 2024-06); CV has only the 1995 Senryaku Collected Edition (125190)
I 107353 cv=953215 gcd=- isbn=- 0.9 | "Shi (001) - Return of the Warrior (2020)" 50pp = CV 145791 "SHI: Return of the Warrior" issue 953215 (2020-07)
I 107354 cv=953214 gcd=- isbn=- 0.9 | "Shi (002) - Haikyo (2021)" 66pp = CV 145792 "SHI: HAIKYO" issue 953214 (2021-04)
I 107355 cv=954121 gcd=- isbn=- 0.9 | "Shi (003) - Sakura (2022)" 75pp = CV 145935 "Shi: Sakura" issue 954121 (2022-09)
R 15872 | "Something Awful.cbz" 14pp (no year, publisher or ComicInfo) is in neither catalog: re-probed "Something Awful" --contains, 0 hits on both legs
F 15872 provider-missing | probed "Something Awful" --contains on both legs
R 16826 | "Steam Punk - Idiosincratica.cbz" 10pp is in neither catalog: re-probed "Idiosincratica" --contains, 0 hits on both legs; "Steam" and "Punk Mambo" are other comics
F 16826 provider-missing | probed "Idiosincratica" --contains on both legs
R 16842 | "Steve Lichman-Dave Raposa-01.cbz" (no page count) is in neither catalog: re-probed "Lichman" --contains, 0 hits on both legs; the "Steve Canyon" candidates are Caniff's strip
F 16842 provider-missing | probed "Lichman" --contains on both legs
R 20765 | "Undisputed Street Fighter (2017)" 279pp is UDON's retrospective art book: re-probed "Undisputed" --contains - only Gold Medal's "The Undisputed Andy Capp" (GCD 30649); no record on either leg
F 20765 provider-missing | probed "Undisputed" --contains on both legs; a non-comic art book
R 65776 | two different Street Fighter comics: "Street Fighter II 01-03 (of 3) (1993) (Malibu)" 26-28pp = Malibu's 3-issue "Street Fighter" = CV 18369 (Malibu, 3, issues dated 1993-08..11) / GCD 15154 (Malibu 1993, 3 rows, 36-40pp) - the filename's "(of 3)" and folder "(Malibu)" agree; and "Street Fighter II 001/002/006 (1994) (Tokuma Comics)" 34-35pp = CV 23232 / GCD 119324 (Tokuma Comics 1994, 8); C-059's CV 131544 "Street Fighter II: Ryu" is Tokuma Shoten's Japanese book, not Malibu's
F 65776 split-needed | items 107550-107552 -> "Street Fighter (1993)" cv=18369 gcd=15154 (who-stores cv=18369: no shelf); items 107553-107555 stay as cv=23232 gcd=119324; the per-file GCD 58932 (Bastei, German) is a stamp
S 17614 cv=56274 gcd=- 0.7 | kept at 0.7 with a NEW doubt: the file "Tank Girl GN.cbz" has no readable page count and sits in the subfolder "Tank Girl Vol. 01 - Color edition" inside "01 Tank Girl Classic (2012)"; the folder places it with Titan's 2012 Tank Girl Classic (CV 56274, S17613), but "Color edition" equally names Titan's Tank Girl Full Colour Classics Book 01 (CV 110540 / GCD 127367, 143pp, on S17597) - with no page count the two cannot be told apart
F 17614 merge-with=17613 | S17613 stores cv=56274 (Tank Girl Classic, Titan 2012, 14) - the reading kept here
N 17614 re-reading the file (page count) decides it: ~143pp -> S17597's Full Colour Classics Book 01; a Classic-issue page count -> S17613
R 17591 | the kept 63pp "Tank Girl - Coletanea Animal.cbr" is a Brazilian collection of Tank Girl strips from the anthology Animal: re-probed "Coletanea" --contains (0 on both legs) and "Tank Girl" --contains (25 + 25 rows: Dark Horse, DC, IDW, Titan, Ankama, Egmont, Penguin, Vents d'Ouest - no Brazilian edition); the book's own record is not in our data
F 17591 provider-missing | probed "Coletanea", "Tank Girl" (--contains) on both legs
R 17920 | "The All-New Adventures of Magnum P.I. 001 (2020) (c2c)" 12pp is in neither catalog: re-probed "Magnum P.I." --contains (only Stafford Pemberton's 1981 annual) and "Magnum" --year 2020 (0)
F 17920 provider-missing | probed "Magnum P.I." --contains and "Magnum" --year 2020 on both legs
R 18383 | "The Death Tally 001-004 (2023-2024)" (ComicInfo Publisher Self Published) is in neither catalog: re-probed "Death Tally" --contains, 0 hits on both legs
F 18383 provider-missing | probed "Death Tally" --contains on both legs; a self-published mini
R 18951 | "The Lestrygonians 001 (2023)" 24pp (ComicInfo Publisher Sparky's Books) is in neither catalog: re-probed "Lestrygonians" --contains, 0 hits on both legs
F 18951 provider-missing | probed "Lestrygonians" --contains on both legs
R 24055 | eleven separately published whatisthematrix.com web comics (7-21pp, one artist each) with no numbered run; re-probed "Matrix Comics" --contains - CV 27029 / GCD 14995 "The Matrix Comics" (Burlyman 2003-2004, Volume 1 162pp / Volume 2) and the 2019 20th Anniversary edition are the print collections, different objects; no record of the individual comics
F 24055 provider-missing | probed "Matrix Comics" --contains on both legs; the single web comics are unindexed
R 20843 | "Uruk - The Last City 000 (2022)" 14pp (ComicInfo Publisher yelly.studio) is in neither catalog: re-probed "Uruk" --contains - only Japanese titles containing the letters
F 20843 provider-missing | probed "Uruk" --contains on both legs
R 4156 | "Conspiracy Comics 001 (2024)" 30pp in Misc\_Jim Rugg is Jim Rugg's 2024 comic: re-probed "Conspiracy Comics" --contains - only Revolutionary's 1991-1992 three-issue series (CV 24412 / GCD 15907), a different comic; "Jim Rugg" --contains 0
F 4156 provider-missing | probed "Conspiracy Comics", "Jim Rugg" (--contains) on both legs
F 4156 wrong-cv-link | the stored CV 24412 "Conspiracy Comics" (Revolutionary 1991, 3) is a different comic three decades earlier
R 15726 | "COL Skottie Young - Daily Grind - v01 (2014)" 102pp is in neither catalog: re-probed "Daily Grind" (0) and "Skottie Young" --contains (Marvel art book, Deadpool trades, colouring book, Human Torch collection - none this sketchbook); the book's own record is not in our data
F 15726 provider-missing | probed "Daily Grind", "Skottie Young" (--contains) on both legs
R 15727 | "COL Skottie Young - Stuff - v01 (2010)" 49pp is in neither catalog: "Skottie Young" --contains returns only the Marvel books listed on S15726; the book's own record is not in our data
F 15727 provider-missing | probed "Skottie Young" --contains on both legs
S 1473 cv=68845 gcd=77438 0.95 | "Attack of the 100-Foot Booger 001 (2013)" 16pp in the Oni Press folder = CV 68845 "Attack of the 100-Foot Booger" (Oni Press 2013, 1 issue 431783) and GCD 77438 (Oni Press 2013, one row 1156625, 2013-10-26, 16pp): title, publisher, year and page count agree on both legs (found by "Booger" --contains)
F 1473 needs-fetch cv=68845 | CV 68845 is named from the local rip and has no CvVolume row
N 1473 the per-file GCD 53172 "Strangetown" and CV 96692 "The Attack" (Firefly 2016) were folder / word stamps
I 108664 cv=431783 gcd=1156625 isbn=- 0.95 | the 16pp one-shot = CV 68845 issue 431783 (2013-10) and GCD 77438 row 1156625 (16pp, barcode 603259232491)
R 2925 | "COL Block'd (2024) (Graphic Novel) (Oni Press)" 210pp is in neither catalog: re-probed "Block'd" and "Blockd" --contains (only New Kids on the Block Digest, 1 Block Down); the per-file GCD 53172 Strangetown is a folder stamp; the book's own record is not in our data
F 2925 provider-missing | probed "Block'd", "Blockd" (--contains) on both legs; a 2024 Oni graphic novel
R 6935 | "Frankie and the Beastly Bog Song (2024)" 39pp is in neither catalog: re-probed "Frankie and the" (only Oni's 2020 "Frankie and the Creepy Cute Critters", a different book) and "Bog Song" (0)
F 6935 provider-missing | probed "Frankie and the", "Bog Song" (--contains) on both legs
R 9039 | "How Could You (2024)" 225pp (Oni) is in neither catalog: re-probed "How Could You" --contains, 0 hits on both legs
F 9039 provider-missing | probed "How Could You" --contains on both legs
R 12423 | "COL Mr. Muffins - Defender of the Stars (2025) (Oni Press)" 168pp is in neither catalog: re-probed "Mr. Muffins" (0) and "Muffins" --contains (Ragamuffins, Big Nate); the per-file GCD 53172 is a folder stamp; the book's own record is not in our data
F 12423 provider-missing | probed "Mr. Muffins", "Muffins" (--contains) on both legs; a 2025 Oni graphic novel
R 5462 | the 0.7 is refused: CV 58536 is not the Oni line - its one issue 390990 is "Comics From the Year 2000" (2013-03, Unknown Publisher), a different Diesel Sweeties book; no line record exists on either leg, so the three Oni books "Diesel Sweeties Vol. 01-03" (137-139pp) have only their per-book records: CV 67234 / 71816 / 77158 (Oni 2013-2014, "Vol. 1" / "Volume 2" / "Volume 3") and GCD 158402 (book 1 only)
F 5462 provider-missing | probed "Diesel Sweeties" --contains on both legs: no line series, only per-book records
I 108702 cv=425101 gcd=2097715 isbn=9781620100905 0.95 | "Vol. 01 - I'm a Rocker. I Rock Out." 139pp = CV 67234 issue 425101 "Vol. 1" and GCD 158402 row 2097715 (Oni 2013-07, ISBN 978-1-62010-090-5)
I 108703 cv=445884 gcd=- isbn=- 0.9 | "Vol. 02 - Bacon is a Vegetable, Coffee is a Vitamin" 138pp = CV 71816 issue 445884 "Volume 2" (Oni 2014-02); no GCD row
I 108704 cv=466518 gcd=- isbn=- 0.9 | "Vol. 03 - There is a Cat on the Internet" 137pp = CV 77158 issue 466518 "Volume 3" (Oni 2014-09); no GCD row
R 5990 | "COL Eat Your Heart Out v01 (2024)" 112pp (Oni) is in neither catalog: re-probed "Eat Your Heart Out" --contains - only ZombieWorld: Eat Your Heart Out (Dark Horse 1998) and a Blondie annual; the book's own record is not in our data
F 5990 provider-missing | probed "Eat Your Heart Out" --contains on both legs
R 8726 | two trades of two Oni minis, each its own record: Vol. 01 "The Witch War" (158pp, judged #1-6) = Helheim (2013) CV 58440 / GCD 72637 (6); Vol. 02 "Brides of Helheim" (139pp, judged #1-6) = CV 77279 / GCD 83265 (Oni 2014-2015, 6); GCD 161182 "Helheim" (2 rows) is the trade line holding both books' own records - flag #80 is TRUE
F 8726 split-needed | item 108730 (Vol. 02) -> "Brides of Helheim (2014)" cv=77279 gcd=83265 (who-stores cv=77279: no shelf); item 108729 stays as cv=58440 gcd=72637
I 108729 cv=449112 gcd=2121333 isbn=9781620100141 0.95 | "Vol. 01 - The Witch War" 158pp = CV 72626 "Helheim: The Witch War" issue 449112 "Book 1" and GCD 161182 #1 row 2121333 "The Witch War" (ISBN 978-1-62010-014-1)
I 108730 cv=503632 gcd=2121334 isbn=- 0.95 | "Vol. 02 - Brides of Helheim" 139pp = CV 85432 "Helheim: Brides of Helheim" issue 503632 "Book 2" and GCD 161182 #2 row 2121334 "Brides of Helheim"
R 8973 | four Hopeless Savages books of four works, each its own record: Vol. 01 (133pp, judged #1-4) collects Hopeless Savages (2001) CV 9335 / GCD 10114; Vol. 02 "Ground Zero" (116pp) collects CV 22010 / GCD 51446; Vol. 03 "Too Much Hopeless Savages" (114pp) collects CV 30859 / GCD 84230; "Hopeless Savages Break (2015)" 153pp is the OGN CV 86235 / GCD 122614 - flag #82 is TRUE
