# R-173 — revisit of 50 Marvel shelves from the X-Men family tail (Complete Chronology V2, _X-Men TPBs, the Skottie Young
# covers bucket, the Infinite Comics folders): seven per-book X-Men Epic shelves that now JOIN the line shelf S22349 (L-409),
# and a long run of C-05x "dominant + residue named not merged" shelves re-read under the later rulings (L-368 / L-388 /
# L-391): residue whose run has a live shelf now JOINS it (Gambit 1993 -> S97095, X-Force / Champions '98 -> S22196, X-Men
# Forever 2 -> S22365, Uncanny X-Force 2013 -> S94816, Nightcrawler 2004 -> S65353, Punisher 2014 / 2016 covers ->
# S94683 / S94684); a whole second mini with NO shelf is a co-equal run -> R + split-needed (Rogue 1995, Amazing X-Men
# 1995, Magneto 1996). Surprise: Damage Control "V2" files are the Dec 1989 Acts of Vengeance mini, GCD 3973, not the
# stored-by-name GCD 3972 (May 1989); two TPB singletons are later editions than their stored records.

# ---- The X-Men Annual (1992) (also in R-172) ----
S 102429 cv=10748 gcd=11656 0.9 | The X-Men Annual (Marvel 1992-1994, 3): CV 10748 (1992, 3 cached #1-3) and GCD 11656 (Marvel 1992-1994, 3) agree on publisher, span and count; our #1 (86000 53pp and 87803 64pp, joined by P-074), #2 (88009) and #3 (88143) fill the ladder 1-3 at 53-64pp, ComicInfo Web 90586 = CV 10748 #3; 0.9 for two annuals of other records - X-Men '99 (89006) and X-Men Annual 2007 (90652)
C 86438 cv=2133 gcd=1576 #129-141 0.95 | The X-Men (Marvel 1963-1981, 141; CV 2133 / GCD 1576): GCD row 2211197's notes and roll-up reprint s1576 #129-141 (27 stories), the Dark Phoenix Saga
C 86438 cv=3092 gcd=2605 #142-143 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2211197's notes and roll-up reprint s2605 #142-143 inside the same volume

S 22360 cv=- gcd=82692 0.9 | volume 12 "The Gift" of the X-Men Epic Collection LINE: GCD 82692 #12 row 1339631 (516pp, ISBN 978-0-7851-9217-6, roll-up Uncanny X-Men #189-198 + Nightcrawler 1985 #1-4) is our 506pp book; CV 87522 is only its count-1 book volume (issue 511937, on the I line)
F 22360 wrong-cv-link | the stored CV 87522 "X-Men Epic Collection: The Gift" is the Vol. 12 book's own count-1 volume, not the line; it belongs on the I line
F 22360 split-needed | item 86442 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); A-026's merge-with=22352 is obsolete
I 86442 cv=511937 gcd=1339631 isbn=978-0-7851-9217-6 0.9 | "COL X-Men Epic Collection Vol. 12 - The Gift (2015)" 506pp = CV 87522 issue 511937 and GCD 82692 #12 row 1339631 (516pp); twin row 2636873 caps it at 0.9
C 86442 cv=3092 gcd=2605 #189-198 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 1339631's roll-up reprints s2605 #189-198 (21 stories)
C 86442 cv=18835 gcd=3035 #1-4 0.95 | Nightcrawler (Marvel 1985-1986, 4-issue mini; CV 18835 / GCD 3035): GCD row 1339631's roll-up reprints s3035 #1-4 inside the same volume
C 86442 gcd=3062 #1-2 0.9 | X-Men / Alpha Flight (Marvel 1985, 2-issue mini; GCD 3062, no CV id checked): GCD row 1339631's roll-up reprints s3062 #1-2 inside the same volume

S 22361 cv=- gcd=82692 0.9 | volume 03 "The Sentinels Live" of the X-Men Epic Collection LINE: GCD 82692 #3 row 1872603 (516pp, ISBN 978-1-302-91275-8, roll-up X-Men 1963 #46-66) is our 502pp book; CV 115289 is only its count-1 book volume (issue 692092, on the I line)
F 22361 wrong-cv-link | the stored CV 115289 "X-Men Epic Collection: The Sentinels Live" is the Vol. 03 book's own count-1 volume, not the line; it belongs on the I line
F 22361 split-needed | item 86434 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22362 is obsolete
I 86434 cv=692092 gcd=1872603 isbn=978-1-302-91275-8 0.9 | "COL X-Men Epic Collection Vol. 03 - The Sentinels Live (2019)" 502pp = CV 115289 issue 692092 and GCD 82692 #3 row 1872603 (516pp); twin printing rows on the line cap it at 0.9
C 86434 cv=2133 gcd=1576 #46-66 0.95 | The X-Men (Marvel 1963-1981, 141; CV 2133 / GCD 1576): GCD row 1872603's roll-up reprints s1576 #46-66 (55 stories, plus Ka-Zar #2-3)

S 22362 cv=- gcd=82692 0.9 | volume 21 "The X-Cutioner's Song" of the X-Men Epic Collection LINE: GCD 82692 #21 row 2465512 (524pp, ISBN 978-1-302-94828-3, roll-up X-Men 1991 #10-16 + Uncanny #289-296 + X-Force #16-18 + X-Factor #84-86) is our 503pp book; CV 146947 is only its count-1 book volume (issue 961463, on the I line)
F 22362 wrong-cv-link | the stored CV 146947 "X-Men Epic Collection: The X-Cutioner's Song" is the Vol. 21 book's own count-1 volume, not the line; it belongs on the I line
F 22362 split-needed | item 86446 -> join S22349 on its ParsedKey "X-Men Epic Collection" - S22349's S line is the same GCD 82692 line with cv=-; the one-book shelf empties by the join (L-377 / L-392 / L-409); C-054's merge-with=22349 is obsolete
I 86446 cv=961463 gcd=2465512 isbn=978-1-302-94828-3 0.9 | "COL X-Men Epic Collection Vol. 21 - The X-Cutioner's Song (2022)" 503pp = CV 146947 issue 961463 and GCD 82692 #21 row 2465512 (524pp); twin printing rows on the line cap it at 0.9
C 86446 cv=3092 gcd=2605 #289-296 0.95 | The Uncanny X-Men (Marvel 1981-2011, 405; CV 3092 / GCD 2605): GCD row 2465512's roll-up reprints s2605 #289-296 (8 stories)
C 86446 cv=4605 gcd=4254 #10-16 0.95 | X-Men (Marvel 1991-2001, 115; CV 4605 / GCD 4254): GCD row 2465512's roll-up reprints s4254 #10-16 (8 stories) inside the same volume
C 86446 cv=4604 gcd=4253 #16-18 0.95 | X-Force (Marvel 1991-2002, 130; CV 4604 / GCD 4253): GCD row 2465512's roll-up reprints s4253 #16-18, the crossover's X-Force chapters
C 86446 cv=3657 gcd=3209 #84-86 0.95 | X-Factor (Marvel 1986-1998, 150; CV 3657 / GCD 3209): GCD row 2465512's roll-up reprints s3209 #84-86, the crossover's X-Factor chapters

# ---- minis, annuals and one-shots ----
S 10922 cv=3489 gcd=3028 0.9 | Longshot (Marvel 1985-1986, 6-issue limited series): CV 3489 (1985, 6 cached) and GCD 3028 (Marvel 1985-1986, 6; per-file on 6/7) agree on publisher, span and count; our ladder 1-6 (23-42pp, Complete Chronology "0049 Longshot") is the mini; 0.9 for item 88762 "Longshot v2 01 - Fools (1998)", the separate 1998 one-shot (no shelf stores CV 31860: lookup --who-stores cv=31860)
N 10922 flag #318 label-ambiguous (item 88762) is a label question: "Longshot v2 01" is a single issue, the 1998 one-shot - answered here, no stale-flag (L-367)
I 88762 cv=201438 gcd=172526 isbn=- 0.95 | "004 Longshot v2 01 - Fools (1998)" 49pp = CV 31860 "Longshot" 1998 issue 201438 "Fools" and GCD 11505 "Longshot" 1998 [one-shot] row 172526 (52pp); title, year and pages agree

S 22601 cv=4082 gcd=3678 0.9 | X-Terminators (Marvel 1988-1989, 4-issue limited series): CV 4082 (1988, 4 cached) and GCD 3678 (Marvel 1988-1989, 4) agree on publisher, span and count; our ladder 1-4 at 29-30pp carries ComicInfo Series "X-Terminators" / Volume "1988" / Count "4" x4 and Web 30213 / 30342 / 30460 / 30811; 0.9 for item 49986, a trade of the 2022 X-Terminators (a different run) filed in the Krakoa folder
F 22601 misfiled | item 49986 "COL X-Terminators (2023)" 139pp sits under #MARVEL CURRENT ONGOING TITLES\X-Men (Krakoa) (2019)\2022.09.21 - X-Terminators v2 and collects the 2022 five-issue X-Terminators (CV 145163 / GCD 189326), which no shelf stores (lookup --who-stores cv=145163 / gcd=189326), not the 1988 mini
I 49986 cv=985810 gcd=2523963 isbn=978-1-302-94699-9 0.9 | "COL X-Terminators (2023)" 139pp = CV 149797 "X-Terminators" 2023 issue 985810 and GCD 199611 row 2523963 (148pp, 2023-04-26), the TPB of the 2022 mini
C 49986 cv=145163 gcd=189326 #1-5 0.9 | the 2023 TPB collects X-Terminators (Marvel 2022-2023, 5-issue mini; CV 145163 / GCD 189326) #1-5 - the whole mini, per the TPB's single-volume record and the mini's count

S 4736 cv=4350 gcd=3973 0.9 | Damage Control vol. 2 (Marvel Dec 1989 - Feb 1990, the Acts of Vengeance tie-in mini): CV 4350 (issues dated 1989-12 ... 1990-02, 4 cached) and GCD 3973 (Marvel 1989-1990, 4, rows 1989-12 ... 1990-02-15) agree on publisher, dates and count; our "Damage Control V2 001-004 (1989)" files (two rips each, in the Acts of Vengeance folders) are that mini; 0.9 for the Complete Collection omnibus (99978), a book spanning four runs
N 4736 C-055's gcd=3972 is corrected: GCD 3972 is vol. 1 (1989-05 ... 1989-08, the CV 4349 mini), matched by name on 8/9 files; our "V2" Acts of Vengeance files are the Dec 1989 mini, GCD 3973 - the dates on both legs decide it
N 4736 flag #210 label-ambiguous (item 116416) is a label question: the eight 22-23pp files are two rips of the same four issues, not collections - answered here, no stale-flag (L-367)
I 99978 cv=502859 gcd=1325249 isbn=978-0-7851-9790-4 0.9 | "COL Damage Control - The Complete Collection (2015)" 383pp = CV 85280 issue 502859 and GCD 86785 row 1325249 (396pp); no shelf stores CV 85280, so it stays as the one book of another identity here
C 99978 cv=4349 gcd=3972 #1-4 0.95 | Damage Control vol. 1 (Marvel 1989, 4-issue mini; CV 4349 / GCD 3972): GCD row 1325249's roll-up reprints s3972 #1-4 (5 stories)
C 99978 cv=4586 gcd=4235 #1-4 0.95 | Damage Control vol. 3 (Marvel 1991, 4-issue mini; CV 4586 / GCD 4235): GCD row 1325249's roll-up reprints s4235 #1-4 (4 stories)
C 99978 cv=20402 gcd=32177 #1-3 0.95 | WWH Aftersmash: Damage Control (Marvel 2008, 3-issue mini; CV 20402 / GCD 32177): GCD row 1325249's roll-up reprints s32177 #1-3 (3 stories)

S 22179 cv=20136 gcd=- 0.9 | X-Force / Cable '95 (Marvel 1995 annual one-shot): CV 20136 (1995, 1, issue 120182 "Fun, Fun, Fun!; The Gamut") matches our "X-Force - Cable Annual (1995)" 52pp file in the 1995 Chronology slot 0275 by title and year; GCD indexes the '96 / '97 siblings but not '95; the ladder "12" is the Chronology order prefix "0012", not an issue number (L-281)
F 22179 wrong-cv-link | the per-file CV 54644 "Cable and X-Force" (2013, 19) is a later series; the GCD per-file round2-folder pick (X-Man, Planeta 34015) is wrong too; the stored 20136 is right
F 22179 provider-missing | GCD indexes only "X-Force / Cable '97" (9808) and a '96 sibling, not this '95 annual (lookup "X-Force / Cable '95": 0 GCD hits)
I 88349 cv=120182 gcd=- isbn=- 0.9 | "0012 X-Force - Cable Annual (1995)" 52pp is CV 20136 "X-Force / Cable '95" issue 120182; GCD has no row for it

S 64745 cv=9111 gcd=9844 0.9 | Gambit (Marvel 1999-2001, #1/2 + #1-25): CV 9111 (1999, 26 cached) and GCD 9844 (Marvel 1999-2001, 25; per-file on 27/31) agree on publisher, span and count; ComicInfo Web 66913 = CV 9111 #25; our ladder 1-25 is the run; 0.9 for Gambit Annual '99 (89030) and Gambit 2000 (89176), annuals of the monthly (L-369), and three 1993-mini issues split below
F 64745 split-needed | items 88027 / 88028 / 88029 "Gambit (02 / 03 / 04 of 04) (1994)" 22-24pp are #2-4 of the 1993-1994 Gambit mini (CV 5011 / GCD 4695), which S97095 stores with its #1 (lookup --who-stores cv=5011) -> join S97095 on its ParsedKey "Gambit v1 (1993)" (C-055's S7162 merged into S97095; L-368 / L-388)
N 64745 flag #249 label-ambiguous (item 89296 "Gambit v2 024") is a label question: it is a single issue, #24 of this run - answered here, no stale-flag (L-367); Gambit Annual '99 (89030) has no record under that name in our data
I 89176 cv=136124 gcd=272665 isbn=- 0.95 | "004 Gambit Annual 2000 (2000)" 40pp = CV 60498 "Gambit 2000" issue 136124 and GCD 16419 "Gambit 2000" row 272665 (52pp); the annual's own records
I 88923 cv=- gcd=278635 isbn=- 0.9 | "001 Gambit 0.5 (1999)" 21pp is the Wizard #1/2: GCD 17466 "Gambit" (Marvel; Wizard 1999) row 278635 (28pp); CV keeps it inside volume 9111

S 22193 cv=4822 gcd=4487 0.9 | X-Force Annual (Marvel 1992-1994, 3): CV 4822 (1992, 3 cached) and GCD 4487 (Marvel 1992-1994, 3) agree; our #1-3 (87806 57pp, 88008 52pp, 88142 53pp) fill the ladder; 0.9 for annuals of other records - X-Force '99 (85700 and 89017, two rips) and X-Force Annual 2009 (91337 and 117295, two rips), neither with a shelf - and the X-Force / Champions '98 annual split below
F 22193 split-needed | item 88913 "002 X-Force & Champions Annual 1998" 36pp (barcode 0759606047093) is X-Force / Champions '98 (CV 34173 / GCD 10859), which S22196 stores (lookup --who-stores cv=34173) -> join S22196 on its ParsedKey "X-Force-Champions Annual" (L-391)
F 22193 wrong-cv-link | the per-file CV 4604 (X-Force 1991) on 6/8 files is the monthly's volume stamped on its annuals; GCD's per-file 63091 / 47188 / 120044 picks are a trade line and foreign editions; the stored 4822 / 4487 are right
I 85700 cv=136060 gcd=504411 isbn=- 1.0 | "X-Force '99 Annual 001 (1999)" 41pp carries ComicInfo Web 136060 = CV 22686 "X-Force 1999" issue 136060, and GCD 29881 "X-Force 1999" row 504411 (54pp) is the same annual
I 89017 cv=136060 gcd=504411 isbn=- 0.9 | "003 X-Force Annual 1999" 40pp is a second rip of the X-Force '99 annual: CV 22686 issue 136060 and GCD 29881 row 504411
I 91337 cv=185752 gcd=682372 isbn=- 0.95 | "014 X-Force Annual 001 (2009)" 37pp = CV 30173 "X-Force Annual" 2009 issue 185752 "Undeadpool" and GCD 39998 "X-Force Annual" row 682372 (44pp, 2009-12-03)
I 117295 cv=185752 gcd=682372 isbn=- 0.95 | "06 X-Force Annual 001 (2009)" 37pp is a second rip of the 2009 X-Force Annual: CV 30173 issue 185752 and GCD 39998 row 682372
I 88913 cv=222916 gcd=128291 isbn=- 0.95 | "002 X-Force & Champions Annual 1998" 36pp = CV 34173 "X-Force / Champions '98" issue 222916 and GCD 10859 row 128291 (54pp); moves to S22196 by the split

S 6290 cv=22316 gcd=20462 0.95 | Excalibur (Marvel 2001, 4-issue mini "The Sword of Power"): CV 22316 (2001, 4 cached) and GCD 20462 (Marvel 2001, [limited series] 4) agree on publisher, year and count; our two rips of #1-4 ("Excalibur 001-004 (2001)" 21-24pp and "Excalibur - The Sword of Power #001-004" 23-25pp in the Chronology slot 0471) are that mini
F 6290 wrong-cv-link | the per-file CV 4052 (Excalibur 1988, 126) on 4/8 files and the GCD round2-folder pick 35124 (German X-Men) on 4/8 are wrong; the stored 22316 / 20462 are right
N 6290 C-056's merge-with=94592 is spent - S94592 has already been merged into this shelf (lookup --who-stores cv=22316)

S 22603 cv=9411 gcd=10197 0.9 | X-Treme X-Men (Marvel 2001-2004, 46): the stored CV 9411 (2001, cached #1-46) and GCD 10197 (Marvel 2001-2004, 46; per-file on 31/54) agree; our ladder 1-46 (Chronology reading-order copies) and the run's own trades Vol. 01-03, 05-08 (GCD notes #1-9 ... #40-46) are one run; 0.9 for the X-Treme X-Men 2001 annual (89526, CV 27047 / GCD 16804, its own one-shot record)
N 22603 GCD's per-file 34008 (Planeta, 13 files) and 175462 (Panini France, 2) are foreign-edition stamps; the English leg is 10197
I 86388 cv=222693 gcd=910908 isbn=0-7851-0841-6 0.95 | "COL X-Treme X-Men Vol. 01 - Destiny (2003)" 228pp = CV 34123 issue 222693 = GCD 63032 #1 Destiny row 910908 (collects #1-9)
I 86390 cv=222694 gcd=910909 isbn=- 0.95 | "COL X-Treme X-Men Vol. 02 - Invasion (2003)" 213pp = CV 34124 issue 222694 = GCD 63032 #2 Invasion row 910909, 228pp (collects #10-18)
I 86391 cv=- gcd=910910 isbn=0-7851-1084-4 0.95 | "COL X-Treme X-Men Vol. 03 - Schism (2003)" 159pp = GCD 63032 #3 Schism row 910910, 164pp (collects #19-23 + X-Treme X-Pose #1-2); CV's Schism volume is not in our data
C 86391 gcd=10850 #1-2 0.95 | Vol. 03 also collects X-Treme X-Pose (Marvel 2003 limited series, GCD 10850) #1-2 per GCD notes 910910 and its roll-up s10850 #1-2
I 86393 cv=222696 gcd=910912 isbn=- 0.95 | "COL X-Treme X-Men Vol. 05 - God Loves, Man Kills (2003)" 146pp = CV 34126 issue 222696 (Volume 5) = GCD 63032 #5 row 910912 (collects #25-30)
I 86394 cv=222697 gcd=910913 isbn=0-7851-1230-8 0.95 | "COL X-Treme X-Men Vol. 06 - Intifada (2004)" 150pp = CV 34127 issue 222697 (Volume 6) = GCD 63032 #6 row 910913 (collects #24, #31-35)
I 86395 cv=222699 gcd=910914 isbn=0-7851-0936-6 0.95 | "COL X-Treme X-Men Vol. 07 - Storm - The Arena (2004)" 143pp = CV 34129 issue 222699 (Volume 7) = GCD 63032 #7 row 910914, 156pp (collects #36-39)
I 86396 cv=- gcd=910915 isbn=- 0.95 | "COL X-Treme X-Men Vol. 08 - Prisoner of Fire (2004)" 212pp = GCD 63032 #8 Prisoner of Fire row 910915, 228pp (collects #40-46); CV's volume for it is not in our data
I 89526 cv=163699 gcd=275495 isbn=- 1.0 | "005 X-Treme X-Men Annual 2001 (2001)" 42pp, ComicInfo Web 163699 = CV 27047 "X-Treme X-Men 2001" issue 163699 = GCD 16804 row 275495 (68pp)

S 12860 cv=9121 gcd=9855 0.9 | New X-Men (Marvel 2001-2004) #114-156, Morrison's retitled X-Men: CV 9121 (2001, 43 cached #114-156) and GCD 9855 (Marvel 2001-2004, 43; per-file on 43/45) agree on publisher, span and count; our 43 Chronology files are the ladder 114-156 and the 1051pp Omnibus reprints s9855 #114-154 (the run's own edition); 0.9 for New X-Men Annual 2001 (89357), the X-Men 2001 annual one-shot (CV 21334 / GCD 16586)
I 86009 cv=185464 gcd=2501242 isbn=0-7851-2326-1 0.9 | "COL New X-Men Omnibus (2001)" 1051pp is CV 30122 issue 185464 / GCD 197337 row 2501242 (1104pp), reprinting s9855 #114-154 plus the 2001 annual
I 89357 cv=128914 gcd=273852 isbn=- 0.9 | "007 New X-Men Annual 001 (2001)" 43pp = CV 21334 "X-Men 2001" issue 128914 "The Man From Room X" and GCD 16586 "X-Men 2001" row 273852 (52pp) - the 2001 annual printed as "X-Men 2001"

R 65548 | two co-equal runs share this shelf: Rogue (Marvel 2004-2005, 12; CV 19612 / GCD 18855) - our 12 AnPymGold issues 001-012 (22-23pp) and its own "Rogue - The Complete Collection (2015)" 275pp - and Rogue (Marvel 1995, 4-issue limited series; CV 7193 / GCD 7751) - two whole rips of #1-4 ("Rogue 01-04 (of 4) (1995)" Zone 23-25pp and "002-005 Rogue 001-004 (1995)" AnHeroGold 22-24pp), 8 files; the 1995 mini has no shelf (lookup --who-stores cv=7193: 0 Series rows), so it is a co-equal run, not residue (L-368 / L-388), and C-056's "named not merged" S cannot stand
F 65548 split-needed | Rogue (2004, CV 19612 / GCD 18855) stays with its 12 issues and the Complete Collection; items 84851 / 84852 / 84853 / 84854 and 88169 / 88170 / 88171 / 88172 -> new key "Rogue (1995)" (CV 7193 issues 66410 / 51329 / 51330 / 51331, GCD 7751 rows 85480 / 68902-68904; filenames "(of 4) (1995)" and year 1995 on every file)
N 65548 C-056's F provider-missing (no GCD row for the Complete Collection) stands as a note: GCD holds no Rogue Complete Collection row in our data
I 102429 cv=497954 gcd=- isbn=- 0.9 | item 102429 "COL Rogue - The Complete Collection (2015)" 275pp is CV 83976 issue 497954 (TPB), collecting the 2004 run #1-12 (the run that stays); GCD holds no row for it

S 94742 cv=20511 gcd=29506 0.95 | X-Force (Marvel 2008-2010, 28): CV 20511 (2008, 28 cached #1-28) and GCD 29506 (Marvel 2008-2010, 28; per-file on 36/38) agree on publisher, span and count; our ladder 1-28 is the run with #21-28 as Chronology second rips, and the two "X-Force by Kyle and Yost Complete Collection" books (judged #1-13 and #17-25) are the run's own collections, so they cost nothing
