# R-105 — S.2 triaged 0.9 tier: 48 DC shelves that won at 0.9 and carry a signal (triage.tsv). Each signal answered.
# The dominant signal is (b) the per-file wrong-relaunch / legacy stamp (Green Lantern 1960, Harley Quinn 2016,
# Injustice Year One, JLA 1960, Legion v3, Nightwing 1996, Power Girl …) — benign every time the shelf's own ladder, years
# and GCD leg agree; (e) big shelves were grepped for New 52 / Rebirth read-order rips (L-365); (c) RANGE CONTRADICTED
# flags were all "stored GCD row is another book" stamps except where noted. Many X-010/X-011 I lines cited a foreign or
# another book's GCD row at 0.7 — restated here with the English trade's own row where `--gcd-issues` shows it.

# --- Green Lantern (2005)
S 64826 cv=18216 gcd=13519 0.9 | signals b (per-file CV 2839, GL 1960, on 91/110) and e (110 files) are benign: the Johns Green Lantern (DC 2005) = CV 18216 (67, cached #1-67) = GCD 13519 (2005-2011, 67); ladder 1-42, 44-59 in "Green Lantern v4 NN" rips, the Oa read-order folders (Blackest Night #43-52, Brightest Day #53-59 — all GL 2005 numbers, dated 2009-2010, no New 52 issue among them) and Vol. 01-10 + Book 04 whose GCD roll-ups are all s13519; #43 joins from S34675 (below); 0.9 for Vol. 11 (War of the Green Lanterns: Aftermath), which collects no issue of this run
I 65393 cv=- gcd=2047851 isbn=978-1-4012-9529-5 0.9 | "COL The Green Lantern Vol. 01 - Intergalactic Lawman (2019)" 176pp = GCD 153638 #1 row 2047851 (180pp), which collects The Green Lantern (2019) #1-6
I 65394 cv=- gcd=2125110 isbn=978-1-77950-268-1 0.9 | "COL The Green Lantern Vol. 02 - The Day the Stars Fell (2019)" 204pp = GCD 153638 #2 row 2125110 (212pp), which collects #7-12 + Annual #1

# --- Green Lantern: Lost Army (2015)
S 7917 cv=82860 gcd=90341 0.9 | signal f (S103790 merged in: the trade 65464) is benign — "COL Green Lantern Corps Vol. 01 - The Lost Army" collects exactly this mini (GCD 1553022 roll-up s90341 #1-6); CV 82860 (DC 2015, cached #1-6) = GCD 90341 (2015-2016, 6), ladder 1-6; 0.9 for item 65549, the 12pp "000 (DC Sneak Peek)" preview (CV 81951, its own record)
I 65464 cv=523226 gcd=1553022 isbn=978-1-4012-6126-9 0.95 | "COL Green Lantern Corps Vol. 01 - The Lost Army (2016)" 144pp = CV 89365 "Green Lantern Corps: Lost Army" issue 523226 (TPB) and GCD 99288 row 1553022 (156pp)
C 65464 cv=82860 gcd=90341 #1-6 0.95 | the Lost Army trade collects Green Lantern: Lost Army (DC 2015-2016, 6; CV 82860 / GCD 90341) #1-6 — the run this shelf is; the trade's own title says Green Lantern Corps

# --- Tales of the Green Lantern Corps — three records on one shelf
R 36640 | signal d (label-ambiguous #452) led to the contents: this shelf is three co-equal records — the 1981 mini #1-3 (items 15389-15391, CV 3077 / GCD 2590, 3), the 1985-1987 Annuals #1-3 (15436, 15461, 15483, CV 21324 "Tales of the Green Lantern Corps Annual" 3 / GCD 33216) and the 2009-2010 TPB line Vol. 01-03 (65629-65631, CV 39681 / GCD 34167, 3); only Vol. 01 collects the mini (GCD 575313: s2590 #1-3 + GL 1960 backups) — Vol. 02 and Vol. 03 are GL 1960 backup stories (#127-190, #201-205) and Annual #1, two whole trades of a different record, so the mini's S would hand them its identity (the residue ruling)
F 36640 split-needed | three runs: mini "Tales of the Green Lantern Corps (1981)" 15389-15391 (cv=3077 gcd=2590); "Tales of the Green Lantern Corps Annual (1985)" 15436, 15461, 15483 (cv=21324 gcd=33216); TPB line "Tales of the Green Lantern Corps (2009)" 65629-65631 (cv=39681 gcd=34167)
N 36640 flag #452 label-ambiguous: the three TPBs 65629-65631 have second rips 65471-65473 on another shelf — duplicates, answered, not a conflation
I 65629 cv=267793 gcd=575313 isbn=978-1-4012-2155-3 0.9 | "COL Tales of The Green Lantern Corps Vol. 01 (2009-01) TPB" 158pp = CV 39681 #1 issue 267793 "Volume 1" and GCD 34167 #1 row 575313 (2009-02-25, 164pp)
C 65629 cv=3077 gcd=2590 #1-3 0.95 | Vol. 01 collects Tales of the Green Lantern Corps (DC 1981, 3-issue mini, CV 3077 / GCD 2590) #1-3 per GCD 575313's roll-up (s2590 #1-3, 7 stories) and the judged range
N 65629 Vol. 01 also reprints Green Lantern (1960) backup features from #148, #151-154, #161-162, #164-167 (s1448) — backups inside those issues, not whole issues, so no C line
I 65630 cv=267794 gcd=705458 isbn=978-1-4012-2702-9 0.9 | "COL Tales of The Green Lantern Corps Vol. 02 (2010-01) TPB" 144pp = CV 39681 #2 issue 267794 and GCD 34167 #2 row 705458 (2010-01-27, 148pp)
C 65630 cv=21324 gcd=33216 #1-1 0.9 | Vol. 02 collects Tales of the Green Lantern Corps Annual (DC 1985, CV 21324 3 / GCD 33216) #1 per GCD 705458's roll-up (s33216 #1, 1 story)
N 65630 Vol. 02 otherwise reprints Green Lantern (1960) backup features from #127, #168-190 (s1448, 17 stories) — gapped backups, no C line
I 65631 cv=267795 gcd=793559 isbn=978-1-4012-2934-4 0.9 | "COL Tales of The Green Lantern Corps Vol. 03 (2010-05) TPB" 146pp = CV 39681 #3 issue 267795 and GCD 34167 #3 row 793559 (2010-12-15, 148pp)
N 65631 Vol. 03 reprints Green Lantern (1960) #201-205 backup features (s1448, 11 stories) and The Green Lantern Corps (1986) #206 — backups, no C line

# --- Hardware (1993)
S 8337 cv=5213 gcd=4923 0.95 | signal e (41 files) is benign — one run: CV 5213 "Hardware" (DC 1993, 50, cached #1-50) = GCD 4923 (1993-1997, 50, per-file 41/41) agree on publisher, years and count; ladder 9-21, 23-30, 32-50 in "Hardware v1 (1993)", ComicInfo DC x21; the only other book is the run's own trade Vol. 01 (#1-8), which costs nothing — raised from 0.9
I 65676 cv=202014 gcd=740776 isbn=978-1-4012-2598-8 0.9 | "COL Hardware Vol. 01 - The Man in the Machine (2010)" 176pp = CV 32193 "Hardware: The Man in the Machine" issue 202014 and GCD 46093 row 740776 (2010-03-24, 196pp); 0.9 for the 20pp shortfall
C 65676 cv=5213 gcd=4923 #1-8 0.9 | The Man in the Machine collects Hardware (DC 1993, 50 issues: CV 5213 / GCD 4923) #1-8 per the judged range (0.8) — the shelf's own run; our ladder starts at #9, exactly where the trade stops

# --- Harley Quinn (2014)
S 94833 cv=69322 gcd=77770 0.9 | signals b (per-file CV 92750, Harley Quinn 2016, on 15/15) and c (65704 RANGE CONTRADICTED) are benign: the stored GCD row on 65704 is another book (2026's "Friends with Detriments"), and Vol. 01-05 collect #0-8, #9-13, #14-16, #17-21, #22-25 of this run per their judged ranges and GCD 88152 rows; CV 69322 (DC 2013, 31, cached #0-30) = GCD 77770 (2014-2016, 31); issues #26-30 and 1pp variant covers of #6-14; 0.9 for the 57pp "Harley Quinn 000 Director's Cut" (65713), its own record
F 94833 wrong-cv-link | per-file CV stamped the later 75-issue volume (92750) title-wide
I 65704 cv=- gcd=1338939 isbn=978-1-4012-5415-5 0.9 | "COL Harley Quinn Vol. 01 - Hot in the City (2014)" 223pp = GCD 88152 #1 row 1338939 "Hot in the City" (228pp); HC twin 88183 row 1339049 — the X-010 row 2820788 was the 2026 book
I 65705 cv=- gcd=1508860 isbn=978-1-4012-5763-7 0.9 | "COL Harley Quinn Vol. 02 - Power Outage (2015)" 200pp = GCD 88152 #2 row 1508860 (212pp); HC twin 88183 row 1339969
I 65706 cv=- gcd=1583694 isbn=978-1-4012-6252-5 0.9 | "COL Harley Quinn Vol. 03 - Kiss Kiss Bang Stab (2015)" 200pp = GCD 88152 #3 row 1583694 (204pp); HC twin 88183 row 1509115
I 65707 cv=- gcd=1622000 isbn=978-1-4012-6929-6 0.9 | "COL Harley Quinn Vol. 04 - A Call to Arms (2016)" 178pp = GCD 88152 #4 row 1622000 (180pp, roll-up s77770 #17-21); HC twin 88183 row 1583702
I 65708 cv=- gcd=1667230 isbn=978-1-4012-7199-2 0.9 | "COL Harley Quinn Vol. 05 - The Joker's Last Laugh (2016)" 145pp = GCD 88152 #5 row 1667230 (148pp); HC twin 88183 row 1621999 — the stored row 1619314 is a German edition

# --- Harley Quinn (2016)
S 94834 cv=92750 gcd=104703 0.95 | signal c (65732 offset) is benign — its stored GCD row 2617320 is the 2021 run's Vol. 05; Hollywood or Die is GCD 135087 #5 row 2216909, which collects Harley Quinn (2016) #70-75, the judged range; CV 92750 (DC 2016, 75, cached #1-75) = GCD 104703 (2016-2020, 75) and the eleven trades Vol. 01-06 (GCD 112716) + Vol. 01-05 (GCD 135087) collect #1-75 end to end; the shelf holds nothing else but two 1pp variant covers — raised from 0.9
N 94834 the v3.1/v3.2 folder split is one 75-issue run with two trade numberings (GCD 112716 #1-6, 135087 #1-5)
I 65722 cv=- gcd=1680923 isbn=9781401268312 0.9 | Vol. 01 Die Laughing (2017) 167pp = GCD 112716 #1 row 1680923 (172pp, roll-up s104703 #1-7)
I 65723 cv=- gcd=1716870 isbn=978-1-4012-7095-7 0.9 | Vol. 02 Joker Loves Harley (2017) 144pp = GCD 112716 #2 row 1716870 (148pp) — the stored row 1712613 is a German edition
I 65724 cv=- gcd=1734599 isbn=978-1-4012-7369-9 0.9 | Vol. 03 Red Meat (2017) 161pp = GCD 112716 #3 row 1734599 (164pp) — the stored row 1724311 is a German edition
I 65725 cv=- gcd=1775156 isbn=- 0.9 | Vol. 04 Surprise, Surprise (2018) 165pp = GCD 112716 #4 row 1775156 (172pp)
I 65726 cv=- gcd=1802345 isbn=978-1-4012-7882-3 0.9 | Vol. 05 Vote Harley (2018) 168pp = GCD 112716 #5 row 1802345 (172pp)
I 65727 cv=- gcd=1836095 isbn=978-1-4012-8152-6 0.9 | Vol. 06 Angry Bird (2018) 190pp = GCD 112716 #6 row 1836095 (196pp)
I 65728 cv=- gcd=1878785 isbn=978-1-4012-8507-4 0.9 | Vol. 01 Harley vs. Apokolips (2018) 160pp = GCD 135087 #1 row 1878785 (172pp)
I 65729 cv=- gcd=1941576 isbn=978-1-4012-8809-9 0.9 | Vol. 02 Harley Destroys the Universe (2019) 151pp = GCD 135087 #2 row 1941576 (164pp, roll-up s104703 #50-54, #56)
C 65729 cv=92750 gcd=104703 #50-54 0.9 | Harley Destroys the Universe collects Harley Quinn (DC 2016, 75: CV 92750 / GCD 104703) #50-54 and #56 per GCD 1941576's roll-up (L-364) — the judged #50-56 overlaps Vol. 03 on #55
N 65729 its #56 is the other stretch (roll-up "#50-54, #56"); #55 is in Vol. 03 (65730)
I 65730 cv=- gcd=2023158 isbn=978-1-4012-9191-4 0.9 | Vol. 03 The Trials of Harley Quinn (2019) 194pp = GCD 135087 #3 row 2023158 (212pp, roll-up s104703 #55, #57-63)
C 65730 cv=92750 gcd=104703 #57-63 0.9 | The Trials of Harley Quinn collects Harley Quinn (DC 2016, 75: CV 92750 / GCD 104703) #57-63 and #55 per GCD 2023158's roll-up (L-364) — the judged #55-63 would nest #56, which is Vol. 02's
N 65730 its #55 is the other stretch (roll-up "#55, #57-63")
I 65731 cv=- gcd=2094455 isbn=978-1-4012-9455-7 0.9 | Vol. 04 The Final Trial (2020) 207pp = GCD 135087 #4 row 2094455 (212pp, roll-up s104703 #64-69)
I 65732 cv=- gcd=2216909 isbn=978-1-77950-309-1 0.9 | Vol. 05 Hollywood or Die (2021) 177pp = GCD 135087 #5 row 2216909 (180pp, collects Harley Quinn 2016 #70-75) — the stored row 2617320 is the 2021 run's Vol. 05

# --- Harley Quinn (2021)
S 94866 cv=134718 gcd=171161 0.9 | signals b (per-file CV 92750 on 95/100), c (65743 multi) and e (100 files, 80 of them 1pp variant covers) are benign: 65743's stored row 2466994 is No Good Deed (another book) — Task Force XX is GCD 179197 #4 row 2570242, collecting #18-21 = the judged range; CV 134718 (DC 2021, 62, cached #1-57) = GCD 171161 (2021-?, 62, per-file 84/100); issues #1-47 incl. the Fear State tie-ins #6-9 filed in a Batman folder, Vol. 01-05 + Girl in a Crisis / Eye Don't Like Me (#1-37 end to end); 0.9 for the 2022 and 2024 Annuals (65738, 65739), their own records
F 94866 wrong-cv-link | per-file CV stamped the 2016-2020 volume (92750) across nearly the whole shelf; per-file GCD 126584 (Catwoman 2018) on the four Fear State files is a round2-folder stamp
I 65740 cv=- gcd=2286103 isbn=978-1-77951-346-5 0.9 | Vol. 01 No Good Deed (2022) 168pp = GCD 179197 #1 row 2286103 (176pp, collects #1-6); twin 194033 row 2466994 — the stored row 2304186 is a German edition
I 65741 cv=- gcd=2444782 isbn=978-1-77952-116-3 0.9 | Vol. 02 Keepsake (2022) 189pp = GCD 179197 #2 row 2444782 (200pp, #7-12 + 2021 Annual #1); twin 194033 row 2572186
I 65742 cv=- gcd=2509948 isbn=978-1-77952-117-0 0.9 | Vol. 03 Verdict (2023) 142pp = GCD 179197 #3 row 2509948 (152pp, #13-17); twin 194033 row 2613969
I 65743 cv=- gcd=2570242 isbn=978-1-77952-118-7 0.9 | Vol. 04 Task Force XX (2023) 162pp = GCD 179197 #4 row 2570242 (176pp, #18-21 + 2022 Annual #1)
I 65744 cv=- gcd=2617320 isbn=978-1-77952-479-9 0.9 | Vol. 05 Who Killed Harley Quinn (2024) 180pp = GCD 179197 #5 row 2617320 (192pp, #22-27)
I 65793 cv=- gcd=2660412 isbn=978-1-77952-823-0 0.9 | Vol. 01 Girl in a Crisis (2024) 210pp = GCD 215711 #1 row 2660412 (212pp, #28-31 + Knight Terrors: Harley Quinn #1-2)
I 65794 cv=- gcd=2681505 isbn=978-1-77952-842-1 0.9 | Vol. 02 Eye Don't Like Me (2024) 198pp = GCD 215711 #2 row 2681505 (204pp, #32-37)

# --- Infinite Frontier: Secret Files (2021)
S 9434 cv=135488 gcd=173549 0.9 | signal b (per-file CV 134140, the main Infinite Frontier mini, on 7/7) is the folder stamp: the six 14pp "Infinite Frontier - Secret Files 001-006" are CV 135488 (DC 2021, 6, cached #1-6), whose print one-shot is GCD 173549 (2021, 1) — one publication at two granularities; 0.9 for the trade 66153, which collects the main mini #0-6 (a run no shelf holds) plus the Secret Files
I 66153 cv=942575 gcd=2387624 isbn=978-1-77951-424-0 0.95 | "COL Infinite Frontier (2022)" 330pp = CV 144518 "Infinite Frontier" (2022) issue 942575 (HC) and GCD 183940 row 2387624 (2022-04-19, 360pp), which collects Infinite Frontier #0-6 and Secret Files #1
C 66153 cv=134140 gcd=170023 #0-6 0.95 | the trade collects Infinite Frontier (DC 2021, 7-issue mini: CV 134140 / GCD 170023, #0-6) whole per GCD 2387624's notes — not this shelf's Secret Files chapters
C 66153 gcd=173549 #1-1 0.9 | it also collects Infinite Frontier: Secret Files (DC 2021, GCD 173549, one print issue = our six digital chapters) #1 per GCD 2387624's notes

# --- Injustice: Gods Among Us (2013)
S 9480 cv=55835 gcd=71777 0.9 | signals e (39 files) and f (S103137 merged in) are benign: "Injustice - Gods Among Us 001-036 (2013)" digital chapters + the Year 01 Vol. 01/02 trades (GCD roll-ups s71777 #1-6, #6-12) — CV 55835 (DC 2013, 36 = our ladder 1-36) and GCD 71777 (2013-2014, 12 print issues of three chapters each), one comic in two chunkings; 0.9 for the 23pp "Flash Exclusive (2013)" promo no catalog indexes
I 66311 cv=433160 gcd=1159300 isbn=978-1-4012-4500-9 0.9 | Year 01 Vol. 01 (2013): CV 69117 issue 433160 "Volume 1" (2013-11-30) and GCD 77661 row #1 1159300 (2013-11-13, 200pp against our 195pp)
I 66312 cv=457630 gcd=1217412 isbn=978-1-4012-4601-3 0.9 | Year 01 Vol. 02 (2014): CV 69117 issue 457630 "Volume 2" (2014-06-30) and GCD 77661 row #2 1217412 (2014-06-25, 240pp against our 234pp)

# --- Injustice: Gods Among Us Year Two
S 102395 cv=70687 gcd=78647 0.9 | signals b (per-file CV 55835, Year One, on 24/27), e and f (S103140 merged) are benign: "Year Two 001-024 (2014)" digital chapters = CV 70687 (DC 2014, 24 = our ladder) and GCD 78647 (2014, 12 print issues), the same digital/print split, plus Vol. 01/02 and the Deluxe Edition (GCD roll-ups s78647 #1-6, #7-12, #1-12); 0.9 as for the other years (two chunkings, not two equal counts)
N 102395 flag #83 conflated-series is already Dismissed; the other years sit on their own shelves
I 66313 cv=467023 gcd=1340042 isbn=978-1-4012-5071-3 0.9 | Year 02 Vol. 01 (2014): CV 77242 issue 467023 "Volume 1" (2014-10-31) and GCD 88375 row #1 1340042 (2014-10-01, 152pp against our 145pp)
I 66314 cv=486330 gcd=1342130 isbn=978-1-4012-5341-7 0.9 | Year 02 Vol. 02 (2015): CV 77242 issue 486330 "Volume 2" (2015-04-30) and GCD 88375 row #2 1342130 (2015-04-15, 184pp against our 176pp)
I 66322 cv=720049 gcd=2017096 isbn=- 0.95 | The Deluxe Edition (2019): CV 121552 issue 720049 "HC" (2019-09-25) and GCD 150510 row 2017096, which reprints Year Two #1-12 and the Year Two Annual #1
C 66322 cv=77222 gcd=83250 #1-1 0.9 | the Deluxe Edition also collects Injustice: Gods Among Us: Year Two Annual (DC 2014, 1 issue, CV 77222 / GCD 83250) #1, per GCD row 2017096's reprint links

# --- Injustice: Gods Among Us Year Three
S 102394 cv=77226 gcd=83898 0.9 | signals b (per-file CV 55835 on 24/26), e and f (S103139 merged) are benign: "Year Three 001-024 (2014-2015)" digital chapters = CV 77226 (DC 2014, 24 = our ladder) and GCD 83898 (2014-2015, 12 print issues), plus Vol. 01/02 (GCD roll-ups s83898 #1-7, #8-12); per-file GCD 95468 (Year Five) on 8 files is a round2-series stamp; 0.9 for the two chunkings
I 66315 cv=504318 gcd=1484992 isbn=978-1-4012-5851-1 0.9 | Year 03 Vol. 01 (2015): CV 85574 issue 504318 "Volume 1" (2015-10-31) and GCD 93361 row #1 1484992 (2015-10-28, 168pp against our 162pp)
I 66316 cv=514412 gcd=1534996 isbn=978-1-4012-5975-4 0.9 | Year 03 Vol. 02 (2016): CV 85574 issue 514412 "Volume 2" (2016-02-29) and GCD 93361 row #2 1534996 (2016-02-10, 168pp against our 161pp)

# --- Injustice: Gods Among Us Year Four
S 102393 cv=81822 gcd=89287 0.9 | signals b (per-file CV 55835 on 24/26), e and f (S103138 merged) are benign: "Year Four 001-024 (2015)" digital chapters = CV 81822 (DC 2015, 24 = our ladder) and GCD 89287 (2015, 12 print issues), plus Vol. 01/02 (GCD roll-ups s89287 #1-7, #8-12); 0.9 for the two chunkings
N 102393 per-file GCD 95468 (Year Five) on 8 files is a round2-series stamp; the "GCD says" rows on 66317/66318 are the trades' own rows
I 66317 cv=527113 gcd=1562523 isbn=978-1-4012-6130-6 0.9 | Year 04 Vol. 01 (2016): CV 89937 issue 527113 "Volume 1" (2016-04-30) and GCD 100618 row #1 1562523 (2016-04-27, 168pp against our 162pp)
I 66318 cv=544962 gcd=1657223 isbn=978-1-4012-6268-6 0.9 | Year 04 Vol. 02 (2016): CV 89937 issue 544962 "Volume 2" (2016-08-31) and GCD 100618 row #2 1657223 (2016-08-17, 168pp against our 160pp)

# --- Injustice: Gods Among Us Year Five
S 102392 cv=86759 gcd=95468 0.9 | signals b (per-file CV 55835 on 39/42) and e (42 files) are benign: "Year Five 001-039 (2015-2016)" digital chapters = CV 86759 (DC 2015, 40, cached #1-40; our ladder 1-39) and GCD 95468 (2016, 20 print issues, per-file 20/42), plus Vol. 01-03 (GCD roll-ups s95468 #1-7, #8-14, #15-20); 0.9 for the two chunkings and the missing chapter #40
F 102392 wrong-cv-link | per-file CV stamped the parent Year One volume (55835) title-wide
I 66319 cv=563703 gcd=1657590 isbn=978-1-4012-6768-1 0.9 | Year 05 Vol. 01 (2016): CV 96291 issue 563703 "Volume 1" (2016-12-31) and GCD 110045 row #1 1657590 (2016-12-07, 168pp against our 162pp)
I 66320 cv=582502 gcd=1709862 isbn=978-1-4012-6884-8 0.9 | Year 05 Vol. 02 (2017): CV 96291 issue 582502 "Volume 2" (2017-02-28) and GCD 110045 row #2 1709862 (2017-02-22, 168pp against our 160pp)
I 66321 cv=599842 gcd=1710059 isbn=978-1-4012-7246-3 0.9 | Year 05 Vol. 03 (2017): CV 96291 issue 599842 "Volume 3" (2017-06-30) and GCD 110045 row #3 1710059 (2017-06-07, 184pp against our 178pp)

# --- Injustice: Ground Zero (2016)
