# R-144 — triaged 0.9 tier, 40 Marvel shelves (Black Panther, Captain America, Captain Britain / Knights of Pendragon,
# Carnage, Cloak and Dagger, Conan). Three shapes recur: (1) Epic Collection per-book singletons whose old merge-with
# lines never landed (each stored its own count-1 CV volume) -> S cv=- gcd=<line> + wrong-cv-link + split-lane join onto
# the line shelf (L-392 / L-377): Captain America EC -> S3453, Conan Chronicles EC -> S4094 (in-batch anchor; S4092 "Conan Chronicles Epic
# Collection", outside this batch), Black Panther EC -> S2755; (2) per-file CV stamps of another decade's volume on issue
# files (2400 Captain America 1968, 4402 Knights 1990, 11502 Black Panther 2005, 36240 Carnage 2010) -> I lines restate each
# file's own issue; (3) trades whose run lives on another shelf -> the run's ids + merge-with (L-031 / L-324b). Several
# earlier I lines were wrong and are corrected here: X-058's Coates Captain America rows were PANINI DEUTSCHLAND (GCD
# 142421), the Black Panther Vol. 06-08 CV ids were ISSUES of the 2009 run, Winter Soldier's GCD 68861 is the trade line.

# ===== Black Panther =====
S 95617 cv=11502 gcd=12471 0.95 | Hudlin's Black Panther (2005-2008): CV 11502 (Marvel 2005, 41, cached #1-41) and GCD 12471 (Marvel 2005-2008, 41) agree on publisher, span and count; our #7-9, 14-18, 21-30 floppies, the 2pp #39-40 cover-only files and the eight trades Vol. 01-08 (judged #1-6 ... #35-38; CV titles "Back to Africa" #35-38, "See Wakanda and Die" #39-41) are the run and its editions; #18 twice is a duplicate rip
I 53595 cv=213817 gcd=- isbn=- 0.9 | "Vol. 08 - Secret Invasion (2009)" 72pp = CV 33129 "Black Panther: Secret Invasion" issue 213817 "TPB" (2009-02-25); no GCD row by title - replaces C-042's gcd=1595970, which is Deadliest of the Species (S2772's book)
C 53595 cv=11502 gcd=12471 #39-41 0.9 | the Secret Invasion trade collects Black Panther (Marvel 2005-2008, 41 issues) #39-41, the three "See Wakanda and Die" parts CV 11502 lists, 72pp = three issues
I 116970 cv=134635 gcd=- isbn=- 0.9 | "Black Panther v4 039 (2008) (2nd Printing Jefte Palo Variant Cover ONLY)" 2pp is a cover of Black Panther (2005) #39: CV 11502 #39 issue 134635
I 116971 cv=136702 gcd=- isbn=- 0.9 | "Black Panther v4 040 (2008) (2nd Printing Jefte Palo Variant COVER ONLY)" 2pp is a cover of Black Panther (2005) #40: CV 11502 #40 issue 136702

S 2741 cv=111034 gcd=124623 0.9 | Coates' second run: "Vol. 06-08 - The Intergalactic Empire of Wakanda Part 1-3" (GCD 105777 rows 1908791 / 2000678 / 2132269, roll-ups s124623 #1-12 +) = the stored CV 111034 "Black Panther" (Marvel 2018, 25, "Book 1-4" arcs) with GCD 124623 (Marvel 2018-2021, 25); 0.9 for two misfiled books split below
F 2741 split-needed | item 76067 "Black Panther - Who Is The Black Panther (2009)" 197pp (GCD 180029 row 2295519, roll-up Black Panther (2005) #1-6) is a printing of the Hudlin run's first trade -> join S95617 on its ParsedKey "Black Panther v4 (2005)" (S95617 stores CV 11502, lookup --who-stores cv=11502)
F 2741 split-needed | item 118378 "06 Black Panther 170 (2018)" 28pp is the 2016 run's legacy #170 (CV 89350 #170 issue 661141 / GCD 99295 #170 row 1788615) -> join S103535 on its ParsedKey "Black Panther v6 (2016)" (S103535 S line cv=89350 gcd=99295, R-045)
F 2741 wrong-cv-link | per-file CV 11502 (Black Panther 2005) on 2 files is a title stamp; the two books' own records are on their I lines
I 53620 cv=698598 gcd=1908791 isbn=9781302912932 0.95 | "Vol. 06 - Intergalactic Empire of Wakanda Part 1" 145pp = CV 116697 issue 698598 "Book 6" = GCD 105777 #6 row 1908791 (148pp)
I 53621 cv=714441 gcd=2000678 isbn=9781302912949 0.95 | "Vol. 07 - Part 2" 137pp = CV 120303 issue 714441 "Volume 7" = GCD 105777 #7 row 2000678 (140pp; collects BP (2018) #7-12)
I 53622 cv=732929 gcd=2132269 isbn=9781302914462 0.95 | "Vol. 08 - Part 3" 138pp = CV 124132 issue 732929 "Book 8" = GCD 105777 #8 row 2132269 (140pp)
I 76067 cv=- gcd=2295519 isbn=9780785136590 0.9 | "Who Is The Black Panther (2009)" 197pp = GCD 180029 row 2295519 (204pp, 2009, collects Black Panther 2005 #1-6 + FF #52-53); CV's 39726 is the 2006 printing
I 118378 cv=661141 gcd=1788615 isbn=- 0.95 | "06 Black Panther 170 (2018)" 28pp = CV 89350 #170 issue 661141 and GCD 99295 #170 row 1788615 (2018-02-28), the 2016 run's legacy numbering

S 34708 cv=111034 gcd=124623 0.9 | a lone trade in the Coates run folder "09 Black Panther (by Ta-Nahisi Coates) v6-v1-v7 (2018)" (L-324b): "Vol. 09 - The Intergalactic Empire of Wakanda Part 4" (GCD 105777 row 2238344, roll-up s124623) is an edition of Black Panther (2018), CV 111034 (Marvel 2018, 25) / GCD 124623 (2018-2021, 25), the run S2741 stores
F 34708 wrong-cv-link | the stored CV 137502 "Black Panther: The Intergalactic Empire of Wakanda Part Four" is the book's own count-1 volume (on its I line), not the run
F 34708 merge-with=2741 | same run: S2741 stores CV 111034 (Series.CvVolumeId) and holds Vol. 06-08 of the same "Intergalactic Empire of Wakanda" arc
I 53623 cv=869588 gcd=2238344 isbn=9781302921101 1.0 | "Black Panther Vol. 09 - The Intergalactic Empire of Wakanda Part 4" (175pp) ISBN 978-1-302-92110-1 matches GCD 105777 row 2238344 (180pp) exactly; CV 137502 issue 869588 "Book 9"

S 95620 cv=- gcd=201428 0.9 | the folder "12 Black Panther v9 (2023)" is Eve L. Ewing's run: CV 151263 "Black Panther" (Marvel 2023, 10, "Reign at Dusk" Parts 1-10) and GCD 201428 (Marvel 2023-2024, 10) agree; our two trades "Black Panther by Eve L. Ewing Vol. 01-02 - Reign at Dusk" (judged #1-5 / #6-10) are its editions; 0.9 because the seven 1pp "Black Panther 013-015 (2023)" covers are the PREVIOUS run's finale (split below); cv=151263 is WITHHELD from this line only because S64322 wrongly stores it (N below)
F 95620 split-needed | items 53634-53640 (1pp variant covers of "Black Panther 013-015 (2023)") are Ridley's Black Panther (2022) #13-15, CV 140222 / GCD 178418 (15 issues; Ewing's run has only 10) - the From-the-Ashes shape of L-388 -> join S95619 on its ParsedKey "Black Panther v8 (2022)" (S95619 S line cv=140222 gcd=178418, B-054)
F 95620 wrong-cv-link | per-file CV 11502 (Black Panther 2005) on the 7 covers is a title stamp; the covers' own issues are on their I lines
N 95620 the run's CV id is 151263, withheld here: S64322 also stores CV 151263 (C-037) but its 39 files are "Ultimate Black Panther" (2024), a different comic, so linking both would MERGE Ewing's trades onto the Ultimate shelf; once S64322 is re-read onto its own volume, this shelf takes cv=151263
I 53632 cv=1039110 gcd=2593720 isbn=978-1-302-94883-2 0.95 | "Black Panther by Eve L. Ewing Vol. 01 - Reign At Dusk (2024)" 120pp = CV 155891 #1 issue 1039110 "Volume 1" and GCD 207476 #1 row 2593720 (132pp) - replaces X-058's cv=994537 (the run's #1 issue)
I 53633 cv=1059367 gcd=2635586 isbn=978-1-302-94884-9 0.95 | "Vol. 02 - Reign at Dusk (2024)" 111pp = CV 155891 #2 issue 1059367 "Volume 2" and GCD 207476 #2 row 2635586 (116pp) - replaces X-058's cv=1002004 / gcd=2515758 (a run issue and a Panini row)
I 53634 cv=963983 gcd=2481396 isbn=- 0.9 | 1pp "Black Panther 013 (2023) (1-in-25 Scalera Variant)" is a cover of Black Panther (2022) #13: CV 140222 #13 issue 963983, GCD 178418 #13 (210) row 2481396
I 53635 cv=963983 gcd=2481396 isbn=- 0.9 | 1pp "Black Panther 013 (2023) (Medina Classic Homage Variant)" is a cover of Black Panther (2022) #13: CV 140222 issue 963983, GCD 178418 row 2481396
I 53636 cv=969379 gcd=2493886 isbn=- 0.9 | 1pp "Black Panther 014 (2023) (No Prize Variant)" is a cover of Black Panther (2022) #14: CV 140222 #14 issue 969379, GCD 178418 #14 (211) row 2493886
I 53637 cv=969379 gcd=2493886 isbn=- 0.9 | 1pp "Black Panther 014 (2023) (Romero Variant)" is a cover of Black Panther (2022) #14: CV 140222 issue 969379, GCD 178418 row 2493886
I 53638 cv=969379 gcd=2493886 isbn=- 0.9 | 1pp "Black Panther 014 (2023) (Yu Planet Of The Apes Variant)" is a cover of Black Panther (2022) #14: CV 140222 issue 969379, GCD 178418 row 2493886
I 53639 cv=975705 gcd=2518280 isbn=- 0.9 | 1pp "Black Panther 015 (2023) (Lashley Infinity Saga Phase 3 Variant)" is a cover of Black Panther (2022) #15: CV 140222 #15 issue 975705, GCD 178418 #15 (212) row 2518280
I 53640 cv=975705 gcd=2518280 isbn=- 0.9 | 1pp "Black Panther 015 (2023) (Peralta Variant)" is a cover of Black Panther (2022) #15: CV 140222 issue 975705, GCD 178418 row 2518280

S 2755 cv=- gcd=108630 0.9 | the Epic Collection LINE (L-109 / L-392): GCD 108630 "Black Panther Epic Collection" (Marvel, 3 rows) holds our Vol. 01 Panther's Rage (row 1641934, 404pp vs 361pp) and Vol. 02 Revenge of the Black Panther (row 1925571, 460pp vs 454pp); the books reprint Jungle Action, Black Panther (1977) and Panther's Prey - several runs - and CV mints only a count-1 volume per book, so no CV line id
F 2755 wrong-cv-link | the stored CV 94409 "Black Panther Epic Collection: Panther's Rage" is Vol. 01's own count-1 volume (on its I line), not the line
N 2755 Epic Collections are kept as LINES pending Eric's open question; the sibling S2756 (Vol. 03) joins this shelf below
I 53641 cv=551295 gcd=1641934 isbn=978-1-302-90190-5 0.95 | "Black Panther Epic Collection Vol. 01 - Panther's Rage (2016)" 361pp = CV 94409 issue 551295 and GCD 108630 #1 row 1641934 "Panther's Rage" (404pp)
C 53641 cv=2574 gcd=2053 #6-24 0.95 | Panther's Rage collects Jungle Action (Marvel 1972-1976, 24 issues; CV 2574 = GCD 2053) #6-24 per GCD row 1641934's note, plus Fantastic Four #52-53
I 53642 cv=701303 gcd=1925571 isbn=978-1-302-91542-1 0.95 | "Vol. 02 - Revenge of the Black Panther (2019)" 454pp = CV 117199 issue 701303 and GCD 108630 #2 row 1925571 (460pp)
C 53642 cv=2896 gcd=2387 #1-15 0.95 | Revenge of the Black Panther collects Black Panther (Marvel 1977-1979, 15 issues; CV 2896 = GCD 2387) #1-15 per GCD row 1925571's note, plus Marvel Premiere #51-53
S 2756 cv=- gcd=108630 0.9 | volume 03 "Panther's Prey" of the same LINE: GCD 108630 #3 row 2212390 (508pp, ISBN 978-1-302-92198-9) is our 499pp book; CV 134427 is only its count-1 book volume (issue 837518, on the I line)
F 2756 wrong-cv-link | the stored CV 134427 "Black Panther Epic Collection: Panther's Prey" is the Vol. 03 book's own count-1 volume, not the line
F 2756 split-needed | item 53643 -> join S2755 on its ParsedKey "Black Panther Epic Collection" (S2755's S line is the same GCD 108630 line; L-377 / L-392); the shelf empties by the join
I 53643 cv=837518 gcd=2212390 isbn=9781302921989 1.0 | "Black Panther Epic Collection Vol. 03 - Panther's Prey" (499pp) ISBN 978-1-302-92198-9 matches GCD 108630 #3 row 2212390 (508pp) exactly; CV 134427 issue 837518
C 53643 cv=28441 gcd=4230 #1-4 0.95 | Panther's Prey collects Black Panther: Panther's Prey (Marvel 1991, 4 issues; CV 28441 = GCD 4230) #1-4 per GCD row 2212390's roll-up
C 53643 gcd=3654 #13-37 0.9 | Panther's Prey also collects Marvel Comics Presents (Marvel 1988, GCD 3654) #13-37, the Black Panther serial, per GCD row 2212390's note

S 2772 cv=25638 gcd=33758 0.95 | trades vs run: our single 139pp "Black Panther - Shuri - Deadliest of the Species" is the trade of Black Panther (2009) #1-6 (GCD 103773 row 1595970's note; CV 25638 #1-6 are "The Deadliest Of The Species Part One-Six"), and CV 25638 (Marvel 2009, 12) and GCD 33758 (Marvel 2009-2010, 12) agree on that run
F 2772 wrong-cv-link | the stored CV 31980 "Black Panther: The Deadliest of the Species" is the trade's own count-1 record (on the I line), not the run
F 2772 merge-with=64321 | same run: S64321 stores CV 25638 (lookup --who-stores cv=25638) and holds Black Panther (2009) #1-12; this shelf is that run's trade
I 53644 cv=200658 gcd=1595970 isbn=978-0-7851-3976-8 0.9 | the trade's own records: CV 31980 issue 200658 and GCD 103773 row 1595970 (2009-09-30, 148pp vs our 139pp); 0.9 because GCD's twin series 103774 (row 1595971, 2009-12, ISBN 978-0-7851-3342-1) is the other printing and our 2015 digital rip does not say which

S 3406 cv=32444 gcd=48387 0.95 | the four-issue mini: CV 32444 "Black Panther/Captain America: Flags of Our Fathers" (Marvel 2010, 4, cached #1-4 "Flags of Our Fathers Part 1-4") and GCD 48387 (Marvel 2010, 4) agree on publisher, year and count; our ladder 1-4 carries "(of 04)" on every file
F 3406 wrong-cv-link | per-file CV 36229 "Captain America/Black Panther: Flags of Our Fathers" (count 1, the collected edition) on all four issue files is a title stamp; each file's own issue is on its I line
N 3406 ComicVine also holds the mini under the other word order (171881, count 2) - a duplicate record, not a second comic
I 53654 cv=204624 gcd=755051 isbn=- 0.95 | "Captain America - Black Panther - Flags of Our Fathers 01 (of 04) (2010)" = CV 32444 #1 issue 204624 and GCD 48387 #1 row 755051
I 53655 cv=212020 gcd=755052 isbn=- 0.95 | "... Flags of Our Fathers 02 (of 04) (2010)" = CV 32444 #2 issue 212020 and GCD 48387 #2 row 755052
I 53656 cv=217754 gcd=755053 isbn=- 0.95 | "... Flags of Our Fathers 03 (of 04) (2010)" = CV 32444 #3 issue 217754 and GCD 48387 #3 row 755053
I 53657 cv=224631 gcd=755054 isbn=- 0.95 | "... Flags of Our Fathers 04 (of 04) (2010)" = CV 32444 #4 issue 224631 and GCD 48387 #4 row 755054

# ===== Captain America =====
S 3450 cv=1628 gcd=237 0.9 | Timely's Captain America Comics: CV 1628 (Marvel 1941, 73, cached #1-73) and GCD 237 (Marvel 1941-1949, 73) agree on publisher, span and count, and our #1-72 (Digital-Empire rips beside c2c paper / fiche scans) sit inside; 0.9 because #76-78 (1954) are the chain's continuation under other records (N below)
N 3450 the chain Captain America Comics #1-73 -> Captain America's Weird Tales #74-75 (CV 51066 / GCD 238) -> Captain America #76-78 (1954, CV 98973 / GCD 1037) continues one numbering at one publisher (L-390); the shelf keeps the first record and the 1954 books carry their era record on I lines
N 3450 ladder entries 143 / 251 / 309 are "(cronology #00143)"-style tags parsed as numbers on items 76743 / 76750 / 76751, which are #23 / #37 / #43 (I lines); partial rips: 76742 #22 "only one story" 16pp, 76758 #59 "missing pages" 2pp, 76760 #63 "INC 35pgs"
I 76743 cv=117567 gcd=2730 isbn=- 0.95 | "Captain America Comics 023 (1943) (cronology #00143)" 68pp is #23 (the 143 is a chronology tag): CV 1628 #23 issue 117567 and GCD 237 #23 row 2730 (68pp)
I 76750 cv=139214 gcd=3555 isbn=- 0.95 | "Captain America Comics 037 (1944) (cronology #00251)" 54pp is #37: CV 1628 #37 issue 139214 and GCD 237 #37 row 3555 (60pp)
I 76751 cv=140226 gcd=4004 isbn=- 0.95 | "Captain America Comics 043 (1944) (cronology #00309)" 52pp is #43: CV 1628 #43 issue 140226 and GCD 237 #43 row 4004 (52pp)
I 76763 cv=1060 gcd=11230 isbn=- 0.95 | "Captain America Comics 076 (1954)" 26pp is the Atlas revival's #76: CV 98973 "Captain America" (1954, 3) #76 issue 1060 and GCD 1037 #76 row 11230
I 76764 cv=1246 gcd=11437 isbn=- 0.95 | "Captain America Comics 077 (1954)" 26pp = CV 98973 #77 issue 1246 and GCD 1037 #77 row 11437 (1954 Atlas revival)
I 76765 cv=1348 gcd=11555 isbn=- 0.95 | "Captain America Comics 078 (1954)" 26pp = CV 98973 #78 issue 1348 and GCD 1037 #78 row 11555 (1954 Atlas revival)

S 95961 cv=54110 gcd=68655 0.95 | Remender's Captain America (2013-2014): CV 54110 (Marvel 2013, 25) and GCD 68655 (Marvel 2013-2014, 25) agree on publisher, span and count; our five trades Vol. 01-05 are GCD 73857 rows 1105778 / 1171325 / 1327344-1327346 by subtitle and judged #1-5 ... #22-25 (5 of 5 fit) - the run's own editions
F 95961 wrong-cv-link | per-file CV 2400 (Captain America 1968) on all five trades is the franchise stamp (L-307); each trade's own record is on its I line
I 77257 cv=410917 gcd=1105778 isbn=978-0-7851-6826-3 0.95 | "Vol. 01 - Castaway in Dimension Z - Book 01 (2013)" 123pp = CV 63426 #1 issue 410917 "Book One" and GCD 73857 #1 row 1105778 (140pp) - replaces X-058's gcd=740421
I 77258 cv=435237 gcd=1171325 isbn=978-0-7851-6827-0 0.95 | "Vol. 02 - Castaway in Dimension Z - Book 02 (2013)" 120pp = CV 63426 #2 issue 435237 "Book Two" and GCD 73857 #2 row 1171325 (144pp)
I 77259 cv=450288 gcd=1327344 isbn=978-0-7851-8951-0 0.95 | "Vol. 03 - Loose Nuke (2014)" 121pp = CV 73012 issue 450288 and GCD 73857 #3 row 1327344 "Loose Nuke" (144pp) - replaces X-058's Peru21 row
I 77260 cv=462527 gcd=1327345 isbn=978-0-7851-8953-4 0.95 | "Vol. 04 - The Iron Nail (2014)" 132pp = CV 76451 issue 462527 "Volume 4" and GCD 73857 #4 row 1327345 (144pp)
I 77261 cv=474820 gcd=1327346 isbn=978-0-7851-8955-8 0.95 | "Vol. 05 - The Tomorrow Soldier (2014)" 125pp = CV 79081 issue 474820 "Volume 5" and GCD 73857 #5 row 1327346 (144pp)

S 3419 cv=85274 gcd=93153 0.95 | Captain America: Sam Wilson (2015-2017): CV 85274 (Marvel 2015, 24) and GCD 93153 (Marvel 2015-2017, 24) agree on publisher, span and count; our #9-17, 22-24 floppies (several filed twice by event chronologies) and Vol. 01-05 (GCD 100278 rows, roll-ups s93153 #1-6 ... #18-21) are the run and its editions; duplicate rips cost nothing
N 3419 flags #127 / #128 (duplicate-edition, items 118884 / 118885) and #194 (label-ambiguous) are right: 77265/118884 are two rips of Vol. 01 and 77269/118885 two rips of Vol. 05 - one book each, not two editions of a block
I 77265 cv=526042 gcd=1559066 isbn=978-0-7851-9640-2 0.95 | "Vol. 01 - Not My Captain America (2016)" 131pp = CV 89767 issue 526042 "Volume 1" and GCD 100278 #1 row 1559066 (140pp)
I 118884 cv=526042 gcd=1559066 isbn=978-0-7851-9640-2 0.95 | second rip of Vol. 01 (131pp, Secret Empire prelude folder): CV 89767 issue 526042 / GCD 100278 row 1559066
I 77266 cv=551297 gcd=1628470 isbn=978-0-7851-9641-9 0.95 | "Vol. 02 - Standoff (2016)" 162pp = CV 94412 issue 551297 "Volume 2" and GCD 100278 #2 row 1628470 (172pp)
I 77267 cv=575859 gcd=1665052 isbn=978-1-302-90319-0 0.95 | "Vol. 03 - Civil War II (2016)" 110pp = CV 97901 issue 575859 "Volume 3" and GCD 100278 #3 row 1665052 (116pp)
I 77268 cv=592592 gcd=1692393 isbn=978-1-302-90329-9 0.95 | "Vol. 04 - #TAKEBACKTHESHIELD (2017)" 136pp = CV 100812 issue 592592 "Volume 4" and GCD 100278 #4 row 1692393 (140pp)
I 77269 cv=613785 gcd=1727033 isbn=978-1-302-90614-6 0.95 | "Vol. 05 - End of the Line (2017)" 112pp = CV 103378 issue 613785 "Volume 5" and GCD 100278 #5 row 1727033 (116pp)
I 118885 cv=613785 gcd=1727033 isbn=978-1-302-90614-6 0.95 | second rip of Vol. 05 (119pp, Minutemen-Slayer): CV 103378 issue 613785 / GCD 100278 row 1727033

S 3403 cv=103427 gcd=115901 0.9 | a lone trade in its run's folder "17 Captain America v1 (2018)" (L-324b / L-174): "Captain America Vol. 01 - Home of the Brave" (judged #695-700, GCD roll-up s115901 #695-700) is an edition of Captain America (2017) - CV 103427 (Marvel 2017, 11: #25 + legacy #695-704, #695-697 "Home of the Brave") = GCD 115901 (Marvel 2017-2018, 11)
F 3403 wrong-cv-link | the stored CV 111409 "Captain America by Waid & Samnee: Home of the Brave" is the trade's own count-1 record (on the I line), not the run - the triage's "judged range does not fit" was this
F 3403 merge-with=95962 | same run: S95962 stores CV 103427 (key "Captain America v8 (2017)", lookup --who-stores cv=103427) and holds its #25
I 77277 cv=672279 gcd=1814753 isbn=978-1-302-90992-5 0.95 | the trade's own records: CV 111409 issue 672279 and GCD 125726 row 1814753 "Home of the Brave" (140pp vs our 150pp)

S 95963 cv=112027 gcd=126578 0.9 | Coates' Captain America (2018-2021): CV 112027 (Marvel 2018, 30) and GCD 126578 (Marvel 2018-2021, 30) agree on publisher, span and count; the five trades Vol. 01-05 (GCD 140628 #1-2 + 171913 #3-5), the Coates "Book 01" HC (GCD 165402) and the Omnibus (GCD 202483) all reprint this one run; 0.9 for the 2018 Annual (CV 113693 / GCD 129787, its own record)
F 95963 wrong-cv-link | per-file CV 2400 (Captain America 1968) on five files is the franchise stamp (L-307); each book's own record is on its I line
N 95963 X-058's gcd rows 1938923 / 2032753 / 2224372 / 2286053 are PANINI DEUTSCHLAND (GCD 142421, "Neuanfang", "Unter Anklage" ...) - the packet's "stored GCD row is another book" on 77286 is that; the English rows follow
I 77283 cv=685837 gcd=1849417 isbn=- 0.95 | "Captain America Annual 001 (2018)" 35pp = CV 113693 "Captain America Annual" (2018, 1) issue 685837 and GCD 129787 #1 row 1849417 (40pp)
I 77285 cv=701306 gcd=1925581 isbn=978-1-302-91194-2 0.95 | "Vol. 01 - Winter in America (2019)" 153pp = CV 117203 issue 701306 "Volume 1" and GCD 140628 #1 row 1925581 "Winter in America" (156pp, collects #1-6)
I 77286 cv=720183 gcd=2277625 isbn=978-1-302-91195-9 0.95 | "Vol. 02 - Captain of Nothing (2019)" 136pp = CV 121574 issue 720183 "Volume 2" and GCD 140628 #2 row 2277625 "Captain of Nothing" (148pp)
I 77287 cv=743820 gcd=2217702 isbn=978-1-302-91441-7 0.95 | "Vol. 03 - The Legend of Steve (2020)" 154pp = CV 126038 issue 743820 "Volume 3" and GCD 171913 #3 row 2217702 (156pp)
I 77288 cv=828294 gcd=2217703 isbn=978-1-302-92040-1 0.95 | "Vol. 04 - All Die Young (2021)" 144pp = CV 133731 issue 828294 "Volume 4" and GCD 171913 #4 row 2217703 (148pp)
I 77289 cv=883354 gcd=2258754 isbn=978-1-302-92041-8 0.95 | "Vol. 05 - All Die Young - Part Two (2022)" 115pp = CV 138723 issue 883354 "Volume 5" and GCD 171913 #5 row 2258754 (116pp)
I 77964 cv=743819 gcd=2158247 isbn=978-1-302-92322-8 0.95 | "Captain America by Ta-Nehisi Coates Book 01 (2020)" 288pp = CV 126037 #1 issue 743819 "Volume 1" and GCD 165402 #1 row 2158247 (304pp, roll-up s126578 #1-2, #6-8 + more)
I 77965 cv=1003982 gcd=2557630 isbn=978-1-302-94847-4 0.95 | "Captain America By Ta-Nehisi Coates Omnibus (2023)" 689pp = CV 152563 issue 1003982 "HC" and GCD 202483 row 2557630 (704pp) - C-042 cited the SERIES 202483 as the issue

S 3420 cv=143632 gcd=185536 0.9 | CV 143632 (Marvel 2022, 13, cached #1-13) = GCD 185536 (Marvel 2022-2023, 13); our "Captain America - Sentinel of Liberty 001-006, 011 (2022-2023)" floppies sit inside, and the two trades Book 01 Revolution / Vol. 02 The Invader roll up s185536 #1-6 / #7-11 (GCD 196837 rows 2494898 / 2559513); 0.9 for the 343pp collection of the 1998 mini (77976), split below
F 3420 split-needed | item 77976 "Captain America - Sentinel of Liberty (2018)" 343pp, folder "_Trades, Minis and One-shots\Captain America - Sentinel of Libery v1 (1998)", is the 2011 HC (CV 39489 / GCD 73825) of the 1998 Waid/Garney mini, CV 19381 / GCD 13268 (12 issues), stored by no shelf -> new key "Captain America: Sentinel of Liberty v1 (1998)" seeded cv=19381 gcd=13268
F 3420 wrong-cv-link | per-file CV 19381 (the 1998 mini) on the 7 floppies is a title stamp; their own issues are on the I lines below (CV 19381 is right only for 77976's content)
I 77298 cv=930977 gcd=2414232 isbn=- 0.95 | "Captain America - Sentinel of Liberty 001 (2022)" 32pp = CV 143632 #1 issue 930977 and GCD 185536 #1 row 2414232 (40pp)
I 77299 cv=934988 gcd=2417400 isbn=- 0.95 | "... Sentinel of Liberty 002 (2022)" = CV 143632 #2 issue 934988 and GCD 185536 #2 row 2417400
