# X-027 -- item pass over fifteen manga shelves (Dear NOMAN, Delicious in Dungeon, Demon Slayer:
# Kimetsu Academy, Detroit Metal City, Die Wergelder, Dinosaur Sanctuary, Don't Toy With Me Miss
# Nagatoro, Dorohedoro, Dragon Ball, Dragon Ball Z, Dragon Ball Super, the two Dragon Ball Full Color
# arc shelves, Dragon Head, Drifting Dragons). As in X-025/X-026, nearly every per-file GCD pick is a
# reused title-only stamp and several per-file CV picks are foreign-language/foreign-volume twins.
# Every I line comes from the shelf's own header pool (cv issues / gcd issues, ordinal-matched to
# the book's volume number) or a direct gcd_issue query when the header pool split across series,
# not the per-file pick, except where noted the per-file pick agreed.

# S5191 Dear NOMAN: per-file gcd reused 2200348/169093 (v01's row) on v02.
I 44412 cv=825274 gcd=2200348 isbn=9781975320089 0.95 | CV 133314 issue #1 (825274) and GCD 169093 issue #1 (2200348, ISBN 9781975320089) agree by ordinal in the shelf's own header pool
I 44455 cv=509436 gcd=1893449 isbn=9781632361950 0.95 | CV 86935 issue #1 (509436) and GCD 137424 issue #1 (1893449, ISBN 9781632361950) agree by ordinal (per-file method num held here), matching the shelf's own header pool for this book

# S5466 Dinosaur Sanctuary: per-file gcd reused 2445367/190225 (v01's row) on all 4.
I 44456 cv=950597 gcd=2445367 isbn=978-1-68579-324-1 0.95 | CV 145501 issue #1 (950597) and GCD 190225 issue #1 (2445367, ISBN 978-1-68579-324-1) agree by ordinal in the shelf's own header pool
I 44457 cv=977186 gcd=2506987 isbn=978-1-68579-325-8 0.95 | CV 145501 issue #2 (977186) and GCD 190225 issue #2 (2506987, ISBN 978-1-68579-325-8) agree by ordinal in the shelf's own header pool
I 44458 cv=1054850 gcd=2570417 isbn=979-8-88843-006-4 0.95 | CV 145501 issue #3 (1054850) and GCD 190225 issue #3 (2570417, ISBN 979-8-88843-006-4) agree by ordinal in the shelf's own header pool
I 44459 cv=1051362 gcd=2632441 isbn=979-8-88843-349-2 0.95 | CV 145501 issue #4 (1051362) and GCD 190225 issue #4 (2632441, ISBN 979-8-88843-349-2) agree by ordinal in the shelf's own header pool

# S5726 Don't Toy With Me, Miss Nagatoro: gcd splits 152847 (v1-5, 2019-2021 Vertical, from header) /
# 171408 (v6-20, 2021-2025 Kodansha USA, looked up directly -- the header pool only carried 152847's
# 5 rows). per-file gcd reused 2042152/152847 (v01's row) on v01-04 and 2213119/171408 (v06's own
# row) on v05-09 -- header/direct-query pool used throughout.
I 44461 cv=727964 gcd=2042152 isbn=9781947194861 0.95 | CV 122895 issue #1 (727964) and GCD issue #1 (2042152, ISBN 9781947194861) agree by ordinal, matching our v01
I 44462 cv=737569 gcd=2072702 isbn=9781949980097 0.95 | CV 122895 issue #2 (737569) and GCD issue #2 (2072702, ISBN 9781949980097) agree by ordinal, matching our v02
I 44463 cv=762263 gcd=2112081 isbn=9781949980103 0.95 | CV 122895 issue #3 (762263) and GCD issue #3 (2112081, ISBN 9781949980103) agree by ordinal, matching our v03
I 44464 cv=814978 gcd=2160943 isbn=9781949980486 0.95 | CV 122895 issue #4 (814978) and GCD issue #4 (2160943, ISBN 9781949980486) agree by ordinal, matching our v04
I 44465 cv=824236 gcd=2186054 isbn=9781949980851 0.95 | CV 122895 issue #5 (824236) and GCD issue #5 (2186054, ISBN 9781949980851) agree by ordinal, matching our v05
I 44466 cv=839394 gcd=2213119 isbn=9781949980981 0.95 | CV 122895 issue #6 (839394) and GCD issue #6 (2213119, ISBN 9781949980981) agree by ordinal, matching our v06
I 44467 cv=848344 gcd=2222458 isbn=9781647290108 0.95 | CV 122895 issue #7 (848344) and GCD issue #7 (2222458, ISBN 9781647290108) agree by ordinal, matching our v07
I 44468 cv=880440 gcd=2264761 isbn=9781647290504 0.95 | CV 122895 issue #8 (880440) and GCD issue #8 (2264761, ISBN 9781647290504) agree by ordinal, matching our v08
I 44469 cv=893640 gcd=2285221 isbn=9781647290726 0.95 | CV 122895 issue #9 (893640) and GCD issue #9 (2285221, ISBN 9781647290726) agree by ordinal, matching our v09

# S5766 Dorohedoro: per-file cv matched the header pool exactly on all 23 (the shelf's cv 32093 held).
# per-file gcd reused 1039515/70461 (v01's row) on v01-14, then jumped to a wrong series (175234) on
# v15-23 -- the header, queried directly on the shelf's own gcd 70461, carries the correct issue for
# all 23 volumes and was used throughout.
I 39552 cv=201410 gcd=1039515 isbn=978-1-4215-3363-6 0.95 | CV 32093 issue #1 (201410) and GCD 70461 issue #1 (1039515, ISBN 978-1-4215-3363-6) agree by ordinal within the shelf's own header pool, matching our v01
I 39553 cv=230150 gcd=1039517 isbn=978-1-4215-3376-6 0.95 | CV 32093 issue #2 (230150) and GCD 70461 issue #2 (1039517, ISBN 978-1-4215-3376-6) agree by ordinal within the shelf's own header pool, matching our v02
I 39554 cv=259762 gcd=1039519 isbn=978-1-4215-3377-3 0.95 | CV 32093 issue #3 (259762) and GCD 70461 issue #3 (1039519, ISBN 978-1-4215-3377-3) agree by ordinal within the shelf's own header pool, matching our v03
I 39555 cv=287017 gcd=1039522 isbn=978-1-4215-3378-0 0.95 | CV 32093 issue #4 (287017) and GCD 70461 issue #4 (1039522, ISBN 978-1-4215-3378-0) agree by ordinal within the shelf's own header pool, matching our v04
I 39556 cv=308158 gcd=1039524 isbn=9781421533797 0.95 | CV 32093 issue #5 (308158) and GCD 70461 issue #5 (1039524, ISBN 9781421533797) agree by ordinal within the shelf's own header pool, matching our v05
I 39557 cv=316169 gcd=1039526 isbn=978-1-4215-3380-3 0.95 | CV 32093 issue #6 (316169) and GCD 70461 issue #6 (1039526, ISBN 978-1-4215-3380-3) agree by ordinal within the shelf's own header pool, matching our v06
I 39558 cv=352578 gcd=1039528 isbn=978-1-4215-3381-0 0.95 | CV 32093 issue #7 (352578) and GCD 70461 issue #7 (1039528, ISBN 978-1-4215-3381-0) agree by ordinal within the shelf's own header pool, matching our v07
I 39559 cv=373363 gcd=1039531 isbn=978-1-4215-3382-7 0.95 | CV 32093 issue #8 (373363) and GCD 70461 issue #8 (1039531, ISBN 978-1-4215-3382-7) agree by ordinal within the shelf's own header pool, matching our v08
I 39560 cv=397615 gcd=1103259 isbn=978-1-4215-3383-4 0.95 | CV 32093 issue #9 (397615) and GCD 70461 issue #9 (1103259, ISBN 978-1-4215-3383-4) agree by ordinal within the shelf's own header pool, matching our v09
I 39561 cv=421744 gcd=1138181 isbn=978-1-4215-3384-1 0.95 | CV 32093 issue #10 (421744) and GCD 70461 issue #10 (1138181, ISBN 978-1-4215-3384-1) agree by ordinal within the shelf's own header pool, matching our v10
I 39562 cv=437569 gcd=1171400 isbn=978-1-4215-3385-8 0.95 | CV 32093 issue #11 (437569) and GCD 70461 issue #11 (1171400, ISBN 978-1-4215-3385-8) agree by ordinal within the shelf's own header pool, matching our v11
I 39563 cv=450613 gcd=1203302 isbn=978-1-4215-3386-5 0.95 | CV 32093 issue #12 (450613) and GCD 70461 issue #12 (1203302, ISBN 978-1-4215-3386-5) agree by ordinal within the shelf's own header pool, matching our v12
I 39564 cv=462953 gcd=1514837 0.95 | CV 32093 issue #13 (462953) and GCD 70461 issue #13 (1514837) agree by ordinal within the shelf's own header pool, matching our v13
I 39565 cv=473723 gcd=1514838 0.95 | CV 32093 issue #14 (473723) and GCD 70461 issue #14 (1514838) agree by ordinal within the shelf's own header pool, matching our v14
I 39566 cv=487103 gcd=1514839 0.95 | CV 32093 issue #15 (487103) and GCD 70461 issue #15 (1514839) agree by ordinal within the shelf's own header pool, matching our v15
I 39567 cv=497874 gcd=1514840 0.95 | CV 32093 issue #16 (497874) and GCD 70461 issue #16 (1514840) agree by ordinal within the shelf's own header pool, matching our v16
I 39568 cv=508262 gcd=1514841 0.95 | CV 32093 issue #17 (508262) and GCD 70461 issue #17 (1514841) agree by ordinal within the shelf's own header pool, matching our v17
I 39569 cv=522149 gcd=1805642 0.95 | CV 32093 issue #18 (522149) and GCD 70461 issue #18 (1805642) agree by ordinal within the shelf's own header pool, matching our v18
I 39570 cv=544683 gcd=1805643 0.95 | CV 32093 issue #19 (544683) and GCD 70461 issue #19 (1805643) agree by ordinal within the shelf's own header pool, matching our v19
I 39571 cv=576564 gcd=1805644 0.95 | CV 32093 issue #20 (576564) and GCD 70461 issue #20 (1805644) agree by ordinal within the shelf's own header pool, matching our v20
I 39572 cv=602962 gcd=1805645 0.95 | CV 32093 issue #21 (602962) and GCD 70461 issue #21 (1805645) agree by ordinal within the shelf's own header pool, matching our v21
I 39573 cv=668599 gcd=1805646 0.95 | CV 32093 issue #22 (668599) and GCD 70461 issue #22 (1805646) agree by ordinal within the shelf's own header pool, matching our v22
I 39574 cv=719221 gcd=2017251 isbn=978-1-9747-0880-2 0.95 | CV 32093 issue #23 (719221) and GCD 70461 issue #23 (2017251, ISBN 978-1-9747-0880-2) agree by ordinal within the shelf's own header pool, matching our v23

# S5801 Dragon Ball: per-file cv matched the header exactly on all 16 (shelf's cv 31306 held); per-file
# gcd reused 732609/44650 (v01's row) on v01-13 then a wrong series (22664) on v14-16 -- the header,
# queried directly on the shelf's own gcd 44650, carries all 16 correctly and was used throughout.
I 41605 cv=194861 gcd=732609 isbn=978-1-56931-920-8 0.95 | CV 31306 issue #1 (194861) and GCD 44650 issue #1 (732609, ISBN 978-1-56931-920-8) agree by ordinal within the shelf's own header pool, matching our v01
I 41606 cv=216206 gcd=732610 isbn=978-1-56931-921-5 0.95 | CV 31306 issue #2 (216206) and GCD 44650 issue #2 (732610, ISBN 978-1-56931-921-5) agree by ordinal within the shelf's own header pool, matching our v02
I 41607 cv=216213 gcd=732611 isbn=978-1-56931-922-2 0.95 | CV 31306 issue #3 (216213) and GCD 44650 issue #3 (732611, ISBN 978-1-56931-922-2) agree by ordinal within the shelf's own header pool, matching our v03
I 41608 cv=216219 gcd=732612 isbn=978-1-56931-923-9 0.95 | CV 31306 issue #4 (216219) and GCD 44650 issue #4 (732612, ISBN 978-1-56931-923-9) agree by ordinal within the shelf's own header pool, matching our v04
I 41609 cv=217591 gcd=732613 isbn=978-1-56931-924-6 0.95 | CV 31306 issue #5 (217591) and GCD 44650 issue #5 (732613, ISBN 978-1-56931-924-6) agree by ordinal within the shelf's own header pool, matching our v05
I 41610 cv=236296 gcd=732614 isbn=978-1-56931-925-3 0.95 | CV 31306 issue #6 (236296) and GCD 44650 issue #6 (732614, ISBN 978-1-56931-925-3) agree by ordinal within the shelf's own header pool, matching our v06
I 41611 cv=294798 gcd=732615 isbn=978-1-56931-926-0 0.95 | CV 31306 issue #7 (294798) and GCD 44650 issue #7 (732615, ISBN 978-1-56931-926-0) agree by ordinal within the shelf's own header pool, matching our v07
I 41612 cv=294799 gcd=732616 0.95 | CV 31306 issue #8 (294799) and GCD 44650 issue #8 (732616) agree by ordinal within the shelf's own header pool, matching our v08
I 41613 cv=294800 gcd=732617 0.95 | CV 31306 issue #9 (294800) and GCD 44650 issue #9 (732617) agree by ordinal within the shelf's own header pool, matching our v09
I 41614 cv=294801 gcd=732618 0.95 | CV 31306 issue #10 (294801) and GCD 44650 issue #10 (732618) agree by ordinal within the shelf's own header pool, matching our v10
I 41615 cv=294802 gcd=732619 0.95 | CV 31306 issue #11 (294802) and GCD 44650 issue #11 (732619) agree by ordinal within the shelf's own header pool, matching our v11
I 41616 cv=294803 gcd=732620 0.95 | CV 31306 issue #12 (294803) and GCD 44650 issue #12 (732620) agree by ordinal within the shelf's own header pool, matching our v12
I 41617 cv=294804 gcd=732621 0.95 | CV 31306 issue #13 (294804) and GCD 44650 issue #13 (732621) agree by ordinal within the shelf's own header pool, matching our v13
I 41618 cv=294805 gcd=732622 0.95 | CV 31306 issue #14 (294805) and GCD 44650 issue #14 (732622) agree by ordinal within the shelf's own header pool, matching our v14
I 41619 cv=294806 gcd=732623 0.95 | CV 31306 issue #15 (294806) and GCD 44650 issue #15 (732623) agree by ordinal within the shelf's own header pool, matching our v15
I 41620 cv=294807 gcd=732624 0.95 | CV 31306 issue #16 (294807) and GCD 44650 issue #16 (732624) agree by ordinal within the shelf's own header pool, matching our v16

# S5816 Dragon Ball Z: per-file cv matched the header exactly on all 26 (shelf's cv 26289 held);
# per-file gcd reused 731057/44388 (v01's row) on v01-23 then a wrong series (231111) on v24-26 --
# the header, queried directly on the shelf's own gcd 44388, carries all 26 correctly and was used.
I 41621 cv=155990 gcd=731057 isbn=1-56931-930-8 0.95 | CV 26289 issue #1 (155990) and GCD 44388 issue #1 (731057, ISBN 1-56931-930-8) agree by ordinal within the shelf's own header pool, matching our v01
I 41622 cv=189732 gcd=731058 isbn=978-1-56931-931-4 0.95 | CV 26289 issue #2 (189732) and GCD 44388 issue #2 (731058, ISBN 978-1-56931-931-4) agree by ordinal within the shelf's own header pool, matching our v02
I 41623 cv=189733 gcd=731059 isbn=978-1-56931-932-1 0.95 | CV 26289 issue #3 (189733) and GCD 44388 issue #3 (731059, ISBN 978-1-56931-932-1) agree by ordinal within the shelf's own header pool, matching our v03
I 41624 cv=189734 gcd=731060 isbn=978-1-56931-933-8 0.95 | CV 26289 issue #4 (189734) and GCD 44388 issue #4 (731060, ISBN 978-1-56931-933-8) agree by ordinal within the shelf's own header pool, matching our v04
I 41625 cv=189735 gcd=731061 isbn=978-1-56931-934-5 0.95 | CV 26289 issue #5 (189735) and GCD 44388 issue #5 (731061, ISBN 978-1-56931-934-5) agree by ordinal within the shelf's own header pool, matching our v05
I 41626 cv=189736 gcd=731062 0.95 | CV 26289 issue #6 (189736) and GCD 44388 issue #6 (731062) agree by ordinal within the shelf's own header pool, matching our v06
I 41627 cv=189737 gcd=731063 0.95 | CV 26289 issue #7 (189737) and GCD 44388 issue #7 (731063) agree by ordinal within the shelf's own header pool, matching our v07
I 41628 cv=189738 gcd=731064 0.95 | CV 26289 issue #8 (189738) and GCD 44388 issue #8 (731064) agree by ordinal within the shelf's own header pool, matching our v08
I 41629 cv=189739 gcd=731065 0.95 | CV 26289 issue #9 (189739) and GCD 44388 issue #9 (731065) agree by ordinal within the shelf's own header pool, matching our v09
I 41630 cv=189740 gcd=731066 0.95 | CV 26289 issue #10 (189740) and GCD 44388 issue #10 (731066) agree by ordinal within the shelf's own header pool, matching our v10
I 41631 cv=189741 gcd=731067 0.95 | CV 26289 issue #11 (189741) and GCD 44388 issue #11 (731067) agree by ordinal within the shelf's own header pool, matching our v11
I 41632 cv=189742 gcd=731068 0.95 | CV 26289 issue #12 (189742) and GCD 44388 issue #12 (731068) agree by ordinal within the shelf's own header pool, matching our v12
I 41633 cv=189743 gcd=731069 0.95 | CV 26289 issue #13 (189743) and GCD 44388 issue #13 (731069) agree by ordinal within the shelf's own header pool, matching our v13
I 41634 cv=189744 gcd=731070 0.95 | CV 26289 issue #14 (189744) and GCD 44388 issue #14 (731070) agree by ordinal within the shelf's own header pool, matching our v14
I 41635 cv=189745 gcd=731071 0.95 | CV 26289 issue #15 (189745) and GCD 44388 issue #15 (731071) agree by ordinal within the shelf's own header pool, matching our v15
I 41636 cv=189746 gcd=731072 0.95 | CV 26289 issue #16 (189746) and GCD 44388 issue #16 (731072) agree by ordinal within the shelf's own header pool, matching our v16
I 41637 cv=189747 gcd=731073 0.95 | CV 26289 issue #17 (189747) and GCD 44388 issue #17 (731073) agree by ordinal within the shelf's own header pool, matching our v17
I 41638 cv=189748 gcd=731074 0.95 | CV 26289 issue #18 (189748) and GCD 44388 issue #18 (731074) agree by ordinal within the shelf's own header pool, matching our v18
I 41639 cv=189749 gcd=731075 0.95 | CV 26289 issue #19 (189749) and GCD 44388 issue #19 (731075) agree by ordinal within the shelf's own header pool, matching our v19
I 41640 cv=189750 gcd=731076 0.95 | CV 26289 issue #20 (189750) and GCD 44388 issue #20 (731076) agree by ordinal within the shelf's own header pool, matching our v20
I 41641 cv=189751 gcd=731077 0.95 | CV 26289 issue #21 (189751) and GCD 44388 issue #21 (731077) agree by ordinal within the shelf's own header pool, matching our v21
I 41642 cv=189752 gcd=731078 0.95 | CV 26289 issue #22 (189752) and GCD 44388 issue #22 (731078) agree by ordinal within the shelf's own header pool, matching our v22
I 41643 cv=189753 gcd=731079 0.95 | CV 26289 issue #23 (189753) and GCD 44388 issue #23 (731079) agree by ordinal within the shelf's own header pool, matching our v23
I 41644 cv=189754 gcd=731080 0.95 | CV 26289 issue #24 (189754) and GCD 44388 issue #24 (731080) agree by ordinal within the shelf's own header pool, matching our v24
I 41645 cv=189755 gcd=731081 0.95 | CV 26289 issue #25 (189755) and GCD 44388 issue #25 (731081) agree by ordinal within the shelf's own header pool, matching our v25
I 41646 cv=189756 gcd=731082 0.95 | CV 26289 issue #26 (189756) and GCD 44388 issue #26 (731082) agree by ordinal within the shelf's own header pool, matching our v26

# S5805 Dragon Ball Super: this batch's books are v11-v22 of the 23-volume run. per-file cv matched
# the header pool exactly; per-file gcd landed on wrong series (192356 for v11, then 201436 reused
# across v12-v22) -- the header, queried on the shelf's own gcd 119347, was used throughout.
I 41657 cv=819970 gcd=2171831 isbn=978-1-9747-1761-3 0.95 | CV 101150 issue #11 (819970) and GCD 119347 issue #11 (2171831, ISBN 978-1-9747-1761-3) agree by ordinal within the shelf's own header pool, matching our v11
I 41658 cv=831673 gcd=2203521 isbn=978-1-9747-2001-9 0.95 | CV 101150 issue #12 (831673) and GCD 119347 issue #12 (2203521, ISBN 978-1-9747-2001-9) agree by ordinal within the shelf's own header pool, matching our v12
I 41659 cv=856547 gcd=2230928 isbn=978-1-9747-2281-5 0.95 | CV 101150 issue #13 (856547) and GCD 119347 issue #13 (2230928, ISBN 978-1-9747-2281-5) agree by ordinal within the shelf's own header pool, matching our v13
I 41660 cv=883804 gcd=2261124 isbn=978-1-9747-2463-5 0.95 | CV 101150 issue #14 (883804) and GCD 119347 issue #14 (2261124, ISBN 978-1-9747-2463-5) agree by ordinal within the shelf's own header pool, matching our v14
I 41661 cv=904290 gcd=2296532 isbn=978-1-9747-2517-5 0.95 | CV 101150 issue #15 (904290) and GCD 119347 issue #15 (2296532, ISBN 978-1-9747-2517-5) agree by ordinal within the shelf's own header pool, matching our v15
I 41662 cv=948374 gcd=2422856 isbn=978-1-9747-3211-1 0.95 | CV 101150 issue #16 (948374) and GCD 119347 issue #16 (2422856, ISBN 978-1-9747-3211-1) agree by ordinal within the shelf's own header pool, matching our v16
I 41663 cv=959443 gcd=2473087 isbn=978-1-9747-3451-1 0.95 | CV 101150 issue #17 (959443) and GCD 119347 issue #17 (2473087, ISBN 978-1-9747-3451-1) agree by ordinal within the shelf's own header pool, matching our v17
I 41664 cv=1004001 gcd=2545374 isbn=978-1-9747-3652-2 0.95 | CV 101150 issue #18 (1004001) and GCD 119347 issue #18 (2545374, ISBN 978-1-9747-3652-2) agree by ordinal within the shelf's own header pool, matching our v18
I 41665 cv=1034415 gcd=2568892 isbn=978-1-9747-3910-3 0.95 | CV 101150 issue #19 (1034415) and GCD 119347 issue #19 (2568892, ISBN 978-1-9747-3910-3) agree by ordinal within the shelf's own header pool, matching our v19
I 41666 cv=1048357 gcd=2608278 isbn=978-1-9747-4360-5 0.95 | CV 101150 issue #20 (1048357) and GCD 119347 issue #20 (2608278, ISBN 978-1-9747-4360-5) agree by ordinal within the shelf's own header pool, matching our v20
I 41667 cv=1055681 gcd=2631531 isbn=978-1-9747-4686-6 0.95 | CV 101150 issue #21 (1055681) and GCD 119347 issue #21 (2631531, ISBN 978-1-9747-4686-6) agree by ordinal within the shelf's own header pool, matching our v21
I 41668 cv=1088893 gcd=2685278 isbn=978-1-9747-4985-0 0.95 | CV 101150 issue #22 (1088893) and GCD 119347 issue #22 (2685278, ISBN 978-1-9747-4985-0) agree by ordinal within the shelf's own header pool, matching our v22

# S5802 Dragon Ball - Full Color Freeza Arc: SYSTEMIC FINDING -- the per-file matcher's "num" method
# read the folder's READING-ORDER prefix ("04 ", "05 ", "06 " ...) as the issue number, not the
# book's own "v01"/"v02" volume label: v01 (folder "04") linked to header issue #4, v02 (folder
# "05") linked to #5, and v03-v05 (folders "06"-"08") found nothing because only 5 issues exist.
# The true mapping is the shelf's own v01-v05 by ordinal position against the 5-issue run.
I 41672 cv=526974 gcd=1927919 0.95 | CV 89887 issue #1 (526974) and GCD 139050 issue #1 (1927919) agree by ordinal against the shelf's own header pool -- the per-file pick used the folder's reading-order digit as the issue number instead
I 41673 cv=538418 gcd=1927920 0.95 | CV 89887 issue #2 (538418) and GCD 139050 issue #2 (1927920) agree by ordinal against the shelf's own header pool -- the per-file pick used the folder's reading-order digit as the issue number instead
I 41674 cv=548492 gcd=1927921 0.95 | CV 89887 issue #3 (548492) and GCD 139050 issue #3 (1927921) agree by ordinal against the shelf's own header pool -- the per-file pick used the folder's reading-order digit as the issue number instead
I 41675 cv=556382 gcd=1927922 0.95 | CV 89887 issue #4 (556382) and GCD 139050 issue #4 (1927922) agree by ordinal against the shelf's own header pool -- the per-file pick used the folder's reading-order digit as the issue number instead
I 41676 cv=574932 gcd=1927923 0.95 | CV 89887 issue #5 (574932) and GCD 139050 issue #5 (1927923) agree by ordinal against the shelf's own header pool -- the per-file pick used the folder's reading-order digit as the issue number instead

# S5803 Dragon Ball - Full Color Saiyan Arc: here the folder's leading digit ("01"/"02"/"03") happens
# to equal the true issue number, so the per-file pick agreed with the header pool.
I 41669 cv=444040 gcd=1179778 isbn=978-1-4215-6592-7 0.95 | CV 71337 issue #1 (444040) and GCD 79050 issue #1 (1179778, ISBN 978-1-4215-6592-7) agree by ordinal, matching the shelf's own header pool for this book
