# R-107 — revisits: three "misfiled" findings turned into split-lane moves (Batman 2011 -> 2016, Outsiders 2003 -> 1985,
# Deathstroke 1991 -> 2016), their target shelves decided, and the two shelves that absorbed their retitles in wave 93
# (Fury of Firestorm 1982 + Firestorm the Nuclear Man, The Outsiders 2009 + Batman and the Outsiders 2007) restated under
# L-212. All DC. The emptied donors S6739 / S95392 are not in this batch's ids and are left alone.
# Every I/C line in force on these shelves' books is restated here, because this file supersedes the whole shelf
# decision (R-104's Deathstroke C lines included). Found on the way: the New 52 God Particle trade on the Fury shelf
# has a clean home (S18658, v02-v03 of the same run) — proposed as a split too.

# --- The Fury of Firestorm (1982) — gained Firestorm, the Nuclear Man #65-92 + Annual #5 in P-037 (L-212)
S 65956 cv=3115 gcd=2628 0.9 | one run #1-92 across the 1987 retitle (lead ruling L-212): The Fury of Firestorm #1-64 = CV 3115 (DC 1982, 64, cached #1-64) = GCD 2628 (DC 1982-1987, 64), ComicInfo Count "64" x59; #65-92 "Firestorm, The Nuclear Man" (1987-09 .. 1989-10, the same "Firestorm v2 (1982)" folder, ComicInfo Count "92") continue the numbering the month after #64 (1987-07); ladder 1-54, 57-70, 72-92; 0.9 for the five annuals (their own records, below) and the New 52 trade 55117 that leaves by split
I 55144 cv=1044161 gcd=2571137 isbn=978-1-77952-144-6 0.95 | "Ghost-Maker - Clownhunter by James Tynion IV (2023)" 177pp = CV 156713 issue 1044161 (TPB 2023-10) and GCD 204514 row 2571137 (2023-10-03)
C 55144 cv=91273 gcd=103016 #107-111 0.9 | Ghost-Maker/Clownhunter collects Batman (DC 2016) #107-111 per GCD row 2571137's notes, plus Batman Secret Files: Clownhunter #1, Joker War Zone #1, Batman Annual #5 and Batman 2022 Annual #1

# --- Batman (2016) — the target of the 95394 split
S 95396 cv=91273 gcd=103016 0.9 | the Rebirth-onward Batman: issues #1-5, 7-8, 19, 21-22, 50, 64-89, 92, 99-100, 108, 121-157 ("05 Batman v3 (2016)", "08 Batman v3.1 (2020)", "09 Batman v3.2 (2023)" plus the 1pp variant packs), the Rebirth trades Vol. 01-13 (GCD 111241 rows, roll-ups #1-6 .. #80-85 on s103016), Deluxe Books 01-06, the Tynion Vol. 01-07 and Zdarsky Vol. 01-03 lines and City of Bane = CV 91273 (DC 2016, 162, cached #1-162) = GCD 103016 (2016-2026, 163; per-file 123/189); the Joker War Saga (#95-100) and Ghost-Maker (#107-111) join from S95394; 0.9 for residue that is other records — Annuals #1-5 and 2022, the FCBD / Batman Day specials, the #428 one-shot, the 2024 #181 facsimile variant (59108), Shadow War and Fear State Saga
F 95396 split-needed | 59004 -> the 2024 one-shot "Batman 428: Robin Lives!" (CV 155359 / GCD 206659) in its own name "Batman 428: Robin Lives! (2024)" — 36pp, a standalone special, not an issue of the 2016 run (was F misfiled in R-101 / R-106)
F 95396 wrong-cv-link | per-file CV 796 (Batman 1940) on 174/189 files is the legacy stamp
N 95396 flag #178 label-ambiguous (items 61332 / 61401): both are "COL Batman - Deluxe Edition Book 04 (2019)" 339pp, GCD 1986017 (Batman 2016 #45-57) — genuinely two copies of one book, as the flag says
I 59004 cv=1034530 gcd=2588385 isbn=- 0.95 | "Batman 428 Robin Lives (2024)" 36pp = CV 155359 issue 1034530 and GCD 206659 row 2588385 (2023-12-12, 36pp)
I 59018 cv=981563 gcd=- isbn=- 0.9 | Zdarsky Vol. 01 Failsafe (2023) 227pp = CV 149312 "Batman" (DC 2023, 5) #1 issue 981563 "Failsafe"; no GCD row for this edition
I 59019 cv=1009236 gcd=- isbn=- 0.9 | Zdarsky Vol. 02 The Bat-Man of Gotham (2023) 239pp = CV 149312 #2 issue 1009236
I 59021 cv=1070064 gcd=- isbn=- 0.9 | Zdarsky Vol. 03 The Joker Year One (2024) 234pp = CV 149312 #3 issue 1070064
I 61332 cv=- gcd=1986017 isbn=978-1-4012-9188-4 0.9 | "COL Batman - Deluxe Edition Book 04 (2019)" 339pp = GCD 162378 "Batman: Deluxe Edition" #4 row 1986017 (2019-07-03, 352pp, collects Batman 2016 #45-57); CV's Rebirth Deluxe volume 103802 caches only Books 1-3
I 61401 cv=- gcd=1986017 isbn=978-1-4012-9188-4 0.9 | a second rip of Book 04 (339pp) = GCD 162378 row 1986017; the packet's stored row 2277236 (Batman 2016 #109, 36pp) is another book
I 61344 cv=- gcd=1665158 isbn=9781401267773 0.9 | Vol. 01 I Am Gotham (2017) 189pp = GCD 111241 #1 row 1665158 (collects Rebirth #1 + #1-6)
I 61346 cv=- gcd=1690698 isbn=9781401268541 0.9 | Vol. 02 I Am Suicide (2017) 151pp = GCD 111241 #2 row 1690698 (collects #9-15)
I 61347 cv=- gcd=1730385 isbn=978-1-4012-7131-2 0.9 | Vol. 03 I Am Bane (2017) 174pp = GCD 111241 #3 row 1730385 (collects #16-20, #23-24, Annual #1)
I 61349 cv=- gcd=1765758 isbn=978-1-4012-7361-3 0.9 | Vol. 04 The War of Jokes and Riddles (2017) 184pp = GCD 111241 #4 row 1765758 (collects #25-32)
I 61350 cv=- gcd=1801095 isbn=978-1-4012-7731-4 0.9 | Vol. 05 The Rules of Engagement (2018) 158pp = GCD 111241 #5 row 1801095 (collects #33-37 + Annual #2)
I 61351 cv=- gcd=1826880 isbn=978-1-4012-8027-7 0.9 | Vol. 06 Bride or Burglar (2018) 162pp = GCD 111241 #6 row 1826880 (collects #38-44)
I 61353 cv=- gcd=1860574 isbn=978-1-4012-8338-4 0.9 | Vol. 07 The Wedding (2018) 173pp = GCD 111241 #7 row 1860574 (collects #45-50)
I 61354 cv=- gcd=1884035 isbn=978-1-4012-8352-0 0.9 | Vol. 08 Cold Days (2018) 169pp = GCD 111241 #8 row 1884035 (collects #51-57)
I 61355 cv=- gcd=1938968 isbn=978-1-4012-8844-0 0.9 | Vol. 09 The Tyrant Wing (2019) 148pp = GCD 111241 #9 row 1938968 (collects #58-60 + Secret Files #1 + Annual #3)
I 61356 cv=- gcd=2014692 isbn=978-1-77950-158-5 0.9 | Vol. 10 Knightmares (2019) 169pp = GCD 111241 #10 row 2014692 (collects #61-63, #66-69)
I 61361 cv=- gcd=2047847 isbn=978-1-77950-160-8 0.9 | Vol. 11 The Fall and the Fallen (2019) 155pp = GCD 111241 #11 row 2047847 (collects #70-74 + Secret Files #2)
I 61362 cv=- gcd=2102067 isbn=978-1-4012-9958-3 0.9 | Vol. 12 City of Bane Part 01 (2020) 143pp = GCD 111241 #12 row 2102067 (collects #75-79)
I 61363 cv=- gcd=2125369 isbn=978-1-77950-284-1 0.9 | Vol. 13 City of Bane Part 02 (2020) 201pp = GCD 111241 #13 row 2125369 (collects #80-85 + Annual #4)
I 61397 cv=- gcd=2176238 isbn=978-1-77950-595-8 0.95 | "Batman - City of Bane - The Complete Collection (2020)" 338pp = GCD 167677 row 2176238 (348pp, collects #75-85 + Annual #4); no CV volume
C 61397 cv=91273 gcd=103016 #75-85 0.95 | City of Bane: The Complete Collection collects Batman (DC 2016, 162 issues: CV 91273, GCD 103016) #75-85 per GCD notes on 2176238
C 61397 gcd=109697 #4-4 0.95 | it also collects Batman Annual (DC 2017 series, 5 issues: GCD 109697) #4 per GCD notes on 2176238
I 61398 cv=617800 gcd=1731199 0.95 | "COL Batman - Deluxe Edition Book 01 (2017)" 379pp = CV 103802 / GCD 116109 Book 01 (isbn 978-1-4012-7132-9, 408pp; GCD roll-up Batman 2016 #1-15)
I 61399 cv=672247 gcd=1814646 0.95 | "COL Batman - Deluxe Edition Book 02 (2018)" 428pp = CV 103802 / GCD 116109 Book 02 (isbn 978-1-4012-8035-2, 456pp; roll-up #16-32)
I 61400 cv=694099 gcd=1878692 0.95 | "COL Batman - Deluxe Edition Book 03 (2018)" 311pp = CV 103802 / GCD 116109 Book 03 (isbn 978-1-4012-8521-0, 328pp)
I 61402 cv=782557 gcd=- isbn=- 0.9 | "Batman - Deluxe Edition Book 05 (2020)" 278pp = CV 128991 "Batman: Deluxe Edition" issue 782557 "Book 5" (2020-07-27); GCD holds no deluxe row
I 61403 cv=954198 gcd=- isbn=- 0.9 | "Batman - Deluxe Edition Book 06 (2022)" 484pp = CV 128991 issue 954198 "Book 6" (2022-07-01); its stored GCD row (Fear State: Alpha roll-up) is another book's
I 61458 cv=- gcd=2157657 isbn=978-1-77950-556-9 0.9 | Tynion Vol. 01 Their Dark Designs (2020) 260pp = GCD 165285 #1 row 2157657 (collects #85 epilogue, #86-94, Secret Files #3)
I 61460 cv=- gcd=2229701 isbn=978-1-77951-063-1 0.9 | Tynion Vol. 03 Ghost Stories (2021) 172pp = GCD 165285 #3 row 2229701 (collects #101-105 + Annual #5)
I 61461 cv=- gcd=2262137 isbn=978-1-77951-198-0 0.9 | Tynion Vol. 04 The Cowardly Lot (2021) 165pp = GCD 165285 #4 row 2262137
I 61462 cv=942577 gcd=2394974 isbn=978-1-77951-524-7 0.95 | "Batman Vol. 05 - Fear State Saga (2022)" 310pp = CV 144512 "Batman: Fear State Saga" issue 942577 and GCD 184235 row 2394974 — an event collection over several titles
I 61478 cv=- gcd=2422055 isbn=978-1-77951-656-5 0.9 | Tynion-line Vol. 06 Abyss (2022) 169pp = GCD 165285 #6 row 2422055
I 61479 cv=953746 gcd=2446279 isbn=978-1-77951-797-5 0.95 | Batman: Shadow War (2022) = CV 145866 issue 953746 and GCD 191856 row 2446279 — an event collection

# --- Outsiders (2003) — the 1985-series Annual/Special turned into a split move
S 58099 cv=10415 gcd=11298 0.9 | CV 10415 "Outsiders" (DC 2003, 50, cached #1-50) = GCD 11298 (DC 2003-2007, 50); ladder 1-50 from "The Outsiders v3 (2003)" (#8-50 DeadmanWade/Novus rips) plus the #DC Events read-order second rips (#1-7, 21-25, 28-41 — "Looking for trouble", "Wanted", "The Insiders", "Crisis Intervention", "The Good Fight"), ComicInfo Volume 2003 / Count 50; the Judd Winick Book 01 collects #1-7; 0.9 for the 2007 Annual (its own record) and the two 1985-series books that leave by split
F 58099 split-needed | 57839, 57840 -> join S66029 — "Outsiders Annual 001 (1986)" 44pp = CV 40726 "The Outsiders Annual" issue 274606 / GCD 3162 row 40846 and "Outsiders Special 001 (1987)" 38pp = CV 27683 "The Outsiders Special" issue 169326 / GCD 3373 row 43789, both filed in DC\The Outsiders beside "The Outsiders v1 (1985)", are the 1985 series' companions (Dec 1986 / Jul 1987, inside its 1985-1988 run) — S66029 is that series
F 58099 wrong-cv-link | per-file CV 22453 (Outsiders 1993, 26) on 25/72 files is the wrong-relaunch stamp on the 2003-2007 read-order rips
I 57839 cv=274606 gcd=40846 0.95 | the 1985 series' Annual: CV issue 274606 is volume 40726 "The Outsiders Annual" (DC 1986, count 1)'s only issue and GCD issue 40846 is series 3162's only issue ([December] 1986, 52 pages), against our 44pp rip
I 57840 cv=169326 gcd=43789 0.95 | the 1985 series' Special: CV issue 169326 ("From Here to Infinity!", 1987-10-01) is volume 27683 "The Outsiders Special"'s only issue and GCD issue 43789 is series 3373's only issue ([July] 1987, 52 pages), against our 38pp rip
I 57906 cv=110518 gcd=353171 isbn=- 0.95 | "The Outsiders v3 Annual 01 (2007)" 42pp = CV 18696 "Outsiders Annual" (DC 2007, 1) issue 110518 and GCD 23566 row 353171 (2007-04-25, 52pp)
I 58000 cv=709704 gcd=1966693 isbn=978-1-4012-8851-8 0.95 | Book 01 "The Darker Side of Justice" 296pp = CV 119300 "The Outsiders by Judd Winick" (DC 2019, 1) issue 709704 and GCD 145562 row 1966693 (316pp)
C 58000 cv=10415 gcd=11298 #1-7 0.95 | Book 01 collects Outsiders (DC 2003-2007, 50 issues: CV 10415 / GCD 11298) #1-7 per GCD notes and roll-up on row 1966693 — the shelf's own run
C 58000 cv=19106 gcd=14380 #1-3 0.95 | Book 01 also collects Titans / Young Justice: Graduation Day (DC 2003, 3-issue mini: CV 19106 / GCD 14380) #1-3 per GCD notes and roll-up on row 1966693

# --- The Outsiders (1985) — the target of the 58099 split; first decision on this shelf
S 66029 cv=3455 gcd=2989 0.9 | CV 3455 "The Outsiders" (DC 1985, 28, cached #1-28) = GCD 2989 (DC 1985-1988, 28, per-file 22/22) agree on publisher, start year and count; our 22 files in "The Outsiders v1 (1985)" are #1-12, 19-28 dated 1985-1988 inside that span, ComicInfo Series "The Outsiders" / Publisher DC x22; 0.9 because the series' Annual (1986) and Special (1987) join from S58099 — each its own count-1 record (CV 40726 / GCD 3162, CV 27683 / GCD 3373)
F 66029 wrong-cv-link | per-file CV 10415 (Outsiders 2003, 50) on 16/22 files is the wrong-relaunch stamp on 1985-1988 issues; GCD per-file 2989 is right on all 22

# --- Deathstroke the Terminator (1991) — the 2016 #19 turned into a split move; R-104's C lines carried
S 5272 cv=9645 gcd=10465 0.9 | the 1991 run CV 9645 "Deathstroke the Terminator" (DC 1991, 61 = #0-60): the five trades whose GCD rows (88153: 1338945 … 1905239) collect "Deathstroke, the Terminator (1991)" #1-9, #10-13, #14-20, #21-25, #26-34 on s10465 (judged ranges agree), issue #13 and "Deathstroke 035-060 (1994-1996)" with Oa second rips of #48-50; GCD splits the run 10465 (#1-40) / 15127 / 15128 (#48-60), the majority by content being 10465 (L-363); 0.9 for Deathstroke Annual 001-004 (GCD 11010, its own record) and the 2016 #19 that leaves by split
F 5272 split-needed | 19101 -> join S2173 — "03 Deathstroke 019 (2017) (2 covers)" 26pp in "#DC Events\004 Major DC Events - Rebirth\006 Teen Titans - The Lazarus Contract (2017)" is Deathstroke (2016) #19 (per-file GCD 105634), a Lazarus Contract tie-in; S2173 is that run (S cv=93375 gcd=105634)
F 5272 needs-fetch cv=81226 | CV 81226 "Deathstroke the Terminator" 2015 (the five trades' own volume) is named from the rip only
N 5272 retract X-009's C lines on items 64306-64308 (cv=77678 gcd=83897, the 2014 Higgins run) and its "no-record-for-C" N lines on 64309-64310 (as R-104 asked): the trades collect the 1991 run, restated below
I 64306 cv=485491 gcd=1338945 isbn=978-1-4012-5428-5 0.95 | "COL Deathstroke the Terminator Vol. 01 - Assassins (2015)" 265pp = CV 81226 #1 issue 485491 "Volume One: Assassins" and GCD 88153 row 1338945 (2015-04-08, 276pp)
I 64307 cv=508866 gcd=1514274 isbn=978-1-4012-5842-9 0.95 | "COL Deathstroke the Terminator Vol. 02 - Sympathy for the Devil (2015)" 191pp = CV 81226 #2 issue 508866 and GCD 88153 row 1514274 (2015-12-23, 196pp)
I 64308 cv=628547 gcd=1742281 isbn=978-1-4012-6076-7 0.9 | "COL Deathstroke the Terminator Vol. 03 - Nuclear Winter (2017)" 258pp = CV 81226 #3 issue 628547 and GCD 88153 row 1742281 (2017-10-11, 276pp); 0.9 for the 18pp shortfall
I 64309 cv=669427 gcd=1806559 isbn=978-1-4012-7083-4 0.95 | "COL Deathstroke the Terminator Vol. 04 - Crash or Burn (2018)" 197pp = CV 81226 #4 issue 669427 and GCD 88153 row 1806559 (2018-05-09, 204pp)
I 64310 cv=697605 gcd=1905239 isbn=978-1-4012-8575-3 0.95 | "COL Deathstroke the Terminator Vol. 05 - World Tour (2018)" 237pp = CV 81226 #5 issue 697605 and GCD 88153 row 1905239 (2019-01-16, 244pp)
C 64306 cv=9645 gcd=10465 #1-9 0.95 | Assassins collects Deathstroke, the Terminator (DC 1991; CV 9645 61, GCD 10465 40) #1-9 per GCD row 1338945's roll-up (s10465 #1-9, 19 stories) and the judged range #1-9
C 64307 cv=9645 gcd=10465 #10-13 0.95 | Sympathy for the Devil collects Deathstroke, the Terminator (DC 1991; CV 9645, GCD 10465) #10-13 per GCD row 1514274's roll-up (+ Annual #1 on s11010) and the judged range #10-13
C 64308 cv=9645 gcd=10465 #14-20 0.95 | Nuclear Winter collects Deathstroke, the Terminator (DC 1991; CV 9645, GCD 10465) #14-20 per GCD row 1742281's notes and roll-up (+ Showcase '93 #6-11) and the judged range #14-20
C 64309 cv=9645 gcd=10465 #21-25 0.95 | Crash or Burn collects Deathstroke, the Terminator (DC 1991; CV 9645, GCD 10465) #21-25 per GCD row 1806559's notes and roll-up (+ Annual #2) and the judged range #21-25
C 64310 cv=9645 gcd=10465 #26-34 0.95 | World Tour collects Deathstroke, the Terminator (DC 1991; CV 9645, GCD 10465) #26-34 per GCD row 1905239's notes and roll-up (19 stories) and the judged range #26-34

# --- Deathstroke (2016) — the target of the 5272 split
S 2173 cv=93375 gcd=105634 0.95 | the Priest Deathstroke (2016): GCD roll-ups put Vol. 01-06 + 5.5 on Deathstroke (2016) #1-5, #6-11, #12-18, #21-25, #26-29, #30-35, #36-40 and Vol. 07 R.I.P. on #44-50 (all s105634) = CV 93375 (DC 2016, 50, cached #1-50) = GCD 105634 (2016-2020, 50); issue #19 (19101, the Lazarus Contract tie-in) joins from S5272 and sits inside both counts; 62885 and 64322 are two rips of Batman vs. Deathstroke (#30-35) — a duplicate, no cost
N 2173 flag #704 provider-disagrees (item 64322): CV's Fall of Slade #26-29 belongs to Vol. 05 (64321); Batman vs. Deathstroke collects #30-35 per GCD 1935827's notes and roll-up — the flag is answered, not a second run
I 62885 cv=703026 gcd=1935827 0.95 | "Batman vs. Deathstroke (2019)" 150pp is a second rip of Vol. 5.5 = CV 117573 "Batman vs. Deathstroke" (DC 2019, 1) issue 703026 and GCD 142242 row 1935827 (collects Deathstroke 2016 #30-35)
I 64322 cv=703026 gcd=1935827 isbn=9781401285890 0.95 | "COL Deathstroke Vol. 05.5 - Batman vs. Deathstroke (2019)" 150pp = CV 117573 (DC 2019, 1) issue 703026 and GCD 142242 row 1935827 (collects Deathstroke 2016 #30-35)
I 64317 cv=- gcd=1679647 isbn=978-1-4012-6823-7 0.9 | Vol. 01 The Professional (2017) 144pp = GCD 112600 "Deathstroke" (2017-2020) #1 row 1679647 (collects Rebirth #1 + #1-5)
I 64318 cv=- gcd=1720060 isbn=978-1-4012-7098-8 0.9 | Vol. 02 The Gospel of Slade (2017) 140pp = GCD 112600 #2 row 1720060 (collects #6-11)
I 64319 cv=- gcd=1742286 isbn=978-1-4012-7406-1 0.9 | Vol. 03 Twilight (2017) 166pp = GCD 112600 #3 row 1742286 (collects #12-18)
I 64320 cv=- gcd=1800691 isbn=978-1-4012-7547-1 0.9 | Vol. 04 Defiance (2018) 133pp = GCD 112600 #4 row 1800691 (collects #21-25)
I 64321 cv=- gcd=1858700 isbn=978-1-4012-7833-5 0.9 | Vol. 05 The Fall of Slade (2018) 144pp = GCD 112600 #5 row 1858700 (collects #26-29 + Annual #1)
I 64323 cv=- gcd=2017084 isbn=978-1-4012-9431-1 0.9 | Vol. 06 Arkham (2019) 138pp = GCD 112600 #6 row 2017084 (collects #36-40)
I 64324 cv=782558 gcd=2130920 0.95 | "COL Deathstroke Vol. 07 - R.I.P (2020)" 199pp = CV 128992 "Deathstroke: R.I.P." issue 782558 (TPB) and GCD 112600 #7 row 2130920 (collects #44-50)
