# X-024 — Black Clover, Black Lagoon, Blade of the Immortal (collected-line shelf, C OWED on every book),
# BLAME! Master Edition, Blank Canvas, Bleach. Same manga shape as X-022/X-023 for the non-C shelves: nearly
# every "linked" cv/gcd field is a reused stamp or points at a wrong volume/series, and the shelf header's own
# cv-issues/gcd-issues pools matched by ORDINAL position (#N suffix) are the real per-book records.

# S2676 Black Clover cv=90843 gcd=118484 0.95 — linked cv names a wrong volume (87078) throughout; linked gcd
# stamps header's own #9 id (1751664) across all 32 books. Header's 36-row pools by ordinal decide both ids.
I 42810 cv=532937 gcd=1751664 0.95 | ordinal #1 of CV 90843 / GCD 118484 header pools; linked cv 510185/87078 names a wrong volume
I 42831 cv=786544 gcd=2132149 isbn=978-1-9747-1501-5 0.95 | ordinal #22 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #22
I 42832 cv=815127 gcd=2159692 isbn=978-1-9747-1810-8 0.95 | ordinal #23 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #23
I 42833 cv=823858 gcd=2183730 isbn=978-1-9747-2000-2 0.95 | ordinal #24 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #24
I 42834 cv=847198 gcd=2221192 isbn=978-1-9747-2181-8 0.95 | ordinal #25 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #25
I 42835 cv=876669 gcd=2252575 isbn=978-1-9747-2337-9 0.95 | ordinal #26 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #26
I 42836 cv=892049 gcd=2273703 isbn=978-1-9747-2514-4 0.95 | ordinal #27 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #27
I 42837 cv=931903 gcd=2305522 isbn=978-1-9747-2718-6 0.95 | ordinal #28 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #28
I 42838 cv=931904 gcd=2410926 isbn=978-1-9747-3002-5 0.95 | ordinal #29 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #29
I 42839 cv=945965 gcd=2429702 isbn=978-1-9747-3231-9 0.95 | ordinal #30 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #30
I 42840 cv=959333 gcd=2473086 isbn=978-1-9747-3436-8 0.95 | ordinal #31 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #31
I 42841 cv=976565 gcd=2503747 isbn=978-1-9747-3625-6 0.95 | ordinal #32 of CV 90843 / GCD 118484 header pools; linked gcd 1751664 reuses #9's id, wrong for #32

# S2722 Black Lagoon cv=29248 gcd=44259 0.95 — linked cv names a wrong volume (50292) throughout; linked gcd
# stamps header's #1 id on v01-v03 then a wrong series (118638) on v04-v08 and another wrong series (140852)
# on v09. Header's 9-row pools by ordinal decide both ids.
I 40687 cv=180541 gcd=730044 isbn=978-1-4215-1382-9 0.95 | ordinal #1 of CV 29248 / GCD 44259 header pools; linked cv 345067/50292 names a wrong volume, linked gcd agrees here
I 40688 cv=180542 gcd=730045 isbn=978-1-4215-1891-6 0.95 | ordinal #2 of CV 29248 / GCD 44259 header pools; linked gcd 730044 reuses #1's id, wrong for #2
I 40689 cv=180543 gcd=730046 isbn=978-1-4215-1892-3 0.95 | ordinal #3 of CV 29248 / GCD 44259 header pools; linked gcd 730044 reuses #1's id, wrong for #3
I 40690 cv=180544 gcd=730047 isbn=978-1-4215-1893-0 0.95 | ordinal #4 of CV 29248 / GCD 44259 header pools; linked gcd 1817728/118638 names a wrong series
I 40691 cv=180545 gcd=730048 isbn=978-1-4215-1894-7 0.95 | ordinal #5 of CV 29248 / GCD 44259 header pools; linked gcd 1817728/118638 names a wrong series
I 40692 cv=222859 gcd=730049 isbn=978-1-4215-1981-4 0.95 | ordinal #6 of CV 29248 / GCD 44259 header pools; linked gcd 1817728/118638 names a wrong series
I 40693 cv=224416 gcd=730050 isbn=978-1-4215-2456-6 0.95 | ordinal #7 of CV 29248 / GCD 44259 header pools; linked gcd 1817728/118638 names a wrong series
I 40694 cv=197085 gcd=730051 isbn=978-1-4215-2779-6 0.95 | ordinal #8 of CV 29248 / GCD 44259 header pools; linked gcd 1817728/118638 names a wrong series
I 40695 cv=224417 gcd=768599 isbn=978-1-4215-3629-3 0.95 | ordinal #9 of CV 29248 / GCD 44259 header pools; linked gcd 1926239/140852 names a wrong series

# S23118 Blade of the Immortal cv=9069 gcd=42164 0.9 — the shelf's own S identity IS the collected line: CV
# 9069 is the single Dark Horse floppy serialisation (the RUN, issues numbered continuously) while GCD 42164
# splits it into 31 per-volume collected-edition rows, so both ids sit on the shelf's S line together. Every
# book here carries C OWED because its judged range is in the FLOPPY run's own issue numbering (cv=9069), a
# different numbering than "volume N of 31" — the shelf's own header already names the RUN this way. Each
# book's own record (I) is its GCD collected-volume row, matched to the filename's own subtitle (e.g. v02 =
# "Cry of the Worm" = GCD's row titled "Cry of the Worm") — the linked field only gets #1 right (711117) and
# then reuses that same id ("st3 title") on every later book, so ordinal position + subtitle match decide.
# Volumes #1-11 carry a TWIN GCD row (e.g. 711117/2087142, same ISBN) — capped at 0.9 and named. ComicVine
# mints no separate trade-volume id (only the floppy issues under 9069), so cv=- on every I line; the C line
# carries cv=9069 with the book's own judged range (already in the floppy run's own numbering, continuous and
# ascending #0-206 across the 31 books — the arithmetic that lets it be a C rather than a guess).
I 41679 cv=- gcd=711117 0.9 | GCD 42164#1 "Blood of a Thousand" matches this book's own filename subtitle; header lists a TWIN row 2087142 same ISBN, capped
C 41679 cv=9069 #0-2 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #0-2 is the run's own issue numbering, not "vol 1 of 31"
I 41680 cv=- gcd=711118 0.9 | GCD 42164#2 "Cry of the Worm" matches this book's own filename subtitle; header lists a TWIN row 2087140 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41680 cv=9069 #3-6 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #3-6 is the run's own issue numbering, not "vol 2 of 31"
I 41681 cv=- gcd=711119 0.9 | GCD 42164#3 "Dreamsong" matches this book's own filename subtitle; header lists a TWIN row 2087141 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41681 cv=9069 #7-11 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #7-11 is the run's own issue numbering, not "vol 3 of 31"
I 41682 cv=- gcd=711120 0.9 | GCD 42164#4 "On Silent Wings" matches this book's own filename subtitle; header lists a TWIN row 2087139 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41682 cv=9069 #12-15 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #12-15 is the run's own issue numbering, not "vol 4 of 31"
I 41683 cv=- gcd=711121 0.9 | GCD 42164#5 "On Silent Wings II" matches this book's own filename subtitle; header lists a TWIN row 2087138 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41683 cv=9069 #16-20 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #16-20 is the run's own issue numbering, not "vol 5 of 31"
I 41684 cv=- gcd=711122 0.9 | GCD 42164#6 "Dark Shadows" matches this book's own filename subtitle; header lists a TWIN row 2087144 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41684 cv=9069 #21-24 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #21-24 is the run's own issue numbering, not "vol 6 of 31"
I 41685 cv=- gcd=711123 0.9 | GCD 42164#7 "Heart of Darkness" matches this book's own filename subtitle; header lists a TWIN row 2087137 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41685 cv=9069 #25-31 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #25-31 is the run's own issue numbering, not "vol 7 of 31"
I 41686 cv=- gcd=711124 0.9 | GCD 42164#8 "The Gathering" matches this book's own filename subtitle; header lists a TWIN row 2087136 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41686 cv=9069 #32-39 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #32-39 is the run's own issue numbering, not "vol 8 of 31"
I 41687 cv=- gcd=711125 0.9 | GCD 42164#9 "The Gathering Part II" matches this book's own filename subtitle; header lists a TWIN row 2087143 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41687 cv=9069 #40-45 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #40-45 is the run's own issue numbering, not "vol 9 of 31"
I 41688 cv=- gcd=711126 0.9 | GCD 42164#10 "Secrets" matches this book's own filename subtitle; header lists a TWIN row 2087135 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41688 cv=9069 #46-52 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #46-52 is the run's own issue numbering, not "vol 10 of 31"
I 41689 cv=- gcd=711127 0.9 | GCD 42164#11 "Beasts" matches this book's own filename subtitle; header lists a TWIN row 2087134 same ISBN, capped; linked gcd 711117 wrongly reuses #1's id
C 41689 cv=9069 #53-57 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #53-57 is the run's own issue numbering, not "vol 11 of 31"
I 41690 cv=- gcd=711128 0.9 | GCD 42164#12 "Autumn Frost" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41690 cv=9069 #58-65 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #58-65 is the run's own issue numbering, not "vol 12 of 31"
I 41691 cv=- gcd=711129 0.9 | GCD 42164#13 "Mirror of the Soul" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41691 cv=9069 #66-74 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #66-74 is the run's own issue numbering, not "vol 13 of 31"
I 41692 cv=- gcd=711130 0.9 | GCD 42164#14 "Last Blood" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41692 cv=9069 #75-83 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #75-83 is the run's own issue numbering, not "vol 14 of 31"
I 41693 cv=- gcd=711131 0.9 | GCD 42164#15 "Trickster" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41693 cv=9069 #84-91 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #84-91 is the run's own issue numbering, not "vol 15 of 31"
I 41694 cv=- gcd=711132 0.9 | GCD 42164#16 "Shortcut" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41694 cv=9069 #92-98 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #92-98 is the run's own issue numbering, not "vol 16 of 31"
I 41695 cv=- gcd=711133 0.9 | GCD 42164#17 "On the Perfection of Anatomy" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41695 cv=9069 #99-104 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #99-104 is the run's own issue numbering, not "vol 17 of 31"
I 41696 cv=- gcd=711134 0.9 | GCD 42164#18 "The Sparrow Net" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41696 cv=9069 #105-113 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #105-113 is the run's own issue numbering, not "vol 18 of 31"
I 41697 cv=- gcd=711135 0.9 | GCD 42164#19 "Badger Hole" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41697 cv=9069 #114-118 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #114-118 is the run's own issue numbering, not "vol 19 of 31"
I 41698 cv=- gcd=711136 0.9 | GCD 42164#20 "Demon Lair" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41698 cv=9069 #119-127 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #119-127 is the run's own issue numbering, not "vol 20 of 31"
I 41699 cv=- gcd=711137 0.9 | GCD 42164#21 "Demon Lair II" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41699 cv=9069 #128-134 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #128-134 is the run's own issue numbering, not "vol 21 of 31"
I 41700 cv=- gcd=711138 0.9 | GCD 42164#22 "Footsteps" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41700 cv=9069 #135-141 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #135-141 is the run's own issue numbering, not "vol 22 of 31"
I 41701 cv=- gcd=802907 0.9 | GCD 42164#23 "Scarlet Swords" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41701 cv=9069 #142-148 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #142-148 is the run's own issue numbering, not "vol 23 of 31"
I 41702 cv=- gcd=888680 0.9 | GCD 42164#24 "Massacre" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41702 cv=9069 #149-155 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #149-155 is the run's own issue numbering, not "vol 24 of 31"
I 41703 cv=- gcd=976023 0.9 | GCD 42164#25 "Snowfall at Dawn" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41703 cv=9069 #156-162 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #156-162 is the run's own issue numbering, not "vol 25 of 31"
I 41704 cv=- gcd=1041886 0.9 | GCD 42164#26 "Blizzard" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41704 cv=9069 #163-169 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #163-169 is the run's own issue numbering, not "vol 26 of 31"
I 41705 cv=- gcd=1106721 0.9 | GCD 42164#27 "Mist on the Spider's Web" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41705 cv=9069 #170-177 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #170-177 is the run's own issue numbering, not "vol 27 of 31"
I 41706 cv=- gcd=1174522 0.9 | GCD 42164#28 "Raining Chaos" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41706 cv=9069 #178-184 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #178-184 is the run's own issue numbering, not "vol 28 of 31"
I 41707 cv=- gcd=1325306 0.9 | GCD 42164#29 "Beyond Good and Evil" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41707 cv=9069 #185-191 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #185-191 is the run's own issue numbering, not "vol 29 of 31"
I 41708 cv=- gcd=1325307 0.9 | GCD 42164#30 "Vigilance" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41708 cv=9069 #192-197 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #192-197 is the run's own issue numbering, not "vol 30 of 31"
I 41709 cv=- gcd=1325308 0.9 | GCD 42164#31 "Final Curtain" matches this book's own filename subtitle, no twin row; linked gcd 711117 wrongly reuses #1's id
C 41709 cv=9069 #198-206 0.95 | Dark Horse floppy run CV 9069 "Blade of the Immortal" 1996-2015; this volume's judged range #198-206 is the run's own issue numbering, not "vol 31 of 31"

# S1737 BLAME! Master Edition cv=92416 gcd=108568 0.95 — linked cv names a wrong volume (137182) throughout;
# linked gcd stamps header's #1 id on v01-v02 then a wrong series (119308) on v03-v06. Header's 6-row pools
# by ordinal decide both ids.
I 40761 cv=540365 gcd=1641004 isbn=9781942993773 0.95 | ordinal #1 of CV 92416 / GCD 108568 header pools; linked cv 865711/137182 names a wrong volume, linked gcd agrees here
I 40762 cv=566558 gcd=1772728 0.95 | ordinal #2 of CV 92416 / GCD 108568 header pools; linked gcd 1641004 reuses #1's id, wrong for #2
I 40763 cv=588423 gcd=1772729 isbn=978-1-942993-79-7 0.95 | ordinal #3 of CV 92416 / GCD 108568 header pools; linked gcd 1767396/119308 names a wrong series
I 40764 cv=602959 gcd=1772730 0.95 | ordinal #4 of CV 92416 / GCD 108568 header pools; linked gcd 1767396/119308 names a wrong series
I 40765 cv=621783 gcd=1772731 0.95 | ordinal #5 of CV 92416 / GCD 108568 header pools; linked gcd 1767396/119308 names a wrong series
I 40766 cv=646288 gcd=1772732 isbn=978-1942993827 0.95 | ordinal #6 of CV 92416 / GCD 108568 header pools; linked gcd 1767396/119308 names a wrong series

# S2911 Blank Canvas - My So-Called Artist's Journey cv=119122 gcd=145478 0.95 — linked cv agrees with the
# header ordinally on every book (no wrong-volume shape here); linked gcd is simply missing ("-/- st2 ?") on
# every book. Header's 5-row gcd-issues pool by ordinal supplies the id the linker never found.
I 43069 cv=709038 gcd=1964891 isbn=978-1-642750-69-0 0.95 | ordinal #1 of CV 119122 / GCD 145478 header pools, linked cv agrees; linked gcd was never resolved (-/- st2)
I 43070 cv=716706 gcd=2011066 isbn=978-1-642750-70-6 0.95 | ordinal #2 of CV 119122 / GCD 145478 header pools, linked cv agrees; linked gcd was never resolved (-/- st2)
I 43071 cv=728092 gcd=2042580 isbn=978-1-642750-71-3 0.95 | ordinal #3 of CV 119122 / GCD 145478 header pools, linked cv agrees; linked gcd was never resolved (-/- st2)
I 43072 cv=743242 gcd=2096591 isbn=978-1-642750-72-0 0.95 | ordinal #4 of CV 119122 / GCD 145478 header pools, linked cv agrees; linked gcd was never resolved (-/- st2)
I 43073 cv=767743 gcd=2126580 isbn=978-1-642750-73-7 0.95 | ordinal #5 of CV 119122 / GCD 145478 header pools, linked cv agrees; linked gcd was never resolved (-/- st2)

# S2918 Bleach cv=34586 gcd=27557 0.95 — linked cv names a wrong volume (51841) on every one of the 67 books;
# linked gcd cycles through several wrong series (672476/39094, 769477/51385, 565303/33596) and later a
# reused header id (392968, header's #13) with occasional strays back to #1/#2's ids. Header's 74-row
# cv/gcd-issues pools by ordinal (matched here through v67) decide both ids throughout.
I 42418 cv=225843 gcd=392956 0.95 | ordinal #1 of CV 34586 / GCD 27557 header pools, linked gcd agrees here by chance
I 42419 cv=225844 gcd=392957 0.95 | ordinal #2 of CV 34586 / GCD 27557 header pools; linked cv 559355/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42420 cv=260802 gcd=392958 0.95 | ordinal #3 of CV 34586 / GCD 27557 header pools; linked cv 559356/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42421 cv=260818 gcd=392959 0.95 | ordinal #4 of CV 34586 / GCD 27557 header pools; linked cv 559357/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42422 cv=263628 gcd=392960 isbn=1-59116-445-1 0.95 | ordinal #5 of CV 34586 / GCD 27557 header pools; linked cv 559358/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42423 cv=263629 gcd=392961 isbn=1-59116-728-0 0.95 | ordinal #6 of CV 34586 / GCD 27557 header pools; linked cv 559359/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42424 cv=263630 gcd=392962 isbn=1-59116-807-4 0.95 | ordinal #7 of CV 34586 / GCD 27557 header pools; linked cv 559360/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42425 cv=263631 gcd=392963 isbn=1-59116-872-4 0.95 | ordinal #8 of CV 34586 / GCD 27557 header pools; linked cv 559361/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42426 cv=263632 gcd=392964 isbn=1-59116-924-0 0.95 | ordinal #9 of CV 34586 / GCD 27557 header pools; linked cv 559362/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42427 cv=263633 gcd=392965 isbn=1-4215-0081-7 0.95 | ordinal #10 of CV 34586 / GCD 27557 header pools; linked cv 355767/51841 names a wrong volume, linked gcd 392956 reuses #1's id
I 42428 cv=263639 gcd=392966 isbn=1-4215-0271-2 0.95 | ordinal #11 of CV 34586 / GCD 27557 header pools; linked cv 559363/51841 names a wrong volume, linked gcd 672476/39094 names a wrong series
I 42429 cv=263640 gcd=392967 isbn=1-4215-0403-0 0.95 | ordinal #12 of CV 34586 / GCD 27557 header pools; linked gcd 672476/39094 names a wrong series
I 42430 cv=263641 gcd=392968 isbn=1-4215-0611-4 0.95 | ordinal #13 of CV 34586 / GCD 27557 header pools; linked gcd 672476/39094 names a wrong series
I 42431 cv=263643 gcd=392969 isbn=1-4215-0612-2 0.95 | ordinal #14 of CV 34586 / GCD 27557 header pools; linked gcd 672476/39094 names a wrong series
I 42432 cv=263645 gcd=392970 isbn=1-4215-0613-0 0.95 | ordinal #15 of CV 34586 / GCD 27557 header pools; linked gcd 672476/39094 names a wrong series
I 42433 cv=263646 gcd=392971 isbn=1-4215-0614-9 0.95 | ordinal #16 of CV 34586 / GCD 27557 header pools; linked gcd 672476/39094 names a wrong series
I 42434 cv=263647 gcd=392972 isbn=1-4215-1041-3 0.95 | ordinal #17 of CV 34586 / GCD 27557 header pools; linked gcd 769477/51385 names a wrong series
I 42435 cv=263648 gcd=392973 isbn=978-1-4215-1042-2 0.95 | ordinal #18 of CV 34586 / GCD 27557 header pools; linked gcd 769477/51385 names a wrong series
I 42436 cv=263649 gcd=392974 isbn=1-4215-1043-X 0.95 | ordinal #19 of CV 34586 / GCD 27557 header pools; linked gcd 769477/51385 names a wrong series
I 42437 cv=263650 gcd=392975 isbn=1-4215-1044-8 0.95 | ordinal #20 of CV 34586 / GCD 27557 header pools; linked gcd 769477/51385 names a wrong series
I 42438 cv=263687 gcd=392976 isbn=1-4215-1165-7 0.95 | ordinal #21 of CV 34586 / GCD 27557 header pools; linked gcd 769477/51385 names a wrong series
I 42439 cv=263689 gcd=586659 isbn=1-4215-1179-7 0.95 | ordinal #22 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42440 cv=263690 gcd=586660 isbn=978-1-4215-1541-0 0.95 | ordinal #23 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42441 cv=263691 gcd=623401 isbn=978-1-4215-1603-5 0.95 | ordinal #24 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42442 cv=263692 gcd=623402 isbn=1-4215-1796-5 0.95 | ordinal #25 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42443 cv=263693 gcd=623403 isbn=978-1-4215-2384-2 0.95 | ordinal #26 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42444 cv=263694 gcd=676357 isbn=978-1-4215-2385-9 0.95 | ordinal #27 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
I 42445 cv=263695 gcd=676358 isbn=978-1-4215-2386-6 0.95 | ordinal #28 of CV 34586 / GCD 27557 header pools; linked gcd 565303/33596 names a wrong series
