# R-053 — the P-013 split's shelves in pair groups: the legacy Amazing Spider-Man and its four later runs, Wolverine (1988) and its seven
# siblings, X-Men (1991) and its eleven siblings, plus the Day of the Atom revisit. Most shelves were read before (R-026..R-050, C-035..C-064);
# this pass re-reads each after the joins landed, restates its identity, and re-declares every book line on it (I lines are never optional).
# Surprises: (1) the Amazing Spider-Man legacy title has no single record on either leg — CV 2127 spans 1963 #1-441 + 2003 #500-700 and keeps
# the 1999 #1-58 apart (CV 78701), GCD spans 1999 #1-58 + #500-700 as 11288 and keeps 1963-1998 as 1570; (2) the X-Men Omnibus files carry
# crossed ComicInfo Web ids — page count decides (Book 01 771pp = Volume 1 776pp, Book 02 905pp = Volume Two 920pp); (3) the 2022 ASM shelf
# now holds the run, not the Zeb Wells trade line C-035 gave it.

# ---- Amazing Spider-Man ---------------------------------------------------------------------------------------------------------------

S 64133 cv=2127 gcd=1570 0.9 | the KEPT legacy shelf: "01 Amazing Spider-Man v1 (1963)" #1-441 (1963-1998) + "03 ... v1 (2003)" #500-700 incl. 654.1/679.1/699.1 = CV 2127 "The Amazing Spider-Man" (Marvel 1963, 651 = 441 + the #500-700.x stretch, cached 651) whose span is exactly our ladder 1-441 + 500-700; GCD 1570 (Marvel 1963-1998, 443) is the same run's first 441 numbers (379 per-file links); ComicInfo Volume "1963" x7, Count "681", Web 64599/64433; residue that is a different comic caps 0.9: the Annual #1-42 (38 files, own series CV 2189 / GCD 1635), four Facsimile Editions (own one-shot records), and the 1999 v2 #20-58 (see N)
I 93850 cv=7502 gcd=18845 0.9 | "Amazing Spider-Man Annual 002 (1965)" 27pp = The Amazing Spider-Man Annual #2: CV 2189 (Marvel 1964, 33) issue 7502 and GCD 1635 (1964-1994, 28) row 18845 (76pp); our 27pp is the digital release without the 76pp print's reprint back-matter
I 93851 cv=8905 gcd=20468 0.9 | "Amazing Spider-Man Annual 003 (1966)" 23pp = The Amazing Spider-Man Annual #3: CV 2189 (Marvel 1964, 33) issue 8905 and GCD 1635 (1964-1994, 28) row 20468 (76pp); our 23pp is the digital release without the 76pp print's reprint back-matter
I 93852 cv=9714 gcd=21403 0.95 | "Amazing Spider-Man Annual 004 (1967)" 52pp = The Amazing Spider-Man Annual #4: CV 2189 (Marvel 1964, 33) issue 9714 and GCD 1635 (1964-1994, 28) row 21403 (68pp)
I 93853 cv=111514 gcd=22288 0.95 | "Amazing Spider-Man Annual 005 (1968)" 49pp = The Amazing Spider-Man Annual #5: CV 2189 (Marvel 1964, 33) issue 111514 and GCD 1635 (1964-1994, 28) row 22288 (68pp)
I 93854 cv=10484 gcd=23067 0.95 | "Amazing Spider-Man Annual 006 (1969)" 54pp = The Amazing Spider-Man Annual #6: CV 2189 (Marvel 1964, 33) issue 10484 and GCD 1635 (1964-1994, 28) row 23067 (68pp)
I 93855 cv=11125 gcd=23865 0.95 | "Amazing Spider-Man Annual 007 (1970)" 67pp = The Amazing Spider-Man Annual #7: CV 2189 (Marvel 1964, 33) issue 11125 and GCD 1635 (1964-1994, 28) row 23865 (68pp)
I 93856 cv=11811 gcd=24673 0.95 | "Amazing Spider-Man Annual 008 (1971)" 66pp = The Amazing Spider-Man Annual #8: CV 2189 (Marvel 1964, 33) issue 11811 and GCD 1635 (1964-1994, 28) row 24673 (68pp)
I 93857 cv=12781 gcd=25777 0.95 | "Amazing Spider-Man Annual 009 (1973)" 52pp = The Amazing Spider-Man Annual #9: CV 2189 (Marvel 1964, 33) issue 12781 and GCD 1635 (1964-1994, 28) row 25777 (52pp)
I 93858 cv=15930 gcd=29389 0.95 | "Amazing Spider-Man Annual 010 (1976)" 37pp = The Amazing Spider-Man Annual #10: CV 2189 (Marvel 1964, 33) issue 15930 and GCD 1635 (1964-1994, 28) row 29389 (52pp)
I 93859 cv=17035 gcd=30600 0.95 | "Amazing Spider-Man Annual 011 (1977)" 36pp = The Amazing Spider-Man Annual #11: CV 2189 (Marvel 1964, 33) issue 17035 and GCD 1635 (1964-1994, 28) row 30600 (52pp)
I 93860 cv=18107 gcd=31806 0.95 | "Amazing Spider-Man Annual 012 (1978)" 44pp = The Amazing Spider-Man Annual #12: CV 2189 (Marvel 1964, 33) issue 18107 and GCD 1635 (1964-1994, 28) row 31806 (52pp)
I 93861 cv=19111 gcd=32939 0.95 | "Amazing Spider-Man Annual 013 (1979)" 36pp = The Amazing Spider-Man Annual #13: CV 2189 (Marvel 1964, 33) issue 19111 and GCD 1635 (1964-1994, 28) row 32939 (52pp)
I 93862 cv=20047 gcd=33997 0.95 | "Amazing Spider-Man Annual 014 (1980)" 36pp = The Amazing Spider-Man Annual #14: CV 2189 (Marvel 1964, 33) issue 20047 and GCD 1635 (1964-1994, 28) row 33997 (52pp)
I 93863 cv=20919 gcd=34987 0.95 | "Amazing Spider-Man Annual 015 (1981)" 31pp = The Amazing Spider-Man Annual #15: CV 2189 (Marvel 1964, 33) issue 20919 and GCD 1635 (1964-1994, 28) row 34987 (52pp)
I 93864 cv=21812 gcd=35973 0.95 | "Amazing Spider-Man Annual 016 (1982)" 39pp = The Amazing Spider-Man Annual #16: CV 2189 (Marvel 1964, 33) issue 21812 and GCD 1635 (1964-1994, 28) row 35973 (52pp)
I 93865 cv=22738 gcd=36995 0.95 | "Amazing Spider-Man Annual 017 (1983)" 40pp = The Amazing Spider-Man Annual #17: CV 2189 (Marvel 1964, 33) issue 22738 and GCD 1635 (1964-1994, 28) row 36995 (52pp)
I 93866 cv=64426 gcd=83356 0.95 | "Amazing Spider-Man Annual 018 (1984)" 40pp = The Amazing Spider-Man Annual #18: CV 2189 (Marvel 1964, 33) issue 64426 and GCD 1635 (1964-1994, 28) row 83356 (52pp)
I 93867 cv=64427 gcd=83357 0.95 | "Amazing Spider-Man Annual 019 (1985)" 41pp = The Amazing Spider-Man Annual #19: CV 2189 (Marvel 1964, 33) issue 64427 and GCD 1635 (1964-1994, 28) row 83357 (52pp)
I 93868 cv=112515 gcd=83358 0.95 | "Amazing Spider-Man Annual 020 (1986)" 40pp = The Amazing Spider-Man Annual #20: CV 2189 (Marvel 1964, 33) issue 112515 and GCD 1635 (1964-1994, 28) row 83358 (52pp)
I 93869 cv=27607 gcd=42309 0.95 | "Amazing Spider-Man Annual 021 (1987)" 44pp = The Amazing Spider-Man Annual #21: CV 2189 (Marvel 1964, 33) issue 27607 and GCD 1635 (1964-1994, 28) row 42309 (52pp)
I 93870 cv=64428 gcd=83359 0.95 | "Amazing Spider-Man Annual 022 (1988)" 52pp = The Amazing Spider-Man Annual #22: CV 2189 (Marvel 1964, 33) issue 64428 and GCD 1635 (1964-1994, 28) row 83359 (68pp)
I 87238 cv=64428 gcd=83359 0.95 | "005 Amazing Spider-Man Annual 022 (1988)" 52pp, the X-Men Complete Chronology second rip = The Amazing Spider-Man Annual #22: CV 2189 issue 64428 and GCD 1635 row 83359 (68pp)
I 87349 cv=30692 gcd=45652 0.95 | "004 Amazing Spider-Man Annual 023 (1989)" 57pp = The Amazing Spider-Man Annual #23: CV 2189 (Marvel 1964, 33) issue 30692 and GCD 1635 (1964-1994, 28) row 45652 (68pp)
I 93872 cv=112516 gcd=83360 0.95 | "Amazing Spider-Man Annual 024 (1990)" 56pp = The Amazing Spider-Man Annual #24: CV 2189 (Marvel 1964, 33) issue 112516 and GCD 1635 (1964-1994, 28) row 83360 (68pp)
I 93873 cv=64429 gcd=83361 0.95 | "Amazing Spider-Man Annual 025 (1991)" 55pp = The Amazing Spider-Man Annual #25: CV 2189 (Marvel 1964, 33) issue 64429 and GCD 1635 (1964-1994, 28) row 83361 (68pp)
I 93874 cv=64430 gcd=83362 0.95 | "Amazing Spider-Man Annual 026 (1992)" 55pp = The Amazing Spider-Man Annual #26: CV 2189 (Marvel 1964, 33) issue 64430 and GCD 1635 (1964-1994, 28) row 83362 (68pp)
I 93884 cv=163390 gcd=- 0.9 | "Amazing Spider-Man Annual 035 (2008)" 39pp = The Amazing Spider-Man Annual #35: CV 2189 (Marvel 1964, 33 incl. #35-39) issue 163390; GCD 1635 stops at #28 (1994), its later annuals are not in our dump
I 93885 cv=163378 gcd=- 0.9 | "Amazing Spider-Man Annual 036 (2009)" 39pp = The Amazing Spider-Man Annual #36: CV 2189 (Marvel 1964, 33 incl. #35-39) issue 163378; GCD 1635 stops at #28 (1994), its later annuals are not in our dump
I 93886 cv=216118 gcd=- 0.9 | "Amazing Spider-Man Annual 037 (2010)" 40pp = The Amazing Spider-Man Annual #37: CV 2189 (Marvel 1964, 33 incl. #35-39) issue 216118; GCD 1635 stops at #28 (1994), its later annuals are not in our dump
I 93887 cv=267578 gcd=- 0.9 | "Amazing Spider-Man Annual 038 (2011)" 34pp = The Amazing Spider-Man Annual #38: CV 2189 (Marvel 1964, 33 incl. #35-39) issue 267578; GCD 1635 stops at #28 (1994), its later annuals are not in our dump
I 91734 cv=267578 gcd=- 0.9 | "001 Amazing Spider-Man Annual 038 (2011)" 34pp, the chronology second rip = The Amazing Spider-Man Annual #38: CV 2189 issue 267578; no GCD row in our dump
I 93888 cv=337485 gcd=- 0.9 | "Amazing Spider-Man Annual 039 (2012)" 44pp = The Amazing Spider-Man Annual #39: CV 2189 (Marvel 1964, 33 incl. #35-39) issue 337485; GCD 1635 stops at #28 (1994), its later annuals are not in our dump
I 93889 cv=472898 gcd=1288713 0.95 | "Amazing Spider-Man Annual 040 (2015)" 29pp = CV 78715 "Amazing Spider-Man Annual" (2014, 1) issue 472898 and GCD 85112 (2015, 1) row 1288713 (40pp, 2014-12-10) — the 2014 relaunch's annual under its legacy number
I 93890 cv=558953 gcd=1653342 0.95 | "Amazing Spider-Man Annual 041 (2017)" 36pp = CV 95808 "Amazing Spider-Man Annual" (2016, 2) #1 issue 558953 and GCD 109549 (2017-2018, 2) #1 row 1653342 (40pp, 2016-11-23)
I 93891 cv=660005 gcd=1785543 0.95 | "Amazing Spider-Man Annual 042 (2018)" 41pp = CV 95808 #42 issue 660005 and GCD 109549 #42 row 1785543 (56pp, 2018-02-14) — printed with the legacy number 42
N 93877 "Amazing Spider-Man Annual 029 (1995)" and 93878 "030 (1996)", 93881 "032 (1999)", 93882 "033 (2000)", 93883 "034 (2001)" — no record in our data: CV 2189 lists #1-28 then #35-39 and GCD 1635 stops at #28, so the 1995-2001 annuals ('96/'97/'99-'01 specials) are missing on both legs

S 95051 cv=112161 gcd=126774 0.9 | the 2018 Nick Spencer run: split reader's stored CV 112161 CONFIRMED = "The Amazing Spider-Man" (Marvel 2018, 106) and GCD 126774 (Marvel 2018-2022, 106), both 2018 starts; the joined files fit only this run's numbering — "#37, #44-49 (2020)" Sins Rising and "#70-74 (2021)" Sinister War — and the fifteen "Amazing Spider-Man Vol. 01-15" trades' GCD notes all name "Amazing Spider-Man (Marvel, 2018 series)" (#6-10 … #48-49); ComicInfo Volume "2018" x10; the trades and the Spencer Omnibus (two rips) are the run's own editions and cost nothing; 0.9 for the two Annuals (own volume CV 113685 / GCD 129796)
N 95051 the per-file CV 2127 stamp on 12/31 files is the legacy-number trap (L-174): #37-74 dated 2020-2021 read as the 1963 volume's numbers; flag #151 (label-ambiguous, items 94755/118417 are two rips of Vol. 06) is not a conflated/overlap flag and needs no stale-flag claim
I 94750 cv=693455 gcd=1876644 isbn=9781302912314 0.95 | Vol. 01 Back to Basics 149pp = CV 115556 "Amazing Spider-Man by Nick Spencer" #1 issue 693455 and GCD 134601 #1 row 1876644 (156pp)
I 94751 cv=701299 gcd=1925568 isbn=9781302912321 0.95 | Vol. 02 Friends and Foes 122pp = CV 115556 #2 issue 701299 and GCD 134601 #2 row 1925568 (notes: Amazing Spider-Man 2018 #6-10)
I 94752 cv=707504 gcd=1955533 isbn=9781302914332 0.95 | Vol. 03 Lifetime Achievement 113pp = CV 115556 #3 issue 707504 and GCD 134601 #3 row 1955533 (notes: #11-15)
I 94753 cv=716351 gcd=2009604 isbn=9781302914349 0.95 | Vol. 04 Hunted 299pp = CV 115556 #4 issue 716351 and GCD 134601 #4 row 2009604 (308pp, #16-23 + #16.HU/#18.HU)
I 94754 cv=723754 gcd=2028276 isbn=9781302914356 0.95 | Vol. 05 Behind the Scenes 154pp = CV 115556 #5 issue 723754 and GCD 134601 #5 row 2028276 (notes: #24-28)
I 94755 cv=731984 gcd=2125379 0.95 | Vol. 06 Absolute Carnage 108pp = CV 115556 #6 issue 731984 "Volume 6: Absolute Carnage" and GCD 134601 #6 row 2125379 (notes: #29-31 + Red Goblin: Red Death #1)
C 94755 cv=112161 gcd=126774 #29-31 0.95 | Absolute Carnage collects The Amazing Spider-Man (Marvel 2018, 106; CV 112161 / GCD 126774) #29-31 per the GCD notes of row 2125379 — the joined trade's range in this shelf's run
I 118417 cv=731984 gcd=2125379 0.95 | "The Amazing Spider-Man v06 - Absolute Carnage (2020)" 108pp, the second rip of Vol. 06 (flag #151's pair) = CV 115556 #6 issue 731984 and GCD 134601 #6 row 2125379
C 118417 cv=112161 gcd=126774 #29-31 0.95 | the second rip of Absolute Carnage collects The Amazing Spider-Man (Marvel 2018, 106) #29-31 per the GCD notes of row 2125379
I 94756 cv=751961 gcd=2125378 isbn=9781302920227 0.95 | Vol. 07 2099 112pp = CV 115556 #7 issue 751961 and GCD 134601 #7 row 2125378 (notes: #32-36)
I 94759 cv=816734 gcd=2163394 isbn=9781302920241 0.95 | Vol. 09 Sins Rising 138pp = CV 115556 #9 issue 816734 and GCD 134601 #9 row 2163394
I 94760 cv=820809 gcd=2233301 isbn=9781302920258 0.95 | Vol. 10 Green Goblin Returns 160pp = CV 115556 #10 issue 820809 and GCD 134601 #10 row 2233301 (notes: #48-49 + Sins of Norman Osborn #1)
I 94761 cv=832888 gcd=2233337 isbn=9781302925871 0.95 | Vol. 11 Last Remains 164pp = CV 115556 #11 issue 832888 and GCD 134601 #11 row 2233337
I 94763 cv=856173 gcd=2233353 isbn=9781302926052 0.95 | Vol. 12 Shattered Web 128pp = CV 115556 #12 issue 856173 and GCD 134601 #12 row 2233353
I 94764 cv=879512 gcd=2253645 isbn=9781302926069 0.95 | Vol. 13 King's Ransom 166pp = CV 115556 #13 issue 879512 and GCD 134601 #13 row 2253645
I 94765 cv=883352 gcd=2258752 isbn=9781302926076 0.95 | Vol. 14 Chameleon Conspiracy 143pp = CV 115556 #14 issue 883352 and GCD 134601 #14 row 2258752
I 94767 cv=914732 gcd=2277478 isbn=9781302926083 0.95 | Vol. 15 What Cost Victory 174pp = CV 115556 #15 issue 914732 and GCD 134601 #15 row 2277478 (180pp)
I 94770 cv=685832 gcd=1849459 0.95 | "Amazing Spider-Man Annual 001 (2018)" 34pp = CV 113685 "Amazing Spider-Man Annual" (2018, 2) #1 issue 685832 and GCD 129796 row 1849459 (40pp, 2018-09-19) — the run's annual, its own volume
I 94771 cv=868604 gcd=2239793 0.95 | "Amazing Spider-Man Annual 002 (2021)" 31pp = CV 113685 #2 issue 868604 (Infinite Destinies) and GCD 129796 #2 row 2239793 (40pp, 2021-07-07)
I 95941 cv=964205 gcd=2476517 isbn=9781302946098 0.95 | "The Amazing Spider-Man by Nick Spencer Omnibus Book 01 (2023)" 1297pp = CV 147403 #1 issue 964205 and GCD 194816 #1 row 2476517 (1336pp)
I 95789 cv=964205 gcd=2476517 isbn=9781302946098 0.95 | the joined second rip "Amazing Spider-Man by Nick Spencer Omnibus Book 01 (2023)" 1297pp = CV 147403 #1 issue 964205 and GCD 194816 #1 row 2476517 (1336pp, 2023-01-11)
C 95789 cv=112161 gcd=126774 #1-43 0.9 | the Spencer Omnibus Book 01 collects The Amazing Spider-Man (Marvel 2018, 106) #1-43 per its judged range; GCD's roll-up for row 2476517 links only #12-13 of s126774, so the span rests on the judged range
C 95941 cv=112161 gcd=126774 #1-43 0.9 | the first rip of the Spencer Omnibus Book 01 collects The Amazing Spider-Man (Marvel 2018, 106) #1-43, the same span as its second rip 95789

S 95053 cv=142577 gcd=184161 0.9 | CORRECTED from C-035's gcd=200583 (the Zeb Wells collected LINE): the shelf is the 2022-2025 run — 17 issue files #55-66 + 65.Deaths (2024-2025), the joined #14 (2023), #37-44 (2024) and ~130 1pp variant covers #1-66 — = CV 142577 "The Amazing Spider-Man" (Marvel 2022, 72) and GCD 184161 (Marvel 2022-2025, 72), both 2022 starts, ComicInfo Volume "2022" x3; the four Zeb Wells trades' GCD roll-ups all sit in s184161 (judged #32-38 … #50-54) and are the run's own editions (RUN wins, L-327); R-046 noted the shelf stored no CV — this line gives it the run; 0.9 for the Annual 001 (2024) (two rips, own volume CV 158693 / GCD 213441)
F 95053 misfiled | items 47157-47160 ("Amazing Spider-Man 001 Adam Hughes ComicSketchArt Variant A-D (2018)") and 47164-47165 ("Amazing Spider-Man 011/012 (2019) Conan vs. Marvel Heroes Variant") are 1pp covers of the 2018 run (S95051, CV 112161), not this 2022 run
N 95053 the per-file CV 2127 stamp on 153/164 files is the legacy-number trap, and the GCD per-file majority 172683 is Panini UK's reprint series — both rejected; the Zeb Wells line (GCD 200583) stays on the trades' I lines only
I 47146 cv=- gcd=2611324 isbn=9781302953447 0.95 | "Amazing Spider-Man by Zeb Wells Vol. 08 - Spider-Man's First Hunt (2024)" 159pp = GCD 200583 #8 row 2611324 (164pp, ISBN 978-1-302-95344-7); ComicVine's line record is not in our rip
C 47146 cv=142577 gcd=184161 #32-38 0.95 | Vol. 08 collects The Amazing Spider-Man (Marvel 2022, 72; CV 142577 / GCD 184161) #32-38 per its judged range (0.92) and GCD row 2611324's roll-up into s184161
I 47147 cv=- gcd=2632498 isbn=9781302954604 0.95 | Vol. 09 "Gang War" 175pp = GCD 200583 #9 row 2632498 (188pp, ISBN 978-1-302-95460-4)
C 47147 cv=142577 gcd=184161 #39-44 0.95 | Vol. 09 collects The Amazing Spider-Man (Marvel 2022, 72) #39-44 per its judged range (0.97) and GCD row 2632498's roll-up into s184161
I 47148 cv=- gcd=2652204 isbn=9781302954611 0.95 | Vol. 10 "Breathe" 138pp = GCD 200583 #10 row 2652204 (140pp, ISBN 978-1-302-95461-1)
C 47148 cv=142577 gcd=184161 #45-49 0.95 | Vol. 10 collects The Amazing Spider-Man (Marvel 2022, 72) #45-49 per its judged range (0.97) and GCD row 2652204's roll-up into s184161
I 47149 cv=- gcd=2679026 isbn=9781302954628 0.95 | Vol. 11 "Going Green" 157pp = GCD 200583 #11 row 2679026 (172pp, ISBN 978-1-302-95462-8)
C 47149 cv=142577 gcd=184161 #50-54 0.95 | Vol. 11 collects The Amazing Spider-Man (Marvel 2022, 72) #50-54 per its judged range (0.97) and GCD row 2679026's roll-up into s184161
I 47151 cv=1061866 gcd=2643304 0.95 | "Amazing Spider-Man Annual 001 (2024)" 29pp = CV 158693 "The Amazing Spider-Man Annual" (2024, 1) issue 1061866 (Infinity Watch Part 2) and GCD 213441 row 2643304 (36pp, 2024-07-03)
I 48606 cv=1061866 gcd=2643304 0.95 | the joined "02 Amazing Spider-Man Annual 001 (2024)" 29pp (Major Event Chronology rip) = CV 158693 issue 1061866 and GCD 213441 row 2643304, the same book as item 47151

S 103529 cv=85076 gcd=92892 0.95 | split-reader ids CONFIRMED again after the join: the seven Dan Slott-line Vol. 44-50 = "Worldwide Vol. 01-07" trades reprint only the 2015 run (GCD roll-ups s92892 #1-5 … #29-32 + #789-791) and the joined "#25 (Superior Octopus only), #29-31 (2017)" Secret Empire tie-ins fit that run's numbering; CV 85076 "The Amazing Spider-Man" (Marvel 2015, 51 incl. #789-801) and GCD 92892 (Marvel 2015-2018, 51) agree on year and count; per-file GCD 92892 on 4/4 issue files; the trades are the run's own editions and cost nothing
F 103529 needs-fetch cv=85076 | named from the rip only; no CvVolume row
I 93943 cv=523247 gcd=1554103 isbn=9780785199427 0.95 | Worldwide Vol. 01 141pp = CV 89345 "Amazing Spider-Man: Worldwide" #1 issue 523247 and GCD 99294 #1 row 1554103 (148pp)
I 93944 cv=538663 gcd=1599821 isbn=9780785199434 0.95 | Worldwide Vol. 02 129pp = CV 89345 #2 issue 538663 and GCD 99294 #2 row 1599821 (140pp)
I 93945 cv=558954 gcd=1653386 isbn=9780785199441 0.95 | Worldwide Vol. 03 139pp = CV 89345 #3 issue 558954 and GCD 99294 #3 row 1653386 (140pp)
I 93946 cv=575857 gcd=1665061 isbn=9781302902377 0.95 | Worldwide Vol. 04 114pp = CV 89345 #4 issue 575857 and GCD 99294 #4 row 1665061 (116pp)
I 93947 cv=594957 gcd=1697977 isbn=9781302902384 0.95 | Worldwide Vol. 05 149pp = CV 89345 #5 issue 594957 and GCD 99294 #5 row 1697977 (148pp)
I 93948 cv=609336 gcd=1722623 isbn=9781302902933 0.95 | Worldwide Vol. 06 152pp = CV 89345 #6 issue 609336 and GCD 99294 #6 row 1722623 (164pp)
I 93949 cv=655498 gcd=1777744 isbn=9781302902940 0.95 | Worldwide Vol. 07 166pp = CV 89345 #7 issue 655498 and GCD 99294 #7 row 1777744 (164pp)

S 95052 cv=73420 gcd=80405 0.9 | split-reader run CONFIRMED again: the five Dan Slott-line Vol. 39-43 (Parker Luck .. Spiral) and the second rips of Vol. 03-05 reprint the 2014 run (GCD roll-ups s80405 #1-6 … #16.1-20.1), and the joined "013/014 - Amazing Spider-Man 004/005 (2014)" Original Sin tie-ins sit inside it; CV 73420 "The Amazing Spider-Man" (Marvel 2014, 28, #1-20.1) = GCD 80405 (2014-2015, 28); 0.9 for the Special 001 (2015) one-shot (CV 80596 / GCD 87139) and the misfiled #794 below
F 95052 misfiled | item 118375 "03 Amazing Spider-Man 794 (2018)" is the 2015 run's legacy #794 (CV 85076 / GCD 92892), filed under Return of Wolverine end credits; it belongs with S103529
I 93938 cv=468279 gcd=1325205 isbn=9780785166764 0.95 | Vol. 39 = ASM Vol. 01 - The Parker Luck 170pp = CV 77621 issue 468279 "Volume 1" and GCD 86777 #1 row 1325205 (156pp)
I 93939 cv=475651 gcd=1325206 isbn=9780785187981 0.95 | Vol. 40 = ASM Vol. 02 - Spider-Verse Prelude 111pp = CV 79315 issue 475651 and GCD 86777 #2 row 1325206 (124pp)
C 93939 cv=55552 gcd=71030 #32-33 0.95 | Spider-Verse Prelude also collects Superior Spider-Man (Marvel 2013, GCD 71030) #32-33 per GCD row 1325206's roll-up (10 stories) — a different run from the shelf's 2014 identity
I 93940 cv=494943 gcd=1325207 isbn=9780785192343 0.95 | Vol. 41 = ASM Vol. 03 - Spider-Verse 143pp = CV 83232 issue 494943 and GCD 86777 #3 row 1325207 (172pp; collects #9-15)
C 93940 cv=55552 gcd=71030 #32-32 0.95 | Spider-Verse also collects Superior Spider-Man (2013) #32 (Edge of Spider-Verse prologue) per GCD row 1325207's roll-up
I 93941 cv=498381 gcd=1450278 isbn=9780785193388 0.95 | Vol. 42 = ASM Vol. 04 - Graveyard Shift 100pp = CV 84084 issue 498381 and GCD 86777 #4 row 1450278 (108pp)
C 93941 gcd=85112 #1-1 0.95 | Graveyard Shift also collects Amazing Spider-Man Annual (Marvel 2015, GCD 85112) #1 per GCD row 1450278 (5 stories)
I 93942 cv=501015 gcd=1460652 isbn=9780785193166 0.95 | Vol. 43 = ASM Vol. 05 - Spiral 103pp = CV 84745 issue 501015 and GCD 86777 #5 row 1460652 (116pp; collects #16.1-20.1)
