# X-030 — 14 manga shelves carried over from B-044/A-020, no C OWED markers. Same reused-stamp shape as
# X-028/X-029 dominates: on Gleipnir, Goblin Slayer, Goblin Slayer Side Story II, Golden Japanesque, Golden
# Kamuy, Granblue Fantasy and Grand Blue Dreaming the per-file GCD pick reuses the shelf's #1 issue id across
# every book, and on Gleipnir/Golden Kamuy/Granblue Fantasy/Grand Blue Dreaming/Gunslinger Girl the per-file CV
# pick also lands on one unrelated wrong volume stamped across the whole shelf. Giant Killing is the exception:
# its per-file picks (method "fulldump-rematch") already match the shelf's own header pool book-for-book, so
# those I lines simply confirm them. Every I line is the shelf's own header cv-issues/gcd-issues pool matched
# by volume ORDINAL (v01=#1, v02=#2, ...) per the manga item-pass ledger. Gintama and Gunslinger Girl are
# Japanese-original/foreign-dump pairs (no English license) at the shelf's own 0.9 cap; Granny Girl Hinata-chan
# and Guilty have no genuine GCD row at all (gcd=- per the shelf identity) despite a per-file GCD pick showing
# on Guilty — that pick (111935) is an unrelated series, rejected.

I 39300 cv=590725 gcd=1953682 0.95 | Ghost Diary shelf pool (CV 100551/GCD 144408) ordinal #1: both ids match the per-file pick exactly
I 44666 cv=940107 gcd=2418151 0.95 | shelf pool ordinal #11: GCD 2418151 corrects the reused stamp
I 44667 cv=964328 gcd=2528715 0.95 | shelf pool ordinal #12: GCD 2528715 corrects the reused stamp
I 44668 cv=1048750 gcd=2568156 0.95 | shelf pool ordinal #13: GCD 2568156 corrects the reused stamp
I 44669 cv=1048752 gcd=2617733 0.95 | shelf pool ordinal #14 (196pp isbn ...0429): GCD 2617733 corrects the reused stamp

I 44741 cv=646303 gcd=1772809 0.95 | Goblin Slayer shelf pool ordinal #1 (isbn ...9725): GCD matches per-file pick; per-file cv (148439) is an unrelated volume, rejected
I 44742 cv=665760 gcd=1799732 0.95 | shelf pool ordinal #2 (isbn ...8239): corrects the per-file's reused #1 gcd stamp shown on all eleven books
I 44743 cv=673965 gcd=1819180 0.95 | shelf pool ordinal #3 (isbn ...7477): corrects the reused stamp
I 44744 cv=691225 gcd=1923319 0.95 | shelf pool ordinal #4 (isbn ...8061): corrects the reused stamp
I 44745 cv=706679 gcd=1953314 0.95 | shelf pool ordinal #5 (isbn ...0323): corrects the reused stamp
I 44746 cv=719239 gcd=2017482 0.95 | shelf pool ordinal #6 (isbn ...1931): corrects the reused stamp
I 44747 cv=743250 gcd=2096595 0.95 | shelf pool ordinal #7 (isbn ...9436): corrects the reused stamp
I 44748 cv=770045 gcd=2121268 0.95 | shelf pool ordinal #8 (isbn ...3944): corrects the reused stamp
I 44749 cv=821239 gcd=2174953 0.95 | shelf pool ordinal #9 (isbn ...7911): corrects the reused stamp
I 44750 cv=881681 gcd=2257924 0.95 | shelf pool ordinal #10 (isbn ...4834): corrects the reused stamp
I 44751 cv=923409 gcd=2396791 0.95 | shelf pool ordinal #11 (isbn ...9968): corrects the reused stamp

I 44737 cv=840520 gcd=2240237 0.95 | Goblin Slayer Side Story II - Dai Katana shelf pool ordinal #1 (isbn ...2793): both ids match per-file pick exactly
I 44738 cv=898919 gcd=2282945 0.95 | shelf pool ordinal #2 (isbn ...6332): GCD corrects the per-file's reused #1 stamp shown on all four books
I 44739 cv=937795 gcd=2415708 0.95 | shelf pool ordinal #3 (isbn ...5570): GCD corrects the reused stamp
I 44740 cv=980942 gcd=2510728 0.95 | shelf pool ordinal #4 (isbn ...0024): GCD corrects the reused stamp

I 44752 cv=829454 gcd=2203546 0.95 | Golden Japanesque shelf pool ordinal #1 (isbn ...9779): both ids match per-file pick exactly
I 44753 cv=845054 gcd=2218441 0.95 | shelf pool ordinal #2 (isbn ...9786): GCD corrects the per-file's reused #1 stamp shown on all five books
I 44754 cv=896984 gcd=2282947 0.95 | shelf pool ordinal #3 (isbn ...9793): GCD corrects the reused stamp
I 44755 cv=918333 gcd=2302016 0.95 | shelf pool ordinal #4 (isbn ...5557): GCD corrects the reused stamp
I 44756 cv=944316 gcd=2396794 0.95 | shelf pool ordinal #5 (isbn ...9647): GCD corrects the reused stamp

I 44757 cv=602968 gcd=1772794 0.95 | Golden Kamuy shelf pool ordinal #1 (isbn ...9488-0): GCD matches per-file pick; per-file cv (148035) is an unrelated volume stamped across the whole shelf
I 44758 cv=622718 gcd=1772795 0.95 | shelf pool ordinal #2 (isbn ...9489-7): corrects the per-file's reused #1 gcd stamp shown on all 31 books
I 44759 cv=646304 gcd=1772796 0.95 | shelf pool ordinal #3 (isbn ...94903): corrects the reused stamp
I 44760 cv=663500 gcd=1793939 0.95 | shelf pool ordinal #4 (isbn ...9491-0): corrects the reused stamp
I 44761 cv=673966 gcd=1819171 0.95 | shelf pool ordinal #5 (isbn ...9492-7): corrects the reused stamp
I 44762 cv=685544 gcd=1849529 0.95 | shelf pool ordinal #6 (isbn ...9493-4): corrects the reused stamp
I 44763 cv=695440 gcd=1888631 0.95 | shelf pool ordinal #7 (isbn ...9494-1): corrects the reused stamp
I 44764 cv=701156 gcd=1926093 0.95 | shelf pool ordinal #8 (isbn ...9495-8): corrects the reused stamp
I 44765 cv=706112 gcd=1950572 0.95 | shelf pool ordinal #9 (isbn ...0447-7): corrects the reused stamp
I 44766 cv=711702 gcd=1978757 0.95 | shelf pool ordinal #10 (isbn ...0448-4): corrects the reused stamp
I 44767 cv=716675 gcd=2010890 0.95 | shelf pool ordinal #11 (isbn ...0449-1): corrects the reused stamp
I 44768 cv=722826 gcd=2025858 0.95 | shelf pool ordinal #12 (isbn ...0450-7): corrects the reused stamp
I 44769 cv=731274 gcd=2047986 0.95 | shelf pool ordinal #13 (isbn ...0500-9): corrects the reused stamp
I 44770 cv=737598 gcd=2072694 0.95 | shelf pool ordinal #14 (isbn ...0784-3): corrects the reused stamp
I 44771 cv=751060 gcd=2105713 0.95 | shelf pool ordinal #15 (isbn ...0785-0): corrects the reused stamp
I 44772 cv=768411 gcd=2119639 0.95 | shelf pool ordinal #16 (isbn ...0956-4): corrects the reused stamp
I 44773 cv=794794 gcd=2136162 0.95 | shelf pool ordinal #17 (isbn ...1489-6): corrects the reused stamp
I 44774 cv=811187 gcd=2156537 0.95 | shelf pool ordinal #18 (isbn ...1490-2): corrects the reused stamp
I 44775 cv=821290 gcd=2177702 0.95 | shelf pool ordinal #19 (isbn ...1706-4): corrects the reused stamp
I 44776 cv=828663 gcd=2199736 0.95 | shelf pool ordinal #20 (isbn ...1873-3): corrects the reused stamp
I 44777 cv=844534 gcd=2218439 0.95 | shelf pool ordinal #21 (isbn ...1997-6): corrects the reused stamp
I 44778 cv=859514 gcd=2230965 0.95 | shelf pool ordinal #22 (isbn ...2182-5): corrects the reused stamp
I 44779 cv=880514 gcd=2256684 0.95 | shelf pool ordinal #23 (isbn ...2185-6): corrects the reused stamp
I 44780 cv=899116 gcd=2293961 0.95 | shelf pool ordinal #24 (isbn ...2521-2): corrects the reused stamp
I 44781 cv=907731 gcd=2352180 0.95 | shelf pool ordinal #25 (isbn ...2722-3): corrects the reused stamp
I 44782 cv=925482 gcd=2404062 0.95 | shelf pool ordinal #26 (isbn ...3108-4): corrects the reused stamp
I 44783 cv=948513 gcd=2435846 0.95 | shelf pool ordinal #27 (isbn ...3247-0): corrects the reused stamp
I 44784 cv=973721 gcd=2496706 0.95 | shelf pool ordinal #28 (isbn ...3476-4): corrects the reused stamp
I 44785 cv=996336 gcd=2549349 0.95 | shelf pool ordinal #29 (isbn ...3653-9): corrects the reused stamp
I 44786 cv=1025297 gcd=2574106 0.95 | shelf pool ordinal #30 (isbn ...4061-1): corrects the reused stamp
I 44787 cv=1040900 gcd=2611484 0.95 | shelf pool ordinal #31 (isbn ...4179-3): corrects the reused stamp

I 43439 cv=721558 gcd=2028065 0.95 | Granblue Fantasy shelf pool ordinal #1 (isbn ...8096): GCD matches per-file pick; per-file cv (110135) is a different, unrelated volume; ComicInfo Web CMXDB810764
I 43440 cv=730137 gcd=2046627 0.95 | shelf pool ordinal #2 (isbn ...8911): corrects the per-file's reused #1 gcd stamp shown on all seven books
I 43441 cv=736345 gcd=2065716 0.95 | shelf pool ordinal #3 (isbn ...9536): corrects the reused stamp
I 43442 cv=745549 gcd=2106020 0.95 | shelf pool ordinal #4 (isbn ...9543): corrects the reused stamp
I 43443 cv=768353 gcd=2133487 0.95 | shelf pool ordinal #5: corrects the reused stamp, no isbn recorded on this row
I 43444 cv=791536 gcd=2133488 0.95 | shelf pool ordinal #6: corrects the reused stamp, no isbn recorded on this row
I 43445 cv=818833 gcd=2167147 0.95 | shelf pool ordinal #7 (isbn ...1457): corrects the reused stamp

I 43469 cv=621793 gcd=1825207 0.95 | Grand Blue Dreaming shelf pool ordinal #1 (196pp isbn ...6665): GCD matches per-file pick; per-file cv (96341) is a different, unrelated volume
I 43470 cv=632653 gcd=1845793 0.95 | shelf pool ordinal #2 (196pp isbn ...6672): corrects the per-file's reused #1 gcd stamp shown on all nineteen books
I 43471 cv=638231 gcd=1876867 0.95 | shelf pool ordinal #3 (196pp isbn ...6689): corrects the reused stamp
I 43472 cv=646306 gcd=1925895 0.95 | shelf pool ordinal #4 (204pp isbn ...7402): corrects the reused stamp
I 43473 cv=652424 gcd=1947816 0.95 | shelf pool ordinal #5 (196pp isbn ...7242): corrects the reused stamp
I 43474 cv=660126 gcd=1967790 0.95 | shelf pool ordinal #6 (196pp isbn ...7259): corrects the reused stamp
I 43475 cv=662610 gcd=1987318 0.95 | shelf pool ordinal #7 (196pp isbn ...7921): corrects the reused stamp
I 43476 cv=665702 gcd=2033308 0.95 | shelf pool ordinal #8 (196pp isbn ...8379): corrects the reused stamp
I 43477 cv=669379 gcd=2053505 0.95 | shelf pool ordinal #9 (196pp isbn ...8126): corrects the reused stamp
I 43478 cv=755551 gcd=2106028 0.95 | shelf pool ordinal #10 (196pp isbn ...9109): corrects the reused stamp
I 43479 cv=778934 gcd=2153287 0.95 | shelf pool ordinal #11 (isbn ...9499): corrects the reused stamp
I 43480 cv=828673 gcd=2211102 0.95 | shelf pool ordinal #12 (isbn ...0436): corrects the reused stamp
I 43481 cv=862908 gcd=2233080 0.95 | shelf pool ordinal #13 (isbn ...0443): corrects the reused stamp
I 43482 cv=891146 gcd=2271370 0.95 | shelf pool ordinal #14 (isbn ...1426): corrects the reused stamp
I 43483 cv=918008 gcd=2372744 0.95 | shelf pool ordinal #15 (isbn ...2072): corrects the reused stamp
I 43484 cv=930877 gcd=2419611 0.95 | shelf pool ordinal #16 (isbn ...4021): corrects the reused stamp
I 43485 cv=949624 gcd=2444015 0.95 | shelf pool ordinal #17 (isbn ...4038): corrects the reused stamp
I 43486 cv=969620 gcd=2498067 0.95 | shelf pool ordinal #18 (isbn ...6995): corrects the reused stamp
I 43487 cv=993401 gcd=2544555 0.95 | shelf pool ordinal #19 (isbn ...7008): corrects the reused stamp

I 44789 cv=738490 gcd=- 0.9 | Granny Girl Hinata-chan shelf pool ordinal #1: CV matches per-file pick; GCD has no row for this North Stars Pictures line at all (provider-missing)
I 44790 cv=743155 gcd=- 0.9 | shelf pool ordinal #2: CV matches per-file pick; gcd=- stands, same as v01
I 44791 cv=762257 gcd=- 0.9 | shelf pool ordinal #3: CV matches per-file pick; gcd=- stands, same as v01
I 44792 cv=769897 gcd=- 0.9 | shelf pool ordinal #4: CV matches per-file pick; gcd=- stands, same as v01
I 44793 cv=778908 gcd=- 0.9 | shelf pool ordinal #5: CV matches per-file pick; gcd=- stands, same as v01

I 44796 cv=724735 gcd=- 0.9 | Guilty shelf pool ordinal #1: CV matches per-file pick; per-file's gcd 1672914/111935 is an unrelated series, GCD has no genuine row for Guilty per the shelf's own gcd=-
I 44797 cv=728799 gcd=- 0.9 | shelf pool ordinal #2: CV matches per-file pick; same wrong-series gcd rejection as v01, ComicInfo Web CMXDB821126
I 44798 cv=731675 gcd=- 0.9 | shelf pool ordinal #3: CV matches per-file pick; same wrong-series gcd rejection as v01, ComicInfo Web CMXDB827679
I 44799 cv=735183 gcd=- 0.9 | shelf pool ordinal #4: CV matches per-file pick; same wrong-series gcd rejection as v01, ComicInfo Web CMXDB839193
I 44800 cv=738472 gcd=- 0.9 | shelf pool ordinal #5: CV matches per-file pick; same wrong-series gcd rejection as v01, ComicInfo Web CMXDB843946

I 42087 cv=644609 gcd=1557912 0.9 | Gunslinger Girl shelf pool (CV 106713/GCD 100027 [de]) ordinal #1; per-file's cv 38067 and gcd 155238 are both unrelated ids, rejected
I 42088 cv=644610 gcd=1557913 0.9 | shelf pool ordinal #2, same German-dump pairing as v01, same per-file rejection
I 42089 cv=644611 gcd=1557914 0.9 | shelf pool ordinal #3, same German-dump pairing as v01, same per-file rejection
I 42090 cv=644612 gcd=1557915 0.9 | shelf pool ordinal #4, same German-dump pairing as v01, same per-file rejection
I 42091 cv=644613 gcd=1557916 0.9 | shelf pool ordinal #5, same German-dump pairing as v01, same per-file rejection
I 42092 cv=644614 gcd=1557917 0.9 | shelf pool ordinal #6, same German-dump pairing as v01, same per-file rejection
I 42093 cv=644615 gcd=1557918 0.9 | shelf pool ordinal #7, same German-dump pairing as v01, same per-file rejection
I 42094 cv=644616 gcd=1557919 0.9 | shelf pool ordinal #8, same German-dump pairing as v01, same per-file rejection
I 42095 cv=644617 gcd=1557920 0.9 | shelf pool ordinal #9, same German-dump pairing as v01, same per-file rejection
I 42096 cv=644618 gcd=1557921 0.9 | shelf pool ordinal #10, same German-dump pairing as v01, same per-file rejection
I 42097 cv=644619 gcd=1557922 0.9 | shelf pool ordinal #11, same German-dump pairing as v01, same per-file rejection
I 42098 cv=644620 gcd=1557923 0.9 | shelf pool ordinal #12, same German-dump pairing as v01, same per-file rejection
I 42099 cv=644621 gcd=1557924 0.9 | shelf pool ordinal #13, same German-dump pairing as v01, same per-file rejection
I 42100 cv=644622 gcd=1557925 0.9 | shelf pool ordinal #14, same German-dump pairing as v01, same per-file rejection
I 42101 cv=644623 gcd=1557926 0.9 | shelf pool ordinal #15, same German-dump pairing as v01, same per-file rejection
