# R-051 — the P-012 split's shelves in pair groups (Flash, Adventures of Superman, Thor, Archie, Wonder Woman, Green Lantern / GLC, Exiles, Excalibur) plus the WW creator-line revisits.
# Conventions seen: DC "#DC Events" read-order folders are second rips (L-015) EXCEPT where the title's own shelf is thin — the
# Green Lantern (2011) and Flash (2010) issues in "As seen from Oa" are the bulk of our holdings of those runs, not second rips.
# Where BOTH catalogues cut a continuously numbered run at the same number (GL 1960 #205 / The Green Lantern Corps #206, CV and
# GCD alike) the cut is an identity boundary; where they cut at DIFFERENT numbers (Archie Comics: CV at #113/114, GCD at #101/102)
# the shelf keeps one identity on the majority records and an N names the other era (L-198 / L-307 shape).

# ---- Flash ----
R 94717 | two co-equal runs plus foreign rips: the 1987 Flash (CV 3790 "The Flash" 1987 DC 250 / GCD 3358 "Flash" 1987-2006 232, with GCD 26125 for #231-247) holds "04 The Flash v2 (1987)" #0-230, Annuals #2-13, the joined "Flash v2 #207-217" and "06 The Flash v2 (2007)" #231-247 and the Johns/Waid/Morrison books; but Flash (2010) (CV 32562 / GCD 47018, 12) sits here as TWO whole trades (Vol. 01 74335, Vol. 02 74336 + its second rip 19293) plus #1-6 (Brightest Day folder) and #9-12 (Flashpoint prelude) — a co-equal run by the RESIDUE ruling, and --who-stores cv=32562 finds no shelf for it
I 74536 cv=555489 gcd=1641221 0.9 | Book Three of the Geoff Johns line: CV issue 555489, GCD row 1641221 (316pp) vs our 302pp
I 74537 cv=643010 gcd=1762487 0.9 | Book Four of the Geoff Johns line: CV issue 643010, GCD row 1762487 (324pp) vs our 307pp
I 74538 cv=677259 gcd=1825121 0.9 | Book Five of the Geoff Johns line: CV issue 677259, GCD row 1825121 (340pp) vs our 319pp
I 74540 gcd=1559049 0.9 | GCD 100285 "Flash by Grant Morrison and Mark Millar" (2016, 1) row 1559049 (340pp) against our 336pp; no CV record for this one-off collection
I 74541 cv=563698 gcd=1657583 0.9 | CV 96287 / GCD 110044 "Flash by Mark Waid" Book One: issue 563698, row 1657583 (372pp) vs our 367pp
I 74542 cv=593229 gcd=1693475 0.9 | Flash by Mark Waid Book Two: CV issue 593229, GCD row 1693475 (436pp) vs our 422pp
I 74543 cv=628552 gcd=1742322 0.9 | Flash by Mark Waid Book Three: CV issue 628552, GCD row 1742322 (372pp) vs our 363pp
I 74548 cv=864691 gcd=2235509 0.9 | Flash by Mark Waid Book Eight: CV issue 864691, GCD row 2235509 (404pp) vs our 394pp
I 74550 cv=726890 gcd=2037331 0.9 | CV 122782 / GCD 152527 "The Flash: Year One" (2019): issue 726890, row 2037331 (160pp) vs our 143pp
I 74512 cv=29897 gcd=44789 0.95 | "The Flash - 80-Page Giant (#01) 1998-06" 71pp = CV 6156 "Flash 80-Page Giant" #1 issue 29897 and GCD 5966 row 44789 (84pp, 1998-06-17)
S 100573 cv=1995 gcd=1428 0.95 | the kept half is The Flash 1959: CV 1995 (DC 1959, 246, cached #105-350) and GCD 1428 (1959-1985, 246) agree on publisher, span and count; our "03 The Flash v1 (1963)" ladder 105-350 (239 files, ComicInfo Volume 1959 on 121, Count 350) sits inside both, both judged #229/#232 fit; the six Crisis-on-Multiple-Earths team-up rips (#123/129/137/151/170/173) are second rips of issues on the ladder and cost nothing
N 100573 the empty alias key "The Flash v2 (2007)" still carries gcd=26125 (the 1987 volume's 2007-2009 stretch) — a stale key link from before the P-012 split, not this shelf's identity; the 3-file per-file stamp of GCD 149742 is a Philippine National Book Store reprint, rejected on publisher

# ---- Adventures of Superman ----
S 103782 cv=60518 gcd=- 0.9 | the 2013-2014 digital-first weekly: CV 60518 "Adventures of Superman" (DC 2013, 51 chapters, #50 and #51 dated 2014-04) holds our ladder 6-51 (46 Minutemen-PhD chapters, 22-23pp, 2013-2014); the per-file CV 3778 is the 1987 legacy ongoing (wrong-relaunch stamp) and GCD 74653 (17) is the PRINT edition packaging three chapters per 44pp issue, so it does not number our chapters
F 103782 needs-fetch cv=60518 | CV 60518 "Adventures of Superman" 2013 DC (51) is named from the rip only; no CvVolume row
F 103782 provider-missing | GCD indexes only the 17-issue print edition (74653, 44pp issues from 2013-05) of this digital-first series; no GCD series numbers the 51 digital chapters
I 72989 cv=450544 gcd=1332169 isbn=978-1-4012-4688-4 0.95 | "COL Adventures of Superman v01 (2014)" 167pp = CV 73098 "Adventures of Superman" (2014 TPB line, 3) #1 issue 450544 "Volume One" and GCD 87574 row #1 1332169 (172pp, 2014-04-16); the run's own trade, collecting print #1-5 / the first digital chapters
S 468 cv=3778 gcd=3345 0.9 | the kept half is the 1987 legacy Adventures of Superman: CV 3778 (DC 1987, 228) and GCD 3345 (1987-2006, 230) agree; our "04 The Adventures of Superman (1987)" ladder #0, 428-649 (per-file CV 3778 on 183/183, GCD 3345 num-matched on 154) sits inside; 0.9 for the Adventures of Superman Annual #1-5 (a separate annual record) filed with it; the 22 #DC Events rips are second rips
F 468 merge-with=17909 | S17909 stores cv=3778 and its S line (C-019 cv=3778 gcd=3345) holds the same ongoing's #424-611 from the same "04 The Adventures of Superman (1987)" folder — one run split by a filename-casing parse; S17909 already carries merge-with=468

# ---- Thor ----
S 103795 cv=6226 gcd=6045 0.9 | Thor (1998): CV 6226 (Marvel 1998, 85) and GCD 6045 (1998-2004, 85) agree on publisher, span and count; our "04 Thor v2 (1998)" ladder 17-85 fits, per-file GCD 6045 on 37/74 files, and GCD's roll-ups put the three Jurgens & Romita Jr. trades on s6045 #1-8, #9-13, #14-17; 0.9 for Thor Annual 2000 (item 97936), a separate annual record; the per-file CV 2294 is the 1966 volume's legacy stamp
F 103795 needs-fetch cv=6226 | CV 6226 "Thor" (Marvel 1998, 85) is named from the rip only; no CvVolume row
I 96646 cv=201172 gcd=785677 isbn=9780785137498 0.95 | CV 32067 "Thor By Dan Jurgens & John Romita Jr." issue 201172 "Volume 1" and GCD 53034 row #1 785677 (244pp, ISBN 978-0-7851-3749-8) agree on our Vol. 01 (199pp)
I 96647 cv=201173 gcd=785678 isbn=9780785146322 0.95 | CV 32067 issue 201173 "Volume 2" and GCD 53034 row #2 785678 (188pp) agree on our Vol. 02 (130pp)
I 96648 cv=258714 gcd=785679 isbn=9780785143857 0.95 | CV 32067 issue 258714 "Volume 3" and GCD 53034 row #3 785679 (204pp) agree on our Vol. 03 (197pp)
C 96646 cv=6226 gcd=6045 #1-8 0.95 | Jurgens & Romita Jr. Vol. 01 collects Thor (Marvel 1998, 85; CV 6226 / GCD 6045) #1-8 per GCD row 785677's roll-up
C 96647 cv=6226 gcd=6045 #9-13 0.95 | Jurgens & Romita Jr. Vol. 02 collects Thor (Marvel 1998, 85; CV 6226 / GCD 6045) #9-13 per GCD row 785678's roll-up
C 96648 cv=6226 gcd=6045 #14-17 0.95 | Jurgens & Romita Jr. Vol. 03 collects Thor (Marvel 1998, 85; CV 6226 / GCD 6045) #14-17 per GCD row 785679's roll-up
S 94806 cv=2294 gcd=1749 0.9 | the kept half is Thor (1966): CV 2294 (Marvel 1966, cached #126-502) and GCD 1749 (1966-1996) agree; our "02 Thor v1 (1966)" ladder 126-502 (377 files) with per-file CV 2294 on 390/397 and GCD 1749 on 372; 0.9 for the 19 Thor Annuals (CV 2295 / GCD 1750, a separate annual record) filed in its Annuals folder; the b&w #272 is a second rip
F 94806 merge-with=20070 | S20070 stores cv=2294 and its S line (R-045 cv=2294 gcd=1749) holds Thor (1966) #345-471 chronology rips — the same run; S20070 already carries merge-with=94806

# ---- Archie ----
S 103786 cv=83121 gcd=90653 0.95 | the 2015 relaunch: CV 83121 (Archie Comics 2015, 47 = #1-32 + legacy #699-713) and GCD 90653 (2015-2020, 47) agree; our files are its six trades (GCD rolls them up as s90653 #1-6 … #28-32), #699 and #711 and the two Nick Spencer trades (s90653 #699-704 and the Archie & Sabrina arc #705-709) — every book is this run or its own trade
I 7511 cv=518900 gcd=1547063 isbn=978-1-62738-867-2 0.95 | Vol. 01 - The New Riverdale 177pp = CV 88725 #1 issue 518900 "Volume One" and GCD 98511 row #1 1547063 (180pp)
I 7512 cv=562669 gcd=1657719 isbn=978-1-62738-798-9 0.95 | Vol. 02 179pp = CV 88725 #2 issue 562669 and GCD 98511 row #2 1657719 (180pp)
I 7513 cv=593310 gcd=1695160 isbn=978-1-68255-993-2 0.95 | Vol. 03 146pp = CV 88725 #3 issue 593310 and GCD 98511 row #3 1695160 (148pp)
I 7514 cv=617865 gcd=1731324 isbn=978-1-68255-970-3 0.95 | Vol. 04 - Over the Edge 147pp = CV 88725 #4 issue 617865 "Volume Four: Over the Edge" and GCD 98511 row #4 1731324 (148pp)
I 7515 cv=668814 gcd=1805545 0.95 | Vol. 05 - The Heart of Riverdale 146pp = CV 88725 #5 issue 668814 "Volume Five: The Heart of Riverdale" and GCD 98511 row #5 1805545 (148pp)
I 7516 cv=688181 gcd=1857214 isbn=978-1-68255-869-0 0.95 | Vol. 06 146pp = CV 88725 #6 issue 688181 and GCD 98511 row #6 1857214 (148pp)
I 7529 cv=716289 gcd=2028119 isbn=978-1-68255-783-9 0.95 | Archie by Nick Spencer Vol. 01 147pp = CV 120633 issue 716289 and GCD 149616 row #1 2028119 (148pp)
I 7530 cv=743478 gcd=2104668 isbn=978-1-64576-979-8 0.95 | Archie by Nick Spencer Vol. 02 - Archie & Sabrina 145pp = CV 126020 issue 743478 "Volume Two" and GCD 149616 row #2 2104668 "Archie and Sabrina" (148pp)
C 7529 cv=83121 gcd=90653 #699-704 0.95 | Archie by Nick Spencer Vol. 01 collects Archie (Archie Comics 2015, 47; CV 83121 / GCD 90653) #699-704 per GCD row 2028119's roll-up — the legacy-numbered stretch of the 2015 run
C 7530 cv=83121 #705-709 0.9 | Archie & Sabrina collects Archie (2015, CV 83121) #705-709, CV's own issue names "Archie and Sabrina Part 1"-"Part 5"; GCD's roll-up leaves the s90653 numbers unnumbered
S 1276 cv=117195 gcd=140820 0.95 | CV 117195 "Archie: Varsity Edition" (Archie Comics 2019, 2) and GCD 140820 "Archie Varsity Edition" (2019-?, 2) agree on publisher, year and a two-book set; our Book 01 (349pp, joined from S1212 by P-012) and Book 02 (290pp) are those two books
I 7517 cv=701338 gcd=1926036 0.95 | "Archie - Varsity Edition Book 01 (2019)" = CV 117195 #1 issue 701338 "Book One" (2019-02-21) and GCD 140820 row #1 1926036 (2019-02-20)
I 7518 cv=723698 gcd=2027086 0.95 | "Archie - Varsity Edition Book 02 (2019)" = CV 117195 #2 issue 723698 "Book Two" (2019-10-22) and GCD 140820 row #2 2027086 (2019-10-23)
S 103784 cv=- gcd=214284 0.9 | GCD 214284 "Archie Facsimile Edition" (Archie 2024-?, 13) is the line: its #2 row 2660787 is the Veronica #28 facsimile (36pp) and #3 row 2683878 the Betty #8 facsimile (36pp), exactly our "Facsimile Edition 02 (Veronica 28) (2024)" 36pp and "03 (Betty 08) (2025)" 37pp; no ComicVine volume in the rip (a 2024 line past its horizon)
F 103784 provider-missing | no ComicVine volume for "Archie Facsimile Edition" (2024) in the local rip — probed "Archie Facsimile Edition" --contains, 0 CV hits
I 7547 gcd=2660787 0.95 | Archie Facsimile Edition #2 = GCD 214284 row 2660787 titled "Veronica #28" (2024-09-25, 36pp) against our 36pp "02 (Veronica 28) (2024)"
I 7548 gcd=2683878 0.95 | Archie Facsimile Edition #3 = GCD 214284 row 2683878 titled "Betty #8" (2024-11-27, 36pp) against our 37pp "03 (Betty 08) (2025)"
S 103783 cv=86677 gcd=94854 0.95 | a one-shot: CV 86677 "Archie: Collector's Edition" (Archie Comics, count 1, issue 508496 2015-12) and GCD 94854 "Archie Collector's Edition" (2016, 1, row 1510247 84pp on sale 2015-12-16) agree on title, date and count, against our 80pp "COL Archie Collector's Edition (2016)"
F 103783 needs-fetch cv=86677 | CV 86677 "Archie: Collector's Edition" is named from the rip only; no CvVolume row
I 7519 cv=508496 gcd=1510247 0.95 | the book's own record: CV 86677 issue 508496 and GCD 94854 row 1510247 (84pp, 2015-12-16) against our 80pp rip
S 103785 cv=104918 gcd=117448 0.9 | a 2017 one-shot: CV 104918 "Archie Halloween Spectacular" (2017, 1) and GCD 117448 (2017, 1, row 1742616 24pp on sale 2017-10-11) are the only 2017 Archie Halloween book in either catalogue (probed "Halloween" --year 2017); our two 22pp rips "Archie Halloween Special 001 (2017)" match page count and year; 0.9 because the ripper's "Special" is not the record's "Spectacular"
I 7520 cv=628642 gcd=1742616 0.9 | "Archie Halloween Special 001 (2017)" 22pp = CV 104918 issue 628642 and GCD 117448 row 1742616 (24pp); the title differs by one word
I 7942 cv=628642 gcd=1742616 0.9 | "Archie Halloween Special (2017) (digital)" 22pp is a second rip of the same one-shot: CV issue 628642 / GCD row 1742616 (24pp)
S 1212 cv=9628 gcd=10447 0.9 | the kept half is Archie #1-666 as one continuously numbered title (ladder 1-113 then 119-666, 521 files in "01 Archie v1 (1942)"): the majority era is CV 9628 "Archie" (1960, cached #114-666) and GCD 10447 "Archie" (1959-2015, rows from #102), per-file GCD 10447 on 427/525; 0.9 because the catalogues cut the same run at DIFFERENT numbers — CV 1898 "Archie Comics" #1-113 and GCD 285 #1-101 — so ~106 early files sit outside the stored era, plus the three 1000-page digests and one IDW book (named below)
F 1212 needs-fetch cv=9628 | CV 9628 "Archie" 1960 (553) is named from the rip only; no CvVolume row
N 1212 the first era is CV 1898 "Archie Comics" (1942, 113 issues, #1-113) and GCD 285 "Archie Comics" (1942-1960, rows #1-101): CV cuts at #113/#114 (1960), GCD at #101/#102 (1959), so no single split point is clean on both legs — kept whole on the majority era (L-198 / L-307: a mid-run retitle is not by itself a split); the lead may prefer R + split at CV's #113/#114
F 1212 misfiled | item 31744 "Archie by Bob Montana - The Complete Newspaper Comics - 1946-1948 (2010)" sits in an IDW folder — an IDW newspaper-strip collection (EAN 9781600106699), not an issue of the Archie comic book
I 7417 cv=469248 gcd=1702877 isbn=978-1-61988-956-9 0.95 | "Archie 1000 Page Celebration (2014)" 998pp = CV 77875 "Archie 1000 Page Comics Celebration" issue 469248 and GCD 114290 row 1702877 (1004pp)
I 7418 cv=487888 gcd=1353676 isbn=978-1-62738-945-7 0.95 | "Archie 1000 Page Comics Blowout! (2015)" 998pp = CV 81847 issue 487888 and GCD 89329 row 1353676 (1004pp, 2015-05-06)
I 7419 cv=475534 gcd=1605981 isbn=978-1-61988-968-2 0.95 | "Archie 1000 Page Mega Comics Digest (2014)" 1000pp = CV 79279 issue 475534 and GCD 104538 row 1605981 (1004pp)
I 31744 cv=- gcd=- isbn=9781600106699 1.0 | the EAN13 barcode 9781600106699 on the book is its own assertion (IDW 2010, The Complete Newspaper Comics 1946-1948); neither "Archie by Bob Montana" probe finds a CV or GCD record locally

# ---- Wonder Woman ----
S 101470 cv=3824 gcd=3396 0.9 | Wonder Woman (1987): CV 3824 (DC 1987, 228, cached #0-226 + #1000000) and GCD 3396 (1987-2006, 228) agree on count; our "03 Wonder Woman v2 (1986)" ladder 0-8 / 15-226 fits, GCD 3396 per-file on 205/243, and GCD's own roll-ups put every joined trade on s3396 (Perez #1-35, Byrne #101-124, Rucka #206-217, Last True Hero #63-76); 0.9 for Wonder Woman Annual #0-8 (GCD 3827, a separate annual record); the per-file CV 18525 is the 1942 legacy stamp
F 101470 misfiled | items 76060-76062 "Wonder Woman 303-305 (1983)" are the 1942 run's #303-305 — S66314's 1942 ladder (…300-302, 306-329) lacks exactly #303-305; they belong on S66314
I 76348 cv=786292 gcd=2132187 isbn=9781779500366 0.95 | "Wonder Woman Book 1 - The Last True Hero (2020)" 401pp = CV 129216 issue 786292 and GCD 162593 row #1 2132187 (404pp)
C 76348 cv=3824 gcd=3396 #66-76 0.9 | The Last True Hero collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #63-64 and #66-76 per GCD row 2132187's notes — the larger stretch #66-76 is stated; #63-64 on the N
N 76348 The Last True Hero also collects Wonder Woman (1987) #63-64 (a separate stretch: #65 is not in the book), Wonder Woman Special (1992) #1 and Wonder Woman Annual (1988) #3 per GCD row 2132187
C 76348 cv=25656 gcd=4425 #1-1 0.95 | The Last True Hero also collects Wonder Woman Special (DC 1992, one-shot, CV 25656 / GCD 4425) #1 per GCD row 2132187's notes
I 76350 cv=544974 gcd=1616025 isbn=9781401263751 0.9 | "Wonder Woman by George Perez Vol. 01 (2016)" 347pp = CV 93210 "Wonder Woman By George Pérez" #1 issue 544974 and GCD 105499 row #1 1616025 (356pp); a later-printing twin row keeps it at 0.9 (the stored CV 84053 is the hardcover Omnibus, another edition)
I 76351 cv=- gcd=1709874 isbn=9781401269067 0.95 | Perez Vol. 02 (2017) 289pp = GCD 105499 row #2 1709874 (292pp); CV 93210's #2 issue is not in the rip's cache
I 76352 cv=- gcd=1799096 isbn=9781401278328 0.95 | Perez Vol. 03 (2018) 263pp = GCD 105499 row #3 1799096 (268pp)
I 76357 cv=606585 gcd=1720071 isbn=9781401271176 0.95 | "Wonder Woman by Greg Rucka Vol. 02 (2017)" 308pp = CV 92217 #2 issue 606585 and GCD 104139 row #2 1720071 (324pp)
I 76359 cv=598365 gcd=1708146 isbn=9781401270841 0.95 | "Wonder Woman by John Byrne Vol. 01 (2017)" 324pp = CV 101800 #1 issue 598365 and GCD 114406 row #1 1708146 (344pp)
I 76360 cv=675966 gcd=1822558 isbn=9781401280727 0.95 | Byrne Vol. 02 (2018) 323pp = CV 101800 #2 issue 675966 and GCD 114406 row #2 1822558 (336pp)
N 101470 the Perez / Byrne / Rucka trades collect this shelf's own run (Wonder Woman 1987), so their C lines are optional; the ones below restate R-029's ranges, which correct the judged #15-20 (Perez 02) and #101-115 (Byrne 01)
C 76350 cv=3824 gcd=3396 #1-14 0.95 | Perez Vol. 01 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #1-14 per GCD row 1616025's notes
C 76351 cv=3824 gcd=3396 #15-24 0.95 | Perez Vol. 02 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #15-24 per GCD row 1709874's notes (plus Annual #1)
C 76352 cv=3824 gcd=3396 #25-35 0.95 | Perez Vol. 03 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #25-35 per GCD row 1799096's roll-up
C 76357 cv=3824 gcd=3396 #206-217 0.95 | Rucka Vol. 02 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #206-217 per GCD row 1720071's notes (plus The Flash #219)
C 76359 cv=3824 gcd=3396 #101-114 0.95 | Byrne Vol. 01 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #101-114 per GCD row 1708146's notes
C 76360 cv=3824 gcd=3396 #115-124 0.95 | Byrne Vol. 02 collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #115-124 per GCD row 1822558's roll-up (plus Annual #5-6)
S 21955 cv=42953 gcd=61069 0.9 | the New 52 Wonder Woman: CV 42953 (DC 2011, 55, cached #0-52) and GCD 61069 (2011-2016, 55) agree; our ladder 1-40 with 23.1/23.2 and 46-52 (files dated Nov 2011 - 2016, incl. the P-012-joined #34-40, #46-52) fits both; 0.9 for residue that is other comics — WW (2006) #4 and Annual (2007) #1, the 1987 run's #1000000, and one trade each of the 1987 and 2016 runs (Deodato, Year One Deluxe), named below
F 21955 misfiled | items 17539 "Wonder_Woman_04 (2007)" and 17540 "Wonder_Woman_Annual_01 (2007)" are Wonder Woman (2006) (CV 18208, shelf S21970) — the One Year Later folder's rips, not the New 52 run
N 21955 item 18036 "Wonder Woman 1000000 (1998)" is the 1987 run's #1000000 (CV 3824 issue 83270) filed in the DC One Million event folder — residue
I 76343 cv=716823 gcd=2010125 isbn=978-1-4012-9265-2 0.95 | "Wonder Woman - Year One - The Deluxe Edition (2019)" 183pp = CV 120775 issue 716823 (HC, 2019-08-21) and GCD 149709 row 2010125 (200pp, 2019-08-21)
N 76343 Year One Deluxe collects Wonder Woman (2016) #2, #4, #6, #8, #10, #12, #14 only (GCD row 2010125) — seven non-adjacent single issues, so no contiguous C range exists without widening across the odd-numbered gaps (R-029 ruling); the judged #2-14 over-states it
I 77935 cv=529641 gcd=1566697 isbn=978-1-4012-6106-1 0.95 | "Wonder Woman by Mike Deodato (2016)" 373pp = CV 90438 issue 529641 and GCD 101152 row 1566697 (380pp)
C 77935 cv=3824 gcd=3396 #90-100 0.95 | the Deodato book collects Wonder Woman (DC 1987, 228; CV 3824 / GCD 3396) #0, #85, #90-100 per GCD row 1566697 — the larger stretch #90-100 is stated; the judged #85-100 widens across #86-89
N 77935 the Deodato book also collects Wonder Woman (1987) #0 and #85 and Legends of the DC Universe #4-5 (GCD row 1566697), stretches separate from #90-100
S 101473 cv=91774 gcd=103460 0.95 | the Rebirth Wonder Woman: CV 91774 (DC 2016, 134, cached #1-800) and GCD 103460 (2016-2023, 134) agree; every book here is that run or its own trade — Vol. 01-09 (GCD 112292 rows collect s103460 #1-55), the 2019-2021 Vol. 01/02/04/05 (s103460 #58-73, #82-83 + #750-769) and the #30-35 / #73-77 1pp variant covers; the per-file CV 18525 is the 1942 legacy stamp
I 76118 cv=582511 gcd=1676241 isbn=978-1-4012-6778-0 0.95 | Vol. 01 - The Lies 171pp = CV 99063 "Wonder Woman" (2017 TPB line, 9) #1 issue 582511 "Volume 1: The Lies" and GCD 112292 row #1 1676241 (180pp)
I 76119 cv=594100 gcd=1696199 isbn=978-1-4012-6880-0 0.95 | Vol. 02 - Year One 159pp = CV 99063 #2 issue 594100 "Volume 2: Year One" and GCD 112292 row #2 1696199 (172pp)
I 76120 cv=616155 gcd=1729107 isbn=978-1-4012-7141-1 0.95 | Vol. 03 - The Truth 170pp = CV 99063 #3 issue 616155 and GCD 112292 row #3 1729107 (180pp)
I 76121 cv=638584 gcd=1757702 isbn=978-1-4012-7460-3 0.95 | Vol. 04 - Godwatch 139pp = CV 99063 #4 issue 638584 and GCD 112292 row #4 1757702 (148pp)
I 76122 cv=669441 gcd=1806562 isbn=978-1-4012-7734-5 0.95 | Vol. 05 - Heart of the Amazon 172pp = CV 99063 #5 issue 669441 and GCD 112292 row #5 1806562 (180pp)
I 76123 cv=684898 gcd=1845232 isbn=978-1-4012-8424-4 0.95 | Vol. 06 - Children of the Gods 158pp = CV 99063 #6 issue 684898 and GCD 112292 row #6 1845232 (172pp)
I 76124 cv=695622 gcd=1884038 isbn=978-1-4012-8534-0 0.95 | Vol. 07 - Amazons Attacked 180pp = CV 99063 #7 issue 695622 and GCD 112292 row #7 1884038 (196pp)
I 76125 cv=706398 gcd=1949973 isbn=978-1-4012-8901-0 0.95 | Vol. 08 - Dark Gods 147pp = CV 99063 #8 issue 706398 and GCD 112292 row #8 1949973 (172pp)
I 76126 cv=713784 gcd=1997153 isbn=978-1-4012-9205-8 0.95 | Vol. 09 - The Enemy of Both Sides 213pp = CV 99063 #9 issue 713784 and GCD 112292 row #9 1997153 (228pp)
I 76135 cv=723742 gcd=2026898 isbn=9781779501660 0.95 | "Wonder Woman Vol. 01 - The Just War (2019)" 189pp = CV 122181 #1 issue 723742 and GCD 151240 row #1 2026898 (200pp)
I 76137 cv=745568 gcd=2100552 isbn=9781779500403 0.9 | Vol. 02 - Love is a Battlefield 187pp = CV 122181 #2 issue 745568 and GCD 151240 row #2 2100552 (200pp); GCD's paperback twin row 2136522 also fits
I 76139 cv=843959 gcd=2218065 isbn=9781779509109 0.95 | Vol. 04 - The Four Horsewomen 318pp = CV 122181 #4 issue 843959 and GCD 160653 row #4 2218065 (340pp)
