# R-044 — revisit of the split lane's P-008 (second part): NEW shelves with their KEPT halves, read as pairs.
# Shapes: New Warriors (1990 half + 1999 / 2014 / ashcan); Popeye (Fantagraphics' Segar line, the Sundays line, the
# by-year strip rips); Amazing Spider-Man (the legacy mega-shelf, the 2018 Spencer trades S95051, the 2014 trades
# S95052, ASM '97, the strip webrips); Loveless; Nightwing 1996 / New 52; Wasteland DC vs Oni; Flash Gordon (Mad Cave,
# Dynamite omnibus, Titan's Complete Library, strip webrips); Hellblazer's 26-volume trade line + the 2020 run;
# Love and Rockets (New Stories, v4, Covers, Companion, FCBD, the Library line); Namor 2003 / 2024; Dynamo 5; Regular
# Show Hydration. Every split-reader id was re-probed.

# ================= New Warriors =================
S 94672 cv=6787 gcd=7302 0.9 | split run had no ids; "New Warriors v2 001-010 (1999-2000)" + #0 (c2c) + a chronology second copy of #5 = CV 6787 (Marvel 1999, 11 incl. #0) = GCD 7302 (Marvel 1999-2000, 10 rows #1-10, numx10); the per-file CV 4407 is the 1990 run's stamp; 0.9 because the #0 is Wizard's giveaway, which GCD files apart (7301)
F 13955 provider-missing | GCD has no "E.C. Segar Popeye Sundays" (Fantagraphics 2021-2024) series
I 24890 cv=886063 gcd=- 0.9 | v01 Olive Oyl and Her Sweety = CV 139195 #1 issue 886063
I 24891 cv=964081 gcd=- 0.9 | v02 Wimpy and His Hamburgers = CV 139195 #2 issue 964081
I 24892 cv=1035782 gcd=- 0.9 | v03 The Sea Hag & Alice the Goon = CV 139195 #3 issue 1035782
I 24893 cv=1078667 gcd=- 0.9 | v04 Swee'Pea & Eugene the Jeep = CV 139195 #4 issue 1078667
R 13949 | the KEPT half is 18 year-by-year newspaper-strip rips "Popeye (1935) … (2024) (Clark Kent)" (dailies 308-314pp, Sundays 52-53pp) in Webcomics and Strips\Popeye (by year): no provider holds year archives of the King Features strip (L-164); the stored CV 1174 is Western/Dell's 1948 comic book (168 issues) and the dump's 26690 / 541 are comic books too
F 13949 wrong-cv-link | stored CV 1174 "Popeye" (Western Publishing 1948, 168 comic-book issues) is not these newspaper-strip year files — no volume replaces it
F 13949 provider-missing | neither leg records year-by-year archives of the Popeye newspaper strip

# ================= Amazing Spider-Man =================
S 95051 cv=112161 gcd=126774 0.9 | split run had no ids; the lead's ids CONFIRMED: thirteen "Amazing Spider-Man Vol. 01-05, 07, 09-15" (Back to Basics … What Cost Victory) + the Spencer Omnibus Book 01 are the trades of CV 112161 "The Amazing Spider-Man" (Marvel 2018, 106 incl. point issues) = GCD 126774 "Amazing Spider-Man" (Marvel 2018-2022, 106); GCD notes on the trade line say "Amazing Spider-Man (Marvel, 2018 series) #6-10 … #48-49"; no shelf stores either id; 0.9 for the two annuals (their own volume)
N 95051 the C-050 R ("no English record") is superseded: CV 115556 / GCD 134601 "Amazing Spider-Man by Nick Spencer" are the trade line, CV 112161 / GCD 126774 the run; the stored GCD row of Vol. 01 (2305280) is a French edition (the packet's ⚠)
I 94750 cv=693455 gcd=1876644 isbn=9781302912314 0.95 | Vol. 01 Back to Basics 149pp = CV 115556 #1 issue 693455 and GCD 134601 #1 row 1876644 (156pp)
I 94751 cv=701299 gcd=1925568 isbn=9781302912321 0.95 | Vol. 02 Friends and Foes = CV 115556 #2 issue 701299 and GCD 134601 #2 row 1925568 (collects #6-10)
I 94752 cv=707504 gcd=1955533 isbn=9781302914332 0.95 | Vol. 03 Lifetime Achievement = CV 115556 #3 issue 707504 and GCD 134601 #3 row 1955533 (#11-15)
I 94753 cv=716351 gcd=2009604 isbn=9781302914349 0.95 | Vol. 04 Hunted 299pp = CV 115556 #4 issue 716351 and GCD 134601 #4 row 2009604 (308pp, #16-23 + #16.HU/#18.HU)
I 94754 cv=723754 gcd=2028276 isbn=9781302914356 0.95 | Vol. 05 Behind the Scenes = CV 115556 #5 issue 723754 and GCD 134601 #5 row 2028276 (#24-28)
I 94756 cv=751961 gcd=2125378 isbn=9781302920227 0.95 | Vol. 07 2099 = CV 115556 #7 issue 751961 and GCD 134601 #7 row 2125378 (#32-36)
I 94759 cv=816734 gcd=2163394 isbn=9781302920241 0.95 | Vol. 09 Sins Rising = CV 115556 #9 issue 816734 and GCD 134601 #9 row 2163394
I 94760 cv=820809 gcd=2233301 isbn=9781302920258 0.95 | Vol. 10 Green Goblin Returns = CV 115556 #10 issue 820809 and GCD 134601 #10 row 2233301 (#48-49 + Sins of Norman Osborn)
I 94761 cv=832888 gcd=2233337 isbn=9781302925871 0.95 | Vol. 11 Last Remains = CV 115556 #11 issue 832888 and GCD 134601 #11 row 2233337
I 94763 cv=856173 gcd=2233353 isbn=9781302926052 0.95 | Vol. 12 Shattered Web = CV 115556 #12 issue 856173 and GCD 134601 #12 row 2233353
I 94764 cv=879512 gcd=2253645 isbn=9781302926069 0.95 | Vol. 13 King's Ransom = CV 115556 #13 issue 879512 and GCD 134601 #13 row 2253645
I 94765 cv=883352 gcd=2258752 isbn=9781302926076 0.95 | Vol. 14 Chameleon Conspiracy = CV 115556 #14 issue 883352 and GCD 134601 #14 row 2258752
I 94767 cv=914732 gcd=2277478 isbn=9781302926083 0.95 | Vol. 15 What Cost Victory 174pp = CV 115556 #15 issue 914732 and GCD 134601 #15 row 2277478 (180pp)
I 95941 cv=964205 gcd=2476517 isbn=9781302946098 0.95 | "The Amazing Spider-Man by Nick Spencer Omnibus Book 01" 1297pp = CV 147403 #1 issue 964205 and GCD 194816 #1 row 2476517 (1336pp)
I 94770 cv=685832 gcd=1849459 0.95 | "Amazing Spider-Man Annual 001 (2018)" 34pp = CV 113685 #1 issue 685832 and GCD 129796 row 1849459 (#1, 40pp, 2018-09-19) — the annual's own volume
I 94771 cv=868604 gcd=2239793 0.95 | "Amazing Spider-Man Annual 002 (2021)" 31pp = CV 113685 #2 issue 868604 (Infinite Destinies) and GCD 129796 #2 row 2239793 (40pp, 2021-07-07)
S 64133 cv=2127 gcd=1570 0.9 | the legacy shelf (869 files): "Amazing Spider-Man 001-441 (1963-1998)", the 1999 v2 and the 2003 "v1" continuation #500-700, Annuals 1-42, facsimiles = CV 2127 (Marvel 1963, the one legacy volume, cached #1-700.5) with GCD 1570 (1963-1998, 443) for the dominant 1963 era (GCD splits the later eras as 11288); 0.9 because some thirty chronology files from the 2014 / 2015 / 2018 / 2022 runs still sit here (misfiled, below)
F 64133 misfiled | the 2018 Spencer run's books sit here: items 94755 / 118417 (Vol. 06 Absolute Carnage, two rips), 95789 (Nick Spencer Omnibus Book 01) and chronology issues 118443-118451, 118530-118538 ("Amazing Spider-Man 037-049 (2020)", "070-074 (2021)") belong with S95051 (CV 112161 / GCD 126774); 118594 / 118597-118598+ ("014 (2023)", "037-044 (2024)") are the 2022 run (S95053); 117767-117768 ("004/005 (2014)") the 2014 run (S95052); 118297-118300 ("025-031 (2017)") the 2015 run (GCD 92892)
I 94755 cv=731984 gcd=2125379 isbn=9781302917272 0.95 | Vol. 06 Absolute Carnage 108pp = CV 115556 #6 issue 731984 and GCD 134601 #6 row 2125379 (collects ASM 2018 #29-31 + Red Goblin: Red Death #1; judged #29-31)
I 118417 cv=731984 gcd=2125379 isbn=9781302917272 0.95 | the second rip of Vol. 06 Absolute Carnage — same record
I 95789 cv=964205 gcd=2476517 isbn=9781302946098 0.95 | "Amazing Spider-Man by Nick Spencer Omnibus Book 01" 1297pp = CV 147403 #1 issue 964205 and GCD 194816 #1 row 2476517 (1336pp); judged #1-43
C 94755 cv=112161 gcd=126774 #29-31 0.95 | Absolute Carnage collects Amazing Spider-Man (Marvel 2018 series, CV 112161 / GCD 126774) #29-31 per GCD notes for row 2125379 — not the legacy volume this shelf carries
C 118417 cv=112161 gcd=126774 #29-31 0.95 | the second rip collects the same Amazing Spider-Man (2018) #29-31 (GCD notes for row 2125379)
C 95789 cv=112161 gcd=126774 #1-43 0.9 | the Spencer omnibus collects Amazing Spider-Man (2018 series) #1-43 (judged range, 1297pp; GCD roll-up for row 2476517 links s126774)
S 95052 cv=73420 gcd=80405 0.9 | split run had no ids; three trades Vol. 03 Spider-Verse / 04 Graveyard Shift / 05 Spiral in "05 Amazing Spider-man v3 (2014)" are the 2014 run's own (GCD 86777 rows #3-5 carry exactly these titles): CV 73420 (Marvel 2014, 28 incl. .1 issues) = GCD 80405 (Marvel 2014-2015, 28); judged #9-15 / #16-18 / #16-20 fit that run; 0.9 for the 2015 Special and the misfiled #794
N 95052 CORRECTS C-050's gcd=92892: GCD 92892 is the 2015-2018 run (legacy #789-801), which these 2014-run trades do not collect; the per-file CV 2127 is the legacy stamp
F 95052 misfiled | item 118375 "03 Amazing Spider-Man 794 (2018)" is the 2015 run's legacy #794 (GCD 92892), joined here by P-008 only because the old S line named 92892
I 94736 cv=494943 gcd=1325207 isbn=9780785192343 0.95 | Vol. 03 Spider-Verse 143pp = CV 83232 issue 494943 "Volume 3" and GCD 86777 #3 row 1325207 (172pp)
I 94737 cv=498381 gcd=1450278 isbn=9780785193388 0.95 | Vol. 04 Graveyard Shift 100pp = CV 84084 issue 498381 "Volume 4" and GCD 86777 #4 row 1450278 (108pp)
I 94738 cv=501015 gcd=1460652 isbn=9780785193166 0.95 | Vol. 05 Spiral 107pp = CV 84745 issue 501015 "Volume 5" and GCD 86777 #5 row 1460652 (116pp)
I 94740 cv=482151 gcd=1330487 0.9 | "Amazing Spider-Man Special 001 (2015)" 33pp = CV 80596 issue 482151 and GCD 87139 row 1330487 (40pp) — a one-shot beside the run
S 103519 cv=60438 gcd=20854 0.95 | split-reader ids CONFIRMED: "Amazing Spider-Man Annual 031a (1997)" 42pp is The Amazing Spider-Man '97 = CV 60438 (Marvel 1997, count 1, issue 143309 "...Before the Dawn") = GCD 20854 (1 row, 52pp, 1997-07-23); its own one-shot, not the legacy annual numbering
I 93879 cv=143309 gcd=328188 0.95 | the one-shot's own CV issue 143309 and GCD row 328188
R 34339 | the KEPT half: eleven "The Amazing Spider-Man (2013) … (2023) (DCP Webrips)" year archives of the newspaper strip (L-164: no provider record), "Annual 031b (1998)" (no record found under ASM '98 / Annual) and "Amazing Spider-Man Omnibus Book 01 (2022)" 1141pp (its per-file GCD 172199 is a French edition; which omnibus it is cannot be shown) — no single record spans these; the per-file CV 2127 is the legacy stamp
F 34339 provider-missing | the strip webrips (items 114480-114490) have no record in either leg; the stored-key links are cv=- already

# ================= Loveless =================
S 103479 cv=18343 gcd=13730 0.95 | split-reader ids CONFIRMED: "Loveless 001-024 (2005-2008)" in Vertigo\Loveless = CV 18343 (DC 2005, 24) = GCD 13730 (DC 2005-2008, 24, numx13); the per-file CV 103472 is the unrelated Japanese manga Loveless (Ichijinsha) and GCD 20938 Tokyopop's
F 103479 needs-fetch cv=18343 | named from the rip only
S 11029 cv=52871 gcd=- 0.9 | the KEPT half: "Loveless Omnibus v01-v04" (429/431/435/399pp) in Manga\Loveless (2002) = Viz's 2-in-1 omnibus line CV 52871 (Viz 2012, 4 issues titled "Vol. 1 & 2" … "Vol. 7 & 8"); the stored CV 103472 is Ichijinsha's Japanese edition; GCD's Viz 68403 holds only the later single volumes #9-13 and Tokyopop's 20938 the first English singles, so no GCD leg
F 11029 wrong-cv-link | stored CV 103472 "Loveless" (Ichijinsha 2002) is the Japanese original; our books are Viz's English omnibuses, CV 52871
F 11029 needs-fetch cv=52871 | named from the rip only
F 11029 provider-missing | GCD has no record of Viz's Loveless omnibus editions
I 45063 cv=360881 gcd=- 0.9 | Omnibus v01 = CV 52871 #1 issue 360881 "Vol. 1 & 2"
I 45064 cv=378968 gcd=- 0.9 | Omnibus v02 = CV 52871 #2 issue 378968 "Vol. 3 & 4"
I 45065 cv=396484 gcd=- 0.9 | Omnibus v03 = CV 52871 #3 issue 396484 "Vol. 5 & 6"
I 45066 cv=416996 gcd=- 0.9 | Omnibus v04 = CV 52871 #4 issue 416996 "Vol. 7 & 8"

# ================= Nightwing =================
S 65356 cv=5755 gcd=5516 0.9 | split run had no ids; "Nightwing 000.5, 065-153 (1997-2009)", its annual / 80-page giant / #1000000, the eight "Nightwing Vol. 01-08" trades and the Year One deluxe = the stored CV 5755 (DC 1996, 155) = GCD 5516 (DC 1996-2009, 154); GCD roll-ups put the trades at s5516 #1-8 … #54-60 and the deluxe at #101-106; 0.9 because five later-run issues and a Flash one-shot are filed here (below)
F 65356 misfiled | items 18264 ("Nightwing 008 - June 2012", New 52 run CV 42720), 19073 / 19076 ("Nightwing 005/006 (2016)") and 61476 / 61477 ("Nightwing 084/085 (2021)", the Rebirth run CV 92569 / GCD 104515) come from event-chronology folders; 69963 "The Flash Plus Nightwing 001 (1996)" is its own one-shot
I 68564 cv=471950 gcd=1389228 isbn=9781401251444 0.95 | Vol. 01 Blüdhaven 287pp = CV 78544 issue 471950 "Volume 1" and GCD 89991 #1 row 1389228 (292pp)
I 68565 cv=491503 gcd=1389229 isbn=9781401255336 0.95 | Vol. 02 Rough Justice 293pp = CV 82533 issue 491503 and GCD 89991 #2 row 1389229 (300pp)
I 68566 cv=509688 gcd=1516907 isbn=9781401258559 0.95 | Vol. 03 False Starts 291pp = CV 86985 issue 509688 and GCD 89991 #3 row 1516907 (300pp)
I 68567 cv=526025 gcd=1559088 isbn=9781401260873 0.95 | Vol. 04 Love and Bullets 297pp = CV 89797 issue 526025 and GCD 89991 #4 row 1559088 (308pp)
I 68568 cv=555497 gcd=1641209 isbn=9781401265021 0.95 | Vol. 05 The Hunt for Oracle 332pp = CV 95230 issue 555497 and GCD 89991 #5 row 1641209 (348pp)
I 68569 cv=608186 gcd=1721558 isbn=9781401270810 0.95 | Vol. 06 To Serve and Protect 257pp = CV 102768 issue 608186 and GCD 89991 #6 row 1721558 (268pp)
I 68570 cv=659989 gcd=1784519 isbn=9781401277567 0.95 | Vol. 07 Shrike 255pp = CV 108747 issue 659989 "Volume 7" and GCD 89991 #7 row 1784519 (268pp)
I 68571 cv=692043 gcd=1872600 isbn=9781401285050 0.95 | Vol. 08 Lethal Force 243pp = CV 115268 issue 692043 "Volume 8" and GCD 89991 #8 row 1872600 (252pp)
I 68780 cv=1068707 gcd=2649555 isbn=9781779527172 0.95 | "Nightwing - Year One - 20th Anniversary Deluxe Edition" 207pp = CV 159618 issue 1068707 and GCD 214182 row 2649555 (208pp; collects Nightwing (DC, 1996 series) #101-106)
C 68564 cv=5514 gcd=5244 #1-4 0.95 | Vol. 01 also collects the 1995 Nightwing mini (CV 5514 / GCD 5244, 4 issues) #1-4 per GCD's roll-up for row 1389228
C 68566 gcd=14159 #1-4 0.95 | Vol. 03 also collects Nightwing and Huntress (DC 1998, GCD 14159) #1-4 per GCD's roll-up for row 1516907
C 68568 gcd=6991 #20-21 0.9 | Vol. 05 also collects Birds of Prey (DC 1999 series, GCD 6991) #20-21 per GCD's roll-up for row 1641209
S 12955 cv=42720 gcd=61072 0.95 | the KEPT half: "Nightwing 000-018 (2011-2013)" + "#025 - January 2014" from the New 52 Trinity read-order folders = CV 42720 (DC 2011, 31) = GCD 61072 (DC 2011-2014, 31); ladder 0-18, 25 inside both; the per-file CV 5755 is the 1996 run's stamp; it is the run S94871 carries through its five trades
F 12955 merge-with=94871 | the same New 52 run: S94871 "Nightwing v3 (2011)" holds Vol. 01-05 (judged #0-30) under cv=42720 gcd=61072 (C-016); these 19 files are that run's issues

# ================= Wasteland =================
S 103528 cv=17996 gcd=18782 0.95 | split-reader ids CONFIRMED: eleven Oni trades "Wasteland Vol. 01-11" = the trades of CV 17996 (Oni 2006, 60) = GCD 18782 (Oni 2006-2015, 60); GCD's trade line 65537 titles Vols. 1-10 exactly; the per-file CV 3821 is DC's 1987 Wasteland
I 109038 cv=135722 gcd=944816 0.95 | Vol. 01 Cities in Dust = CV 22612 issue 135722 "Book 01" and GCD 65537 #1 row 944816
I 109039 cv=135723 gcd=944817 0.95 | Vol. 02 Shades of God = CV 22613 issue 135723 "Book 02" and GCD 65537 #2 row 944817
I 109040 cv=362515 gcd=944818 0.95 | Vol. 03 Black Steel in the Hour of Chaos = CV 53187 issue 362515 and GCD 65537 #3 row 944818
I 109041 cv=362516 gcd=944819 0.95 | Vol. 04 Dog Tribe = CV 53188 issue 362516 and GCD 65537 #4 row 944819
I 109042 cv=362517 gcd=944820 0.95 | Vol. 05 Tales of the Uninvited = CV 53189 issue 362517 and GCD 65537 #5 row 944820
I 109043 cv=362518 gcd=944821 0.95 | Vol. 06 The Enemy Within = CV 53190 issue 362518 and GCD 65537 #6 row 944821
I 109044 cv=358967 gcd=976021 isbn=9781934964941 0.95 | Vol. 07 Under the God = CV 52438 issue 358967 and GCD 65537 #7 row 976021
I 109045 cv=415288 gcd=1052156 0.95 | Vol. 08 Lost in the Ozone = CV 64698 issue 415288 and GCD 65537 #8 row 1052156
I 109046 cv=448090 gcd=1287962 isbn=9781620101186 0.95 | Vol. 09 A Thousand Lies = CV 72445 issue 448090 and GCD 65537 #9 row 1287962
I 109047 cv=472069 gcd=1287963 isbn=9781620101315 0.95 | Vol. 10 Last Exit for the Lost = CV 78584 issue 472069 and GCD 65537 #10 row 1287963
I 109048 cv=496491 gcd=- 0.9 | Vol. 11 Floodland = CV 83599 issue 496491 "Book 11"; GCD's trade line stops at #10
S 21297 cv=3821 gcd=3391 0.95 | the KEPT half: "Wasteland 001-018 (1987-1989)", ComicInfo Publisher DC x17 = the stored CV 3821 (DC 1987, 18) = GCD 3391 (DC 1987-1989, 18, numx18)

# ================= Flash Gordon =================
S 103459 cv=158146 gcd=214095 0.95 | split-reader ids CONFIRMED: "Flash Gordon 001-005 (2024)" in MadCave\Flash Gordon v1 (2024) = CV 158146 (Mad Cave 2024) = GCD 214095 (Mad Cave 2024-?, 17); the per-file CV 23142 is Ardden's 2008 series
F 103459 needs-fetch cv=158146 | named from the rip only
S 103460 cv=- gcd=211776 0.9 | split-reader id CONFIRMED: "Flash Gordon 000 FCBD (2024)" 31pp = GCD 211776 (Mad Cave 2024 giveaway, #0 row 2627398, 32pp); CV folds it into the run as #0 (issue 1054940 of 158146), which never goes on a one-shot's S line
I 37856 cv=1054940 gcd=2627398 0.9 | the giveaway's own GCD row 2627398 and CV issue 1054940 (#0 of volume 158146)
S 103458 cv=72935 gcd=80065 0.95 | split-reader ids CONFIRMED: the one book "Flash Gordon Omnibus Book 01 - The Man From Earth (2015)" 283pp reprints Dynamite's 8-issue run CV 72935 (2014, 8) = GCD 80065 (2014-2015, 8) — GCD notes "? #1-8"; a trade of one run gives way to the run
I 21890 cv=490902 gcd=1384537 isbn=9781606905999 0.95 | the omnibus' own record: CV 82355 issue 490902 (TPB 2015) and GCD 89819 row 1384537 (2015-06-03)
S 18268 cv=52629 gcd=74557 0.95 | split run had no ids; Titan's Complete Flash Gordon Library: "Vol. 01 - On the Planet Mongo" and "Flash Gordon Sundays - The Storm Queen of Valkir (2015)" are #1 and #4 of the stored CV 52629 (4 issues: On Planet Mongo … The Storm Queen of Valkir) = GCD 74557 (Titan 2012-2015, 4 rows with the same titles); a strip line published as volumes
I 110381 cv=359876 gcd=1115297 isbn=9780857681546 0.95 | Vol. 01 On the Planet Mongo 213pp = CV 52629 #1 issue 359876 and GCD 74557 #1 row 1115297 (216pp)
I 110380 cv=501085 gcd=1906532 isbn=9781782762867 0.95 | "The Storm Queen of Valkir (2015)" 226pp = CV 52629 #4 issue 501085 and GCD 74557 #4 row 1906532 (232pp, 2015-09)
R 6772 | the KEPT half is 22 year-by-year newspaper-strip rips "Flash Gordon (1955) … (2023) (DCP Webrips)" in Webcomics and Strips\Flash Gordon: no provider holds year archives of the King Features strip (L-164); the per-file CV 23142 (Ardden 2008 comic) and the dump's Harvey / Dell comic books are other comics
F 6772 provider-missing | neither leg records year-by-year archives of the Flash Gordon newspaper strip

# ================= Hellblazer =================
S 103466 cv=4008 gcd=3599 0.95 | split-reader ids CONFIRMED: twenty-six "John Constantine, Hellblazer Vol. 01-26 (2011-2022)" = DC's reissue trade line GCD 80455 (26 rows, titles = ours), whose notes say "Hellblazer (DC, 1988 series) #1-9 … #292-300" — the whole run CV 4008 (DC 1988, 300) = GCD 3599 (DC 1988-2013, 300); a line reprinting one run gives way to the run; the per-file CV 123099 is the 2019 series
F 103466 needs-fetch cv=4008 | named from the rip only
I 112712 cv=167649 gcd=1203200 isbn=9781401230067 0.95 | Vol. 01 Original Sins = GCD 80455 #1 row 1203200 (collects #1-9) and CV 27495 issue 167649 "Vol. 1" (2011)
I 112713 cv=- gcd=1203201 isbn=9781401233020 0.9 | Vol. 02 The Devil You Know = GCD 80455 #2 row 1203201 (#10-13 + Annual #1 + The Horrorist #1-2); CV's 27529 is the 2007 edition
I 112714 cv=- gcd=1203202 isbn=9781401235192 0.9 | Vol. 03 The Fear Machine = GCD 80455 #3 row 1203202 (#14-22); CV's 27536 is the 2008 edition
I 112715 cv=- gcd=1203203 isbn=9781401236908 0.9 | Vol. 04 The Family Man = GCD 80455 #4 row 1203203; CV's 27537 is the 2008 edition
I 112716 cv=184441 gcd=1203204 isbn=9781401238025 0.95 | Vol. 05 Dangerous Habits = GCD 80455 #5 row 1203204 and CV 29989 issue 184441 "Vol. 5" (2013)
I 112717 cv=424033 gcd=1203205 isbn=9781401240431 0.95 | Vol. 06 Bloodlines = GCD 80455 #6 row 1203205 and CV 66901 issue 424033 "Volume 6" (2013)
I 112718 cv=- gcd=1203206 isbn=9781401243036 0.9 | Vol. 07 Tainted Love = GCD 80455 #7 row 1203206 (#62-71 + Vertigo Jam #1 + Hellblazer Special #1)
I 112719 cv=- gcd=1203207 isbn=9781401247492 0.9 | Vol. 08 Rake at the Gates of Hell = GCD 80455 #8 row 1203207
I 112720 cv=- gcd=1203208 isbn=9781401250720 0.9 | Vol. 09 Critical Mass = GCD 80455 #9 row 1203208
I 112721 cv=- gcd=1203209 isbn=9781401251376 0.9 | Vol. 10 In the Line of Fire = GCD 80455 #10 row 1203209
I 112722 cv=- gcd=1447262 isbn=9781401255299 0.9 | Vol. 11 Last Man Standing = GCD 80455 #11 row 1447262
I 112723 cv=- gcd=1524826 isbn=9781401258108 0.9 | Vol. 12 How to Play with Fire = GCD 80455 #12 row 1524826
I 112724 cv=- gcd=1566928 isbn=9781401261412 0.9 | Vol. 13 Haunted = GCD 80455 #13 row 1566928
I 112725 cv=- gcd=1615989 isbn=9781401263737 0.9 | Vol. 14 Good Intentions = GCD 80455 #14 row 1615989
I 112726 cv=- gcd=1665041 isbn=9781401265793 0.9 | Vol. 15 Highwater = GCD 80455 #15 row 1665041
I 112727 cv=- gcd=1704708 isbn=9781401269098 0.9 | Vol. 16 The Wild Card = GCD 80455 #16 row 1704708
I 112728 cv=- gcd=1734639 isbn=9781401273668 0.9 | Vol. 17 Out of Season = GCD 80455 #17 row 1734639
I 112729 cv=- gcd=1777715 isbn=9781401275389 0.9 | Vol. 18 The Gift = GCD 80455 #18 row 1777715
I 112730 cv=- gcd=1822563 isbn=9781401280802 0.9 | Vol. 19 Red Right Hand = GCD 80455 #19 row 1822563
