# R-164 (triaged 0.9 tier, Marvel: the Thunderbolts 2006 / 2024 runs, the Thunderbolts Epic Collection line and its per-book shelf, Burning Down the House; the Ultimate line - Ultimate Elektra, Ultimate Iron Man, Ultimate Spider-Man 2000 and the Bendis line, Ultimate X-Men, Ultimates 2, Ultimate Comics Ultimates; What If? Classic).
# Folders: Marvel\_Thunderbolts\NN Thunderbolts vN (year) with Trades / Variant Covers, Thunderbolts Epic Collections, _Trades; Marvel\_Ultimate Comics\<Title> (year)\NN <Title> (year) with Deluxe / Omnibus / Annuals subfolders; Marvel\_What If..._\What If v1 (1977); chronology trees file second rips.
# Run-vs-line (L-395 / L-403): What If? Classic (a trade line reprinting What If? 1977 only), Burning Down the House (a Thunderbolts 2006 trade), and the Ultimate Comics Spider-Man by Bendis line (UCSM 2011 only) give way to their runs; the Thunderbolts Epic Collection stays a LINE (open question with Eric) and its per-book shelf joins it (L-392).
# Surprises: S94864's two 1pp "Thunderbolts 001 (2023)" covers are the Asrar / Perez variant rows of Thunderbolts (2024) GCD 206551 - not the 2022 mini GCD 188709 that C-051 stored (L-404 method); Ultimate Comics Ultimates HAS an English GCD series - "Ultimates" 60917 (2011-2013, 31) - so C-064's provider-missing was a spelling miss; C-052's misfiled claim on What If "v1 027 / 031 / 033" was wrong - they ARE What If? (1977) #27 / #31 / #33 (Phoenix / Wolverine-Hulk / Dazzler); "Ultimate Spider-Man 200 (2014)" is GCD 60934 / CV 42821 #200, the 2011 run's.

S 94814 cv=18128 gcd=17522 0.95 | Thunderbolts (Marvel 2006-2012, #100-174): CV 18128 (2006, 76 issues) and GCD 17522 (Marvel 2006-2012, 76) agree on publisher, span and count; ComicInfo Volume "2006" x4; our "04 Thunderbolts v1 (2006)" ladder 100-102, 110-125, 130-143, 148-168 (+ #163.1) sits inside, and the four trades in its Trades folder are this run's own editions (Guardian Protocols #104-109, Burning Down the House #126-129, Cage #144-147, Like Lightning #169-174); the four #122-125 doubles are second rips
N 94864 no stored cv (C-051's wrong-cv-link was the wrong line, L-374); C-051's gcd=188709 is the 2022 Zub mini, which S94863 stores; per-file CV 6020 is the 1997 title stamp
I 97028 cv=1033212 gcd=2598915 isbn=- 0.95 | "Thunderbolts 001 (2023) (1-in-25 Mahmud Asrar Variant)" 1pp = CV 155139 #1 issue 1033212 and GCD 206551 #1 variant row 2598915 "Mahmud Asrar Cover"
I 97029 cv=1033212 gcd=2598680 isbn=- 0.95 | "Thunderbolts 001 (2023) (George Perez Variant)" 1pp = CV 155139 #1 issue 1033212 and GCD 206551 #1 variant row 2598680 "George Perez Cover"

S 20189 cv=- gcd=202496 0.9 | the Epic Collection LINE (L-109 / L-392; Epic lines kept pending Eric's run-vs-line answer): GCD 202496 "Thunderbolts Epic Collection" (Marvel 2023-?, 4 rows) holds our Vol. 02 "Wanted Dead or Alive" as #2 row 2627440 (436pp vs our 428pp, ISBN 978-1-302-95646-2); ComicVine mints only a count-1 volume per book (157983), so there is no CV line id
N 20189 the line reprints Thunderbolts (1997) in order (Vol. 01 #1-12, Vol. 02 #13-25); S20190 (Vol. 01) joins this shelf on its key "Thunderbolts Epic Collection" (split line in this file)
I 97036 cv=1053910 gcd=2627440 isbn=978-1-302-95646-2 0.95 | "Thunderbolts Epic Collection Vol. 02 - Wanted Dead or Alive (2024)" 428pp = CV 157983 issue 1053910 and GCD 202496 #2 row 2627440 (436pp)
C 97036 cv=6020 gcd=5812 #13-25 0.95 | Vol. 02 collects Thunderbolts (Marvel 1997-2003, 81; CV 6020 / GCD 5812) #13-25 per GCD row 2627440's roll-up (plus the Wizard #0, Avengers #12 and Captain America / Citizen V '98)

S 20190 cv=- gcd=202496 0.9 | volume 01 "Justice, Like Lightning" of the Thunderbolts Epic Collection LINE: GCD 202496 #1 row 2557652 (524pp, ISBN 978-1-302-95205-1, roll-up Thunderbolts #1-12) is our 507pp book; CV 152562 is only its count-1 book volume (issue 1003981, on the I line)
F 20190 wrong-cv-link | the stored CV 152562 "Thunderbolts Epic Collection: Justice, Like Lightning" is the Vol. 01 book's own count-1 volume, not the line; it belongs on the I line
F 20190 split-needed | item 97035 -> join S20189 on its ParsedKey "Thunderbolts Epic Collection" - S20189's S line is the same GCD 202496 line and holds Vol. 02; the one-book shelf empties by the join (L-377 / L-392)
I 97035 cv=1003981 gcd=2557652 isbn=978-1-302-95205-1 0.95 | "Thunderbolts Epic Collection Vol. 01 - Justice, Like Lightning (2023)" 507pp = CV 152562 issue 1003981 and GCD 202496 #1 row 2557652 (524pp)
C 97035 cv=6020 gcd=5812 #1-12 0.95 | Vol. 01 collects Thunderbolts (Marvel 1997-2003, 81; CV 6020 / GCD 5812) #1-12 per GCD row 2557652's roll-up (plus '97, Distant Rumblings and Hulk #449)

S 20195 cv=18128 gcd=17522 0.95 | RUN WINS (L-395 / L-403): "Thunderbolts - Burning Down The House (2009)" 132pp is the trade of Thunderbolts (2006) #126-129 (GCD 72598 row 1091596's note), the run CV 18128 (2006, 76) = GCD 17522 (Marvel 2006-2012, 76); S94814 holds the same book (97014) and the run's issues
F 20195 wrong-cv-link | the stored CV 39097 "Thunderbolts: Burning Down The House" (2009, 1) is the trade's own count-1 record, not the run; it moves to the I line
F 20195 merge-with=94814 | same run: S94814 carries cv=18128 on its S line in this file and holds another rip of this book; this S line carries the same cv=18128
F 20195 needs-fetch cv=18128 | CV 18128 "Thunderbolts" (Marvel 2006, 76) is named from the rip only; no CvVolume row
I 97042 cv=263377 gcd=1091596 isbn=978-0-7851-3166-3 0.9 | "Thunderbolts - Burning Down The House (2009)" 132pp = CV 39097 issue 263377 and GCD 72598 row 1091596 (124pp); twin 59720 row 853853 (116pp) is the 0.9

S 6071 cv=20985 gcd=17714 0.9 | Ultimate Elektra (Marvel 2004-2005, 5): the five "Ultimate Elektra 01-05 (of 05) (2004)" files (23-26pp) = CV 20985 (2004, 5 cached #1-5) and GCD 17714 (Marvel 2004-2005, 5 rows 290776-290780) agreeing on publisher, span and the solicited "(of 05)"; 0.9 for the two books of other Elektra runs below
F 6071 split-needed | item 79097 "COL Elektra by Greg Rucka Ultimate Collection (2012)" 365pp collects Elektra (2001) #7-22 (GCD row 2035688's roll-up), the run S96692 stores (stored cv=9408, S line C-044 cv=9408 gcd=10194, holding #1-35) -> join S96692 on its key "Elektra v2 (2001)" (L-368); checker anchor only: S96692 is outside this batch
N 6071 residue kept: item 88759 "001 Elektra v1 015" 23pp (X-Men chronology) is Elektra (1996) #15 (CV 5779 / GCD 5546) - no shelf stores that run (who-stores cv=5779 names only this shelf); the five Ultimate Elektra files carry the parsed key "Elektra (2001)" and per-file CV 9408 (Elektra 2001) - stamps the I lines below override
I 97068 cv=125640 gcd=290776 isbn=- 0.95 | "Ultimate Elektra 01 (of 05) (2004)" 23pp = CV 20985 #1 issue 125640 "Devil's Due: Part 1" and GCD 17714 #1 row 290776 (36pp) - not Elektra (2001)
I 97069 cv=137356 gcd=290777 isbn=- 0.95 | "Ultimate Elektra 02 (of 05) (2004)" 24pp = CV 20985 #2 issue 137356 and GCD 17714 #2 row 290777 (36pp)
I 97070 cv=137355 gcd=290778 isbn=- 0.95 | "Ultimate Elektra 03 (of 05) (2004)" 25pp = CV 20985 #3 issue 137355 and GCD 17714 #3 row 290778 (36pp)
I 97071 cv=137950 gcd=290779 isbn=- 0.95 | "Ultimate Elektra 04 (of 05) (2004)" 24pp = CV 20985 #4 issue 137950 and GCD 17714 #4 row 290779 (36pp)
I 97072 cv=137951 gcd=290780 isbn=- 0.95 | "Ultimate Elektra 05 (of 05) (2004)" 26pp = CV 20985 #5 issue 137951 "Devil's Due: Part 5" and GCD 17714 #5 row 290780 (36pp)
I 79097 cv=321764 gcd=2035688 isbn=978-0-7851-6393-0 0.95 | "Elektra by Greg Rucka Ultimate Collection (2012)" 365pp = CV 46613 issue 321764 "TPB" and GCD 152146 row 2035688 (388pp)
C 79097 cv=9408 gcd=10194 #7-22 0.95 | the Rucka Ultimate Collection collects Elektra (Marvel 2001-2004, 35; CV 9408 / GCD 10194) #7-22 per GCD row 2035688's reprint roll-up - a run other than this shelf's
I 88759 cv=109246 gcd=96192 isbn=- 0.9 | "001 Elektra v1 015" 23pp = Elektra (1996) #15: CV 5779 issue 109246 "The Dark Castle" and GCD 5546 row 96192 (36pp, February 1998)

S 20603 cv=19644 gcd=15645 0.9 | Ultimate Iron Man (Marvel 2005-2006, Card, 5): CV 19644 (2005, 5 cached #1-5) and GCD 15645 (Marvel 2005-, 5) agree on publisher, year and count; both books are its editions - "Ultimate Iron Man (2006)" 119pp (GCD 155786, collects #1-5) and the 256pp Ultimate Collection (GCD 232620, collects #1-5 + Ultimate Iron Man II #1-5); 0.9 because the Ultimate Collection also holds the sequel, whose run S9617 stores (gcd=27947)
I 97964 cv=224089 gcd=2066416 isbn=- 0.95 | "COL Ultimate Iron Man (2006)" 119pp = CV 34327 issue 224089 and GCD 155786 row 2066416 (collects #1-5)
I 97963 cv=224087 gcd=2810457 isbn=978-0-7851-4641-4 0.95 | "COL Ultimate Comics Iron Man - Ultimate Collection (2010)" 256pp = CV 34325 issue 224087 "TPB" and GCD 232620 row 2810457 (268pp)
C 97963 cv=20084 gcd=27947 #1-5 0.9 | the Ultimate Collection also collects Ultimate Iron Man II (Marvel 2008, 5 issues; CV 20084 / GCD 27947) #1-5 per GCD row 2810457's roll-up - a run other than this shelf's (S9617 stores it)

S 20622 cv=7257 gcd=7825 0.9 | Ultimate Spider-Man (Marvel 2000-2009): CV 7257 (2000, 134 cached incl. #1/2) and GCD 7825 (Marvel 2000-2009, 133) agree on publisher, span and count; ours = #1/2, #1-7, #129-133 and the run's own editions - Vols. 01-22 (GCD trade line 32858, judged #1-133) and Omnibus Books 01-03 (#1-39 / #40-71 / #72-111); 0.9 for the Annual #3 (2008, no annual shelf) and the 2009 run's books split below
F 20622 split-needed | items 117441, 117442, 117443, 117444, 117446, 117448, 117453, 117459 ("NN Ultimate Spider-Man 153-160 (2011)", Death of Spider-Man chronology) and the 1pp covers 117473, 117474, 117475, 117476, 117477 ("Ultimate Spider-Man 153 / 153-155 / 154 / 155 (2011)" 2nd-printing and C2E2 variants) are Ultimate Spider-Man (2009-2011; CV 27381 = GCD 38918, #1-15 then #150-160), a relaunch whose return to #150 is not a retitle (L-370); no shelf stores that run (who-stores cv=27381 / gcd=38918 name only this shelf) -> a new shelf on key "Ultimate Spider-Man v2 (2009)", run cv=27381 gcd=38918
F 20622 split-needed | item 97969 "Ultimate Spider-Man 200 (2014)" 27pp is GCD 60934 #200 row 1206423 / CV 42821 #200 issue 449370 - the 2011 Ultimate Comics Spider-Man run's anniversary issue, which S20604 stores (stored cv=42821, S line C-064 cv=42821 gcd=60934) -> join S20604 on its key "Ultimate Comics Spider-Man" (L-368); checker anchor only: S20604 is outside this batch
N 20622 flag #510 (label-ambiguous, 97101) is right in substance: Vol. 07's per-file CV rows are other editions - its I line uses the GCD trade-line row; per-file CV 43261 (Panini France "Spider-Man") on 19 and GCD 43298 / 175050 are foreign stamps; S20604 also holds the 2009 run's trades Vols. 01-04 (GCD 158434) under the 2011 run's cv - it owes its own split at its revisit
I 97968 cv=172625 gcd=- isbn=- 0.9 | "Ultimate Spider-Man 00.5 (2002)" 15pp = CV 7257 #1/2 issue 172625 (the Wizard half-issue); no GCD row of this run found
I 97268 cv=141253 gcd=545957 isbn=- 0.9 | "Ultimate Spider-Man Annual 03 (2008)" 31pp = CV 18223 #3 issue 141253 and GCD 18910 #3 row 545957 (48pp); no Ultimate Spider-Man Annual shelf exists
I 97095 cv=- gcd=2101339 isbn=- 0.9 | "Ultimate Spider-Man Vol. 01 - Power & Responsibility (2009)" 181pp = GCD 158816 row 2101339 (the 2009 printing, 208pp, reprints s7825 #1-7); the first printing is GCD 32858 row 553954
I 97096 cv=236772 gcd=553955 isbn=0-7851-0820-3 0.95 | "Vol. 02 - Learning Curve" 135pp = CV 35782 issue 236772 and GCD 32858 row 553955 "[2] Learning Curve" (148pp)
I 97097 cv=236773 gcd=553956 isbn=0-7851-0879-3 0.95 | "Vol. 03 - Double Trouble" 170pp = CV 35783 issue 236773 and GCD 32858 #3 row 553956 (180pp)
I 97098 cv=- gcd=553957 isbn=0-7851-0968-4 0.9 | "Vol. 04 - Legacy" 146pp, judged #22-27 = GCD 32858 #4 row 553957 (164pp)
I 97099 cv=236877 gcd=553958 isbn=0-7851-1087-9 0.95 | "Vol. 05 - Public Scrutiny" 115pp = CV 35795 issue 236877 and GCD 32858 #5 row 553958 (124pp)
I 97100 cv=236884 gcd=2101340 isbn=- 0.9 | "Vol. 06 - Venom (2007)" 165pp = CV 35802 issue 236884 and GCD 158817 row 2101340 (a later printing; reprints s7825 #33-39); first printing 32858 row 553959
I 97101 cv=- gcd=553960 isbn=0-7851-1092-5 0.9 | "Vol. 07 - Irresponsible" 134pp, judged #40-45 = GCD 32858 #7 row 553960 (148pp); per flag #510 its per-file CV rows are other editions
I 97102 cv=- gcd=553961 isbn=0-7851-1250-2 0.9 | "Vol. 08 - Cats and Kings" 168pp, judged #47-53 = GCD 32858 #8 row 553961 (188pp)
I 97103 cv=- gcd=553962 isbn=0-7851-1312-6 0.9 | "Vol. 09 - Ultimate Six" 174pp = GCD 32858 #9 row 553962 "Ultimate Six" (212pp)
C 97103 cv=19405 gcd=18989 #1-7 0.9 | Vol. 09 is the trade of the Ultimate Six crossover mini (Marvel 2003-2004, 7; CV 19405 / GCD 18989) #1-7 plus USM #46 - a run other than this shelf's
I 97104 cv=- gcd=553963 isbn=0-7851-1402-5 0.9 | "Vol. 10 - Hollywood" 123pp, judged #54-59 = GCD 32858 #10 row 553963 (148pp)
I 97105 cv=- gcd=553964 isbn=0-7851-1403-3 0.9 | "Vol. 11 - Carnage" 122pp, judged #60-65 = GCD 32858 #11 row 553964 (148pp)
I 97106 cv=- gcd=553965 isbn=0-7851-1629-X 0.9 | "Vol. 12 - Superstars" 135pp, judged #66-71 = GCD 32858 #12 row 553965 (148pp)
I 97107 cv=- gcd=553966 isbn=0-7851-1647-8 0.9 | "Vol. 13 - Hobgoblin" 143pp, judged #72-78 = GCD 32858 #13 row 553966 (172pp)
I 97108 cv=- gcd=553967 isbn=0-7851-1680-X 0.9 | "Vol. 14 - Warriors" 141pp, judged #79-85 = GCD 32858 #14 row 553967 (172pp)
I 97109 cv=- gcd=553968 isbn=0-7851-1681-8 0.9 | "Vol. 15 - Silver Sable" 139pp, judged #86-90 = GCD 32858 #15 row 553968 (164pp)
I 97110 cv=- gcd=553969 isbn=0-7851-1927-2 0.9 | "Vol. 16 - Deadpool" 162pp, judged #91-96 = GCD 32858 #16 row 553969 (188pp)
I 97111 cv=- gcd=553970 isbn=0-7851-1928-0 0.9 | "Vol. 17 - Clone Saga" 205pp, judged #97-105 = GCD 32858 #17 row 553970 (244pp)
I 97112 cv=- gcd=553971 isbn=978-0-7851-2136-7 0.9 | "Vol. 18 - Ultimate Knights" 128pp, judged #106-111 = GCD 32858 #18 row 553971 (148pp); CORRECTS R-050's gcd=s38918 (the 2009 run, not this book's line)
I 97113 cv=- gcd=553972 isbn=978-0-7851-2137-4 0.9 | "Vol. 19 - Death of a Goblin" 125pp, judged #112-117 = GCD 32858 #19 row 553972 (148pp); corrects R-050's s38918
I 97114 cv=- gcd=553973 isbn=978-0-7851-2961-5 0.9 | "Vol. 20 - And His Amazing Friends" 106pp, judged #118-122 = GCD 32858 #20 row 553973 (124pp); corrects R-050's s38918
I 97115 cv=- gcd=553974 isbn=978-0-7851-2962-2 0.9 | "Vol. 21 - War of the Symbiotes" 127pp, judged #123-128 = GCD 32858 #21 row 553974 (148pp); corrects R-050's s38918
I 97116 cv=- gcd=793811 isbn=978-0-7851-3845-7 0.9 | "Vol. 22 - Ultimatum" 134pp, judged #129-133 = GCD 32858 #22 row 793811 (172pp); corrects R-050's s38918
I 97129 cv=342230 gcd=1139852 isbn=- 0.9 | "Ultimate Spider-Man Omnibus Book 01 (2022)" 899pp = CV 49871 #1 issue 342230 and GCD 76302 row 1139852 (reprints s7825 #1-39)
I 97130 cv=984882 gcd=2481451 isbn=- 0.9 | "Omnibus Book 02 (2023)" 848pp = CV 49871 #2 issue 984882 and GCD 76302 row 2481451 (reprints s7825 #40-71 + Ultimate Six #1-7)
C 97130 cv=19405 gcd=18989 #1-7 0.95 | Omnibus Book 02 also reprints Ultimate Six (Marvel 2003-2004, 7 issues; CV 19405 / GCD 18989) #1-7 per GCD row 2481451
I 97131 cv=1033278 gcd=2585409 isbn=- 0.9 | "Omnibus Book 03 (2023)" 918pp = CV 49871 #3 issue 1033278 and GCD 76302 row 2585409 (reprints s7825 #72-111 + Annual #1-2)
C 97131 cv=18223 gcd=18910 #1-2 0.95 | Omnibus Book 03 also reprints Ultimate Spider-Man Annual (Marvel 2005-2008, 3; CV 18223 / GCD 18910) #1-2 per GCD row 2585409
I 97969 cv=449370 gcd=1206423 isbn=- 0.95 | "Ultimate Spider-Man 200 (2014)" 27pp = CV 42821 #200 issue 449370 and GCD 60934 #200 row 1206423 (36pp, 2014-04-02)

S 20606 cv=42821 gcd=60934 0.9 | RUN WINS (L-395 / L-403): "Ultimate Comics Spider-Man by Brian Michael Bendis" is a trade line reprinting ONE run - GCD 76317 rows roll up s60934 only (Vol. 01 #1-5, Vol. 02 #6-10, Vol. 04 #16.1 + #19-22, Vol. 05 #23-28) - Ultimate Comics Spider-Man (Marvel 2011-2013, Miles Morales): CV 42821 (2011, 31) and GCD 60934 (2011-2013, 30); the folder "04 Ultimate Comics All-New Spider-Man (2011)" is the run's; 0.9 because GCD carries the line twice (76316 / 76317, HC and TPB) and our rips fit neither's page counts closely
F 20606 wrong-cv-link | the stored CV 45916 "Ultimate Comics Spider-Man by Brian Michael Bendis" (2012, 5 "Volume N" issues) is the trade line's record, not the run; it moves to the I lines
F 20606 merge-with=20604 | same run: S20604 stores cv=42821 (S line C-064 cv=42821 gcd=60934) and holds this line's Vol. 03 and the run's #13-18; this S line carries the same cv=42821; checker anchor only: S20604 is outside this batch
I 97122 cv=316044 gcd=1140088 isbn=978-0-7851-5713-7 0.9 | "Ultimate Comics Spider-Man by Brian Michael Bendis Vol. 01 (2012)" 127pp = CV 45916 issue 316044 "Volume One" and GCD 76317 #1 row 1140088 (140pp, collects s60934 #1-5); HC twin 76316 row 1140092
I 97123 cv=342229 gcd=1140089 isbn=978-0-7851-5715-1 0.9 | "... Vol. 02 (2013)" 104pp = CV 45916 issue 342229 "Volume Two" and GCD 76317 #2 row 1140089 (116pp, collects #6-10); HC twin 76316 row 1140093
I 97125 cv=417987 gcd=1140091 isbn=978-0-7851-6504-0 0.9 | "... Vol. 04 (2013)" 96pp = CV 45916 issue 417987 "Volume Four" and GCD 76317 #4 row 1140091 (116pp, collects #16.1, #19-22); HC twin 76316 row 1140095
I 97126 cv=444312 gcd=2049819 isbn=978-0-7851-6706-8 0.9 | "... Vol. 05 (2014)" 112pp = CV 45916 issue 444312 "Volume Five" and GCD 76317 #5 row 2049819 (140pp, collects #23-28); HC twin 76316 row 2049820

S 66149 cv=7258 gcd=7826 0.9 | Ultimate X-Men (Marvel 2001-2009): CV 7258 (2001, 101 cached #1-100) and GCD 7826 (Marvel 2001-2009, 100) agree on publisher, span and count; issue files #7-10, 12-14, 26-31, 33, 94-100, the Vol. 01-19 trades (GCD line 65610 rolling up s7826), Collection Books 01-09 and Omnibus Books 01-02 are this run and its editions; 0.9 for Vol. 05, which collects the Ultimate War mini (GCD 11056, the run S68347 stores) rather than Ultimate X-Men issues - one book of the trade line, kept with its siblings
N 66149 flag #511 (label-ambiguous, 97151) is answered by C 97151: Vol. 05's GCD row 945189 rolls up Ultimate War #1-4, which is right; per-file CV 43640 (Panini France) and GCD 41766 / 35124 are foreign stamps
I 97138 cv=731598 gcd=- isbn=- 0.9 | "COL Ultimate X-Men Collection Book 01 (2002)" 332pp = CV "Ultimate X-Men Collection" (2019 line) issue 731598; no GCD row in our dump
I 97139 cv=731599 gcd=- isbn=- 0.9 | "Collection Book 02 (2003)" 317pp = CV "Ultimate X-Men Collection" issue 731599; no GCD row found
I 97140 cv=731600 gcd=- isbn=- 0.9 | "Collection Book 03 (2003)" 276pp = CV "Ultimate X-Men Collection" issue 731600; no GCD row found
I 97141 cv=731601 gcd=- isbn=- 0.9 | "Collection Book 04 (2005)" 245pp = CV "Ultimate X-Men Collection" issue 731601; no GCD row found
I 97142 cv=731726 gcd=- isbn=- 0.9 | "Collection Book 05 (2005)" 308pp = CV "Ultimate X-Men Collection" issue 731726; no GCD row found
I 97143 cv=731727 gcd=- isbn=- 0.9 | "Collection Book 06 (2006)" 244pp = CV "Ultimate X-Men Collection" issue 731727; no GCD row found
I 97144 cv=731728 gcd=- isbn=- 0.9 | "Collection Book 07 (2007)" 242pp = CV "Ultimate X-Men Collection" issue 731728; no GCD row found
I 97145 cv=731729 gcd=- isbn=- 0.9 | "Collection Book 08 (2008)" 332pp = CV "Ultimate X-Men Collection" issue 731729; no GCD row found
I 97146 cv=731730 gcd=- isbn=- 0.9 | "Collection Book 09 (2009)" 212pp = CV "Ultimate X-Men Collection" issue 731730; no GCD row found
I 97147 cv=235317 gcd=945185 isbn=- 0.95 | "Ultimate X-Men Vol. 01 - The Tomorrow People" 148pp = CV "Ultimate X-Men: The Tomorrow People" issue 235317 and GCD 65610 #1 row 945185 (164pp, roll-up s7826 #1-6)
I 97148 cv=235318 gcd=945186 isbn=- 0.95 | "Vol. 02 - Return To Weapon X" 135pp = CV 35596 issue 235318 and GCD 65610 #2 row 945186 (148pp, #7-12)
I 97149 cv=235319 gcd=945187 isbn=- 0.95 | "Vol. 03 - World Tour" 184pp = CV "Ultimate X-Men: World Tour" issue 235319 and GCD 65610 #3 row 945187 (196pp, #13-20)
I 97150 cv=235320 gcd=945188 isbn=- 0.95 | "Vol. 04 - Hellfire & Brimstone" 120pp = CV issue 235320 and GCD 65610 #4 row 945188 (148pp, #21-25)
I 97151 cv=235440 gcd=945189 isbn=- 0.95 | "Vol. 05 - Ultimate War" 104pp = CV 35610 "Ultimate X-Men: Ultimate War" issue 235440 and GCD 65610 #5 row 945189 (116pp)
C 97151 gcd=11056 #1-4 0.95 | Vol. 05 collects the four-issue Ultimate War mini (Marvel 2003, GCD 11056, 4) per GCD row 945189's roll-up, not Ultimate X-Men issues - a run other than the shelf's identity
I 97152 cv=235441 gcd=945190 isbn=- 0.95 | "Vol. 06 - Return of the King" 174pp = CV 35611 issue 235441 and GCD 65610 #6 row 945190 (196pp, #26-33)
I 97153 cv=235443 gcd=945191 isbn=- 0.95 | "Vol. 07 - Blockbuster" 95pp = CV "Ultimate X-Men: Blockbuster" issue 235443 and GCD 65610 #7 row 945191 (#34-39)
I 97154 cv=235444 gcd=945192 isbn=- 0.95 | "Vol. 08 - New Mutants" 123pp = CV "Ultimate X-Men: New Mutants" issue 235444 and GCD 65610 #8 row 945192 (#40-45)
I 97155 cv=235447 gcd=945193 isbn=- 0.95 | "Vol. 09 - The Tempest" 110pp = CV issue 235447 and GCD 65610 #9 row 945193 (116pp, #46-49)
I 97156 cv=235448 gcd=945194 isbn=- 0.95 | "Vol. 10 - Cry Wolf" 97pp = CV issue 235448 and GCD 65610 #10 row 945194 (100pp, #50-53)
I 97157 cv=235449 gcd=945195 isbn=- 0.95 | "Vol. 11 - The Most Dangerous Game" 104pp = CV issue 235449 and GCD 65610 #11 row 945195 (108pp, #54-57)
