# R-177 - triaged 0.9 tier: 65 shelves (Monkeybrain, Oni, Panel Syndicate, Papercutz, Scout, Source Point, Titan, Valiant,
# Vault, SLG) last read in A-029..A-031, B-065..B-069, C-060..C-062, D-017, R-013..R-047. Most identities stand; the re-read
# under the later rulings changed these:
# - Valiant "_Chronological Valiant" folders hold the 1990s runs, read-order prefixed ("027. Harbinger 00", "149. Rai 00"
#   between #8 and #9): S8317 Harbinger and S14355 Rai were stored as the 2012 / 2014 relaunches, but their ladders 0-41 / 0-33
#   are exactly the 42-issue 1992 Harbinger (CV 4827) and the 34-issue 1992 Rai (CV 4828) - the cheapest mis-link test. Both
#   shelves also hold whole trades of the relaunches -> R + split-needed.
# - Bloodshot 1993 and Ninjak 1994 each hold six-ten issues of the 1997 relaunch whose shelf exists (S64339, S65365) -> joins.
# - Armorines, Solar and Lenore hold co-equal second runs with no shelf -> R + split-needed.
# - One-run omnibus / line gives way to the run: X-O Manowar Classic Omnibus -> merge-with S66390 (CV 4831).
# - Line spanning two runs keeps its own identity: Long Lost's two books (GCD 143368 notes: season 1 #1-6, "Part Two" #1-6).
# - Stored ids that were a TPB line, not the run: Good Boy v3 (CV 142228 = the three TPBs; the run is Prodigal Son 149249),
#   Barbaric cover gallery (148007 = the TPB line), Conan Battle of the Black Stone (GCD 208813 = the Conan TPB line).
# - GCD rows the packet did not surface: Action Journalism with Kate Kelly 230823, X-O Manowar 2012 65343 (was provider-missing).

S 95059 cv=23553 gcd=19825 0.95 | American Splendor (DC/Vertigo 2006-2007, 4): CV 23553 (2006, 4 cached) and GCD 19825 (2006-2007, 4) agree on publisher, year and count; our 12 files are three complete rips of #1-4 (Shadowcat-Empire 104811-104814, the DCP set 104815-104818, digital-Empire 112274-112277, 33-34pp, 2006-2007) - duplicate rips cost nothing
F 929 wrong-cv-link | the per-file CV 91873 (MonkeyBrain 2016, count 1, issue 537999) is the arc's one-issue collected volume, stamped on 5 of the 6 chapters
F 929 provider-missing | GCD holds only IDW's collected edition 124451 "Amelia Cole versus the End of Everything" (1 row); no MonkeyBrain chapter is indexed
S 1816 cv=52527 gcd=- 0.9 | Bandette (MonkeyBrain 2012-2023, 22): CV 52527 caches #1-22 ("Introducing Bandette!" 2012-07 ... "Wedding of B. D. Belgique Part Four" 2023-08), exactly our "Bandette 001-022 (2012-2023)" at 17-27pp; 0.9 for the fifteen 2-4pp "Urchin Stories" shorts in the subfolder, a different publication
F 1816 provider-missing | GCD holds only Dark Horse's print collections (78181, 160910) and the French 188017; the offered GCD leg is a round2-series copy of 78181 on 5 files, rejected
N 1816 "Bandette - Urchin Stories 001-015" (items 108531-108545, 2-4pp): "Urchin Stories" returns 0 hits in both the CV rip and the GCD dump - backup shorts with no record of their own, so they are residue, not a co-equal run a split could key
S 2413 cv=81374 gcd=- 0.9 | Behemoth (MonkeyBrain 2015, 4): CV 81374 agrees on title, publisher and year with our "Behemoth 001-003 (2015)" 25-26pp in Monkeybrain\Behemoth, a count above our ladder; GCD's three Behemoth rows are Dark Horse 2025 (220095, 228224) and Scout 2022 (187825)
F 2413 needs-fetch cv=81374 | "Behemoth" (MonkeyBrain 2015, 4) is named from the rip and has no CvVolume row
F 2413 wrong-cv-link | the per-file CV 162015 (Dark Horse 2025 Behemoth) sits on all three 2015 files - a different comic a decade later
F 2413 provider-missing | GCD holds no row for MonkeyBrain's 2015 Behemoth

# ---- Oni Press ----
S 391 cv=147312 gcd=230823 0.9 | Action Journalism (Oni 2022-2023): CV 147312 (2022, 4, #1 2022-09 ... #4 2023-01) and GCD 230823 "Action Journalism with Kate Kelly" (Oni 2022-2023, 5 rows) - GCD's title is our folder's "Action Journalism with Kate Kelly (2023)"; the one book is the run's own trade; 0.9 because the counts disagree (4 vs 5) and GCD's rows are undated
I 109745 cv=1026017 gcd=- isbn=- 0.9 | "COL Action Journalism v01 - Great News! (2023)" 124pp = CV 154249 "Action Journalism" (Oni 2023, 1) issue 1026017 "Vol. 1: Great News!" (2023-07); GCD mints no row for the trade
N 391 the judged #1-5 of item 109745 fits GCD 230823's five rows but not CV 147312's four; no C line until a leg settles the count
S 103637 cv=163334 gcd=222684 0.9 | Adventure Time (Oni 2025-): CV 163334 (9 cached, #1 "Best of Buds, Part One" 2025-04-09 ... #9 2026-01-21) and GCD 222684 (Oni 2025-?, 11 rows 2025-04-09 ... 2026-03-18) agree on publisher and dates; our "Adventure Time 001-012 (2024)" 18-25pp; both counts fall below our #12, so 0.9
F 103637 needs-fetch cv=163334 | "Adventure Time" (Oni 2025) is named from the rip and has no CvVolume row
F 103637 wrong-cv-link | the per-file CV 45728 (Boom! 2012, 75) is stamped on all 12 Oni files - the previous licensee's run
S 9974 cv=134208 gcd=170300 0.9 | Jonna and the Unpossible Monsters (Oni 2021-2022, 12): CV 134208 (12, #1 2021-03-05 ... #12 2022-12-19) and GCD 170300 (12, #1 2021-03-03 ... #12 2022-12) agree; our three trades collect it (the RUN wins over the three-book line CV 138233); 0.9 for the Drawing Board Edition, a separate special
F 9974 wrong-cv-link | the per-file CV 138233 is the three-volume trade line, not the twelve-issue run
I 108764 cv=869079 gcd=- isbn=- 0.9 | "Jonna and the Unpossible Monsters - Drawing Board Edition 001 (2021)" 34pp = CV 137434 issue 869079 (2021-07); GCD indexes no Drawing Board row
I 108765 cv=879100 gcd=- isbn=- 0.9 | "COL Jonna ... v01 (2021)" 105pp = CV 138233 #1 issue 879100 "Volume 1" (2021-08); GCD holds no Jonna trade line
I 108766 cv=1076435 gcd=- isbn=- 0.9 | "COL Jonna ... v02 (2022)" 100pp = CV 138233 #2 issue 1076435 "Volume 2"; GCD holds no Jonna trade line
I 108767 cv=1076436 gcd=- isbn=- 0.9 | "COL Jonna ... v03 (2023)" 100pp = CV 138233 #3 issue 1076436 "Volume 3"; GCD holds no Jonna trade line
S 14660 cv=81059 gcd=88050 0.9 | Rick and Morty (Oni 2015-2020, 60): CV 81059 (60 cached) and GCD 88050 (60) agree, and our twelve "Vol. 01-12" trades plus Book 01 and Compendium 01 collect it (judged #1-60 in fives, GCD notes #51-55 on Vol. 11); 0.9 for residue of other records - the Worlds Apart and Go To Hell trades, Snuffles Goes to War and the FCBD 2017 issue
F 14660 wrong-cv-link | the per-file CV 86120 (the twelve-volume trade line) sits on 15 of the 18 files
I 108899 cv=506250 gcd=1745640 isbn=978-1-62010-281-7 0.95 | Vol. 01 (2015) = CV 86120 #1 issue 506250 "Volume One" (2015-11-30) and GCD 117828 #1 row 1745640 (2015-11-18)
I 108900 cv=527206 gcd=1745641 isbn=- 0.95 | Vol. 02 (2016) = CV 86120 #2 issue 527206 "Volume Two" (2016-04-30) and GCD 117828 #2 row 1745641 (2016-04-27)
I 108901 cv=550444 gcd=1745642 isbn=- 0.95 | Vol. 03 (2016) = CV 86120 #3 issue 550444 "Volume Three" (2016-09-30) and GCD 117828 #3 row 1745642 (2016-09-21)
I 108902 cv=581612 gcd=1745643 isbn=- 0.95 | Vol. 04 (2017) = CV 86120 #4 issue 581612 "Volume Four" (2017-02-28) and GCD 117828 #4 row 1745643 (2017-02-15)
I 108903 cv=609387 gcd=1745644 isbn=- 0.95 | Vol. 05 (2017) = CV 86120 #5 issue 609387 "Volume Five" (2017-07-31) and GCD 117828 #5 row 1745644 (2017-07-19)
I 108904 cv=644560 gcd=1745645 isbn=- 0.95 | Vol. 06 (2017) = CV 86120 #6 issue 644560 "Volume Six" (2017-12-31) and GCD 117828 #6 row 1745645 (2017-12-06)
I 108905 cv=670164 gcd=1807927 isbn=- 0.95 | Vol. 07 (2018) = CV 86120 #7 issue 670164 "Volume Seven" (2018-05-16) and GCD 117828 #7 row 1807927 (2018-05-16)
I 108906 cv=694188 gcd=1879359 isbn=- 0.95 | Vol. 08 (2018) = CV 86120 #8 issue 694188 "Volume Eight" (2018-12-05) and GCD 117828 #8 row 1879359 (2018-12-05)
I 108907 cv=712483 gcd=1980647 isbn=- 0.95 | Vol. 09 (2019) = CV 86120 #9 issue 712483 "Volume Nine" (2019-06-26) and GCD 117828 #9 row 1980647 (2019-06-26)
I 108908 cv=729757 gcd=2044818 isbn=- 0.95 | Vol. 10 (2019) = CV 86120 #10 issue 729757 "Volume Ten" (2019-12-06) and GCD 117828 #10 row 2044818 (2019-12-04)
I 108909 cv=775793 gcd=2125603 isbn=- 0.95 | Vol. 11 (2020) = CV 86120 #11 issue 775793 "Volume Eleven" (2020-07-09) and GCD 117828 #11 row 2125603 (2020-07-08, notes #51-55)
I 108910 cv=825488 gcd=2749365 isbn=9781620108734 0.95 | Vol. 12 (2021) = CV 86120 #12 issue 825488 "Volume Twelve" (2021-01-22) and GCD 117828 #12 row 2749365 (2021-01-20)
C 108909 cv=81059 gcd=88050 #51-55 0.95 | GCD row 2125603's notes: "Rick and Morty (Oni Press, 2015 series) #51-55" = CV 81059 / GCD 88050, the shelf's 60-issue run
I 109809 cv=1027821 gcd=2630793 isbn=978-1-63715-250-8 0.95 | "Compendium Book 01 (2023)" 332pp = CV 154438 issue 1027821 "Volume 1" (2023-10) and GCD 212140 #1 row 2630793 (336pp)
C 109809 cv=81059 gcd=88050 #1-15 0.95 | GCD 2630793's notes: collects Rick and Morty (Oni Press, 2015 series) #1-15 = CV 81059 / GCD 88050 (60 issues)
I 109817 cv=- gcd=1745638 isbn=- 0.9 | "Rick and Morty - Book 01 (2016)" 296pp (Deluxe Editions folder) = GCD 117827 hardcover Book line #1 row 1745638 (2016-11-23); ComicVine mints no Book-line volume
C 109817 cv=81059 gcd=88050 #1-10 0.9 | Book One collects Rick and Morty (Oni 2015, CV 81059 / GCD 88050) #1-10 per the judged range; 296pp is about ten 30pp issues
I 109815 cv=884939 gcd=- isbn=- 0.9 | "Rick and Morty - Worlds Apart (2021)" 107pp = CV 138946 "Rick and Morty: Worlds Apart" (Oni 2021, 1) issue 884939 "TPB"; GCD mints no trade row
C 109815 cv=133588 gcd=169175 #1-4 0.95 | collects Rick and Morty: Worlds Apart (Oni 2021, 4 issues; CV 133588 / GCD 169175), a mini that is not the shelf's 2015 run; 107pp is four issues
I 109816 cv=819540 gcd=2637782 isbn=978-1-62010-822-2 0.95 | "Rick and Morty - Go To Hell (2020)" 124pp = CV 132251 issue 819540 "TPB" and GCD 213177 row 2637782 (132pp, 2020-11)
C 109816 cv=127834 gcd=161063 #1-5 0.95 | GCD 2637782's reprint roll-up: Rick and Morty Go to Hell (Oni 2020) #1-5 = CV 127834 / GCD 161063, a mini that is not the shelf's 2015 run
I 108887 cv=888796 gcd=2287728 isbn=- 0.95 | "Rick and Morty Presents - Snuffles Goes to War 01 (2021)" 34pp = CV 139465 issue 888796 (2021-10-09) and GCD 179457 row 2287728 (2021-10-06, 40pp) - a one-shot of its own
I 108913 cv=594556 gcd=1697610 isbn=- 0.9 | "Rick and Morty (FCBD 2017)" 25pp scan = CV 101281 "Rick and Morty: Free Comic Book Day 2017" issue 594556 and GCD 113935 row 1697610 (32pp, 2017-05-06); the scan is 7pp short
S 15307 cv=134911 gcd=- 0.9 | Secrets of Camp Whatever (Oni 2021-): an OGN line with no issue run; CV 134911 (Oni 2021) is the only record in either provider and matches ComicInfo Series / Publisher "Secrets of Camp Whatever" / "Oni Press" on all four files; 0.9 because it holds only Vol. 1 (issue 840688) of our three volumes
F 15307 provider-missing | "Secrets of Camp Whatever" and "Camp Whatever" return zero GCD rows, exact or --contains
N 15307 flag #403 label-ambiguous (item 108926): answered - items 108926 and 108923 are two rips of Vol. 01 (273pp each), duplicate residue (L-367)
I 108926 cv=840688 gcd=- isbn=- 0.9 | "COL Secrets of Camp Whatever Vol. 01 (2021)" 273pp = CV 134911 issue 840688 "Vol. 1" (2021-03)
I 108923 cv=840688 gcd=- isbn=- 0.9 | "COL Secrets of Camp Whatever v01 (2021)" 273pp, a second rip of Vol. 1 = CV 134911 issue 840688
N 108924 no-record | "v02 - The Doors to Nowhere (2022)" 225pp: CV 134911 caches only Vol. 1 and GCD has no series at any spelling
N 108925 no-record | "v03 - The Witching Hour (2023)" 224pp: CV 134911 caches only Vol. 1 and GCD has no series at any spelling
S 18183 cv=71634 gcd=79054 0.95 | The Bunker (Oni 2014-2016, 19): CV 71634 (19 cached) and GCD 79054 (2014-2016, 19) agree and hold our "The Bunker 010-019 (2015-2016)" 25-29pp; the two trades beside them are the run's own Vol. 1-2, which cost nothing
F 18183 wrong-cv-link | the per-file CV 66049 (Hoarse and Buggy 2013, 5) is the self-published first edition, stamped on all 11 files; its count of 5 cannot hold our #10-19
I 108976 cv=461827 gcd=1284438 isbn=978-1-62010-164-3 0.95 | "COL The Bunker Vol. 01 (2014)" 133pp = CV 76285 #1 issue 461827 "Volume 1" (2014-08) and GCD 84839 #1 row 1284438 (140pp, 2014-07)
I 108977 cv=490978 gcd=1514209 isbn=978-1-62010-210-7 0.95 | "COL The Bunker Vol. 02 (2015)" 133pp = CV 76285 #2 issue 490978 "Volume 2" (2015-06) and GCD 84839 #2 row 1514209 (140pp, 2015-04)

# ---- Panel Syndicate ----
S 2839 cv=136216 gcd=- 0.9 | Blackhand & Ironhead (Panel Syndicate 2021-2022, 6): CV 136216 caches #1-6 "Old Hound Tricks" 2021-05 ... "Failure" 2022-10, exactly our "Blackhand Ironhead v2 001-006 (2021-2022)"; 0.9 for the Book 1 hardcover, which collects the FIRST series (no shelf of its own)
F 2839 wrong-cv-link | the per-file CV 106195 "Blackhand Ironhead" (2017, 5) is the first series, stamped on all six v2 issues
F 2839 provider-missing | GCD has no Blackhand Ironhead row at any spelling
N 2839 flag #185 label-ambiguous (item 109081): answered - the v2 files are 26-49pp single chapters, not collections (L-367)
I 109080 cv=799901 gcd=- isbn=- 0.9 | "COL Blackhand Ironhead - Book 1 - Family (2020)" 166pp = CV 130369 "Blackhand & Ironhead" (Image 2020, 1) issue 799901 "HC" (2020-09)
C 109080 cv=106195 #1-5 0.9 | Book 1 "Family" collects Blackhand Ironhead (Panel Syndicate 2017-2018, CV 106195, 5 chapters, #1 "Family" ... #5 "Lies"); 166pp is five 33pp chapters
S 6982 cv=126593 gcd=177565 0.9 | Friday (Brubaker/Martin): the digital serial CV 126593 (Panel Syndicate 2020-2024, 9 chapters #1 2020-04 ... #9 2024-05) and GCD's print line 177565 (Image 2021-2024, 3 books) are one comic in two formats; our six books are its three Image books (two rips of 01-02) and the Complete edition - S6983 / S6984 have merged in
I 36517 cv=892647 gcd=2273632 isbn=9781534320581 0.95 | Book 01 "The First Day of Christmas" 120pp = CV 140005 issue 892647 and GCD 177565 #1 row 2273632 (124pp, 2021-11)
I 109087 cv=892647 gcd=2273632 isbn=9781534320581 0.95 | a second rip of Book 01 120pp = CV 140005 issue 892647 and GCD 177565 #1 row 2273632 (124pp)
I 36518 cv=985643 gcd=2465657 isbn=1534324593 0.95 | Book 02 "On A Cold Winter's Night" 120pp = CV 149775 issue 985643 and GCD 177565 #2 row 2465657 (124pp, 2022-12)
I 109088 cv=985643 gcd=2465657 isbn=1534324593 0.95 | a second rip of Book 02 120pp = CV 149775 issue 985643 and GCD 177565 #2 row 2465657 (124pp)
I 109089 cv=- gcd=2647636 isbn=9781534327733 0.9 | Book 03 "Christmas Time is Here Again" 128pp = GCD 177565 #3 row 2647636 (140pp, 2024-07); ComicVine mints no volume for Book 3
N 109852 no-record | "COL The Complete Friday (2024) (panelsyndicate)" 312pp has no record of its own: X-054's gcd=2273632 is Book 01's row, and GCD's complete edition 229604 is Image's 2025 printing, a different product
S 13571 cv=134532 gcd=- 0.9 | Paranoia Killer (Panel Syndicate 2021, 4 chapters): CV 134532 is the run and our 133pp file is its collected form; 0.9 because the second file, "Paranoia Killer - Virya (2023)" 42pp, is a separate later book
F 13571 provider-missing | "Paranoia Killer" returns zero GCD rows, exact or --contains
I 109092 cv=1052086 gcd=- isbn=- 0.9 | "Paranoia Killer (2021)" 133pp = CV 157772 "Paranoia Killer" (Panel Syndicate 2021, count 1) issue 1052086, the collected book - the per-file stamp here is the book's own record, not a wrong run link
I 109093 cv=1052085 gcd=- isbn=- 0.9 | "Paranoia Killer - Virya (2023)" 42pp = CV 157773 "Paranoia Killer: Virya" (2023, 1) issue 1052085
S 13543 cv=137405 gcd=- 0.9 | PanelxPanel (self-published 2017-2023, 70): CV 137405 caches #1-70, matched per-file on all 70 files, exactly our ladder 1-70 at 87-184pp dated 2017-2023; one leg only
F 13543 provider-missing | "PanelxPanel" and "Panel x Panel" return zero GCD rows

# ---- Papercutz / NBM ----
S 12632 cv=125967 gcd=159682 0.9 | The Mythics (NBM 2020-): CV 125967 (3: "Vol. 1: Heroes Reborn" 2020-03, "Teenage Gods" 2020-12) and GCD 159682 (4: #1 "Heroes Reborn" 2020-03-24, #2 "Teenage Gods" 2020-12-29) agree title for title with our Mythics 01-02; 0.9 because GCD mints a twin 159683 and the counts differ
F 12632 wrong-cv-link | the per-file CV 109411 "Les Mythics" (Delcourt 2018, 11) is the French original line
I 109269 cv=743285 gcd=2119857 isbn=9781545804339 0.9 | "Mythics 01 - Heroes Reborn" 164pp = CV 125967 #1 issue 743285 and GCD 159682 #1 row 2119857 "Heroes Reborn" (twin 159683 row 2119856 caps it)
I 109270 cv=823303 gcd=2183726 isbn=9781545804841 0.9 | "Mythics 02 - Teenage Gods" 163pp = CV 125967 #2 issue 823303 and GCD 159682 #2 row 2183726 "Teenage Gods" (twin 2183728)
S 23802 cv=107822 gcd=63789 0.9 | Ralph Azham (Trondheim): the original line CV 107822 (Dupuis, 11) and GCD 63789 (Dupuis 2011-2019, 12) - the language ruling B-066 applied; our four Papercutz books are a SELECTIVE translation (tomes 3/5/8/10, X-054), so no ordinal maps book to tome
F 23802 wrong-cv-link | the per-file CV 83422 (Reprodukt 2012) is the German edition, stamped on all four English books
I 109295 cv=- gcd=2418389 isbn=9781545808795 0.95 | "COL Ralph Azham v01 - Black Are the Stars" 156pp = GCD 186887 "Ralph Azham" (NBM 2022-?) #1 row 2418389 "Black Are the Stars" (2022-04-19) - the English book's own row, title-matched; 186888 is its twin
N 23802 GCD's English NBM line 186887 indexes only v01; v02-v04 have no English row, so X-054's French-tome rows (1316750, 1851254, 1851256) stay as their nearest records
S 19635 cv=50583 gcd=60513 0.9 | Smurfs (Papercutz/NBM 2010-, 26): CV 50583 ("The Purple Smurfs" ... "Smurf Salad") and GCD 60513 "Smurfs Graphic Novel" (26, softcover rows 60-68pp) agree title by title with our "Vol. 01-26" (49-66pp); 0.9 for residue - the #0 Smurfnapper and the 2013 FCBD one-shot; the 2014 FCBD joins its shelf
F 19635 split-needed | item 109339 "The Smurfs (2014, FCBD)" 32pp is CV 73592 issue 452078 / GCD 74272 row 1204062, the book S19639 stores (its own file is a second rip of it) -> join S19639 on its key "The Smurfs Silver Book" (L-368)
I 109349 cv=223499 gcd=771531 isbn=- 0.95 | "Vol. 00 - Smurfnapper (2010)" 24pp = CV 34259 "Smurfs" (NBM 2010, 1) issue 223499 and GCD 51201 row 771531 (24pp, 2010-05)
I 109330 cv=400906 gcd=1109909 isbn=- 0.95 | "The Smurfs - FCBD 2013" 32pp = CV 60812 (2013) issue 400906 and GCD 74272 row 1109909 (32pp, 2013-05)
I 109350 cv=346302 gcd=868857 isbn=9781597072069 0.9 | Vol. 01 The Purple Smurfs 58pp = CV 50583 #1 issue 346302 and GCD 60513 #1 row 868857 (64pp); hardcover twin 145402 caps it
I 109351 cv=346646 gcd=868858 isbn=9781597072083 0.9 | Vol. 02 The Smurfs and the Magic Flute 66pp = CV 50583 #2 issue 346646 and GCD 60513 #2 row 868858 (68pp)
I 109352 cv=346647 gcd=868859 isbn=9781597072243 0.9 | Vol. 03 The Smurf King 65pp = CV 50583 #3 issue 346647 and GCD 60513 #3 row 868859 (68pp)
I 109353 cv=346648 gcd=868860 isbn=- 0.9 | Vol. 04 The Smurfette 65pp = CV 50583 #4 issue 346648 and GCD 60513 #4 row 868860 (68pp)
I 109354 cv=346650 gcd=868861 isbn=9781597072465 0.9 | Vol. 05 The Smurfs and the Egg 65pp = CV 50583 #5 issue 346650 and GCD 60513 #5 row 868861 (68pp)
I 109355 cv=346913 gcd=868862 isbn=- 0.9 | Vol. 06 The Smurfs and the Howlibird 56pp = CV 50583 #6 issue 346913 and GCD 60513 #6 row 868862, same title
I 109356 cv=346915 gcd=868863 isbn=9781597072502 0.9 | Vol. 07 The Astro Smurf 58pp = CV 50583 #7 issue 346915 and GCD 60513 #7 row 868863 (60pp)
I 109357 cv=346916 gcd=868864 isbn=- 0.9 | Vol. 08 The Smurf Apprentice 56pp = CV 50583 #8 issue 346916 and GCD 60513 #8 row 868864, same title
I 109358 cv=347022 gcd=1030095 isbn=9781597072892 0.9 | Vol. 09 Gargamel and the Smurfs 56pp = CV 50583 #9 issue 347022 and GCD 60513 #9 row 1030095 (60pp)
I 109359 cv=347023 gcd=1030096 isbn=- 0.9 | Vol. 10 The Return of the Smurfette 58pp = CV 50583 #10 issue 347023 and GCD 60513 #10 row 1030096
I 109360 cv=347024 gcd=1030097 isbn=- 0.9 | Vol. 11 The Smurf Olympics 57pp = CV 50583 #11 issue 347024 and GCD 60513 #11 row 1030097
I 109361 cv=347025 gcd=1030098 isbn=9781597073202 0.9 | Vol. 12 Smurf vs. Smurf 57pp = CV 50583 #12 issue 347025 and GCD 60513 #12 row 1030098 (60pp)
I 109362 cv=366004 gcd=1559172 isbn=- 0.9 | Vol. 13 Smurf Soup 57pp = CV 50583 #13 issue 366004 and GCD 60513 #13 row 1559172, same title
I 109363 cv=387312 gcd=1559173 isbn=- 0.9 | Vol. 14 The Baby Smurf 54pp = CV 50583 #14 issue 387312 and GCD 60513 #14 row 1559173, same title
I 109364 cv=401277 gcd=1559174 isbn=- 0.9 | Vol. 15 Smurflings 58pp = CV 50583 #15 issue 401277 and GCD 60513 #15 row 1559174 "The Smurflings"
I 109365 cv=421025 gcd=1559175 isbn=- 0.9 | Vol. 16 Aerosmurf 58pp = CV 50583 #16 issue 421025 and GCD 60513 #16 row 1559175 "The Aerosmurf"
I 109366 cv=447565 gcd=1559176 isbn=- 0.9 | Vol. 17 The Strange Awakening of Lazy Smurf 56pp = CV 50583 #17 issue 447565 and GCD 60513 #17 row 1559176
I 109367 cv=457704 gcd=1559177 isbn=- 0.9 | Vol. 18 The Finance Smurf 49pp = CV 50583 #18 issue 457704 and GCD 60513 #18 row 1559177, same title
I 109368 cv=494440 gcd=1559178 isbn=- 0.9 | Vol. 19 The Jewel Smurfer 49pp = CV 50583 #19 issue 494440 and GCD 60513 #19 row 1559178, same title
I 109369 cv=514329 gcd=1559179 isbn=- 0.9 | Vol. 20 Doctor Smurf 49pp = CV 50583 #20 issue 514329 and GCD 60513 #20 row 1559179, same title
I 109370 cv=548653 gcd=1964746 isbn=- 0.9 | Vol. 21 The Wild Smurf 65pp = CV 50583 #21 issue 548653 (same title); GCD 60513 #21 row 1964746 untitled, by ordinal
I 109371 cv=575924 gcd=1964747 isbn=- 0.9 | Vol. 22 The Smurf Menace 66pp = CV 50583 #22 issue 575924 (same title); GCD 60513 #22 row 1964747 untitled, by ordinal
I 109372 cv=599924 gcd=1964748 isbn=- 0.9 | Vol. 23 Can't Smurf Progress 65pp = CV 50583 #23 issue 599924 (same title); GCD 60513 #23 row 1964748 untitled, by ordinal
I 109373 cv=698650 gcd=1964749 isbn=- 0.9 | Vol. 24 The Smurf Reporter 65pp = CV 50583 #24 issue 698650 (same title); GCD 60513 #24 row 1964749 untitled, by ordinal
I 109374 cv=709248 gcd=1964750 isbn=- 0.9 | Vol. 25 The Gambling Smurfs 66pp = CV 50583 #25 issue 709248 (same title); GCD 60513 #25 row 1964750 untitled, by ordinal
I 109375 cv=721235 gcd=2037182 isbn=9781545803585 0.9 | Vol. 26 Smurfs Salad 66pp = CV 50583 #26 issue 721235 "Smurf Salad" and GCD 60513 #26 row 2037182 "Smurf Salad" (twin 2037183)
S 19639 cv=73592 gcd=74272 0.9 | the Smurfs 2014 Free Comic Book Day giveaway: CV 73592 (NBM 2014, 1, issue 452078) and GCD 74272 (NBM 2013-2014, 2) whose "[2014]" row 1204062 is 32pp against our 33pp "Silver Book (FCBD) (2014)"; 0.9 because GCD keeps both FCBD years in one row while CV mints a volume per year
