# R-131 — identity revisit of wave 121's (P-050) four manga splits: each new shelf seeded from its split run, and each kept half re-read now its misfiled book has left. All four kept halves lose the residue that capped them at 0.9 in R-128; the new shelves are one-book or two-issue runs whose records were already named in R-128's F lines.
# --- S104101 Devilman (1995)
S 104101 cv=62479 gcd=23151 0.95 | Verotik's English Devilman: CV 62479 (Verotik 1995, 3 issues, #1 1995-06 / #2 1995-09 / #3 1996-02) and GCD 23151 (Verotik 1995-1996, rows #1 1995-06 46pp / #2 1995-09-10 44pp / #3 1996-02) agree on publisher, start year and dates, and our "Devilman 001-002 (1995)" ladder 1-2 (38/39pp) in "Shin Devilman (1995) (Verotik)" sits inside both; GCD's #4-6 rows carry no dates or pages (unshipped solicitations), which is the only count difference
# --- S104103 Days of Goddess
S 104103 cv=109299 gcd=123042 0.95 | CV 109299 "Is It Wrong to Try to Pick Up Girls in a Dungeon? Four-Panel Comic: Days of Goddess" (Yen Press 2018, 1, issue 663506 2018-03-31) and GCD 123042 (Yen Press 2018, 1, row 1793937 2018-03-20, ISBN 9780316480130) agree on publisher, year and one book; our one 150pp "Days of Goddess (2018)" carries ComicInfo Publisher "Yen Press"
F 104103 needs-fetch cv=109299 | the Days of Goddess CV volume has no CvVolume row (named from the rip, per --who-stores)
I 44873 cv=663506 gcd=1793937 isbn=9780316480130 0.95 | "Is It Wrong to Try to Pick Up Girls in a Dungeon - Days of Goddess (2018)" 150pp = CV 109299 issue 663506 "Vol. 1" (2018-03-31) and GCD 123042 row 1793937 (2018-03-20, ISBN 9780316480130), both Yen Press
# --- S28878 Is It Wrong to Try to Pick Up Girls in a Dungeon? (kept half)
S 28878 cv=82075 gcd=94977 0.95 | CV 82075 "Is It Wrong To Try To Pick Up Girls In A Dungeon?" (Yen Press 2015, 10, issues Vol. 1 2015-05 … Vol. 10 2019-01) and GCD 94977 (Yen Press 2015-2019, 10 rows) agree on publisher, span and count, and our ten COL v01-v10 (2015-2019) fill it exactly with ComicInfo Publisher "Yen Press"; the four-panel book has left for S104103, so no residue remains
N 28878 triage c: the judged ranges #15-22 … #78-86 are chapter numbers; no chapter run in either catalog (L-284), no C lines
I 44858 cv=489195 gcd=1514452 isbn=- 0.9 | "COL … Dungeon v01 (2015)" 182pp = CV 82075 #1 issue 489195 "Vol. 1" (2015-05-31) and GCD 94977 #1 row 1514452, by ordinal (GCD row carries no pages or ISBN)
I 44859 cv=497879 gcd=1514453 isbn=- 0.9 | "COL … Dungeon v02 (2015)" 178pp = CV 82075 #2 issue 497879 "Vol. 2" (2015-08-31) and GCD 94977 #2 row 1514453, by ordinal (GCD row carries no pages or ISBN)
I 44860 cv=506530 gcd=1514454 isbn=- 0.9 | "COL … Dungeon v03 (2015)" 175pp = CV 82075 #3 issue 506530 "Vol. 3" (2015-12-31) and GCD 94977 #3 row 1514454 (2015-12-09), by ordinal and date
I 44861 cv=516788 gcd=1772363 isbn=- 0.9 | "COL … Dungeon v04 (2016)" 166pp = CV 82075 #4 issue 516788 "Vol. 4" (2016-02-29) and GCD 94977 #4 row 1772363, by ordinal (GCD row carries no pages or ISBN)
I 44862 cv=531698 gcd=1772364 isbn=- 0.9 | "COL … Dungeon v05 (2016)" 154pp = CV 82075 #5 issue 531698 "Vol. 5" (2016-05-31) and GCD 94977 #5 row 1772364, by ordinal (GCD row carries no pages or ISBN)
I 44863 cv=558291 gcd=1772365 isbn=- 0.9 | "COL … Dungeon v06 (2016)" 171pp = CV 82075 #6 issue 558291 "Vol. 6" (2016-11-30) and GCD 94977 #6 row 1772365, by ordinal (GCD row carries no pages or ISBN)
I 44864 cv=608362 gcd=1772366 isbn=- 0.9 | "COL … Dungeon v07 (2017)" 184pp = CV 82075 #7 issue 608362 "Vol. 7" (2017-07-31) and GCD 94977 #7 row 1772366, by ordinal (GCD row carries no pages or ISBN)
I 44865 cv=643251 gcd=1772367 isbn=9780316411905 0.95 | "COL … Dungeon v08 (2017)" 164pp = CV 82075 #8 issue 643251 "Vol. 8" (2017-11-30) and GCD 94977 #8 row 1772367 (2017-12-06, ISBN 9780316411905), ordinal and date agree
I 44866 cv=670216 gcd=1808539 isbn=9781975326517 0.95 | "COL … Dungeon v09 (2018)" 173pp = CV 82075 #9 issue 670216 "Vol. 9" (2018-05-17) and GCD 94977 #9 row 1808539 (2018-05, ISBN 9781975326517), ordinal and date agree
I 44867 cv=697313 gcd=1922851 isbn=9781975383589 0.95 | "COL … Dungeon v10 (2019)" 176pp = CV 82075 #10 issue 697313 "Vol. 10" (2019-01-14) and GCD 94977 #10 row 1922851 (2019-01-22, ISBN 9781975383589), ordinal and date agree
# --- S104104 No Longer Human (2019) — Junji Ito
S 104104 cv=123651 gcd=153693 0.95 | Junji Ito's adaptation: CV 123651 "No Longer Human" (Viz 2019, 1, issue 731270 2019-12-17 HC) and GCD 153693 (Viz 2019, 1, row 2047999 2019-12-17, 616pp, ISBN 978-1-9747-0709-6) agree on publisher, date and one book, and our one "COL No Longer Human Omnibus (2019)" 613pp in Manga\_Junji Ito is within 3pp of the GCD row
N 104104 the GCD roll-up (row 2047999 reprints s161973 人間失格 [Ningen Shikkaku] (2017) #1-3) is the Japanese original's three volumes; manga books ARE the English run (L-284), no C line
F 104104 needs-fetch cv=123651 | Viz's 2019 No Longer Human CV volume has no CvVolume row (named from the rip, per --who-stores)
I 43981 cv=731270 gcd=2047999 isbn=9781974707096 0.95 | "COL No Longer Human Omnibus (2019)" 613pp = CV 123651 issue 731270 (Viz, 2019-12-17, HC) and GCD 153693 row 2047999 (616pp, ISBN 978-1-9747-0709-6)
# --- S13015 No Longer Human (kept half) — Usamaru Furuya
S 13015 cv=46482 gcd=91766 0.95 | Usamaru Furuya's adaptation: CV 46482 "No Longer Human" (Vertical 2011, 3, Vol. 1 2011-10-25 … Vol. 3 2012-02-28) and GCD 91766 (Vertical 2011-2012, 3; #1 2011-10-25 180pp) agree on publisher, dates and count, items 43716-43718 (v01-v03, 2011-2012) are those three volumes, and item 43715 is the run's own 2022 Complete Edition (one comic, two editions, L-380 — costs nothing); Junji Ito's book has left for S104104
N 13015 the Complete Edition's CV record (145847, Vertical) and GCD record (193237, Kodansha USA) name different imprints — the Vertical → Kodansha USA rebrand (L-100), one book
I 43716 cv=320268 gcd=1448856 isbn=978-1-935654-19-3 0.95 | "COL No Longer Human v01 (2011)" 169pp = CV 46482 #1 issue 320268 "Vol. 1" (2011-10-25) and GCD 91766 #1 row 1448856 (2011-10-25, 180pp, ISBN 978-1-935654-19-3)
I 43717 cv=320270 gcd=1448857 isbn=- 0.9 | "COL No Longer Human v02 (2011)" 204pp = CV 46482 #2 issue 320270 "Vol. 2" (2011-12-06) and GCD 91766 #2 row 1448857, by ordinal (GCD row carries no date or pages)
I 43718 cv=320271 gcd=1448858 isbn=- 0.9 | "COL No Longer Human v03 (2012)" 213pp = CV 46482 #3 issue 320271 "Vol. 3" (2012-02-28) and GCD 91766 #3 row 1448858, by ordinal (GCD row carries no date or pages)
I 43715 cv=953623 gcd=2466918 isbn=9781647291563 0.95 | "COL No Longer Human - Complete Edition (2022)" 593pp = CV 145847 "No Longer Human: Complete Edition" (Vertical 2022, 1) issue 953623 (2022-11-04, TPB) and GCD 193237 "No Longer Human Complete Edition" (Kodansha USA 2022) row 2466918 (2022-11-01, ISBN 9781647291563)
C 43715 cv=46482 gcd=91766 #1-3 0.95 | the 2022 Complete Edition collects all three volumes of Furuya's No Longer Human, CV 46482 / GCD 91766 (Vertical 2011-2012, count 3): 593pp against our v01-v03 at 169+204+213pp, and GCD's roll-up of row 2466918 is the Japanese original's #1-3
# --- S104102 Golgo 13 (1986) — Lead Publishing book line
S 104102 cv=- gcd=161861 0.9 | Lead Publishing's English book line: GCD 161861 "Golgo 13" (Lead Publishing 1986-?, 4 rows titled "Into the Wolves' Lair" / "Galinpero" (1986) / "Ice Lake Hit and Machine Cowboy" (1986) / "The Ivory Connection" (1987)) names our "Book 02 - Galinpero (1986)" 159pp and "Book 04 - The Ivory Connection (1987)" 173pp by book number, title and year; `lookup.py "Golgo" --contains` finds no CV volume for it (CV 62832 / GCD 14036 are Lead's 1989-1990 two-issue 52pp comic), so one leg
I 43421 cv=- gcd=2126174 isbn=4947538597 0.9 | "COL Golgo 13 Book 02 - Galinpero (1986)" 159pp = GCD 161861 #2 row 2126174 "Galinpero" (1986, ISBN 4947538597) by number and title; no CV record for Lead's book line
I 43422 cv=- gcd=2126176 isbn=4947538627 0.9 | "COL Golgo 13 Book 04 - The Ivory Connection (1987)" 173pp = GCD 161861 #4 row 2126176 "The Ivory Connection" (1987, ISBN 4947538627) by number and title; no CV record for Lead's book line
# --- S7764 Golgo 13 (kept half) — Viz
S 7764 cv=38809 gcd=16635 0.95 | Viz's thirteen-volume line: CV 38809 "Golgo 13" (Viz 2006, 13) and GCD 16635 (Viz 2006-2008, 13) agree on publisher, span and count, and both legs title every volume with our filenames' subtitles, v01 "Supergun" … v13 "Flagburner" (2006-2008, 167-204pp against GCD's 180-228pp); the two Lead books have left for S104102, so no residue remains
N 7764 triage c: judged #1-2 … #25-26 are the Viz volumes' two-chapters-per-book ranges (L-284), not an identity fault; no C lines
I 43423 cv=260481 gcd=274553 isbn=978-1-4215-0251-9 0.95 | "COL Golgo 13 v01 - Supergun (2006)" 175pp = CV 38809 #1 issue 260481 "Supergun" and GCD 16635 #1 row 274553 "Supergun" (188pp), subtitle match on both legs
I 43424 cv=260482 gcd=289034 isbn=978-1-4215-0382-0 0.95 | "COL Golgo 13 v02 - Hydra (2006)" 179pp = CV 38809 #2 issue 260482 "Hydra" and GCD 16635 #2 row 289034 "Hydra" (196pp), subtitle match on both legs
I 43425 cv=260483 gcd=299354 isbn=978-1-4215-0462-9 0.95 | "COL Golgo 13 v03 - Power to the People (2006)" 170pp = CV 38809 #3 issue 260483 and GCD 16635 #3 row 299354 "Power to the People" (180pp)
I 43426 cv=260484 gcd=307351 isbn=978-1-4215-0463-6 0.95 | "COL Golgo 13 v04 - The Orbital Hit (2006)" 204pp = CV 38809 #4 issue 260484 and GCD 16635 #4 row 307351 "The Orbital Hit" (228pp)
I 43427 cv=260485 gcd=321628 isbn=978-1-4215-0464-3 0.95 | "COL Golgo 13 v05 - Wiseguy (2006)" 188pp = CV 38809 #5 issue 260485 "Wiseguy" and GCD 16635 #5 row 321628 "Wiseguy" (196pp)
I 43428 cv=260486 gcd=328675 isbn=978-1-4215-0465-0 0.95 | "COL Golgo 13 v06 - One Minute Past Midnight (2006)" 173pp = CV 38809 #6 issue 260486 and GCD 16635 #6 row 328675 "One Minute Past Midnight" (188pp)
I 43429 cv=260487 gcd=328676 isbn=978-1-4215-0962-4 0.95 | "COL Golgo 13 v07 - Eye of God (2007)" 175pp = CV 38809 #7 issue 260487 "Eye of God" and GCD 16635 #7 row 328676 "Eye of God" (188pp)
I 43430 cv=260488 gcd=335782 isbn=978-1-4215-0963-1 0.95 | "COL Golgo 13 v08 - Gravestone in Sicily (2007)" 169pp = CV 38809 #8 issue 260488 and GCD 16635 #8 row 335782 "Gravestone in Sicily" (180pp)
I 43431 cv=260489 gcd=355112 isbn=978-1-4215-0964-8 0.95 | "COL Golgo 13 v09 - Headhunter (2007)" 177pp = CV 38809 #9 issue 260489 "Headhunter" and GCD 16635 #9 row 355112 "Headhunter" (188pp)
I 43432 cv=260490 gcd=355113 isbn=978-1-4215-0965-5 0.95 | "COL Golgo 13 v10 - Wasteland (2007)" 167pp = CV 38809 #10 issue 260490 "Wasteland" and GCD 16635 #10 row 355113 "Wasteland" (180pp)
I 43433 cv=260491 gcd=383052 isbn=978-1-4215-0966-2 0.95 | "COL Golgo 13 v11 - The Wrong Man (2007)" 178pp = CV 38809 #11 issue 260491 and GCD 16635 #11 row 383052 "The Wrong Man" (196pp)
I 43434 cv=260492 gcd=383053 isbn=978-1-4215-0967-9 0.95 | "COL Golgo 13 v12 - Shadow of Death (2007)" 175pp = CV 38809 #12 issue 260492 and GCD 16635 #12 row 383053 "Shadow of Death" (188pp)
I 43435 cv=260493 gcd=383054 isbn=978-1-4215-1531-1 0.95 | "COL Golgo 13 v13 - Flagburner (2008)" 193pp = CV 38809 #13 issue 260493 "Flagburner" and GCD 16635 #13 row 383054 "Flagburner" (204pp)
