# R-163 — identity revisit of wave 159's split shelves (P-068 landed): the Spectacular Spider-Man 1976 run, its annual shelf and #1 facsimile shelf, the Punisher 1987 run and its annual shelf, and the Spectacular Spider-Man 2003 trade shelf.
# Every split landed as written: S19654 lost its eleven annuals (-> S34224) and gained 87487; S65458 lost its five annuals (-> S34434); S16006 lost 87487. Each shelf is now one run (plus its own editions / duplicate rips), so the 0.9 caps of R-159 / R-160 lift to 0.95 (1.0 where the ComicInfo Web ids assert it).
# Surprise: S65458's named-story rips ("Punisher 053 - The Final Days 01" ... "Punisher 104 - Countdown 01") parse the part number as the issue — that is why the ladder shows 53-59 / 77-79 / 82-84 / 89-92 / 94-95 / 103-104 missing and #1-7 doubled. 21 I lines pin them to the right CV 3855 / GCD 3431 issues (L-393's arc-restart shape).
# The annual shelf S34224 carries per-file CV 2870 (the monthly) on 5 files and GCD 73264 (Yaffa, Australian) on 5 — I lines on all 16 annual files pin them to CV 3012 / GCD 2518.

S 19654 cv=2870 gcd=2359 0.95 | Peter Parker, the Spectacular Spider-Man / The Spectacular Spider-Man (Marvel 1976-1998): CV 2870 (1976, 265 cached incl. #-1) and GCD 2359 (Marvel 1976-1998, 265) agree on publisher, span and count; ComicInfo Web 21192 / 23303 / 23644 / 23890 are CV 2870 #53 / #80 / #84 / #86 (L-136), Volume "1976" x54, Count "263" x9; ladder 1-136, 146-148, 151-263; the annuals and the facsimile left by P-068, what remains is the run, duplicate rips (#24 c2c, #146-148 AnPymGold chronology rips, #158, #211, #227) and its own two editions (Tombstone #137-150, Omnibus Book 01 #1-42) - residue that costs nothing
I 87351 cv=30632 gcd=45587 isbn=- 0.95 | "006 Spectacular Spider-Man Annual #09" 57pp, the Atlantis Attacks chronology rip of #9 = CV 3012 issue 30632 and GCD 2518 row 45587 (68pp)
I 94908 cv=32216 gcd=47352 isbn=- 0.95 | "10 The Spectacular Spider-Man Annual 010 (1990)" 57pp = CV 3012 #10 issue 32216 and GCD 2518 #10 row 47352 (68pp, 1990)
I 94909 cv=33688 gcd=49027 isbn=- 0.95 | "11 ... Annual 011 (1991)" 54pp = CV 3012 #11 issue 33688 "The Vibranium Vendetta" and GCD 2518 #11 row 49027 (68pp, 1991)
I 94910 cv=35171 gcd=50687 isbn=- 0.95 | "12 ... Annual 012 (1992)" 68pp c2c = CV 3012 #12 issue 35171 and GCD 2518 #12 row 50687 (68pp, 1992)
I 94911 cv=36670 gcd=52357 isbn=- 0.95 | "13 The Spectacular Spider-Man Annual 013" 71pp c2c = CV 3012 #13 issue 36670 "Emergence" and GCD 2518 #13 row 52357 (68pp, 1993)
I 94912 cv=38408 gcd=54306 isbn=- 0.95 | "14 The Spectacular Spider-Man Annual 014" 66pp c2c = CV 3012 #14 issue 38408 "Cycles & Circles" and GCD 2518 #14 row 54306 (68pp, 1994)

S 16007 cv=150958 gcd=184318 1.0 | the collection asserts it: ComicInfo Web 992997 is CV 150958 "Spectacular Spider-Man No. 1 Facsimile Edition" (Marvel 2022, 1) issue 992997, and GCD 184318 (same title, Marvel 2022, 1) agrees on title, publisher, year and count; both files are rips of that one book (36 / 37pp); per-file GCD 185205 (Panini France Moon Knight, round2-folder) is a folder stamp
I 83077 cv=992997 gcd=2395908 isbn=- 0.95 | "Peter Parker, The Spectacular Spider-Man - Facsimile Edition 001 (2022)" 36pp = CV 150958 issue 992997 "Twice Stings the Tarantula!" and GCD 184318 row 2395908 (36pp, an exact page match); not GCD 236909, the 2026 reissue
I 83082 cv=992997 gcd=2395908 isbn=- 0.95 | "Spectacular Spider-Man 001 - Facsimile Edition (2022)" 37pp, the Marika-Empire rip of the same book = CV 150958 issue 992997 and GCD 184318 row 2395908 (36pp)

S 34434 cv=4064 gcd=3660 1.0 | the collection asserts it: ComicInfo Web 29947 / 31546 / 32850 are CV 4064 "The Punisher Annual" (Marvel 1988, 7) issues #1 / #2 / #3, ComicInfo Count "7" x3; GCD 3660 (Marvel 1988-1994, 7) agrees on publisher, span and count; our ladder 1-7 is the whole series, #1 and #2 also held as X-Men Complete Chronology rips (87235 37pp / 87350 26pp, excerpts)
I 87235 cv=29947 gcd=44843 isbn=- 0.9 | "002 Punisher Annual 001 (1988)" 37pp = CV 4064 #1 issue 29947 "Evolutionary Jihad" and GCD 3660 #1 row 44843 (68pp; our chronology rip is the story pages only)
I 87350 cv=31546 gcd=46603 isbn=- 0.9 | "005 Punisher Annual 002 (1989)" 26pp = CV 4064 #2 issue 31546 "Knight Fight" and GCD 3660 #2 row 46603 (68pp; the Atlantis Attacks chronology excerpt)
I 82256 cv=107452 gcd=293998 isbn=- 0.95 | "Punisher Annual 005 (1992)" 56pp = CV 4064 #5 issue 107452 and GCD 3660 #5 row 293998 (68pp)
I 82257 cv=146220 gcd=293999 isbn=- 0.95 | "Punisher Annual 006 (1993)" 57pp = CV 4064 #6 issue 146220 "Eradikation" and GCD 3660 #6 row 293999 (68pp)
I 82258 cv=214911 gcd=294000 isbn=- 0.95 | "Punisher Annual 007 (1994)" 57pp = CV 4064 #7 issue 214911 "Eurohit '94" and GCD 3660 #7 row 294000 (68pp)

S 65458 cv=3855 gcd=3431 0.95 | The Punisher (1987-1995): CV 3855 (Marvel 1987, 104, cached #1-104) and GCD 3431 (Marvel 1987-1995, 104) agree on publisher, span and count; ComicInfo Web 31927 / 32008 / 32428 / 32527 are CV 3855 #26 / #27 / #30 / #31 (L-136), Volume 1987 x34, Count 104 x7; per-file CV 3855 on 106/106; with the story-titled rips pinned by the I lines below the files cover #1-104 whole (the #29 second rips cost nothing); the five annuals left by P-068 to S34434
N 65458 per-file GCD 204244 (Cano y Llaquet, Spanish) and 69843 (Marvel UK) are foreign reprint stamps; the parsed ladder's gaps 53-59 / 77-79 / 82-84 / 89-92 / 94-95 / 103-104 and doubled #1-7 are the story-part numbers of named rips, fixed by the I lines
I 82311 cv=34772 gcd=50243 isbn=- 0.95 | "Punisher 053 - The Final Days 01" 24pp is #53 (the part number parses as #1) = CV 3855 #53 issue 34772 "The Final Days #1: Extortion" and GCD 3431 #53 row 50243
I 82312 cv=34887 gcd=50372 isbn=- 0.95 | "Punisher 054 - The Final Days 02" 24pp is #54 = CV 3855 #54 issue 34887 "The Final Days Part Two: Attack!" and GCD 3431 #54 row 50372
I 82313 cv=34933 gcd=50420 isbn=- 0.95 | "Punisher 055 - The Final Days 03" 25pp is #55 = CV 3855 #55 issue 34933 "The Final Days Part Three: Conviction!" and GCD 3431 #55 row 50420
I 82314 cv=35008 gcd=50504 isbn=- 0.95 | "Punisher 056 - The Final Days 04" 24pp is #56 = CV 3855 #56 issue 35008 "The Final Days Part Four: Prison!" and GCD 3431 #56 row 50504
I 82315 cv=35049 gcd=50548 isbn=- 0.95 | "Punisher 057 - The Final Days 05" 25pp is #57 = CV 3855 #57 issue 35049 "The Final Days Part Five: Hunt!" and GCD 3431 #57 row 50548
I 82316 cv=35265 gcd=50789 isbn=- 0.95 | "Punisher 058 - The Final Days 06" 22pp is #58 = CV 3855 #58 issue 35265 "The Final Days Part Six: Hideout!" and GCD 3431 #58 row 50789
I 82317 cv=35305 gcd=50831 isbn=- 0.95 | "Punisher 059 - The Final Days 07" 21pp is #59 = CV 3855 #59 issue 35305 "The Final Days Part Seven: Requiem..." and GCD 3431 #59 row 50831
I 82335 cv=107419 gcd=236164 isbn=- 0.95 | "Punisher 077 - Survival 01" 25pp is #77 = CV 3855 #77 issue 107419 "Survival: Part 1" and GCD 3431 #77 row 236164
I 82336 cv=107420 gcd=236165 isbn=- 0.95 | "Punisher 078 - Survival 02" 24pp is #78 = CV 3855 #78 issue 107420 "Survival: Part 2" and GCD 3431 #78 row 236165
I 82337 cv=107421 gcd=236166 isbn=- 0.95 | "Punisher 079 - Survival 03" 21pp is #79 = CV 3855 #79 issue 107421 "Survival: Part 3" and GCD 3431 #79 row 236166
I 82340 cv=107424 gcd=236169 isbn=- 0.95 | "Punisher 082 - Firefight 01" 23pp is #82 = CV 3855 #82 issue 107424 "Firefight: Part 1" and GCD 3431 #82 row 236169
I 82341 cv=107425 gcd=236170 isbn=- 0.95 | "Punisher 083 - Firefight 02" 24pp is #83 = CV 3855 #83 issue 107425 "Firefight: Part 2" and GCD 3431 #83 row 236170
I 82342 cv=107426 gcd=236171 isbn=- 0.95 | "Punisher 084 - Firefight 03" 23pp is #84 = CV 3855 #84 issue 107426 "Firefight: Part 3" and GCD 3431 #84 row 236171
I 82347 cv=107400 gcd=236176 isbn=- 0.95 | "Punisher 089 - Fortress Miami 01" 24pp is #89 = CV 3855 #89 issue 107400 "Fortress Miami: Part 1" and GCD 3431 #89 row 236176
I 82348 cv=107401 gcd=236177 isbn=- 0.95 | "Punisher 090 - Fortress Miami 02" 23pp is #90 = CV 3855 #90 issue 107401 "Fortress Miami Part 2: Hammered" and GCD 3431 #90 row 236177
I 82349 cv=107402 gcd=236178 isbn=- 0.95 | "Punisher 091 - Fortress Miami 03" 24pp is #91 = CV 3855 #91 issue 107402 "Fortress Miami Part 3: The Silk Noose" and GCD 3431 #91 row 236178
I 82350 cv=107403 gcd=236179 isbn=- 0.95 | "Punisher 092 - Fortress Miami 04" 24pp is #92 = CV 3855 #92 issue 107403 "Fortress Miami Part 4: Razor's Edge" and GCD 3431 #92 row 236179
I 82352 cv=107405 gcd=236181 isbn=- 0.95 | "Punisher 094 - No Rules 01" 24pp is #94 = CV 3855 #94 issue 107405 "No Rules Part 1" and GCD 3431 #94 row 236181
I 82353 cv=107406 gcd=236182 isbn=- 0.95 | "Punisher 095 - No Rules 02" 24pp is #95 = CV 3855 #95 issue 107406 "No Rules Part 2: No Mercy" and GCD 3431 #95 row 236182
I 82361 cv=107428 gcd=236190 isbn=- 0.95 | "Punisher 103 - Countdown 04" 23pp is #103 = CV 3855 #103 issue 107428 "Countdown 4: The Butcher's Block" (the arc counts down) and GCD 3431 #103 row 236190
I 82362 cv=107429 gcd=236191 isbn=- 0.95 | "Punisher 104 - Countdown 01" 23pp is #104 = CV 3855 #104 issue 107429 "Countdown 1: The Murder Men" and GCD 3431 #104 row 236191

S 16006 cv=11069 gcd=12001 0.95 | Spectacular Spider-Man (Marvel 2003-2005, Jenkins): CV 11069 (2003, 27, cached #1-27) and GCD 12001 (Marvel 2003-2005, 27) agree on publisher, span and count; the seven files are this run's own six trades (Vol. 04 twice) - GCD collected series 63977 rows collect #1-5 / #6-10 / #11-14 / #15-20 / #23-26 / #21-22 + #27, page counts 121 / 124 / 100 / 143 / 101 / 146pp vs GCD 124 / 124 / 116 / 148 / 100pp; the misfiled 1989 #158 left by P-068 to S19654, so nothing foreign remains
N 16006 flag #419 (label-ambiguous, 117889) is right: 95171 and 117889 are two rips of Vol. 04 Disassembled; per-file CV 2870 is the 1976 volume stamped by number, per-file GCD 63977 is the TPB line
I 95168 cv=186649 gcd=928174 isbn=0-7851-1169-7 0.95 | "Spectacular Spider-Man Vol. 01 - The Hunger (2016)" 121pp = CV 30302 "Spectacular Spider-Man: The Hunger" issue 186649 and GCD 63977 #1 row 928174 (124pp, collects #1-5)
I 95169 cv=186650 gcd=928175 isbn=0-7851-1313-4 0.95 | "Spectacular Spider-Man Vol. 02 - Countdown (2016)" 124pp = CV 30303 issue 186650 and GCD 63977 #2 row 928175 (124pp, collects #6-10)
I 95170 cv=186651 gcd=928176 isbn=0-7851-1333-9 0.95 | "Spectacular Spider-Man Vol. 03 - Here There Be Monsters (2016)" 100pp = CV 30304 issue 186651 and GCD 63977 #3 row 928176 (116pp, collects #11-14)
I 95171 cv=186652 gcd=928177 isbn=- 0.95 | "Spectacular Spider-Man Vol. 04 - Disassembled (2016)" 143pp = CV 30305 issue 186652 and GCD 63977 #4 row 928177 (148pp, collects #15-20)
I 117889 cv=186652 gcd=928177 isbn=- 0.95 | the second rip of Vol. 04 - Disassembled (143pp, Avengers Disassembled chronology folder) = CV 30305 issue 186652 and GCD 63977 #4 row 928177 (148pp)
I 95172 cv=133293 gcd=928178 isbn=0-7851-1628-1 0.95 | "Spectacular Spider-Man Vol. 05 - Sins Remembered (2016)" 101pp = CV 22165 issue 133293 and GCD 63977 #5 row 928178 (100pp, collects #23-26)
I 95173 cv=186653 gcd=928179 isbn=0-7851-1950-7 0.95 | "Spectacular Spider-Man Vol. 06 - Final Curtain (2016)" 146pp = CV 30306 "Spectacular Spider-Man: The Final Curtain" issue 186653 and GCD 63977 #6 row 928179 (collects #21-22, #27 + Peter Parker: Spider-Man #39-41)
C 95173 cv=9142 gcd=9876 #39-41 0.9 | Vol. 06 The Final Curtain also collects Peter Parker: Spider-Man (Marvel 1999-2003, 57 issues; CV 9142 / GCD 9876, legacy #137-139) #39-41 per GCD row 928179's notes - a run other than this shelf's
