# R-034 — revisit of the split lane's P-004, first half: the new shelves P-004 created, each read beside the KEPT shelf
# it came from; plus the ten shelves R-032 withheld (their partners took F wrong-cv-link in R-033 / wave 19, so the CV
# is free now), and two open-flag questions (He-Man S8477, Punisher S94684). Every split-reader run id was re-probed
# with lookup.py (--issues / --gcd-issues / --collects / names) before it went on an S line.

# ================= the ten R-032 withheld shelves: the run confirmed again, the CV now written =================

S 102613 cv=27055 gcd=38419 0.95 | the RUN wins: our one 630pp "Do Androids Dream of Electric Sheep - Omnibus (2015)" collects the 24-issue Boom! adaptation — GCD's own row 1514806 (s95044, 644pp, ISBN 9781608867844) reprints s38419 #1-24 — and CV 27055 (Boom! 2009, 24, #1-24 cached) and GCD 38419 (Boom! 2009-2011, 24) agree on title, publisher, years and count; R-032 withheld cv=27055 only because S5586 (Dust to Dust, now S cv=33382 + F wrong-cv-link in R-033) still stored it
I 5603 cv=543531 gcd=- isbn=- 0.9 | the trade's own record: CV 92938 "Voracious: Diners, Dinosaurs & Dives" issue 543531 ("Volume One", 2016-08); GCD has no row for the trade

S 102581 cv=162015 gcd=220095 0.95 | our one 26pp "Behemoth 001 (2025)" in Dark Horse\Behemoth (2025) is #1 of Dark Horse's four-issue 2025 mini: CV 162015 (Dark Horse 2025, #1 2025-01-15) and GCD 220095 (Dark Horse 2025, limited series, 4, #1 2025-01-15) agree on title, publisher, date and count; the withheld partner S2413 (MonkeyBrain's 2015 Behemoth) took S cv=81374 + F wrong-cv-link in R-033

# ================= the two open-flag shelves =================

R 8477 | the open overlap flag 601 is TRUE: of our four DC trades, Vol. 03 (156pp), Vol. 04 What Lies Within (136pp) and Vol. 05 The Blood of Greyskull (158pp) collect the 2013 ongoing — GCD's own rows 1429070/1429071/1429072 reprint s73684 #1-6, #7-12, #13-19, and CV 59980 / GCD 73684 (DC 2013-2015, 19) agree on title, publisher, years and count — but the 157pp "Vol. 01 (2020)" is the trade of the six-issue 2012 mini (GCD 90301 #1 row 1429068, 164pp, reprints s66586 #1-6; CV 50154 / GCD 66586, DC 2012-2013, 6, both from #1), a whole different run with its own records that no other shelf holds; GCD's collected line 90301 (5 volumes, Vol. 02 Origins of Eternia absent here) spans both but has no CV twin, and the run wins over the line (L-186 is for lines of like minis, not an ongoing beside its prequel)
F 8477 split-needed | proposed: item 27689 (Vol. 01, 157pp) -> key "He-Man and the Masters of the Universe v1 (2012)" run cv=50154 gcd=66586 (the 2012 six-issue mini); items 27691-27693 (Vol. 03-05) stay as the 2013 ongoing, cv=59980 gcd=73684 — once split, the kept half is S cv=59980 gcd=73684 0.95 and the flag is resolved by the split, not stale
I 27689 cv=806727 gcd=- isbn=- 0.9 | the book's own record: CV 130860 issue 806727 (DC, "GN", 2020-10-06) matches the 2020 date in the filename; GCD's only row for this content is the 2013 first printing 1429068 (GCD 90301 #1, 164pp, ISBN 978-1-4012-4022-6), not this 2020 edition
C 27689 cv=50154 gcd=66586 #1-6 0.9 | the 157pp Vol. 01 collects He-Man and the Masters of the Universe (DC 2012-2013, 6 issues, CV 50154 / GCD 66586) #1-6 — GCD row 1429068 of the same content reprints s66586 #1-6 and 157pp is six 36pp issues less ads
I 27691 cv=462233 gcd=1429070 isbn=978-1-4012-4719-5 0.95 | the trade's own records: CV 65194 issue 462233 ("Volume 3", 2014-08) and GCD 90301 #3 row 1429070 (2014-08-13, 164pp against our 156pp)
C 27691 cv=59980 gcd=73684 #1-6 0.95 | Vol. 03 collects He-Man and the Masters of the Universe (DC 2013-2015, 19 issues, CV 59980 / GCD 73684) #1-6 per GCD row 1429070's reprint note; the judged range #1-6 agrees
I 27692 cv=480655 gcd=1429071 isbn=978-1-4012-5069-0 0.95 | the trade's own records: CV 80294 "What Lies Within" issue 480655 ("Volume 4", 2015-02) and GCD 90301 #4 row 1429071 (2015-02-25, 148pp against our 136pp)
C 27692 cv=59980 gcd=73684 #7-12 0.95 | Vol. 04 What Lies Within collects the 2013 ongoing (CV 59980 / GCD 73684, 19 issues) #7-12 — CV names #7-12 "What Lies Within Part 1-6" and GCD row 1429071 reprints s73684 #7-12
I 27693 cv=492193 gcd=1429072 isbn=978-1-4012-5339-4 0.95 | the trade's own records: CV 82691 "The Blood of Grayskull" issue 492193 ("Volume 5", 2015-06) and GCD 90301 #5 row 1429072 (2015-06-17, 164pp against our 158pp)
C 27693 cv=59980 gcd=73684 #13-19 0.95 | Vol. 05 collects the 2013 ongoing (CV 59980 / GCD 73684, 19 issues) #13-19 — CV names #13-18 "The Blood of Grayskull" and #19 "Stuck in a Moment"; GCD row 1429072 reprints s73684 #13-19

R 94684 | ONE run, the flag is stale: all four trades collect Cloonan's 2016 Punisher, CV 90118 / GCD 100917 (Marvel 2016-2018, 28 = #1-17 then legacy #218-228): Vol. 01 On the Road (139pp) is GCD 110623 #1 (collects #1-6), Vol. 03 King of the New York Streets (122pp) is GCD 110623 #3 (the same 2016 trade line, 2018-01-24; not the 2018 run's Vol. 3, which is "Street by Street, Block by Block"), and War Machine Vol. 01-02 (136/111pp) are GCD 125305 #1-2 collecting #218-223 and #224-228; the two "Vol. 03"s the flag saw are one 2016-line Vol. 03 and no 2018-run book at all (the 2018 run's trades went to S66039 in the split)
F 94684 conflated-series | stale: the overlap flag 662 ("two different Punisher ladders each contribute a Vol. 03") no longer holds — every book is the 2016 run; land S 94684 cv=90118 gcd=100917 0.95 (CV 90118 and GCD 100917 agree on Marvel, 2016, count 28 = 17 + 11, and every trade's own row names that run's numbers) once the lead dismisses the flag
N 94684 the stored GCD row on 82510 (2039698, "Street by Street, Block by Block", 2018 run #12-15) is another book — its ⚠ RANGE line is void; GCD 1777751's note reads "#13-20", CV's 108116 names no range
I 82509 cv=569342 gcd=1660173 isbn=978-1-302-90047-2 0.95 | the trade's own records: CV 97067 "The Punisher: On The Road" issue 569342 ("Volume 1", 2016-12) and GCD 110623 #1 row 1660173 (2016-12-21, 140pp against our 139pp)
I 82510 cv=655511 gcd=1777751 isbn=978-1-302-90541-5 0.95 | the trade's own records: CV 108116 "The Punisher: King of the New York Streets" issue 655511 ("Volume 3", 2018-01) and GCD 110623 #3 row 1777751 (2018-01-24, 116pp against our 122pp)
I 82511 cv=671337 gcd=1812083 isbn=978-1-302-91072-3 0.95 | the trade's own records: CV 111150 "The Punisher: War Machine" issue 671337 ("Volume 1", 2018-05) and GCD 125305 #1 row 1812083 (140pp against our 136pp, collects #218-223)
I 82512 cv=692076 gcd=1872613 isbn=978-1-302-91073-0 0.95 | the trade's own records: CV 111150 issue 692076 ("Volume 2", 2018-11) and GCD 125305 #2 row 1872613 (116pp against our 111pp, collects #224-228)

# ================= Image\Astro City (1995): the Metrobook line and four one-shots =================

S 1436 cv=144144 gcd=183342 0.95 | a trade-only omnibus LINE with no single run under it: our six "Astro City Metrobook Book 01-06" (482-524pp) are CV 144144 "Astro City Metrobook" (Image 2022, 6, Volume 1-6 2022-03..2025-01) and GCD 183342 (Image 2022-?, 6 rows 498-532pp) — both legs agree on title, publisher, year and count, and each book's GCD row reprints a different mix of the 1995/1996/1999/2013 runs, the specials and the Dark Age minis; Book 02 (36271) joined from S1431 in P-004, confirmed as GCD row 2428437 = #2
I 36270 cv=938351 gcd=2384000 isbn=978-1-5343-2204-2 0.95 | Book 01's own records: CV 144144 #1 issue 938351 (Volume 1, 2022-03) and GCD 183342 #1 row 2384000 (500pp against our 486pp)
I 36271 cv=945465 gcd=2428437 isbn=978-1-5343-2317-9 0.95 | Book 02's own records: CV 144144 #2 issue 945465 (Volume 2, 2022-08) and GCD 183342 #2 row 2428437 (500pp against our 488pp)
I 36269 cv=972967 gcd=2494635 isbn=978-1-5343-2462-6 0.95 | Book 03's own records: CV 144144 #3 issue 972967 (Volume 3, 2023-02) and GCD 183342 #3 row 2494635 (500pp against our 482pp)
I 36272 cv=1034962 gcd=2574889 isbn=978-1-5343-9971-6 0.95 | Book 04's own records: CV 144144 #4 issue 1034962 (Volume 4, 2023-10) and GCD 183342 #4 row 2574889 (516pp against our 502pp)
I 36273 cv=1054270 gcd=2617013 isbn=1534397094 0.95 | Book 05's own records: CV 144144 #5 issue 1054270 (Volume 5, 2024-03) and GCD 183342 #5 row 2617013 (532pp against our 524pp)
I 36274 cv=1125139 gcd=2704381 isbn=9781534350380 0.95 | Book 06's own records: CV 144144 #6 issue 1125139 (Volume 6, 2025-01) and GCD 183342 #6 row 2704381 (498pp against our 496pp)
C 36270 gcd=5420 #1-6 0.95 | Metrobook Book 01 collects Kurt Busiek's Astro City (Image 1995, 6 issues, GCD 5420) #1-6 per its own GCD row 2384000's reprint roll-up
C 36270 gcd=5651 #1-12 0.95 | Metrobook Book 01 also collects Kurt Busiek's Astro City (Homage/Image 1996, GCD 5651) #1-12 per its own GCD row 2384000's reprint roll-up
C 36271 gcd=64367 #16-22 0.95 | Metrobook Book 02 collects Kurt Busiek's Astro City (1999 GCD series 64367) #16-22 per its own GCD row 2428437's reprint roll-up (with the 1996 #13-15 and Local Heroes on further lines)
C 36271 gcd=5651 #13-15 0.95 | Metrobook Book 02 collects Kurt Busiek's Astro City (1996, GCD 5651) #13-15 per its own GCD row 2428437's reprint roll-up
C 36271 gcd=10797 #1-5 0.95 | Metrobook Book 02 collects Astro City: Local Heroes (DC/Homage 2003, 5 issues, GCD 10797) #1-5 per its own GCD row 2428437's reprint roll-up
N 36271 Book 02 also reprints Astro City: A Visitor's Guide (GCD 12139, unnumbered) — the book on S1431; no C, the one-shot has no issue number
C 36269 gcd=13437 #1-4 0.95 | Metrobook Book 03 collects Astro City: Dark Age / Book One (DC 2005, 4 issues, GCD 13437) #1-4 per its own GCD row 2494635's reprint roll-up
C 36269 gcd=18869 #1-4 0.95 | Metrobook Book 03 collects Astro City: Dark Age / Book Two (DC 2007, 4 issues, GCD 18869) #1-4 per its own GCD row 2494635's reprint roll-up
C 36269 gcd=36521 #1-4 0.95 | Metrobook Book 03 collects Astro City: Dark Age / Book Three (DC 2009, 4 issues, GCD 36521) #1-4 per its own GCD row 2494635's reprint roll-up
C 36269 gcd=42241 #1-4 0.95 | Metrobook Book 03 collects Astro City: The Dark Age Book Four (DC 2010, 4 issues, GCD 42241) #1-4 per its own GCD row 2494635's reprint roll-up
C 36272 cv=62857 gcd=74788 #1-10 0.95 | Metrobook Book 04 collects Astro City (DC/Vertigo 2013-2018, 52 issues, CV 62857 / GCD 74788) #1-10 per its own GCD row 2574889 (plus #17 and #22-24, on an N)
C 36272 gcd=38575 #1-2 0.95 | Metrobook Book 04 collects Astro City: Astra Special (DC 2009, 2 issues, GCD 38575) #1-2 per its own GCD row 2574889's reprint roll-up
N 36272 Book 04 also reprints Astro City (2013) #17 and #22-24 (outside the stated #1-10), Astro City: Beautie #1 (GCD 27556) and Astro City: Samaritan #1 (GCD 17525)
C 36273 cv=62857 gcd=74788 #25-34 0.95 | Metrobook Book 05 collects Astro City (DC/Vertigo 2013-2018, 52 issues, CV 62857 / GCD 74788) #25-34 per its own GCD row 2617013 (plus #11-16 and #18-21, on an N)
N 36273 Book 05 also reprints Astro City (2013) #11-16 and #18-21 — disjoint stretches of the same run, stated here rather than widened across #17 and #22-24 (which are in Book 04)
C 36274 cv=62857 gcd=74788 #35-52 0.95 | Metrobook Book 06 collects Astro City (DC/Vertigo 2013-2018, 52 issues, CV 62857 / GCD 74788) #35-52 per its own GCD row 2704381's reprint roll-up — the run's last eighteen issues

S 102733 cv=25753 gcd=12140 0.95 | split run confirmed: our 32pp "Astro City - Supersonic Special (2004)" is the 2004 Astro City Special (the Supersonic story "Old Times"): CV 25753 "Astro City Special" (DC 2004, 1, #1 "Old Times") and GCD 12140 (DC 2004, 1, 44pp on-sale 2004-08-18) agree on title, publisher, year and count
I 36266 cv=151834 gcd=215981 isbn=- 0.95 | the special's own records: CV 25753 #1 issue 151834 ("Old Times", 2004-10) and GCD 12140 #1 row 215981 (44pp against our 32pp digital)

S 102734 cv=142090 gcd=183339 0.95 | split run confirmed: our 36pp "Astro City - That Was Then… Special (2022)" is CV 142090 "Astro City: That Was Then… Special" (Image 2022, 1, 2022-03) and GCD 183339 (Image 2022, 1 row, 36pp on-sale 2022-03-30) — title, publisher, year, count and page count agree
I 36267 cv=913814 gcd=2383973 isbn=- 0.95 | the special's own records: CV 142090 #1 issue 913814 and GCD 183339 row 2383973 (36pp against our 36pp)

S 102731 cv=25754 gcd=13136 0.9 | split run confirmed: our 9pp "Astro City - The Flip Book - On Mulberry Street - A Prelude (2004)" is the Astro City half of the 2004 flip book — CV 25754 "Astro City / Arrowsmith Flip Book" (DC 2004, 1, #1 "On Mulberry Street: A Prelude; The Sound Of Distant Guns") and GCD 13136 "Astro City / Arrowsmith" (DC 2004, 1, 36pp) agree on title, year and count; 0.9 because our rip holds only the 9pp Astro City story, not the Arrowsmith half
F 102731 partial-rip | item 36268 is 9pp of the 36pp flip book — only the "On Mulberry Street" prelude, the Arrowsmith story is absent
I 36268 cv=151835 gcd=235006 isbn=- 0.9 | the flip book's own records: CV 25754 #1 issue 151835 and GCD 13136 #1 row 235006 (36pp; our rip is the 9pp Astro City half)

S 1431 cv=18183 gcd=12139 0.95 | the kept half is one book, the 2004 one-shot: our 49pp "Astro City - A Visitor's Guide (2004)" is CV 18183 "Astro City: A Visitor's Guide" (DC 2004, 1, #1 "Having A Wonderful Time...") and GCD 12139 "Astro City A Visitors Guide" (DC 2004, 1 row, 52pp on-sale 2004-10-13) — title, publisher, year, count and page count agree (the split reader's ids)
I 36265 cv=106486 gcd=215980 isbn=- 0.95 | the one-shot's own records: CV 18183 #1 issue 106486 and GCD 12139 row 215980 (52pp against our 49pp)

# ================= Boom Studios\Ben 10 (2019): five OGNs, each its own record on both legs =================

S 102736 cv=120302 gcd=216035 0.95 | split run confirmed and completed: our 82pp "COL Ben 10 Vol. 02 - For Science! (2019)" is CV 120302 "Ben 10: For Science!" (Boom! 2019, 1, GN 2019-07-25) and GCD 216035 (Boom! 2019, 1 row 2019-07, ISBN 978-1-68415-373-2) — the split reader had no GCD id; lookup "Ben 10" --year 2019 finds it
I 9470 cv=714276 gcd=2662100 isbn=978-1-68415-373-2 0.95 | the OGN's own records: CV 120302 issue 714276 and GCD 216035 row 2662100 (2019-07)
S 102737 cv=122802 gcd=216034 0.95 | split run confirmed and completed: our 82pp "COL Ben 10 Vol. 03 - Mecha Madness (2019)" is CV 122802 "Ben 10: Mecha Madness" (Boom! 2019, 1, "Volume 3" 2019-11-14) and GCD 216034 (Boom! 2019, 1 row 2019-11, ISBN 978-1-68415-420-3); the split reader had no GCD id
I 9471 cv=727086 gcd=2662099 isbn=978-1-68415-420-3 0.95 | the OGN's own records: CV 122802 issue 727086 ("Volume 3") and GCD 216034 row 2662099 (2019-11)
S 102739 cv=125468 gcd=216033 0.95 | split run confirmed: our 82pp "COL Ben 10 Vol. 04 - The Manchester Mystery (2020)" is CV 125468 (Boom! 2020, 1, "Volume 4" 2020-03-05) and GCD 216033 (Boom! 2020, 1 row 2020-03, ISBN 978-1-68415-496-8) — title, publisher, year and count agree
I 9472 cv=739539 gcd=2662094 isbn=978-1-68415-496-8 0.95 | the OGN's own records: CV 125468 issue 739539 ("Volume 4") and GCD 216033 row 2662094
S 102738 cv=129456 gcd=162754 0.95 | split run confirmed: our 81pp "COL Ben 10 Vol. 05 - The Creature from Serenity Shore (2020)" is CV 129456 (Boom! 2020, 1, GN 2020-08-13) and GCD 162754 (Boom! 2020, 1 row 2020-08-12, ISBN 978-1684155323) — title, publisher, date and count agree
I 9473 cv=791891 gcd=2133066 isbn=978-1684155323 0.95 | the OGN's own records: CV 129456 issue 791891 and GCD 162754 row 2133066
S 2425 cv=117733 gcd=143175 0.95 | the kept half is Vol. 01: our 80pp "COL Ben 10 Vol. 01 - The Truth is Out There (2019)" (ComicInfo BOOM! Studios) is CV 117733 "Ben 10: The Truth Is Out There" (Boom! 2019, 1, OGN 2019-03-20) and GCD 143175 (Boom! 2019, 1 row 2019-03-20, ISBN 9781684153190) — title, publisher, date and count agree
F 2425 wrong-cv-link | the stored CV 95838 is El País's 2010 Spanish "Ben 10" (10 issues, no CvVolume row) — another publisher and decade; this book is CV 117733
I 9469 cv=703885 gcd=1942388 isbn=9781684153190 0.95 | the OGN's own records: CV 117733 issue 703885 and GCD 143175 row 1942388

# ================= Valiant\Britannia (2016): the collected line (L-186) and an Alien Books sequel =================

S 102740 cv=157694 gcd=214117 0.95 | split run confirmed and completed: our 66pp "Britannia - The Great Fire of Rome (2024)" is CV 157694 "Britannia: The Great Fire of Rome" (Alien Books 2024, 1, 2024-03) and GCD 214117 (Alien Books 2024, 1 row) — title, publisher, year and count agree; the split reader named only the GCD leg; the per-file CV 94261 is the 2016 Valiant mini
I 110834 cv=1051664 gcd=2649128 isbn=- 0.95 | the book's own records: CV 157694 issue 1051664 and GCD 214117 row 2649128 (2024)

R 3181 | ONE collected line, so the flag's premise does not decide it: GCD 114617 "Britannia" (Valiant 2017-2018, 3 rows, 116pp each: #[nn] ISBN 9781682151853, #2 We Who Are About to Die, #3 Lost Eagles of Rome) is exactly our v01/v02/v03 (130/113/114pp), each collecting a different four-issue mini (Britannia CV 94261 / GCD 106727; We Who Are About to Die CV 100972 / GCD 113711; Lost Eagles of Rome CV 112438 / GCD 127217), so by L-186 the line is the identity and each mini goes on a C line; the Deluxe Edition (CV 120387 / GCD 149280) is the line's own content in another edition; ComicVine has no line record, only a count-1 TPB per volume (98885, 104273, 115872)
F 3181 conflated-series | stale under L-186: flag on item 110836 ("three Britannia minis share this Series") is true of the minis but the shelf is their collected line — land S 3181 cv=- gcd=114617 0.9 (GCD 114617's three rows are our three trades one-for-one; 0.9 because ComicVine holds no line record) once the lead dismisses the flag
F 3181 wrong-cv-link | the stored CV 94261 is the first four-issue mini only (L-186: a first mini linked to a line shelf is wrong-cv-link); it belongs on 110835's C line, not the shelf
I 110835 cv=581544 gcd=1709221 isbn=9781682151853 0.95 | v01's own records: CV 98885 "Britannia" issue 581544 (TPB, 2017-02) and GCD 114617 #[nn] row 1709221 (2017-03-07, 116pp against our 130pp)
C 110835 cv=94261 gcd=106727 #1-4 0.95 | v01 collects Britannia (Valiant 2016, 4 issues, CV 94261 / GCD 106727) #1-4 — the judged range #1-4 and the 116pp TPB of a four-issue mini agree
I 110836 cv=621606 gcd=1882715 isbn=- 0.95 | v02's own records: CV 104273 "Britannia: We Who Are About To Die" issue 621606 (Volume 2, 2017-09) and GCD 114617 #2 row 1882715 (2017-09-13, 116pp against our 113pp)
C 110836 cv=100972 gcd=113711 #1-4 0.95 | v02 collects Britannia: We Who Are About to Die (Valiant 2017, 4 issues "Book I-IV", CV 100972 / GCD 113711) #1-4 — the judged range #1-4 counts in THAT mini, not the first
I 110837 cv=694869 gcd=1882716 isbn=- 0.95 | v03's own records: CV 115872 "Britannia: Lost Eagles of Rome" issue 694869 (Volume 3, 2018-12-12) and GCD 114617 #3 row 1882716 (2018-12-12, 116pp against our 114pp)
C 110837 cv=112438 gcd=127217 #1-4 0.95 | v03 collects Britannia: Lost Eagles of Rome (Valiant 2018, 4 issues 2018-07..10, CV 112438 / GCD 127217) #1-4 — the TPB's title and its 116pp for four issues
I 111958 cv=714646 gcd=2004232 isbn=- 0.95 | the Deluxe Edition's own records: CV 120387 "Britannia Deluxe Edition" issue 714646 (HC, 2019-07-31) and GCD 149280 row 2004232 (2019-07-31, 334pp against our 350pp)
C 111958 cv=94261 gcd=106727 #1-4 0.9 | the Deluxe Edition collects Britannia (Valiant 2016, 4 issues, CV 94261 / GCD 106727) #1-4 per the judged range; its 334-350pp is about twelve issues, so it very likely holds the two sequel minis too — see the N
N 111958 the 350pp Deluxe Edition is roughly three times a 116pp trade — it probably also collects We Who Are About to Die #1-4 and Lost Eagles of Rome #1-4, but no source we hold says so; no C written for them

# ================= Image\Casanova (2006): the Complete Edition line (L-186) and Acedia =================

S 102744 cv=79742 gcd=86099 0.95 | split run confirmed: our "COL Casanova Vol. 04 - Acedia Vol. 01 (2015)" 140pp and "Vol. 05 - Acedia Vol. 02 (2017)" 138pp collect Casanova: Acedia — CV 79742 (Image 2015, 8, #1-8 2015-01..2017-03) and GCD 86099 (Image 2015-2017, 8 rows) agree on title, publisher, years and count, and two ~140pp books for eight issues holds; their own line is CV 85560 / GCD 236165 (2 volumes)
I 35363 cv=504367 gcd=2828299 isbn=- 0.95 | Acedia Vol. 01's own records: CV 85560 #1 issue 504367 (Volume One, 2015-10) and GCD 236165 #1 row 2828299
I 35364 cv=594992 gcd=2828300 isbn=- 0.95 | Acedia Vol. 02's own records: CV 85560 #2 issue 594992 (Volume Two, 2017-05) and GCD 236165 #2 row 2828300

S 3644 cv=- gcd=148774 0.9 | L-186: a collected-edition record exactly coextensive with the shelf's trades: GCD 148774 "Casanova" (Image 2014-?, 3 rows: #1 Luxuria 216pp, #2 Gula, #3 Avaritia 176pp) is our Vol. 01 Luxuria / 02 Gula / 03 Avaritia (220/228/150pp) one-for-one, and the three collect two runs (Image's 2006 Casanova #1-7 and #8-14, CV 19000 / GCD 18441; Marvel's Casanova: Avaritia #1-4, CV 42660 / GCD 61426), so no run can be the shelf; ComicVine has no line record, only a count-1 volume per book (78209, 79274, 138766)
I 35360 cv=470467 gcd=1996939 isbn=978-1-63215-161-2 0.95 | Luxuria's own records: CV 78209 "Casanova: Luxuria - The Complete Edition" issue 470467 (Volume One, 2014-11) and GCD 148774 #1 row 1996939 (216pp against our 220pp)
C 35360 cv=19000 gcd=18441 #1-7 0.95 | Luxuria collects Casanova (Image 2006-2008, 14 issues, CV 19000 / GCD 18441) #1-7 — the judged range #1-7 and GCD row 1996939's reprint of s18441 #1-7 agree
I 35361 cv=475490 gcd=1996940 isbn=978-1632151810 0.95 | Gula's own records: CV 79274 "Casanova: Gula - The Complete Edition" issue 475490 (Volume Two, 2015-01) and GCD 148774 #2 row 1996940 (2015-01-20)
